character.id,character.name,character.realm.slug,honor_level,honorable_kills,Alterac Valley win_rate,Isle of Conquest win_rate,Temple of Kotmogu win_rate,Seething Shore win_rate,Warsong Gulch win_rate,Arathi Basin win_rate,Battle for Wintergrasp win_rate,Alterac Valley played,Isle of Conquest played,Temple of Kotmogu played,Seething Shore played,Warsong Gulch played,Arathi Basin played,Battle for Wintergrasp played,Alterac Valley won,Isle of Conquest won,Temple of Kotmogu won,Seething Shore won,Warsong Gulch won,Arathi Basin won,Battle for Wintergrasp won,Classic Warsong Gulch win_rate,Classic Arathi Basin win_rate,Eye of the Storm win_rate,Strand of the Ancients win_rate,Twin Peaks win_rate,Silvershard Mines win_rate,The Battle for Gilneas win_rate,Deepwind Gorge (Legacy) win_rate,Ashran win_rate,Arathi Basin Winter win_rate,Deepwind Gorge win_rate,Classic Warsong Gulch played,Classic Arathi Basin played,Eye of the Storm played,Strand of the Ancients played,Twin Peaks played,Silvershard Mines played,The Battle for Gilneas played,Deepwind Gorge (Legacy) played,Ashran played,Arathi Basin Winter played,Deepwind Gorge played,Classic Warsong Gulch won,Classic Arathi Basin won,Eye of the Storm won,Strand of the Ancients won,Twin Peaks won,Silvershard Mines won,The Battle for Gilneas won,Deepwind Gorge (Legacy) won,Ashran won,Arathi Basin Winter won,Deepwind Gorge won,Arathi Basin Comp Stomp win_rate,Arathi Basin Comp Stomp played,Arathi Basin Comp Stomp won,Rated Eye of the Storm win_rate,Korrak's Revenge win_rate,Rated Eye of the Storm played,Korrak's Revenge played,Rated Eye of the Storm won,Korrak's Revenge won,Cooking: Impossible win_rate,Cooking: Impossible played,Cooking: Impossible won,Southshore vs. Tarren Mill win_rate,Southshore vs. Tarren Mill played,Southshore vs. Tarren Mill won
159685683,Garfomoo,draenor,38.0,2469.0,67.0,40.0,0.0,100.0,0.0,,80.0,3.0,5.0,1.0,1.0,2.0,,5.0,2.0,2.0,0.0,1.0,0.0,,4.0,100.0,0.0,0.0,,50.0,50.0,50.0,0.0,100.0,,100.0,2.0,1.0,3.0,,2.0,2.0,6.0,1.0,3.0,,1.0,2.0,0.0,0.0,,1.0,1.0,3.0,0.0,3.0,,1.0,,,,,100.0,,1.0,,1.0,0.0,1.0,0.0,,,
107317502,Lewtmeister,ravencrest,23.0,8664.0,61.0,20.0,50.0,100.0,50.0,100.0,50.0,18.0,5.0,6.0,3.0,2.0,1.0,2.0,11.0,1.0,3.0,3.0,1.0,1.0,1.0,59.0,65.0,51.0,63.0,50.0,22.0,67.0,33.0,,,,29.0,60.0,37.0,38.0,4.0,9.0,3.0,3.0,,,,17.0,39.0,19.0,24.0,2.0,2.0,2.0,1.0,,,,,,,,,,,,,,,,,,
136676508,Tonínoo,dun-modr,22.0,6186.0,67.0,33.0,50.0,67.0,53.0,40.0,,3.0,3.0,20.0,12.0,15.0,15.0,,2.0,1.0,10.0,8.0,8.0,6.0,,75.0,50.0,56.0,0.0,54.0,57.0,33.0,67.0,100.0,,70.0,8.0,8.0,9.0,2.0,13.0,23.0,12.0,3.0,2.0,,10.0,6.0,4.0,5.0,0.0,7.0,13.0,4.0,2.0,2.0,,7.0,,,,50.0,,2.0,,1.0,,,,,,,
216105130,Hellomotto,sylvanas,14.0,22770.0,50.0,100.0,50.0,100.0,40.0,100.0,0.0,18.0,5.0,2.0,2.0,5.0,1.0,3.0,9.0,5.0,1.0,2.0,2.0,1.0,0.0,69.0,78.0,65.0,53.0,50.0,50.0,67.0,,0.0,,60.0,55.0,41.0,48.0,34.0,6.0,2.0,3.0,,1.0,,5.0,38.0,32.0,31.0,18.0,3.0,1.0,2.0,,0.0,,3.0,,,,,,,,,,,,,,,
146794864,Yachii,ragnaros,16.0,33506.0,33.0,27.0,53.0,67.0,60.0,67.0,50.0,220.0,97.0,17.0,3.0,10.0,3.0,6.0,72.0,26.0,9.0,2.0,6.0,2.0,3.0,36.0,46.0,47.0,53.0,41.0,62.0,46.0,43.0,50.0,100.0,67.0,169.0,270.0,90.0,90.0,44.0,21.0,52.0,7.0,2.0,1.0,9.0,60.0,124.0,42.0,48.0,18.0,13.0,24.0,3.0,1.0,1.0,6.0,,,,3600.0,,1.0,,36.0,,,,,,,
215318165,Fash,sylvanas,59.0,1107.0,50.0,,100.0,,0.0,100.0,0.0,2.0,,3.0,,1.0,1.0,1.0,1.0,,3.0,,0.0,1.0,0.0,50.0,50.0,0.0,,0.0,67.0,33.0,100.0,0.0,,,4.0,2.0,1.0,,2.0,9.0,3.0,1.0,1.0,,,2.0,1.0,0.0,,0.0,6.0,1.0,1.0,0.0,,,,,,,,,,,,,,,,,
193091808,Thaladriana,aegwynn,17.0,8033.0,44.0,67.0,80.0,87.0,53.0,43.0,100.0,9.0,9.0,15.0,15.0,15.0,7.0,2.0,4.0,6.0,12.0,13.0,8.0,3.0,2.0,75.0,0.0,44.0,12.0,53.0,48.0,59.0,57.0,33.0,,36.0,4.0,1.0,9.0,8.0,17.0,27.0,22.0,7.0,6.0,,14.0,3.0,0.0,4.0,1.0,9.0,13.0,13.0,4.0,2.0,,5.0,,,,50.0,50.0,4.0,8.0,2.0,4.0,,,,,,
78419105,Mueter,blackmoore,16.0,1068.0,,,43.0,100.0,100.0,,,,,7.0,2.0,1.0,,,,,3.0,2.0,1.0,,,0.0,0.0,0.0,50.0,20.0,14.0,17.0,100.0,,,,3.0,1.0,2.0,2.0,5.0,7.0,6.0,1.0,,,,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,,,,,,,,,,,,,,,,,,
217850493,Mordréd,sylvanas,20.0,522.0,75.0,100.0,0.0,0.0,100.0,0.0,,4.0,1.0,1.0,1.0,1.0,1.0,,3.0,1.0,0.0,0.0,1.0,0.0,,,,,,,100.0,0.0,,50.0,,100.0,,,,,,1.0,1.0,,2.0,,1.0,,,,,,1.0,0.0,,1.0,,1.0,,,,,,,,,,,,,,,
156657032,Mikesglory,ravencrest,15.0,3359.0,36.0,14.0,33.0,100.0,0.0,50.0,67.0,14.0,7.0,3.0,3.0,1.0,2.0,3.0,5.0,1.0,1.0,3.0,0.0,1.0,2.0,73.0,55.0,75.0,29.0,60.0,67.0,40.0,,100.0,,100.0,15.0,11.0,4.0,7.0,5.0,3.0,10.0,,2.0,,1.0,11.0,6.0,3.0,2.0,3.0,2.0,4.0,,2.0,,1.0,,,,,,,,,,,,,,,
224662276,Pácu,sylvanas,10.0,2815.0,25.0,64.0,60.0,100.0,100.0,100.0,,4.0,11.0,5.0,1.0,1.0,1.0,,1.0,7.0,3.0,1.0,1.0,1.0,,40.0,50.0,22.0,27.0,40.0,50.0,60.0,57.0,,100.0,,5.0,6.0,9.0,11.0,5.0,4.0,5.0,7.0,,1.0,,2.0,3.0,2.0,3.0,2.0,2.0,3.0,4.0,,1.0,,,,,,,,,,,,,,,,
165914900,Azenger,twisting-nether,40.0,692.0,33.0,100.0,,100.0,100.0,100.0,100.0,3.0,1.0,,2.0,2.0,1.0,1.0,1.0,1.0,,2.0,2.0,1.0,1.0,,,100.0,,100.0,0.0,100.0,,50.0,,100.0,,,1.0,,2.0,1.0,1.0,,2.0,,1.0,,,1.0,,2.0,0.0,1.0,,1.0,,1.0,,,,,,,,,,,,,,,
180420766,Тивиар,gordunni,7.0,1640.0,,,50.0,,0.0,67.0,100.0,,,2.0,,1.0,3.0,1.0,,,1.0,,0.0,2.0,1.0,0.0,,,,0.0,50.0,33.0,,,,33.0,1.0,,,,1.0,2.0,3.0,,,,3.0,0.0,,,,0.0,1.0,1.0,,,,1.0,,,,50.0,25.0,2.0,8.0,1.0,2.0,,,,,,
151952434,Sejanus,gilneas,45.0,58635.0,69.0,51.0,64.0,,,,,105.0,82.0,47.0,,,,,72.0,42.0,30.0,,,,,56.0,55.0,54.0,49.0,60.0,49.0,61.0,66.0,,,,259.0,190.0,167.0,152.0,72.0,49.0,100.0,32.0,,,,144.0,105.0,90.0,74.0,43.0,24.0,61.0,21.0,,,,,,,,,,,,,,,,,,
128957568,Aeth,argent-dawn,9.0,700.0,100.0,0.0,0.0,50.0,50.0,0.0,,1.0,1.0,1.0,2.0,2.0,2.0,,1.0,0.0,0.0,1.0,1.0,0.0,,0.0,,40.0,,100.0,0.0,0.0,,,,100.0,1.0,,5.0,,1.0,2.0,1.0,,,,1.0,0.0,,2.0,,1.0,0.0,0.0,,,,1.0,,,,,,,,,,,,,,,
136938662,Komaster,todeswache,6.0,4186.0,50.0,100.0,50.0,100.0,0.0,,100.0,8.0,5.0,2.0,1.0,1.0,,1.0,4.0,5.0,1.0,1.0,0.0,,1.0,49.0,11.0,60.0,,100.0,40.0,100.0,,50.0,100.0,0.0,35.0,9.0,5.0,,1.0,5.0,1.0,,2.0,1.0,2.0,17.0,1.0,3.0,,1.0,2.0,1.0,,1.0,1.0,0.0,,,,,,,,,,,,,,,
245424789,Tømz,sylvanas,5.0,179.0,,,100.0,,,,,,,1.0,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
226096042,Bleguta,sylvanas,18.0,393.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,1.0,,0.0,,,,,,
191840232,Nakui,aegwynn,28.0,2299.0,,50.0,100.0,67.0,67.0,29.0,0.0,,2.0,1.0,6.0,6.0,7.0,4.0,,1.0,1.0,4.0,4.0,2.0,0.0,,,0.0,,100.0,67.0,60.0,0.0,33.0,,67.0,,,2.0,,3.0,6.0,5.0,1.0,3.0,,3.0,,,0.0,,3.0,4.0,3.0,0.0,1.0,,2.0,100.0,1.0,1.0,,,,,,,,,,,,
175810099,Paloushe,dalaran,9.0,2176.0,67.0,56.0,0.0,40.0,100.0,50.0,40.0,6.0,9.0,3.0,5.0,2.0,2.0,5.0,4.0,5.0,0.0,2.0,2.0,1.0,2.0,,,100.0,,100.0,,0.0,,57.0,,0.0,,,1.0,,2.0,,2.0,,7.0,,2.0,,,1.0,,2.0,,0.0,,4.0,,0.0,,,,,,,,,,,,,,,
170229125,Элитныи,gordunni,51.0,24170.0,49.0,40.0,79.0,100.0,0.0,,,39.0,30.0,24.0,1.0,2.0,,,19.0,12.0,19.0,1.0,0.0,,,62.0,54.0,60.0,58.0,56.0,59.0,70.0,76.0,,,,110.0,79.0,52.0,53.0,70.0,27.0,91.0,21.0,,,,68.0,43.0,31.0,31.0,39.0,16.0,64.0,16.0,,,,,,,,,,,,,,,,,,
108029148,Spirine,ysondre,16.0,2617.0,0.0,50.0,69.0,71.0,100.0,100.0,0.0,2.0,4.0,13.0,14.0,1.0,1.0,1.0,0.0,2.0,9.0,10.0,1.0,1.0,0.0,100.0,50.0,50.0,,100.0,50.0,50.0,60.0,,,100.0,3.0,2.0,4.0,,3.0,6.0,4.0,5.0,,,2.0,3.0,1.0,2.0,,3.0,3.0,2.0,3.0,,,2.0,,,,0.0,,1.0,,0.0,,,,,,,
218934718,Qhaah,sylvanas,9.0,4706.0,39.0,0.0,100.0,,100.0,,,31.0,1.0,1.0,,1.0,,,12.0,0.0,1.0,,1.0,,,60.0,73.0,33.0,50.0,0.0,50.0,50.0,,,,0.0,15.0,15.0,3.0,2.0,4.0,2.0,4.0,,,,1.0,9.0,11.0,1.0,1.0,0.0,1.0,2.0,,,,0.0,,,,,,,,,,,,,,,
199216357,Wynell,arathor,17.0,1057.0,100.0,,,,100.0,50.0,100.0,2.0,,,,1.0,2.0,1.0,2.0,,,,1.0,1.0,1.0,,,75.0,,100.0,,100.0,,67.0,,100.0,,,4.0,,3.0,,2.0,,3.0,,1.0,,,3.0,,3.0,,2.0,,2.0,,1.0,,,,,,,,,,,,,,,
74086767,Fàlk,antonidas,16.0,30579.0,49.0,46.0,59.0,67.0,50.0,0.0,57.0,87.0,80.0,34.0,6.0,4.0,1.0,7.0,43.0,37.0,20.0,4.0,2.0,0.0,4.0,41.0,33.0,51.0,34.0,45.0,50.0,36.0,,0.0,,0.0,68.0,79.0,67.0,71.0,20.0,8.0,11.0,,4.0,,2.0,28.0,26.0,34.0,24.0,9.0,4.0,4.0,,0.0,,0.0,100.0,9.0,9.0,,,,,,,,,,,,
192017612,Pomfritzel,silvermoon,15.0,885.0,67.0,50.0,,100.0,100.0,0.0,,3.0,2.0,,1.0,2.0,1.0,,2.0,1.0,,1.0,2.0,0.0,,,,,,,100.0,,,,,67.0,,,,,,1.0,,,,,3.0,,,,,,1.0,,,,,2.0,,,,,,,,,,,,,,,
67972002,Ithillien,ravencrest,43.0,5524.0,38.0,57.0,82.0,50.0,67.0,100.0,20.0,13.0,14.0,11.0,8.0,3.0,1.0,5.0,5.0,8.0,9.0,4.0,2.0,1.0,1.0,67.0,57.0,83.0,,40.0,56.0,71.0,75.0,0.0,,,6.0,7.0,6.0,,5.0,9.0,7.0,4.0,1.0,,,4.0,4.0,5.0,,2.0,5.0,5.0,3.0,0.0,,,,,,,100.0,,1.0,,1.0,,,,,,
226280722,Beenie,sylvanas,110.0,35143.0,59.0,29.0,61.0,64.0,60.0,57.0,54.0,29.0,17.0,99.0,86.0,72.0,120.0,13.0,17.0,5.0,60.0,55.0,43.0,69.0,7.0,38.0,37.0,58.0,38.0,40.0,61.0,52.0,60.0,,75.0,59.0,52.0,38.0,127.0,8.0,97.0,98.0,95.0,72.0,,4.0,39.0,20.0,14.0,74.0,3.0,39.0,60.0,49.0,43.0,,3.0,23.0,100.0,16.0,16.0,,0.0,,7.0,,0.0,,,,,,
196266558,Judgetastic,silvermoon,18.0,7647.0,64.0,52.0,0.0,,,,,42.0,21.0,1.0,,,,,27.0,11.0,0.0,,,,,55.0,35.0,40.0,50.0,40.0,,67.0,,,,,29.0,20.0,30.0,32.0,10.0,,15.0,,,,,16.0,7.0,12.0,16.0,4.0,,10.0,,,,,,,,,,,,,,,,,,,
164108514,Torkas,alleria,25.0,569.0,100.0,,100.0,,100.0,,100.0,1.0,,1.0,,2.0,,1.0,1.0,,1.0,,2.0,,1.0,,,0.0,,100.0,0.0,,,,,0.0,,,1.0,,1.0,1.0,,,,,1.0,,,0.0,,1.0,0.0,,,,,0.0,,,,,,,,,,,,,,,
51285832,Громел,gordunni,54.0,123409.0,64.0,64.0,75.0,71.0,59.0,65.0,63.0,186.0,233.0,153.0,35.0,41.0,23.0,35.0,119.0,150.0,115.0,25.0,24.0,15.0,22.0,63.0,53.0,62.0,62.0,60.0,59.0,59.0,66.0,100.0,23.0,,316.0,279.0,242.0,225.0,259.0,129.0,268.0,88.0,5.0,13.0,,200.0,149.0,151.0,140.0,156.0,76.0,157.0,58.0,5.0,3.0,,100.0,6.0,6.0,,0.0,,1.0,,0.0,100.0,1.0,1.0,,,
156067386,Boldaro,arathor,26.0,1501.0,60.0,0.0,40.0,200.0,0.0,,,5.0,1.0,5.0,1.0,1.0,,,3.0,0.0,2.0,2.0,0.0,,,33.0,100.0,67.0,0.0,0.0,,33.0,33.0,,100.0,,3.0,1.0,6.0,1.0,2.0,,3.0,3.0,,1.0,,1.0,1.0,4.0,0.0,0.0,,1.0,1.0,,1.0,,,,,,,,,,,,,,,,
218497173,Rhyllor,sylvanas,26.0,9800.0,62.0,65.0,47.0,,100.0,75.0,0.0,42.0,23.0,17.0,,2.0,4.0,2.0,26.0,15.0,8.0,,2.0,3.0,0.0,33.0,41.0,30.0,57.0,32.0,43.0,52.0,,,,33.0,46.0,27.0,33.0,37.0,25.0,7.0,21.0,,,,3.0,15.0,11.0,10.0,21.0,8.0,3.0,11.0,,,,1.0,,,,700.0,,1.0,,7.0,,,,,,,
87045038,Dreadknight,uldum,30.0,13619.0,42.0,52.0,62.0,57.0,75.0,75.0,40.0,48.0,33.0,8.0,7.0,8.0,8.0,5.0,20.0,17.0,5.0,4.0,6.0,6.0,2.0,60.0,67.0,87.0,50.0,36.0,75.0,69.0,60.0,100.0,,60.0,15.0,18.0,15.0,18.0,14.0,8.0,13.0,5.0,2.0,,5.0,9.0,12.0,13.0,9.0,5.0,6.0,9.0,3.0,2.0,,3.0,,,,,67.0,,3.0,,2.0,,,,,,
118352641,Council,ravencrest,16.0,3106.0,50.0,100.0,60.0,100.0,100.0,67.0,50.0,2.0,2.0,5.0,1.0,1.0,3.0,2.0,1.0,2.0,3.0,1.0,1.0,2.0,1.0,55.0,100.0,100.0,20.0,50.0,56.0,67.0,,,,100.0,11.0,3.0,1.0,5.0,4.0,9.0,6.0,,,,1.0,6.0,3.0,1.0,1.0,2.0,5.0,4.0,,,,1.0,,,,0.0,,1.0,,0.0,,,,,,,
145542859,Lighar,auchindoun,15.0,5181.0,40.0,33.0,33.0,33.0,20.0,57.0,100.0,30.0,6.0,18.0,12.0,5.0,7.0,1.0,12.0,2.0,6.0,4.0,1.0,4.0,1.0,50.0,25.0,47.0,25.0,71.0,32.0,54.0,60.0,33.0,,55.0,16.0,8.0,19.0,4.0,21.0,25.0,24.0,5.0,3.0,,11.0,8.0,2.0,9.0,1.0,15.0,8.0,13.0,3.0,1.0,,6.0,,,,,,,,,,,,,,,
237280317,Интерпал,borean-tundra,35.0,14580.0,54.0,56.0,57.0,67.0,25.0,0.0,40.0,28.0,36.0,7.0,3.0,4.0,1.0,5.0,15.0,20.0,4.0,2.0,1.0,0.0,2.0,30.0,31.0,44.0,48.0,50.0,43.0,44.0,38.0,11.0,60.0,,27.0,29.0,25.0,23.0,18.0,7.0,18.0,8.0,9.0,5.0,,8.0,9.0,11.0,11.0,9.0,3.0,8.0,3.0,1.0,3.0,,100.0,1.0,1.0,,,,,,,,,,,,
153864983,Nrdx,ravencrest,18.0,72357.0,53.0,59.0,78.0,300.0,50.0,0.0,100.0,231.0,123.0,36.0,3.0,4.0,3.0,2.0,123.0,73.0,28.0,9.0,2.0,0.0,2.0,72.0,60.0,58.0,68.0,69.0,45.0,51.0,41.0,,0.0,,286.0,280.0,220.0,206.0,108.0,33.0,118.0,22.0,,2.0,,206.0,169.0,127.0,140.0,74.0,15.0,60.0,9.0,,0.0,,,,,,,,,,,,,,,,
94644508,Akenna,antonidas,21.0,3534.0,100.0,50.0,62.0,100.0,50.0,0.0,,2.0,4.0,8.0,3.0,2.0,1.0,,2.0,2.0,5.0,3.0,1.0,0.0,,68.0,0.0,0.0,50.0,71.0,67.0,20.0,33.0,,,100.0,22.0,4.0,2.0,4.0,7.0,6.0,5.0,3.0,,,2.0,15.0,0.0,0.0,2.0,5.0,4.0,1.0,1.0,,,2.0,100.0,76.0,76.0,,40.0,,5.0,,2.0,,,,,,
116738104,Borgindal,antonidas,47.0,397.0,50.0,50.0,,,,,,2.0,2.0,,,,,,1.0,1.0,,,,,,,,,,,,,,50.0,,,,,,,,,,,2.0,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,
