character.id,character.name,character.realm.slug,honor_level,honorable_kills,Classic Warsong Gulch win_rate,Twin Peaks win_rate,Rated Eye of the Storm win_rate,Temple of Kotmogu win_rate,Seething Shore win_rate,Korrak's Revenge win_rate,Deepwind Gorge win_rate,Classic Warsong Gulch played,Twin Peaks played,Rated Eye of the Storm played,Temple of Kotmogu played,Seething Shore played,Korrak's Revenge played,Deepwind Gorge played,Classic Warsong Gulch won,Twin Peaks won,Rated Eye of the Storm won,Temple of Kotmogu won,Seething Shore won,Korrak's Revenge won,Deepwind Gorge won,Alterac Valley win_rate,Classic Arathi Basin win_rate,Eye of the Storm win_rate,Strand of the Ancients win_rate,Isle of Conquest win_rate,Silvershard Mines win_rate,The Battle for Gilneas win_rate,Deepwind Gorge (Legacy) win_rate,Ashran win_rate,Arathi Basin Winter win_rate,Warsong Gulch win_rate,Arathi Basin win_rate,Battle for Wintergrasp win_rate,Arathi Basin Comp Stomp win_rate,Alterac Valley played,Classic Arathi Basin played,Eye of the Storm played,Strand of the Ancients played,Isle of Conquest played,Silvershard Mines played,The Battle for Gilneas played,Deepwind Gorge (Legacy) played,Ashran played,Arathi Basin Winter played,Warsong Gulch played,Arathi Basin played,Battle for Wintergrasp played,Arathi Basin Comp Stomp played,Alterac Valley won,Classic Arathi Basin won,Eye of the Storm won,Strand of the Ancients won,Isle of Conquest won,Silvershard Mines won,The Battle for Gilneas won,Deepwind Gorge (Legacy) won,Ashran won,Arathi Basin Winter won,Warsong Gulch won,Arathi Basin won,Battle for Wintergrasp won,Arathi Basin Comp Stomp won,Southshore vs. Tarren Mill win_rate,Cooking: Impossible win_rate,Southshore vs. Tarren Mill played,Cooking: Impossible played,Southshore vs. Tarren Mill won,Cooking: Impossible won
165593113,Gloòm,nemesis,25.0,3133.0,,67.0,,25.0,100.0,,33.0,,3.0,,4.0,2.0,,3.0,,2.0,,1.0,2.0,,1.0,100.0,,60.0,,67.0,67.0,80.0,20.0,,,80.0,50.0,25.0,100.0,4.0,,5.0,,3.0,3.0,5.0,5.0,,,5.0,2.0,4.0,48.0,4.0,,3.0,,2.0,2.0,4.0,1.0,,,4.0,1.0,1.0,48.0,,,,,,
185202259,Aritas,silvermoon,46.0,19864.0,52.0,36.0,,67.0,120.0,,100.0,60.0,28.0,,9.0,5.0,,2.0,31.0,10.0,,6.0,6.0,,2.0,68.0,47.0,48.0,55.0,53.0,62.0,63.0,50.0,,33.0,50.0,,60.0,,129.0,49.0,50.0,33.0,74.0,13.0,30.0,8.0,,3.0,2.0,,5.0,,88.0,23.0,24.0,18.0,39.0,8.0,19.0,4.0,,1.0,1.0,,3.0,,,,,,,
193772441,Madares,silvermoon,15.0,1545.0,,100.0,100.0,50.0,0.0,,25.0,,1.0,1.0,4.0,1.0,,4.0,,1.0,1.0,2.0,0.0,,1.0,0.0,,0.0,,50.0,50.0,50.0,,50.0,,100.0,0.0,100.0,,1.0,,1.0,,4.0,2.0,2.0,,2.0,,3.0,2.0,3.0,,0.0,,0.0,,2.0,1.0,1.0,,1.0,,3.0,0.0,3.0,,,,,,,
43507403,Naville,arakarahm,20.0,7719.0,70.0,87.0,,25.0,,,,40.0,15.0,,4.0,,,,28.0,13.0,,1.0,,,,38.0,42.0,55.0,44.0,36.0,50.0,75.0,67.0,,,,,,,13.0,12.0,22.0,16.0,14.0,4.0,16.0,6.0,,,,,,,5.0,5.0,12.0,7.0,5.0,2.0,12.0,4.0,,,,,,,,,,,,
110762455,Deenit,ravencrest,39.0,14249.0,41.0,55.0,,36.0,67.0,33.0,,17.0,11.0,,14.0,12.0,3.0,,7.0,6.0,,5.0,8.0,1.0,,67.0,62.0,61.0,0.0,40.0,19.0,50.0,50.0,0.0,,86.0,50.0,50.0,,6.0,13.0,18.0,3.0,5.0,16.0,12.0,10.0,1.0,,7.0,2.0,2.0,,4.0,8.0,11.0,0.0,2.0,3.0,6.0,5.0,0.0,,6.0,1.0,1.0,,,,,,,
67595897,Artstone,ravencrest,68.0,18914.0,64.0,47.0,4000.0,67.0,100.0,,,83.0,17.0,1.0,18.0,1.0,,,53.0,8.0,40.0,12.0,1.0,,,58.0,60.0,52.0,48.0,63.0,54.0,50.0,27.0,0.0,,100.0,100.0,50.0,,77.0,57.0,63.0,56.0,35.0,13.0,12.0,11.0,3.0,,1.0,1.0,2.0,,45.0,34.0,33.0,27.0,22.0,7.0,6.0,3.0,0.0,,1.0,1.0,1.0,,,,,,,
191894335,Belzac,grim-batol,54.0,3485.0,,50.0,,50.0,60.0,,0.0,,6.0,,4.0,5.0,,1.0,,3.0,,2.0,3.0,,0.0,30.0,,67.0,,50.0,100.0,50.0,,33.0,0.0,60.0,33.0,31.0,,10.0,,3.0,,6.0,4.0,4.0,,6.0,3.0,5.0,3.0,13.0,,3.0,,2.0,,3.0,4.0,2.0,,2.0,0.0,3.0,1.0,4.0,,,,,,,
199152184,Слипноумо,gordunni,16.0,1928.0,,67.0,,50.0,75.0,,33.0,,6.0,,2.0,8.0,,3.0,,4.0,,1.0,6.0,,1.0,50.0,,100.0,,,60.0,,,,,0.0,67.0,0.0,,2.0,,5.0,,,10.0,,,,,1.0,3.0,1.0,,1.0,,5.0,,,6.0,,,,,0.0,2.0,0.0,,,,,,,
194396987,Crael,hyjal,22.0,412.0,,100.0,0.0,100.0,100.0,,0.0,,1.0,1.0,1.0,1.0,,1.0,,1.0,0.0,1.0,1.0,,0.0,,,,,,100.0,50.0,,0.0,,,50.0,50.0,,,,,,,1.0,2.0,,1.0,,,2.0,2.0,,,,,,,1.0,1.0,,0.0,,,1.0,1.0,,,,,,,
191467363,Bkhawk,frostmane,56.0,8744.0,25.0,40.0,200.0,71.0,57.0,,75.0,4.0,5.0,1.0,7.0,7.0,,8.0,1.0,2.0,2.0,5.0,4.0,,6.0,33.0,29.0,50.0,43.0,46.0,43.0,58.0,100.0,75.0,,33.0,64.0,43.0,,12.0,14.0,12.0,7.0,13.0,7.0,12.0,1.0,4.0,,3.0,14.0,14.0,,4.0,4.0,6.0,3.0,6.0,3.0,7.0,1.0,3.0,,1.0,9.0,6.0,,,,,,,
118696238,Elektraa,burning-legion,39.0,29559.0,55.0,47.0,4600.0,58.0,62.0,,60.0,80.0,17.0,1.0,19.0,8.0,,5.0,44.0,8.0,46.0,11.0,5.0,,3.0,62.0,59.0,65.0,62.0,44.0,50.0,59.0,50.0,50.0,,0.0,86.0,100.0,,63.0,90.0,80.0,106.0,41.0,12.0,17.0,4.0,4.0,,3.0,7.0,2.0,,39.0,53.0,52.0,66.0,18.0,6.0,10.0,2.0,2.0,,0.0,6.0,2.0,,,,,,,
123519101,Lanceloth,draenor,13.0,1229.0,,25.0,,100.0,50.0,,33.0,,4.0,,2.0,4.0,,3.0,,1.0,,2.0,2.0,,1.0,,,67.0,,,100.0,75.0,,,,100.0,100.0,,,,,6.0,,,2.0,4.0,,,,2.0,2.0,,,,,4.0,,,2.0,3.0,,,,2.0,2.0,,,,,,,,
111683502,Rickastley,aggra-português,61.0,4661.0,0.0,62.0,,75.0,75.0,,60.0,1.0,8.0,,8.0,4.0,,5.0,0.0,5.0,,6.0,3.0,,3.0,50.0,,55.0,,73.0,50.0,75.0,,80.0,,50.0,57.0,38.0,,6.0,,11.0,,11.0,4.0,4.0,,5.0,,12.0,7.0,8.0,,3.0,,6.0,,8.0,2.0,3.0,,4.0,,6.0,4.0,3.0,,0.0,0.0,2.0,1.0,0.0,0.0
136676508,Tonínoo,dun-modr,22.0,6186.0,75.0,54.0,50.0,50.0,67.0,,70.0,8.0,13.0,2.0,20.0,12.0,,10.0,6.0,7.0,1.0,10.0,8.0,,7.0,67.0,50.0,56.0,0.0,33.0,57.0,33.0,67.0,100.0,,53.0,40.0,,,3.0,8.0,9.0,2.0,3.0,23.0,12.0,3.0,2.0,,15.0,15.0,,,2.0,4.0,5.0,0.0,1.0,13.0,4.0,2.0,2.0,,8.0,6.0,,,,,,,,
93539639,Emergency,aggra-português,7.0,2876.0,25.0,57.0,,100.0,0.0,,0.0,4.0,7.0,,3.0,1.0,,1.0,1.0,4.0,,3.0,0.0,,0.0,58.0,67.0,25.0,50.0,75.0,67.0,67.0,,100.0,,50.0,0.0,33.0,,19.0,3.0,4.0,4.0,4.0,3.0,6.0,,4.0,,4.0,1.0,3.0,,11.0,2.0,1.0,2.0,3.0,2.0,4.0,,4.0,,2.0,0.0,1.0,,,,,,,
166849639,Plude,defias-brotherhood,8.0,19.0,,,,,,,,,,,,,,,,,,,,,,100.0,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,
162999798,Iladonf,dalaran,16.0,161.0,,100.0,,,,,,,1.0,,,,,,,1.0,,,,,,,,,,50.0,,,,,,,,,,,,,,2.0,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,
156424854,Falixix,la-croisade-écarlate,43.0,27492.0,58.0,55.0,,22.0,,,0.0,62.0,40.0,,9.0,,,2.0,36.0,22.0,,2.0,,,0.0,55.0,70.0,62.0,57.0,50.0,33.0,50.0,0.0,60.0,,0.0,,,,22.0,56.0,26.0,42.0,6.0,6.0,42.0,1.0,5.0,,3.0,,,,12.0,39.0,16.0,24.0,3.0,2.0,21.0,0.0,3.0,,0.0,,,,,,,,,
192599651,Aalmae,silvermoon,7.0,180.0,,0.0,,0.0,100.0,0.0,,,1.0,,1.0,1.0,1.0,,,0.0,,0.0,1.0,0.0,,,,,,,100.0,0.0,,0.0,,,0.0,,,,,,,,1.0,1.0,,1.0,,,1.0,,,,,,,,1.0,0.0,,0.0,,,0.0,,,,,,,,
155879663,Honeymelon,antonidas,9.0,18426.0,54.0,17.0,,,,,,52.0,6.0,,,,,,28.0,1.0,,,,,,54.0,60.0,52.0,56.0,89.0,,62.0,,0.0,,0.0,,,,50.0,53.0,63.0,57.0,9.0,,8.0,,1.0,,1.0,,,,27.0,32.0,33.0,32.0,8.0,,5.0,,0.0,,0.0,,,,,,,,,
153584340,Shei,eitrigg,15.0,20062.0,42.0,50.0,,41.0,50.0,,67.0,132.0,30.0,,49.0,4.0,,3.0,56.0,15.0,,20.0,2.0,,2.0,65.0,47.0,55.0,48.0,71.0,62.0,44.0,56.0,50.0,,62.0,100.0,,,17.0,47.0,56.0,40.0,31.0,26.0,36.0,27.0,2.0,,16.0,3.0,,,11.0,22.0,31.0,19.0,22.0,16.0,16.0,15.0,1.0,,10.0,3.0,,,,,,,,
68093642,Osloth,blackmoore,130.0,55544.0,70.0,71.0,,61.0,64.0,29.0,40.0,257.0,162.0,,54.0,36.0,7.0,5.0,181.0,115.0,,33.0,23.0,2.0,2.0,53.0,57.0,59.0,45.0,44.0,63.0,66.0,67.0,62.0,67.0,86.0,75.0,60.0,,77.0,158.0,64.0,110.0,62.0,65.0,155.0,45.0,8.0,3.0,7.0,8.0,5.0,,41.0,90.0,38.0,49.0,27.0,41.0,102.0,30.0,5.0,2.0,6.0,6.0,3.0,,,,,,,
162618567,Camarlengo,zuljin,65.0,2297.0,,43.0,100.0,64.0,67.0,,0.0,,7.0,1.0,11.0,6.0,,1.0,,3.0,1.0,7.0,4.0,,0.0,33.0,,100.0,,50.0,50.0,50.0,,67.0,,67.0,67.0,33.0,,3.0,,1.0,,4.0,2.0,4.0,,3.0,,3.0,6.0,3.0,,1.0,,1.0,,2.0,1.0,2.0,,2.0,,2.0,4.0,1.0,,,,,,,
226283851,Doríáth,sylvanas,47.0,56222.0,67.0,43.0,,57.0,58.0,,44.0,6.0,21.0,,28.0,12.0,,18.0,4.0,9.0,,16.0,7.0,,8.0,38.0,43.0,39.0,46.0,58.0,59.0,45.0,43.0,,,40.0,50.0,31.0,,29.0,7.0,23.0,13.0,19.0,27.0,20.0,7.0,,,15.0,12.0,13.0,,11.0,3.0,9.0,6.0,11.0,16.0,9.0,3.0,,,6.0,6.0,4.0,,,,,,,
93656408,Kenshin,aggra-português,13.0,21501.0,65.0,65.0,,30.0,43.0,,100.0,74.0,26.0,,10.0,7.0,,2.0,48.0,17.0,,3.0,3.0,,2.0,73.0,67.0,57.0,53.0,61.0,50.0,44.0,0.0,,,0.0,40.0,75.0,,73.0,63.0,72.0,64.0,31.0,4.0,16.0,1.0,,,1.0,5.0,4.0,,53.0,42.0,41.0,34.0,19.0,2.0,7.0,0.0,,,0.0,2.0,3.0,,,,,,,
20670128,Messii,drakthul,34.0,40031.0,68.0,65.0,2067.0,38.0,69.0,80.0,67.0,156.0,26.0,3.0,21.0,13.0,5.0,6.0,106.0,17.0,62.0,8.0,9.0,4.0,4.0,66.0,66.0,67.0,65.0,62.0,86.0,86.0,83.0,,,70.0,67.0,67.0,,128.0,169.0,97.0,101.0,40.0,21.0,14.0,6.0,,,10.0,9.0,3.0,,84.0,112.0,65.0,66.0,25.0,18.0,12.0,5.0,,,7.0,6.0,2.0,,,,,,,
141487735,Varmkorv,grim-batol,7.0,3049.0,100.0,0.0,,0.0,50.0,,0.0,2.0,3.0,,1.0,4.0,,2.0,2.0,0.0,,0.0,2.0,,0.0,0.0,0.0,0.0,50.0,50.0,0.0,20.0,50.0,67.0,,,,0.0,,3.0,2.0,1.0,2.0,2.0,3.0,5.0,2.0,3.0,,,,1.0,,0.0,0.0,0.0,1.0,1.0,0.0,1.0,1.0,2.0,,,,0.0,,,,,,,
174509571,Kethmil,dun-modr,7.0,382.0,,,,,,,,,,,,,,,,,,,,,,33.0,,0.0,,100.0,,,,,,0.0,,100.0,,3.0,,1.0,,1.0,,,,,,1.0,,1.0,,1.0,,0.0,,1.0,,,,,,0.0,,1.0,,,,,,,
191101245,Spankntank,frostmane,4.0,112.0,,0.0,,,,,0.0,,1.0,,,,,1.0,,0.0,,,,,0.0,,,,,,0.0,,,,,0.0,,,,,,,,,1.0,,,,,1.0,,,,,,,,,0.0,,,,,0.0,,,,,,,,,
83756952,Skädi,ysondre,39.0,24289.0,55.0,40.0,,67.0,33.0,,,56.0,15.0,,9.0,3.0,,,31.0,6.0,,6.0,1.0,,,52.0,76.0,61.0,66.0,68.0,14.0,46.0,29.0,,,,,100.0,,25.0,45.0,46.0,38.0,22.0,7.0,13.0,7.0,,,,,2.0,,13.0,34.0,28.0,25.0,15.0,1.0,6.0,2.0,,,,,2.0,,,,,,,
94183192,Texy,aggra-português,51.0,7420.0,38.0,55.0,60.0,50.0,86.0,67.0,88.0,13.0,20.0,15.0,16.0,7.0,3.0,8.0,5.0,11.0,9.0,8.0,6.0,2.0,7.0,23.0,52.0,64.0,58.0,58.0,60.0,33.0,29.0,100.0,,56.0,73.0,,,26.0,21.0,22.0,12.0,12.0,15.0,9.0,7.0,1.0,,9.0,11.0,,,6.0,11.0,14.0,7.0,7.0,9.0,3.0,2.0,1.0,,5.0,8.0,,,,,,,,
93540704,Ddr,aggra-português,24.0,10472.0,75.0,62.0,,50.0,57.0,86.0,50.0,12.0,8.0,,6.0,7.0,7.0,4.0,9.0,5.0,,3.0,4.0,6.0,2.0,49.0,62.0,64.0,50.0,33.0,75.0,71.0,100.0,80.0,,60.0,71.0,71.0,,37.0,13.0,11.0,4.0,12.0,16.0,7.0,1.0,5.0,,5.0,7.0,7.0,,18.0,8.0,7.0,2.0,4.0,12.0,5.0,1.0,4.0,,3.0,5.0,5.0,,,,,,,
96588077,Sajku,tarren-mill,50.0,12804.0,51.0,43.0,,60.0,0.0,,100.0,59.0,21.0,,10.0,2.0,,2.0,30.0,9.0,,6.0,0.0,,2.0,38.0,63.0,73.0,52.0,28.0,25.0,25.0,33.0,67.0,,50.0,100.0,,,64.0,60.0,37.0,31.0,18.0,20.0,32.0,9.0,3.0,,2.0,1.0,,,24.0,38.0,27.0,16.0,5.0,5.0,8.0,3.0,2.0,,1.0,1.0,,,,,,,,
142917356,Ariyon,blackmoore,2.0,230.0,,100.0,,,0.0,,,,1.0,,,1.0,,,,1.0,,,0.0,,,,,100.0,,,,50.0,,,,,50.0,,,,,1.0,,,,2.0,,,,,2.0,,,,,1.0,,,,1.0,,,,,1.0,,,,,,,,
156067386,Boldaro,arathor,26.0,1501.0,33.0,0.0,,40.0,200.0,,,3.0,2.0,,5.0,1.0,,,1.0,0.0,,2.0,2.0,,,60.0,100.0,67.0,0.0,0.0,,33.0,33.0,,100.0,0.0,,,,5.0,1.0,6.0,1.0,1.0,,3.0,3.0,,1.0,1.0,,,,3.0,1.0,4.0,0.0,0.0,,1.0,1.0,,1.0,0.0,,,,,,,,,
237280317,Интерпал,borean-tundra,35.0,14580.0,30.0,50.0,,57.0,67.0,,,27.0,18.0,,7.0,3.0,,,8.0,9.0,,4.0,2.0,,,54.0,31.0,44.0,48.0,56.0,43.0,44.0,38.0,11.0,60.0,25.0,0.0,40.0,100.0,28.0,29.0,25.0,23.0,36.0,7.0,18.0,8.0,9.0,5.0,4.0,1.0,5.0,1.0,15.0,9.0,11.0,11.0,20.0,3.0,8.0,3.0,1.0,3.0,1.0,0.0,2.0,1.0,,,,,,
161758922,Candus,draenor,5.0,24480.0,50.0,100.0,,100.0,0.0,100.0,,8.0,2.0,,1.0,1.0,1.0,,4.0,2.0,,1.0,0.0,1.0,,25.0,60.0,40.0,83.0,25.0,67.0,67.0,100.0,,,100.0,,100.0,,20.0,10.0,10.0,6.0,4.0,3.0,3.0,2.0,,,1.0,,1.0,,5.0,6.0,4.0,5.0,1.0,2.0,2.0,2.0,,,1.0,,1.0,,,,,,,
193091808,Thaladriana,aegwynn,17.0,8020.0,75.0,53.0,50.0,80.0,87.0,50.0,36.0,4.0,17.0,4.0,15.0,15.0,8.0,14.0,3.0,9.0,2.0,12.0,13.0,4.0,5.0,44.0,0.0,44.0,12.0,67.0,50.0,59.0,57.0,33.0,,53.0,43.0,100.0,,9.0,1.0,9.0,8.0,9.0,26.0,22.0,7.0,6.0,,15.0,7.0,2.0,,4.0,0.0,4.0,1.0,6.0,13.0,13.0,4.0,2.0,,8.0,3.0,2.0,,,,,,,
107271066,Twardziejszy,ravencrest,5.0,872.0,,33.0,0.0,100.0,50.0,100.0,100.0,,3.0,1.0,2.0,2.0,1.0,1.0,,1.0,0.0,2.0,1.0,1.0,1.0,100.0,,0.0,,100.0,0.0,100.0,,,,100.0,100.0,50.0,,1.0,,1.0,,1.0,1.0,1.0,,,,1.0,1.0,4.0,,1.0,,0.0,,1.0,0.0,1.0,,,,1.0,1.0,2.0,,,,,,,
161940989,Ramegrag,dun-modr,68.0,28829.0,33.0,72.0,75.0,74.0,62.0,29.0,67.0,6.0,60.0,12.0,93.0,48.0,7.0,57.0,2.0,43.0,9.0,69.0,30.0,2.0,38.0,41.0,100.0,72.0,,40.0,69.0,46.0,0.0,53.0,25.0,70.0,72.0,30.0,,37.0,1.0,47.0,,30.0,59.0,54.0,1.0,17.0,4.0,47.0,54.0,33.0,,15.0,1.0,34.0,,12.0,41.0,25.0,0.0,9.0,1.0,33.0,39.0,10.0,,,,,,,
188413191,Oiklos,aggra-português,9.0,1488.0,,100.0,,,100.0,71.0,,,1.0,,,1.0,7.0,,,1.0,,,1.0,5.0,,,,,,,100.0,50.0,,,,,100.0,0.0,,,,,,,1.0,2.0,,,,,2.0,1.0,,,,,,,1.0,1.0,,,,,2.0,0.0,,,,,,,
107731910,Combatwombat,frostwolf,8.0,1334.0,,100.0,,,0.0,,100.0,,3.0,,,2.0,,1.0,,3.0,,,0.0,,1.0,50.0,,,,75.0,33.0,67.0,,,,67.0,0.0,100.0,,2.0,,,,4.0,3.0,3.0,,,,3.0,1.0,2.0,,1.0,,,,3.0,1.0,2.0,,,,2.0,0.0,2.0,,,,,,,
173219133,Jàzmin,silvermoon,33.0,3386.0,,50.0,,83.0,50.0,,50.0,,2.0,,6.0,4.0,,2.0,,1.0,,5.0,2.0,,1.0,67.0,,14.0,,67.0,33.0,50.0,0.0,,,50.0,75.0,100.0,,6.0,,7.0,,3.0,3.0,2.0,1.0,,,6.0,4.0,1.0,,4.0,,1.0,,2.0,1.0,1.0,0.0,,,3.0,3.0,1.0,,,,,,,
158992537,Paläca,dun-modr,22.0,1436.0,100.0,100.0,,,,,,1.0,2.0,,,,,,1.0,2.0,,,,,,,33.0,67.0,0.0,,,,,,,,,,,,3.0,3.0,2.0,,,,,,,,,,,,1.0,2.0,0.0,,,,,,,,,,,,,,,,
171439082,Grippingcnt,kazzak,54.0,1134.0,100.0,67.0,100.0,100.0,80.0,,100.0,1.0,6.0,2.0,4.0,5.0,,1.0,1.0,4.0,2.0,4.0,4.0,,1.0,100.0,50.0,0.0,,,33.0,100.0,0.0,,,33.0,50.0,,,1.0,2.0,1.0,,,3.0,9.0,1.0,,,6.0,6.0,,,1.0,1.0,0.0,,,1.0,9.0,0.0,,,2.0,3.0,,,,,,,,
136242937,Estarossà,twisting-nether,41.0,27389.0,68.0,57.0,,64.0,67.0,,83.0,47.0,23.0,,33.0,18.0,,6.0,32.0,13.0,,21.0,12.0,,5.0,57.0,58.0,67.0,59.0,50.0,67.0,82.0,65.0,,,70.0,67.0,100.0,,81.0,36.0,42.0,22.0,16.0,33.0,38.0,26.0,,,10.0,15.0,1.0,,46.0,21.0,28.0,13.0,8.0,22.0,31.0,17.0,,,7.0,10.0,1.0,,,,,,,
145191273,Парломис,howling-fjord,26.0,6164.0,67.0,88.0,,67.0,67.0,,67.0,3.0,8.0,,12.0,9.0,,3.0,2.0,7.0,,8.0,6.0,,2.0,100.0,50.0,100.0,,67.0,69.0,100.0,50.0,50.0,,50.0,0.0,50.0,,2.0,4.0,2.0,,3.0,13.0,5.0,2.0,2.0,,2.0,2.0,2.0,,2.0,2.0,2.0,,2.0,9.0,5.0,1.0,1.0,,1.0,0.0,1.0,,,,,,,
