character.id,character.name,character.realm.slug,honor_level,honorable_kills,Alterac Valley win_rate,Eye of the Storm win_rate,Isle of Conquest win_rate,Twin Peaks win_rate,Silvershard Mines win_rate,The Battle for Gilneas win_rate,Rated Eye of the Storm win_rate,Temple of Kotmogu win_rate,Seething Shore win_rate,Warsong Gulch win_rate,Arathi Basin win_rate,Battle for Wintergrasp win_rate,Deepwind Gorge win_rate,Alterac Valley played,Eye of the Storm played,Isle of Conquest played,Twin Peaks played,Silvershard Mines played,The Battle for Gilneas played,Rated Eye of the Storm played,Temple of Kotmogu played,Seething Shore played,Warsong Gulch played,Arathi Basin played,Battle for Wintergrasp played,Deepwind Gorge played,Alterac Valley won,Eye of the Storm won,Isle of Conquest won,Twin Peaks won,Silvershard Mines won,The Battle for Gilneas won,Rated Eye of the Storm won,Temple of Kotmogu won,Seething Shore won,Warsong Gulch won,Arathi Basin won,Battle for Wintergrasp won,Deepwind Gorge won,Classic Warsong Gulch win_rate,Classic Arathi Basin win_rate,Strand of the Ancients win_rate,Deepwind Gorge (Legacy) win_rate,Ashran win_rate,Classic Warsong Gulch played,Classic Arathi Basin played,Strand of the Ancients played,Deepwind Gorge (Legacy) played,Ashran played,Classic Warsong Gulch won,Classic Arathi Basin won,Strand of the Ancients won,Deepwind Gorge (Legacy) won,Ashran won,Korrak's Revenge win_rate,Korrak's Revenge played,Korrak's Revenge won,Arathi Basin Comp Stomp win_rate,Arathi Basin Comp Stomp played,Arathi Basin Comp Stomp won,Arathi Basin Winter win_rate,Arathi Basin Winter played,Arathi Basin Winter won,Cooking: Impossible win_rate,Cooking: Impossible played,Cooking: Impossible won
64791081,Ревирант,gordunni,57.0,7346.0,50.0,38.0,0.0,50.0,29.0,56.0,,72.0,50.0,59.0,86.0,0.0,33.0,2.0,13.0,1.0,14.0,31.0,16.0,,18.0,8.0,17.0,7.0,2.0,6.0,1.0,5.0,0.0,7.0,9.0,9.0,,13.0,4.0,10.0,6.0,0.0,2.0,45.0,100.0,71.0,33.0,100.0,22.0,1.0,7.0,3.0,1.0,10.0,1.0,5.0,1.0,1.0,,,,100.0,5.0,5.0,38.0,8.0,3.0,,,
148814723,Bohen,blackmoore,39.0,9053.0,32.0,33.0,25.0,40.0,50.0,60.0,200.0,0.0,56.0,40.0,67.0,75.0,100.0,22.0,3.0,4.0,10.0,6.0,5.0,1.0,4.0,9.0,5.0,3.0,8.0,3.0,7.0,1.0,1.0,4.0,3.0,3.0,2.0,0.0,5.0,2.0,2.0,6.0,3.0,50.0,0.0,0.0,50.0,50.0,2.0,1.0,1.0,2.0,2.0,1.0,0.0,0.0,1.0,1.0,,,,100.0,2.0,2.0,,,,,,
176474438,Vìzzer,burning-legion,55.0,2516.0,0.0,33.0,,43.0,33.0,50.0,,55.0,100.0,78.0,57.0,,62.0,1.0,9.0,,7.0,9.0,10.0,,11.0,5.0,9.0,14.0,,8.0,0.0,3.0,,3.0,3.0,5.0,,6.0,5.0,7.0,8.0,,5.0,100.0,100.0,,60.0,100.0,2.0,1.0,,5.0,1.0,2.0,1.0,,3.0,1.0,,,,,,,,,,,,
68093642,Osloth,blackmoore,130.0,55544.0,53.0,59.0,44.0,71.0,63.0,66.0,,61.0,64.0,86.0,75.0,60.0,40.0,77.0,64.0,62.0,162.0,65.0,155.0,,54.0,36.0,7.0,8.0,5.0,5.0,41.0,38.0,27.0,115.0,41.0,102.0,,33.0,23.0,6.0,6.0,3.0,2.0,70.0,57.0,45.0,67.0,62.0,257.0,158.0,110.0,45.0,8.0,181.0,90.0,49.0,30.0,5.0,29.0,7.0,2.0,,,,67.0,3.0,2.0,,,
191894188,Panzarjohnny,kazzak,44.0,787.0,0.0,,40.0,33.0,100.0,,,100.0,,40.0,0.0,,0.0,1.0,,5.0,3.0,1.0,,,3.0,,5.0,1.0,,1.0,0.0,,2.0,1.0,1.0,,,3.0,,2.0,0.0,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
126430141,Manodin,blackrock,31.0,3153.0,43.0,100.0,48.0,50.0,100.0,25.0,,64.0,,100.0,,,,7.0,2.0,23.0,6.0,5.0,4.0,,11.0,,1.0,,,,3.0,2.0,11.0,3.0,5.0,1.0,,7.0,,1.0,,,,67.0,50.0,100.0,80.0,,3.0,2.0,2.0,5.0,,2.0,1.0,2.0,4.0,,,,,100.0,1.0,1.0,,,,,,
226274304,Valithria,sylvanas,58.0,7799.0,56.0,62.0,71.0,50.0,33.0,80.0,75.0,73.0,100.0,80.0,62.0,29.0,,9.0,8.0,7.0,2.0,6.0,5.0,4.0,11.0,2.0,10.0,8.0,7.0,,5.0,5.0,5.0,1.0,2.0,4.0,3.0,8.0,2.0,8.0,5.0,2.0,,33.0,33.0,100.0,50.0,,3.0,3.0,1.0,8.0,,1.0,1.0,1.0,4.0,,0.0,2.0,0.0,100.0,51.0,51.0,,,,,,
144130261,Postedeguill,dalaran,37.0,12301.0,62.0,59.0,57.0,27.0,50.0,53.0,,56.0,100.0,29.0,100.0,60.0,,24.0,27.0,7.0,11.0,16.0,15.0,,9.0,10.0,7.0,1.0,5.0,,15.0,16.0,4.0,3.0,8.0,8.0,,5.0,10.0,2.0,1.0,3.0,,50.0,46.0,67.0,60.0,0.0,40.0,26.0,12.0,5.0,2.0,20.0,12.0,8.0,3.0,0.0,,,,100.0,2.0,2.0,0.0,3.0,0.0,,,
100462881,Gibari,eredar,239.0,46771.0,72.0,67.0,66.0,65.0,49.0,73.0,1650.0,79.0,75.0,50.0,38.0,67.0,50.0,43.0,49.0,41.0,37.0,35.0,45.0,2.0,43.0,12.0,6.0,8.0,9.0,8.0,31.0,33.0,27.0,24.0,17.0,33.0,33.0,34.0,9.0,3.0,3.0,6.0,4.0,71.0,68.0,60.0,56.0,80.0,42.0,38.0,20.0,9.0,5.0,30.0,26.0,12.0,5.0,4.0,,,,100.0,44.0,44.0,,,,,,
175857019,Tindertank,twisting-nether,21.0,242.0,,,,0.0,0.0,100.0,,100.0,75.0,0.0,,,50.0,,,,1.0,1.0,1.0,,1.0,4.0,1.0,,,2.0,,,,0.0,0.0,1.0,,1.0,3.0,0.0,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
180191286,Альтошка,gordunni,17.0,3076.0,75.0,67.0,0.0,25.0,43.0,67.0,,25.0,71.0,100.0,0.0,50.0,33.0,4.0,3.0,1.0,4.0,7.0,6.0,,4.0,7.0,1.0,2.0,2.0,3.0,3.0,2.0,0.0,1.0,3.0,4.0,,1.0,5.0,1.0,0.0,1.0,1.0,33.0,,,0.0,100.0,6.0,,,1.0,2.0,2.0,,,0.0,2.0,,,,,,,,,,,,
175158446,Strunfy,twisting-nether,11.0,900.0,0.0,,67.0,100.0,,,0.0,67.0,100.0,100.0,,25.0,0.0,1.0,,3.0,1.0,,,1.0,3.0,1.0,1.0,,4.0,1.0,0.0,,2.0,1.0,,,0.0,2.0,1.0,1.0,,1.0,0.0,,,,,100.0,,,,,1.0,,,,,1.0,,,,,,,,,,,,
109188977,Méf,ravencrest,50.0,6375.0,72.0,57.0,25.0,52.0,59.0,46.0,250.0,77.0,71.0,75.0,50.0,0.0,25.0,29.0,7.0,4.0,23.0,32.0,28.0,2.0,13.0,7.0,4.0,2.0,1.0,4.0,21.0,4.0,1.0,12.0,19.0,13.0,5.0,10.0,5.0,3.0,1.0,0.0,1.0,33.0,65.0,67.0,56.0,33.0,21.0,17.0,9.0,18.0,3.0,7.0,11.0,6.0,10.0,1.0,0.0,1.0,0.0,,,,,,,,,
67595897,Artstone,ravencrest,68.0,18914.0,58.0,52.0,63.0,47.0,54.0,50.0,4000.0,67.0,100.0,100.0,100.0,50.0,,77.0,63.0,35.0,17.0,13.0,12.0,1.0,18.0,1.0,1.0,1.0,2.0,,45.0,33.0,22.0,8.0,7.0,6.0,40.0,12.0,1.0,1.0,1.0,1.0,,64.0,60.0,48.0,27.0,0.0,83.0,57.0,56.0,11.0,3.0,53.0,34.0,27.0,3.0,0.0,,,,,,,,,,,,
124180279,Bopcorn,draenor,47.0,1746.0,100.0,75.0,67.0,100.0,0.0,100.0,,100.0,67.0,33.0,100.0,,100.0,1.0,8.0,3.0,2.0,1.0,4.0,,3.0,3.0,3.0,1.0,,2.0,1.0,6.0,2.0,2.0,0.0,4.0,,3.0,2.0,1.0,1.0,,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
110762455,Deenit,ravencrest,39.0,14249.0,67.0,61.0,40.0,55.0,19.0,50.0,,36.0,67.0,86.0,50.0,50.0,,6.0,18.0,5.0,11.0,16.0,12.0,,14.0,12.0,7.0,2.0,2.0,,4.0,11.0,2.0,6.0,3.0,6.0,,5.0,8.0,6.0,1.0,1.0,,41.0,62.0,0.0,50.0,0.0,17.0,13.0,3.0,10.0,1.0,7.0,8.0,0.0,5.0,0.0,33.0,3.0,1.0,,,,,,,,,
194396987,Crael,hyjal,22.0,412.0,,,,100.0,100.0,50.0,0.0,100.0,100.0,,50.0,50.0,0.0,,,,1.0,1.0,2.0,1.0,1.0,1.0,,2.0,2.0,1.0,,,,1.0,1.0,1.0,0.0,1.0,1.0,,1.0,1.0,0.0,,,,,0.0,,,,,1.0,,,,,0.0,,,,,,,,,,,,
101228281,Reava,alleria,76.0,11264.0,58.0,62.0,70.0,65.0,76.0,52.0,75.0,53.0,39.0,43.0,20.0,60.0,50.0,31.0,26.0,20.0,34.0,33.0,27.0,4.0,32.0,18.0,21.0,10.0,5.0,6.0,18.0,16.0,14.0,22.0,25.0,14.0,3.0,17.0,7.0,9.0,2.0,3.0,3.0,40.0,80.0,68.0,62.0,33.0,10.0,15.0,19.0,8.0,3.0,4.0,12.0,13.0,5.0,1.0,,,,100.0,2.0,2.0,,,,,,
110447787,Ayyah,stormscale,4.0,466.0,,,,100.0,100.0,,,,,50.0,100.0,,,,,,1.0,1.0,,,,,2.0,1.0,,,,,,1.0,1.0,,,,,1.0,1.0,,,0.0,,,,,1.0,,,,,0.0,,,,,,,,,,,,,,,,
147116888,Ксеноо,howling-fjord,11.0,3045.0,100.0,,100.0,100.0,,0.0,100.0,50.0,0.0,,,,50.0,1.0,,1.0,1.0,,1.0,1.0,2.0,1.0,,,,2.0,1.0,,1.0,1.0,,0.0,1.0,1.0,0.0,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
154220855,Eliasér,zuljin,51.0,53942.0,53.0,54.0,45.0,57.0,61.0,58.0,7000.0,42.0,57.0,100.0,67.0,75.0,50.0,68.0,122.0,38.0,106.0,49.0,91.0,1.0,43.0,7.0,2.0,3.0,4.0,4.0,36.0,66.0,17.0,60.0,30.0,53.0,70.0,18.0,4.0,2.0,2.0,3.0,2.0,64.0,59.0,57.0,39.0,100.0,223.0,176.0,136.0,28.0,1.0,143.0,103.0,77.0,11.0,1.0,60.0,5.0,3.0,,,,,,,,,
139653617,Bolívar,magtheridon,25.0,10775.0,29.0,67.0,60.0,74.0,55.0,74.0,,45.0,76.0,50.0,65.0,50.0,74.0,7.0,18.0,5.0,27.0,20.0,19.0,,22.0,17.0,20.0,17.0,4.0,19.0,2.0,12.0,3.0,20.0,11.0,14.0,,10.0,13.0,10.0,11.0,2.0,14.0,56.0,100.0,0.0,56.0,75.0,9.0,1.0,1.0,9.0,4.0,5.0,1.0,0.0,5.0,3.0,50.0,2.0,1.0,100.0,2.0,2.0,50.0,2.0,1.0,100.0,1.0,1.0
174684151,Валестрад,howling-fjord,8.0,1305.0,100.0,100.0,100.0,,,,,100.0,0.0,,,100.0,,2.0,1.0,1.0,,,,,1.0,3.0,,,1.0,,2.0,1.0,1.0,,,,,1.0,0.0,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
136938662,Komaster,todeswache,6.0,4186.0,50.0,60.0,100.0,100.0,40.0,100.0,,50.0,100.0,0.0,,100.0,0.0,8.0,5.0,5.0,1.0,5.0,1.0,,2.0,1.0,1.0,,1.0,2.0,4.0,3.0,5.0,1.0,2.0,1.0,,1.0,1.0,0.0,,1.0,0.0,49.0,11.0,,,50.0,35.0,9.0,,,2.0,17.0,1.0,,,1.0,,,,,,,100.0,1.0,1.0,,,
153197999,Gordain,malfurion,17.0,4505.0,38.0,50.0,86.0,38.0,50.0,33.0,,50.0,50.0,40.0,75.0,33.0,0.0,8.0,6.0,7.0,8.0,8.0,3.0,,4.0,4.0,5.0,4.0,9.0,2.0,3.0,3.0,6.0,3.0,4.0,1.0,,2.0,2.0,2.0,3.0,3.0,0.0,,,,50.0,67.0,,,,2.0,6.0,,,,1.0,4.0,0.0,4.0,0.0,100.0,2.0,2.0,100.0,1.0,1.0,,,
166734171,Zelaeya,blackmoore,14.0,32.0,,,,,,,,100.0,,,,,,,,,,,,,1.0,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
73171677,Zanifia,eredar,40.0,167.0,,,,,,100.0,,,,0.0,,100.0,,,,,,,1.0,,,,1.0,,1.0,,,,,,,1.0,,,,0.0,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
94673446,Megnar,twisting-nether,176.0,24028.0,24.0,57.0,7.0,54.0,53.0,60.0,81.0,61.0,860.0,50.0,50.0,50.0,43.0,29.0,42.0,14.0,100.0,95.0,97.0,16.0,107.0,5.0,4.0,4.0,6.0,7.0,7.0,24.0,1.0,54.0,50.0,58.0,13.0,65.0,43.0,2.0,2.0,3.0,3.0,59.0,55.0,48.0,67.0,33.0,103.0,64.0,25.0,45.0,3.0,61.0,35.0,12.0,30.0,1.0,,,,,,,,,,,,
161929914,Gassen,draenor,31.0,12381.0,39.0,64.0,60.0,45.0,76.0,56.0,,69.0,29.0,75.0,67.0,100.0,80.0,28.0,22.0,10.0,11.0,17.0,18.0,,16.0,7.0,4.0,6.0,1.0,5.0,11.0,14.0,6.0,5.0,13.0,10.0,,11.0,2.0,3.0,4.0,1.0,4.0,47.0,43.0,33.0,56.0,,30.0,23.0,12.0,9.0,,14.0,10.0,4.0,5.0,,0.0,1.0,0.0,,,,,,,,,
115287737,Look,throkferoth,87.0,3041.0,50.0,57.0,,50.0,58.0,50.0,,67.0,67.0,50.0,50.0,33.0,20.0,2.0,7.0,,8.0,12.0,10.0,,9.0,12.0,4.0,4.0,3.0,5.0,1.0,4.0,,4.0,7.0,5.0,,6.0,8.0,2.0,2.0,1.0,1.0,,,,50.0,,,,,2.0,,,,,1.0,,,,,,,,,,,,,
120178573,Propalli,draenor,7.0,9142.0,57.0,57.0,31.0,67.0,100.0,50.0,,100.0,,,,,,42.0,46.0,13.0,9.0,1.0,12.0,,1.0,,,,,,24.0,26.0,4.0,6.0,1.0,6.0,,1.0,,,,,,56.0,57.0,54.0,100.0,,34.0,30.0,26.0,1.0,,19.0,17.0,14.0,1.0,,,,,,,,,,,,,
164644939,Valourholy,bronzebeard,14.0,417.0,,0.0,,0.0,0.0,,100.0,,67.0,100.0,100.0,,,,2.0,,1.0,1.0,,1.0,,3.0,2.0,1.0,,,,0.0,,0.0,0.0,,1.0,,2.0,2.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
163525967,Bughydin,draenor,25.0,6728.0,33.0,65.0,36.0,54.0,71.0,70.0,,75.0,65.0,42.0,73.0,100.0,,3.0,17.0,11.0,13.0,14.0,10.0,,16.0,17.0,12.0,15.0,5.0,,1.0,11.0,4.0,7.0,10.0,7.0,,12.0,11.0,5.0,11.0,5.0,,38.0,67.0,,50.0,100.0,8.0,6.0,,4.0,2.0,3.0,4.0,,2.0,2.0,,,,100.0,15.0,15.0,100.0,2.0,2.0,,,
30076378,Jodilyn,outland,66.0,7840.0,59.0,45.0,82.0,100.0,25.0,67.0,,83.0,88.0,33.0,,100.0,,22.0,11.0,17.0,2.0,4.0,3.0,,6.0,8.0,3.0,,1.0,,13.0,5.0,14.0,2.0,1.0,2.0,,5.0,7.0,1.0,,1.0,,40.0,56.0,0.0,50.0,,10.0,9.0,2.0,2.0,,4.0,5.0,0.0,1.0,,,,,,,,,,,,,
191467363,Bkhawk,frostmane,56.0,8744.0,33.0,50.0,46.0,40.0,43.0,58.0,200.0,71.0,57.0,33.0,64.0,43.0,75.0,12.0,12.0,13.0,5.0,7.0,12.0,1.0,7.0,7.0,3.0,14.0,14.0,8.0,4.0,6.0,6.0,2.0,3.0,7.0,2.0,5.0,4.0,1.0,9.0,6.0,6.0,25.0,29.0,43.0,100.0,75.0,4.0,14.0,7.0,1.0,4.0,1.0,4.0,3.0,1.0,3.0,,,,,,,,,,,,
178142124,Десперайт,gordunni,39.0,808.0,,,100.0,,,,,,,,0.0,,,,,1.0,,,,,,,,1.0,,,,,1.0,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
173771360,Avenger,archimonde,35.0,53336.0,67.0,51.0,58.0,62.0,60.0,44.0,,70.0,100.0,33.0,50.0,0.0,80.0,36.0,89.0,24.0,24.0,20.0,32.0,,23.0,2.0,3.0,4.0,1.0,5.0,24.0,45.0,14.0,15.0,12.0,14.0,,16.0,2.0,1.0,2.0,0.0,4.0,52.0,46.0,48.0,47.0,100.0,69.0,69.0,102.0,17.0,1.0,36.0,32.0,49.0,8.0,1.0,89.0,9.0,8.0,,,,,,,,,
154538607,Angeloladin,blackrock,137.0,2624.0,67.0,67.0,50.0,83.0,86.0,67.0,,33.0,43.0,88.0,100.0,100.0,20.0,6.0,3.0,2.0,6.0,7.0,6.0,,12.0,7.0,8.0,1.0,3.0,5.0,4.0,2.0,1.0,5.0,6.0,4.0,,4.0,3.0,7.0,1.0,3.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
141742711,Galdil,burning-legion,12.0,2634.0,0.0,0.0,33.0,0.0,67.0,0.0,100.0,100.0,67.0,100.0,50.0,50.0,0.0,2.0,1.0,3.0,1.0,3.0,1.0,1.0,2.0,3.0,1.0,2.0,6.0,1.0,0.0,0.0,1.0,0.0,2.0,0.0,1.0,2.0,2.0,1.0,1.0,3.0,0.0,,,,,0.0,,,,,1.0,,,,,0.0,33.0,3.0,1.0,,,,,,,,,
175810099,Paloushe,dalaran,9.0,2176.0,67.0,100.0,56.0,100.0,,0.0,,0.0,40.0,100.0,50.0,40.0,0.0,6.0,1.0,9.0,2.0,,2.0,,3.0,5.0,2.0,2.0,5.0,2.0,4.0,1.0,5.0,2.0,,0.0,,0.0,2.0,2.0,1.0,2.0,0.0,,,,,57.0,,,,,7.0,,,,,4.0,,,,,,,,,,,,
156893719,Vuduuh,zuljin,105.0,255.0,,100.0,,,,100.0,,0.0,,,,0.0,,,2.0,,,,1.0,,1.0,,,,1.0,,,2.0,,,,1.0,,0.0,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,100.0,1.0,1.0,,,
185122145,Кромвар,gordunni,79.0,11551.0,50.0,77.0,50.0,57.0,72.0,42.0,,56.0,55.0,53.0,71.0,0.0,100.0,10.0,13.0,6.0,21.0,18.0,24.0,,16.0,11.0,15.0,7.0,3.0,5.0,5.0,10.0,3.0,12.0,13.0,10.0,,9.0,6.0,8.0,5.0,0.0,5.0,29.0,33.0,80.0,83.0,100.0,7.0,6.0,5.0,6.0,2.0,2.0,2.0,4.0,5.0,2.0,,,,,,,,,,,,
185202259,Aritas,silvermoon,46.0,19864.0,68.0,48.0,53.0,36.0,62.0,63.0,,67.0,120.0,50.0,,60.0,100.0,129.0,50.0,74.0,28.0,13.0,30.0,,9.0,5.0,2.0,,5.0,2.0,88.0,24.0,39.0,10.0,8.0,19.0,,6.0,6.0,1.0,,3.0,2.0,52.0,47.0,55.0,50.0,,60.0,49.0,33.0,8.0,,31.0,23.0,18.0,4.0,,,,,,,,33.0,3.0,1.0,,,
69296778,Wtsfood,stormscale,12.0,17680.0,43.0,55.0,64.0,43.0,,88.0,,100.0,,,,25.0,,134.0,85.0,39.0,7.0,,8.0,,2.0,,,,4.0,,58.0,47.0,25.0,3.0,,7.0,,2.0,,,,1.0,,62.0,52.0,46.0,0.0,100.0,97.0,77.0,83.0,1.0,2.0,60.0,40.0,38.0,0.0,2.0,,,,,,,,,,,,
