character.id,character.name,character.realm.slug,honor_level,honorable_kills,Alterac Valley win_rate,Classic Warsong Gulch win_rate,Classic Arathi Basin win_rate,Eye of the Storm win_rate,Strand of the Ancients win_rate,Isle of Conquest win_rate,Twin Peaks win_rate,Silvershard Mines win_rate,The Battle for Gilneas win_rate,Temple of Kotmogu win_rate,Deepwind Gorge (Legacy) win_rate,Seething Shore win_rate,Warsong Gulch win_rate,Arathi Basin win_rate,Battle for Wintergrasp win_rate,Arathi Basin Comp Stomp win_rate,Korrak's Revenge win_rate,Deepwind Gorge win_rate,Alterac Valley played,Classic Warsong Gulch played,Classic Arathi Basin played,Eye of the Storm played,Strand of the Ancients played,Isle of Conquest played,Twin Peaks played,Silvershard Mines played,The Battle for Gilneas played,Temple of Kotmogu played,Deepwind Gorge (Legacy) played,Seething Shore played,Warsong Gulch played,Arathi Basin played,Battle for Wintergrasp played,Arathi Basin Comp Stomp played,Korrak's Revenge played,Deepwind Gorge played,Alterac Valley won,Classic Warsong Gulch won,Classic Arathi Basin won,Eye of the Storm won,Strand of the Ancients won,Isle of Conquest won,Twin Peaks won,Silvershard Mines won,The Battle for Gilneas won,Temple of Kotmogu won,Deepwind Gorge (Legacy) won,Seething Shore won,Warsong Gulch won,Arathi Basin won,Battle for Wintergrasp won,Arathi Basin Comp Stomp won,Korrak's Revenge won,Deepwind Gorge won,Rated Eye of the Storm win_rate,Ashran win_rate,Arathi Basin Winter win_rate,Rated Eye of the Storm played,Ashran played,Arathi Basin Winter played,Rated Eye of the Storm won,Ashran won,Arathi Basin Winter won,Cooking: Impossible win_rate,Cooking: Impossible played,Cooking: Impossible won,Southshore vs. Tarren Mill win_rate,Southshore vs. Tarren Mill played,Southshore vs. Tarren Mill won
164020040,Izary,dalaran,12.0,1396.0,50.0,100.0,,100.0,100.0,0.0,0.0,33.0,25.0,33.0,100.0,100.0,0.0,0.0,0.0,,,,2.0,3.0,,1.0,1.0,1.0,4.0,3.0,4.0,3.0,1.0,1.0,2.0,2.0,1.0,,,,1.0,3.0,,1.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,,,,,0.0,,,1.0,,,0.0,,,,,,,
186058769,Тэкери,ashenvale,23.0,9017.0,56.0,0.0,,38.0,,47.0,62.0,57.0,62.0,62.0,50.0,67.0,30.0,29.0,57.0,,60.0,67.0,18.0,1.0,,8.0,,15.0,8.0,7.0,8.0,8.0,6.0,3.0,10.0,7.0,7.0,,5.0,3.0,10.0,0.0,,3.0,,7.0,5.0,4.0,5.0,5.0,3.0,2.0,3.0,2.0,4.0,,3.0,2.0,,50.0,,,2.0,,,1.0,,,,,,,
101386919,Azadaka,khaz-modan,8.0,2330.0,57.0,29.0,0.0,33.0,50.0,33.0,100.0,0.0,0.0,50.0,25.0,100.0,100.0,,0.0,,17.0,,7.0,21.0,2.0,3.0,2.0,9.0,1.0,1.0,2.0,2.0,4.0,1.0,1.0,,1.0,,6.0,,4.0,6.0,0.0,1.0,1.0,3.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,,0.0,,1.0,,,,,,,,,,,,,,,,
26622189,Келад,azuregos,9.0,757.0,50.0,,,0.0,,67.0,,50.0,,,,,,,33.0,,,100.0,4.0,,,1.0,,3.0,,2.0,,,,,,,3.0,,,2.0,2.0,,,0.0,,2.0,,1.0,,,,,,,1.0,,,2.0,,100.0,,,1.0,,,1.0,,,,,,,
98572179,Greycloak,kult-der-verdammten,43.0,113872.0,57.0,66.0,60.0,62.0,55.0,58.0,57.0,42.0,46.0,48.0,69.0,62.0,67.0,50.0,25.0,,,100.0,191.0,320.0,283.0,258.0,232.0,111.0,49.0,31.0,57.0,31.0,16.0,8.0,9.0,4.0,4.0,,,1.0,108.0,210.0,169.0,160.0,127.0,64.0,28.0,13.0,26.0,15.0,11.0,5.0,6.0,2.0,1.0,,,1.0,7400.0,,,2.0,,,148.0,,,,,,,,
203314971,Корннет,soulflayer,8.0,5468.0,60.0,,,75.0,,25.0,75.0,33.0,33.0,29.0,,56.0,47.0,0.0,100.0,,80.0,50.0,5.0,,,4.0,,4.0,4.0,3.0,9.0,7.0,,9.0,15.0,4.0,1.0,,5.0,4.0,3.0,,,3.0,,1.0,3.0,1.0,3.0,2.0,,5.0,7.0,0.0,1.0,,4.0,2.0,,67.0,,,6.0,,,4.0,,,,,0.0,4.0,0.0
139112608,Edubble,hyjal,83.0,3849.0,69.0,0.0,,50.0,0.0,69.0,55.0,50.0,69.0,43.0,,50.0,33.0,50.0,0.0,,29.0,67.0,16.0,1.0,,4.0,1.0,13.0,11.0,8.0,16.0,7.0,,8.0,6.0,4.0,6.0,,7.0,6.0,11.0,0.0,,2.0,0.0,9.0,6.0,4.0,11.0,3.0,,4.0,2.0,2.0,0.0,,2.0,4.0,60.0,45.0,,5.0,11.0,,3.0,5.0,,,,,,,
153778146,Heilig,shattered-hand,13.0,1317.0,67.0,,100.0,0.0,,,0.0,67.0,60.0,,,67.0,80.0,80.0,100.0,,50.0,67.0,3.0,,1.0,2.0,,,2.0,3.0,5.0,,,3.0,5.0,5.0,1.0,,2.0,6.0,2.0,,1.0,0.0,,,0.0,2.0,3.0,,,2.0,4.0,4.0,1.0,,1.0,4.0,,100.0,,,1.0,,,1.0,,,,,,,
195514678,Royalgurd,kazzak,5.0,953.0,50.0,,,0.0,,,0.0,,75.0,67.0,,0.0,100.0,,100.0,,,0.0,2.0,,,4.0,,,1.0,,4.0,3.0,,1.0,1.0,,3.0,,,2.0,1.0,,,0.0,,,0.0,,3.0,2.0,,0.0,1.0,,3.0,,,0.0,,,,,,,,,,,,,,,
104987278,Никромекон,gordunni,8.0,561.0,,,,0.0,,,100.0,0.0,,0.0,,50.0,33.0,,,,,100.0,,,,1.0,,,3.0,1.0,,1.0,,2.0,3.0,,,,,1.0,,,,0.0,,,3.0,0.0,,0.0,,1.0,1.0,,,,,1.0,,,,,,,,,,,,,,,
197216684,Sházen,silvermoon,29.0,36890.0,68.0,47.0,41.0,44.0,34.0,70.0,48.0,60.0,55.0,52.0,53.0,100.0,40.0,25.0,,,,50.0,37.0,140.0,130.0,99.0,83.0,47.0,86.0,84.0,76.0,97.0,53.0,3.0,5.0,8.0,,,,10.0,25.0,66.0,53.0,44.0,28.0,33.0,41.0,50.0,42.0,50.0,28.0,3.0,2.0,2.0,,,,5.0,,0.0,,,1.0,,,0.0,,,,,,,
176897232,Aurivia,burning-legion,9.0,196.0,0.0,,,100.0,,0.0,,0.0,,,,,,,,,,,1.0,,,1.0,,1.0,,2.0,,,,,,,,,,,0.0,,,1.0,,0.0,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,
123685290,Luckyducky,twisting-nether,11.0,2606.0,25.0,33.0,25.0,71.0,0.0,67.0,0.0,43.0,67.0,40.0,78.0,75.0,100.0,0.0,,,100.0,67.0,4.0,3.0,4.0,7.0,1.0,3.0,1.0,7.0,9.0,5.0,9.0,4.0,1.0,1.0,,,1.0,3.0,1.0,1.0,1.0,5.0,0.0,2.0,0.0,3.0,6.0,2.0,7.0,3.0,1.0,0.0,,,1.0,2.0,,,,,,,,,,,,,,,
177305449,Dhomyna,zuljin,17.0,13089.0,75.0,25.0,12.0,50.0,50.0,100.0,33.0,40.0,25.0,14.0,,,,,0.0,,,,4.0,8.0,8.0,14.0,6.0,2.0,6.0,5.0,8.0,14.0,,,,,1.0,,,,3.0,2.0,1.0,7.0,3.0,2.0,2.0,2.0,2.0,2.0,,,,,0.0,,,,,0.0,60.0,,1.0,5.0,,0.0,3.0,,,,,,
169094090,Nogi,kazzak,155.0,1828.0,50.0,,,,,50.0,,50.0,0.0,,,,,,40.0,,,0.0,2.0,,,,,2.0,,2.0,1.0,,,,,,5.0,,,1.0,1.0,,,,,1.0,,1.0,0.0,,,,,,2.0,,,0.0,,75.0,,,8.0,,,6.0,,,,,,,
163556336,Antroim,magtheridon,21.0,7244.0,62.0,,,80.0,,64.0,37.0,53.0,60.0,67.0,,23.0,50.0,54.0,50.0,,25.0,63.0,13.0,,,5.0,,11.0,19.0,15.0,15.0,24.0,,22.0,18.0,13.0,8.0,,4.0,19.0,8.0,,,4.0,,7.0,7.0,8.0,9.0,16.0,,5.0,9.0,7.0,4.0,,1.0,12.0,80.0,38.0,100.0,5.0,8.0,2.0,4.0,3.0,2.0,,,,,,
90833227,Kaidan,minahonda,22.0,51713.0,54.0,51.0,51.0,48.0,49.0,36.0,48.0,67.0,43.0,52.0,27.0,120.0,0.0,33.0,,,0.0,0.0,80.0,100.0,127.0,54.0,75.0,39.0,90.0,21.0,104.0,21.0,11.0,5.0,1.0,6.0,,,1.0,1.0,43.0,51.0,65.0,26.0,37.0,14.0,43.0,14.0,45.0,11.0,3.0,6.0,0.0,2.0,,,0.0,0.0,,,,,,,,,,,,,,,
105894907,Azrya,uldaman,61.0,4067.0,100.0,0.0,22.0,50.0,0.0,78.0,31.0,50.0,31.0,36.0,33.0,0.0,33.0,0.0,67.0,,,50.0,1.0,6.0,9.0,4.0,2.0,9.0,13.0,16.0,13.0,14.0,3.0,4.0,3.0,1.0,3.0,,,4.0,1.0,0.0,2.0,2.0,0.0,7.0,4.0,8.0,4.0,5.0,1.0,0.0,1.0,0.0,2.0,,,2.0,,0.0,17.0,,2.0,6.0,,0.0,1.0,,,,,,
59088983,Любаня,ashenvale,9.0,38603.0,51.0,61.0,59.0,63.0,51.0,40.0,50.0,69.0,74.0,61.0,67.0,100.0,80.0,100.0,50.0,100.0,,75.0,87.0,180.0,137.0,107.0,107.0,47.0,34.0,13.0,23.0,18.0,3.0,1.0,5.0,5.0,2.0,1.0,,4.0,44.0,110.0,81.0,67.0,55.0,19.0,17.0,9.0,17.0,11.0,2.0,1.0,4.0,5.0,1.0,1.0,,3.0,,0.0,80.0,,2.0,5.0,,0.0,4.0,,,,,,
174955209,Лайтвинз,goldrinn,93.0,60.0,,,,,,,,,0.0,,,100.0,,,,,,,,,,,,,,,1.0,,,1.0,,,,,,,,,,,,,,,0.0,,,1.0,,,,,,,,,,,,,,,,,,,,,
158076754,Заулка,azuregos,10.0,97.0,,,,,0.0,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
225939240,Bêren,sylvanas,17.0,1166.0,100.0,,,100.0,,100.0,0.0,0.0,0.0,33.0,,75.0,67.0,67.0,0.0,100.0,,0.0,1.0,,,1.0,,2.0,2.0,2.0,1.0,6.0,,4.0,3.0,3.0,2.0,1.0,,2.0,1.0,,,1.0,,2.0,0.0,0.0,0.0,2.0,,3.0,2.0,2.0,0.0,1.0,,0.0,,,,,,,,,,,,,,,
243610457,Рипаир,gordunni,11.0,5715.0,29.0,,,50.0,,43.0,25.0,33.0,25.0,30.0,,75.0,50.0,67.0,36.0,,50.0,25.0,7.0,,,4.0,,14.0,4.0,6.0,4.0,10.0,,4.0,4.0,6.0,11.0,,4.0,4.0,2.0,,,2.0,,6.0,1.0,2.0,1.0,3.0,,3.0,2.0,4.0,4.0,,2.0,1.0,,47.0,,,15.0,,,7.0,,,,,33.0,3.0,1.0
243494891,Ковальскина,soulflayer,3.0,940.0,0.0,,,0.0,,0.0,0.0,,0.0,,,0.0,50.0,0.0,0.0,,,,3.0,,,3.0,,2.0,1.0,,3.0,,,1.0,2.0,2.0,1.0,,,,0.0,,,0.0,,0.0,0.0,,0.0,,,0.0,1.0,0.0,0.0,,,,,33.0,,,3.0,,,1.0,,,,,,,
154272059,Däwnbreäker,ravencrest,109.0,20600.0,59.0,48.0,50.0,58.0,50.0,15.0,43.0,41.0,62.0,47.0,50.0,,75.0,100.0,33.0,,17.0,100.0,49.0,42.0,40.0,36.0,38.0,20.0,14.0,17.0,16.0,17.0,2.0,,4.0,1.0,3.0,,6.0,2.0,29.0,20.0,20.0,21.0,19.0,3.0,6.0,7.0,10.0,8.0,1.0,,3.0,1.0,1.0,,1.0,2.0,,50.0,,,2.0,,,1.0,,,,,,,
133020133,Azraesha,turalyon,2.0,569.0,,,,,,,0.0,,,,,,,100.0,,,,,,,,,,,1.0,,,,,,,1.0,,,,,,,,,,,0.0,,,,,,,1.0,,,,,,,,,,,,,,,,,,,
145542859,Lighar,auchindoun,15.0,5181.0,40.0,50.0,25.0,47.0,25.0,33.0,71.0,32.0,54.0,33.0,60.0,33.0,20.0,57.0,100.0,,,55.0,30.0,16.0,8.0,19.0,4.0,6.0,21.0,25.0,24.0,18.0,5.0,12.0,5.0,7.0,1.0,,,11.0,12.0,8.0,2.0,9.0,1.0,2.0,15.0,8.0,13.0,6.0,3.0,4.0,1.0,4.0,1.0,,,6.0,,33.0,,,3.0,,,1.0,,,,,,,
169726299,Erìanìa,stormreaver,2.0,31800.0,55.0,52.0,46.0,49.0,44.0,57.0,55.0,66.0,53.0,69.0,25.0,0.0,,,,,,,84.0,120.0,138.0,98.0,90.0,56.0,98.0,29.0,130.0,13.0,4.0,1.0,,,,,,,46.0,63.0,63.0,48.0,40.0,32.0,54.0,19.0,69.0,9.0,1.0,0.0,,,,,,,,,,,,,,,,,,,,,
128412996,Танкорс,howling-fjord,13.0,2692.0,100.0,,,100.0,,67.0,,100.0,50.0,33.0,100.0,67.0,50.0,0.0,50.0,,100.0,100.0,1.0,,,3.0,,3.0,,1.0,4.0,3.0,1.0,6.0,2.0,2.0,2.0,,2.0,2.0,1.0,,,3.0,,2.0,,1.0,2.0,1.0,1.0,4.0,1.0,0.0,1.0,,2.0,2.0,,75.0,100.0,,4.0,1.0,,3.0,1.0,,,,,,
162309211,Balt,magtheridon,105.0,11386.0,75.0,47.0,43.0,67.0,0.0,100.0,49.0,58.0,52.0,46.0,39.0,119.0,38.0,57.0,,,,79.0,4.0,34.0,28.0,21.0,1.0,3.0,43.0,53.0,40.0,46.0,18.0,27.0,8.0,14.0,,,,14.0,3.0,16.0,12.0,14.0,0.0,3.0,21.0,31.0,21.0,21.0,7.0,32.0,3.0,8.0,,,,11.0,,,100.0,,,2.0,,,2.0,,,,,,
80525482,Sunkepper,kazzak,12.0,9278.0,38.0,55.0,50.0,56.0,65.0,45.0,70.0,47.0,77.0,53.0,40.0,100.0,,100.0,0.0,,57.0,,71.0,22.0,30.0,16.0,17.0,20.0,20.0,19.0,13.0,17.0,5.0,4.0,,1.0,2.0,,7.0,,27.0,12.0,15.0,9.0,11.0,9.0,14.0,9.0,10.0,9.0,2.0,4.0,,1.0,0.0,,4.0,,700.0,67.0,,1.0,3.0,,7.0,2.0,,,,,,,
174891056,Нэйтеро,fordragon,14.0,194.0,100.0,,,,,,0.0,,0.0,,,,,,,,,,1.0,,,,,,1.0,,1.0,,,,,,,,,,1.0,,,,,,0.0,,0.0,,,,,,,,,,,,,,,,,,,,,,,,
183885727,Пропаладос,gordunni,58.0,344.0,,,,0.0,,,,,,,,,0.0,,,,,,,,,1.0,,,,,,,,,1.0,,,,,,,,,0.0,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,
166690033,Distodin,thrall,16.0,95.0,,,,,,,0.0,,,,,,100.0,,,,,0.0,,,,,,,1.0,,,,,,1.0,,,,,1.0,,,,,,,0.0,,,,,,1.0,,,,,0.0,,,,,,,,,,,,,,,
244553462,Лурэза,gordunni,11.0,1120.0,,,,100.0,,,67.0,100.0,50.0,50.0,,25.0,100.0,67.0,50.0,,,100.0,,,,1.0,,,3.0,1.0,2.0,4.0,,4.0,1.0,3.0,2.0,,,1.0,,,,1.0,,,2.0,1.0,1.0,2.0,,1.0,1.0,2.0,1.0,,,1.0,,,,,,,,,,,,,,,
166863982,Core,drakthul,4.0,104.0,,,,,,,,,,,,,100.0,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,
243412402,Абрико,gordunni,35.0,558.0,0.0,,,0.0,,,,100.0,0.0,,,,,,100.0,,,,1.0,,,1.0,,,,1.0,2.0,,,,,,1.0,,,,0.0,,,0.0,,,,1.0,0.0,,,,,,1.0,,,,,50.0,,,2.0,,,1.0,,,,,,,
137040626,Avinel,ragnaros,14.0,623.0,,,0.0,,,100.0,50.0,50.0,33.0,0.0,,75.0,33.0,33.0,,,,71.0,,,1.0,,,1.0,4.0,6.0,3.0,3.0,,4.0,3.0,6.0,,,,7.0,,,0.0,,,1.0,2.0,3.0,1.0,0.0,,3.0,1.0,2.0,,,,5.0,80.0,,,5.0,,,4.0,,,,,,,,
141176681,Белад,howling-fjord,4.0,1152.0,,,,50.0,,0.0,0.0,67.0,100.0,100.0,,50.0,0.0,20.0,50.0,,,33.0,,,,4.0,,1.0,1.0,3.0,4.0,2.0,,4.0,1.0,5.0,2.0,,,3.0,,,,2.0,,0.0,0.0,2.0,4.0,2.0,,2.0,0.0,1.0,1.0,,,1.0,,0.0,,,1.0,,,0.0,,,,,,,
167094485,Edipala,blackmoore,27.0,909.0,0.0,60.0,75.0,100.0,,,0.0,,43.0,67.0,,,,,,,,,1.0,5.0,4.0,1.0,,,2.0,,7.0,3.0,,,,,,,,,0.0,3.0,3.0,1.0,,,0.0,,3.0,2.0,,,,,,,,,,,,,,,,,,,,,,,
175137079,Rokstarr,ragnaros,61.0,17654.0,49.0,59.0,61.0,62.0,67.0,45.0,58.0,64.0,64.0,63.0,62.0,40.0,0.0,100.0,40.0,,,0.0,108.0,70.0,57.0,52.0,36.0,33.0,65.0,50.0,45.0,49.0,21.0,10.0,1.0,1.0,5.0,,,1.0,53.0,41.0,35.0,32.0,24.0,15.0,38.0,32.0,29.0,31.0,13.0,4.0,0.0,1.0,2.0,,,0.0,,100.0,,,3.0,,,3.0,,,,,,,
169121051,Йуле,deathguard,18.0,4799.0,33.0,17.0,,83.0,100.0,80.0,38.0,30.0,32.0,62.0,67.0,71.0,100.0,,43.0,,,67.0,3.0,6.0,,6.0,1.0,5.0,8.0,10.0,19.0,16.0,3.0,7.0,3.0,,7.0,,,6.0,1.0,1.0,,5.0,1.0,4.0,3.0,3.0,6.0,10.0,2.0,5.0,3.0,,3.0,,,4.0,100.0,100.0,,1.0,1.0,,1.0,1.0,,,,,,,
157179263,Jaxmess,sanguino,23.0,3408.0,62.0,,,50.0,,50.0,67.0,33.0,29.0,50.0,,50.0,67.0,58.0,75.0,,,67.0,8.0,,,10.0,,2.0,9.0,3.0,7.0,6.0,,2.0,6.0,12.0,4.0,,,6.0,5.0,,,5.0,,1.0,6.0,1.0,2.0,3.0,,1.0,4.0,7.0,3.0,,,4.0,,100.0,,,2.0,,,2.0,,,,,,,
208151952,Пригоршуня,gordunni,18.0,1001.0,0.0,,,,,100.0,,,67.0,33.0,,100.0,20.0,50.0,100.0,,,67.0,2.0,,,,,2.0,,,3.0,3.0,,1.0,5.0,4.0,1.0,,,3.0,0.0,,,,,2.0,,,2.0,1.0,,1.0,1.0,2.0,1.0,,,2.0,100.0,0.0,,1.0,1.0,,1.0,0.0,,,,,,,
79554345,Вадгайне,howling-fjord,10.0,17300.0,8.0,52.0,45.0,71.0,84.0,17.0,69.0,76.0,67.0,74.0,54.0,14.0,67.0,29.0,100.0,,,0.0,13.0,31.0,22.0,35.0,19.0,24.0,26.0,34.0,27.0,35.0,28.0,7.0,6.0,7.0,2.0,,,3.0,1.0,16.0,10.0,25.0,16.0,4.0,18.0,26.0,18.0,26.0,15.0,1.0,4.0,2.0,2.0,,,0.0,,33.0,,,3.0,,,1.0,,,,,,,
176205827,Skyhuk,magtheridon,9.0,1641.0,75.0,,,100.0,,67.0,,25.0,67.0,75.0,,50.0,50.0,20.0,50.0,,,100.0,4.0,,,1.0,,3.0,,4.0,3.0,4.0,,6.0,2.0,5.0,2.0,,,4.0,3.0,,,1.0,,2.0,,1.0,2.0,3.0,,3.0,1.0,1.0,1.0,,,4.0,,67.0,100.0,,3.0,1.0,,2.0,1.0,,,,,,
193398690,Годдкинг,gordunni,7.0,13817.0,11.0,41.0,43.0,71.0,54.0,15.0,47.0,57.0,39.0,47.0,66.0,50.0,0.0,0.0,50.0,,67.0,100.0,9.0,34.0,37.0,38.0,37.0,13.0,34.0,42.0,33.0,47.0,41.0,8.0,1.0,1.0,2.0,,3.0,1.0,1.0,14.0,16.0,27.0,20.0,2.0,16.0,24.0,13.0,22.0,27.0,4.0,0.0,0.0,1.0,,2.0,1.0,,,,,,,,,,,,,,,
225713693,Azshandris,sylvanas,9.0,5580.0,50.0,0.0,0.0,33.0,0.0,50.0,,,,0.0,100.0,,0.0,100.0,0.0,,,0.0,20.0,2.0,4.0,3.0,1.0,4.0,,,,3.0,1.0,,1.0,1.0,1.0,,,1.0,10.0,0.0,0.0,1.0,0.0,2.0,,,,0.0,1.0,,0.0,1.0,0.0,,,0.0,,,,,,,,,,,,,,,
173895547,Эил,soulflayer,169.0,36752.0,67.0,60.0,68.0,75.0,76.0,40.0,67.0,70.0,73.0,65.0,58.0,88.0,72.0,67.0,50.0,,100.0,67.0,3.0,95.0,71.0,36.0,17.0,5.0,145.0,155.0,167.0,172.0,48.0,105.0,54.0,55.0,2.0,,4.0,52.0,2.0,57.0,48.0,27.0,13.0,2.0,97.0,109.0,122.0,111.0,28.0,92.0,39.0,37.0,1.0,,4.0,35.0,162.0,50.0,100.0,32.0,2.0,1.0,52.0,1.0,1.0,,,,,,
139723203,Икугу,galakrond,12.0,3177.0,0.0,33.0,12.0,50.0,,0.0,14.0,33.0,33.0,50.0,71.0,40.0,,,,,100.0,,1.0,9.0,8.0,6.0,,1.0,7.0,6.0,3.0,4.0,7.0,5.0,,,,,1.0,,0.0,3.0,1.0,3.0,,0.0,1.0,2.0,1.0,2.0,5.0,2.0,,,,,1.0,,,,,,,,,,,,,,,,
241481850,Нуш,greymane,178.0,10954.0,100.0,69.0,60.0,67.0,,67.0,52.0,50.0,66.0,55.0,92.0,67.0,63.0,36.0,20.0,100.0,,55.0,1.0,13.0,10.0,12.0,,3.0,23.0,14.0,29.0,31.0,12.0,30.0,19.0,11.0,5.0,12.0,,11.0,1.0,9.0,6.0,8.0,,2.0,12.0,7.0,19.0,17.0,11.0,20.0,12.0,4.0,1.0,12.0,,6.0,82.0,50.0,75.0,11.0,2.0,4.0,9.0,1.0,3.0,100.0,1.0,1.0,,,
197550361,Lustucrü,archimonde,64.0,16985.0,25.0,64.0,43.0,51.0,31.0,45.0,55.0,25.0,29.0,56.0,60.0,150.0,0.0,,,,,,12.0,96.0,103.0,43.0,39.0,11.0,22.0,24.0,24.0,16.0,5.0,2.0,1.0,,,,,,3.0,61.0,44.0,22.0,12.0,5.0,12.0,6.0,7.0,9.0,3.0,3.0,0.0,,,,,,,,,,,,,,,,,,,,
149431574,Alfirex,uldum,44.0,3310.0,75.0,,,40.0,,67.0,75.0,0.0,50.0,50.0,,40.0,20.0,75.0,67.0,,50.0,0.0,8.0,,,10.0,,6.0,8.0,6.0,4.0,6.0,,5.0,5.0,4.0,6.0,,2.0,3.0,6.0,,,4.0,,4.0,6.0,0.0,2.0,3.0,,2.0,1.0,3.0,4.0,,1.0,0.0,0.0,67.0,,1.0,3.0,,0.0,2.0,,60.0,5.0,3.0,0.0,1.0,0.0
246126056,Аркним,gordunni,22.0,1424.0,0.0,,,75.0,,50.0,100.0,0.0,33.0,40.0,,75.0,67.0,100.0,67.0,,,0.0,1.0,,,4.0,,2.0,1.0,1.0,3.0,5.0,,4.0,3.0,1.0,3.0,,,1.0,0.0,,,3.0,,1.0,1.0,0.0,1.0,2.0,,3.0,2.0,1.0,2.0,,,0.0,,0.0,,,1.0,,,0.0,,,,,,,
67227600,Sagkosh,outland,20.0,11495.0,55.0,54.0,43.0,67.0,41.0,70.0,43.0,42.0,52.0,57.0,80.0,,,,,,,,29.0,35.0,37.0,43.0,32.0,20.0,21.0,12.0,21.0,7.0,5.0,,,,,,,,16.0,19.0,16.0,29.0,13.0,14.0,9.0,5.0,11.0,4.0,4.0,,,,,,,,,,,,,,,,,,,,,,
168784801,Dween,dalaran,10.0,1314.0,50.0,,,,,40.0,50.0,0.0,20.0,0.0,,62.0,50.0,33.0,,,,100.0,4.0,,,,,5.0,2.0,1.0,5.0,1.0,,8.0,6.0,6.0,,,,1.0,2.0,,,,,2.0,1.0,0.0,1.0,0.0,,5.0,3.0,2.0,,,,1.0,100.0,50.0,,1.0,4.0,,1.0,2.0,,,,,,,
237413017,Рэдхарт,borean-tundra,5.0,189.0,,,0.0,100.0,,100.0,100.0,100.0,,,,,,,,,,,,,1.0,1.0,,1.0,1.0,1.0,,,,,,,,,,,,,0.0,1.0,,1.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,
86396058,Вильми,eversong,7.0,1733.0,67.0,71.0,50.0,100.0,0.0,67.0,100.0,50.0,0.0,,100.0,33.0,,50.0,50.0,,,,3.0,7.0,4.0,2.0,2.0,3.0,1.0,4.0,1.0,,1.0,3.0,,2.0,2.0,,,,2.0,5.0,2.0,2.0,0.0,2.0,1.0,2.0,0.0,,1.0,1.0,,1.0,1.0,,,,,100.0,100.0,,1.0,1.0,,1.0,1.0,,,,,,
106684712,Randompally,anachronos,1.0,139.0,,0.0,,100.0,0.0,,,,,,0.0,,,,,,,,,1.0,,1.0,1.0,,,,,,1.0,,,,,,,,,0.0,,1.0,0.0,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,
197238808,Lusitan,hyjal,16.0,1731.0,0.0,40.0,29.0,60.0,25.0,,57.0,27.0,100.0,50.0,40.0,,,,,,,,1.0,5.0,7.0,5.0,4.0,,7.0,11.0,4.0,8.0,5.0,,,,,,,,0.0,2.0,2.0,3.0,1.0,,4.0,3.0,4.0,4.0,2.0,,,,,,,,,,,,,,,,,,,,,,
132732156,Бэлфегор,deathguard,139.0,8679.0,100.0,65.0,55.0,71.0,64.0,100.0,71.0,76.0,79.0,81.0,60.0,25.0,,,,,,60.0,5.0,17.0,20.0,14.0,11.0,5.0,17.0,17.0,34.0,21.0,20.0,4.0,,,,,,5.0,5.0,11.0,11.0,10.0,7.0,5.0,12.0,13.0,27.0,17.0,12.0,1.0,,,,,,3.0,,,,,,,,,,,,,,,
103213339,Boéron,nerzhul,4.0,1074.0,50.0,67.0,0.0,33.0,0.0,33.0,100.0,100.0,0.0,100.0,0.0,,,,,,,,2.0,3.0,1.0,3.0,1.0,3.0,2.0,1.0,1.0,1.0,4.0,,,,,,,,1.0,2.0,0.0,1.0,0.0,1.0,2.0,1.0,0.0,1.0,0.0,,,,,,,,,,,,,,,,,,,,,,
164897424,Гозод,gordunni,11.0,4963.0,29.0,33.0,33.0,86.0,46.0,100.0,25.0,33.0,36.0,38.0,54.0,100.0,0.0,,100.0,,,,7.0,12.0,6.0,7.0,13.0,8.0,16.0,15.0,11.0,13.0,13.0,1.0,1.0,,2.0,,,,2.0,4.0,2.0,6.0,6.0,8.0,4.0,5.0,4.0,5.0,7.0,1.0,0.0,,2.0,,,,,,0.0,,,1.0,,,0.0,,,,,,
244306031,Огненныйхрен,gordunni,9.0,473.0,50.0,,,,,,0.0,,,,,,33.0,100.0,,,,,4.0,,,,,,1.0,,,,,,3.0,1.0,,,,,2.0,,,,,,0.0,,,,,,1.0,1.0,,,,,50.0,,,2.0,,,1.0,,,,,,,,
