character.id,character.name,character.realm.slug,honor_level,honorable_kills,Alterac Valley win_rate,Eye of the Storm win_rate,Isle of Conquest win_rate,Twin Peaks win_rate,Silvershard Mines win_rate,The Battle for Gilneas win_rate,Temple of Kotmogu win_rate,Seething Shore win_rate,Warsong Gulch win_rate,Arathi Basin win_rate,Battle for Wintergrasp win_rate,Deepwind Gorge win_rate,Alterac Valley played,Eye of the Storm played,Isle of Conquest played,Twin Peaks played,Silvershard Mines played,The Battle for Gilneas played,Temple of Kotmogu played,Seething Shore played,Warsong Gulch played,Arathi Basin played,Battle for Wintergrasp played,Deepwind Gorge played,Alterac Valley won,Eye of the Storm won,Isle of Conquest won,Twin Peaks won,Silvershard Mines won,The Battle for Gilneas won,Temple of Kotmogu won,Seething Shore won,Warsong Gulch won,Arathi Basin won,Battle for Wintergrasp won,Deepwind Gorge won,Classic Warsong Gulch win_rate,Strand of the Ancients win_rate,Deepwind Gorge (Legacy) win_rate,Classic Warsong Gulch played,Strand of the Ancients played,Deepwind Gorge (Legacy) played,Classic Warsong Gulch won,Strand of the Ancients won,Deepwind Gorge (Legacy) won,Classic Arathi Basin win_rate,Classic Arathi Basin played,Classic Arathi Basin won,Rated Eye of the Storm win_rate,Ashran win_rate,Arathi Basin Comp Stomp win_rate,Rated Eye of the Storm played,Ashran played,Arathi Basin Comp Stomp played,Rated Eye of the Storm won,Ashran won,Arathi Basin Comp Stomp won,Korrak's Revenge win_rate,Korrak's Revenge played,Korrak's Revenge won,Southshore vs. Tarren Mill win_rate,Arathi Basin Winter win_rate,Southshore vs. Tarren Mill played,Arathi Basin Winter played,Southshore vs. Tarren Mill won,Arathi Basin Winter won
162416420,Fordriñg,kazzak,23.0,4185.0,0.0,100.0,57.0,33.0,33.0,100.0,100.0,50.0,75.0,33.0,83.0,100.0,3.0,1.0,7.0,3.0,3.0,2.0,2.0,2.0,4.0,3.0,6.0,2.0,0.0,1.0,4.0,1.0,1.0,2.0,2.0,1.0,3.0,1.0,5.0,2.0,,,33.0,,,3.0,,,1.0,,,,,,,,,,,,,100.0,1.0,1.0,,75.0,,8.0,,6.0
164701935,Avíréx,blackrock,5.0,54.0,,,,0.0,,100.0,,,,,,,,,,1.0,,1.0,,,,,,,,,,0.0,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
125179086,Anietyx,blackrock,12.0,3521.0,90.0,67.0,86.0,50.0,44.0,50.0,60.0,200.0,33.0,50.0,20.0,50.0,10.0,3.0,7.0,4.0,9.0,2.0,5.0,2.0,3.0,2.0,5.0,2.0,9.0,2.0,6.0,2.0,4.0,1.0,3.0,4.0,1.0,1.0,1.0,1.0,100.0,100.0,100.0,4.0,2.0,1.0,4.0,2.0,1.0,50.0,4.0,2.0,,60.0,,,5.0,,,3.0,,,,,,,,,,
195177961,Anthonel,nemesis,65.0,41330.0,42.0,60.0,36.0,57.0,65.0,59.0,54.0,60.0,67.0,75.0,74.0,50.0,91.0,63.0,87.0,46.0,46.0,34.0,52.0,25.0,39.0,20.0,27.0,6.0,38.0,38.0,31.0,26.0,30.0,20.0,28.0,15.0,26.0,15.0,20.0,3.0,50.0,58.0,50.0,44.0,24.0,34.0,22.0,14.0,17.0,53.0,30.0,16.0,,100.0,100.0,,2.0,18.0,,2.0,18.0,75.0,4.0,3.0,,60.0,,15.0,,9.0
188423956,Ilnakadyr,hyjal,48.0,8476.0,14.0,67.0,55.0,56.0,38.0,62.0,54.0,70.0,40.0,0.0,40.0,0.0,7.0,3.0,11.0,32.0,13.0,16.0,26.0,10.0,5.0,1.0,5.0,3.0,1.0,2.0,6.0,18.0,5.0,10.0,14.0,7.0,2.0,0.0,2.0,0.0,50.0,33.0,29.0,6.0,9.0,7.0,3.0,3.0,2.0,36.0,11.0,4.0,,,,,,,,,,,,,,,,,,
87008979,Beork,frostwolf,36.0,635.0,0.0,50.0,0.0,100.0,,,,100.0,,,,100.0,1.0,2.0,1.0,1.0,,,,4.0,,,,2.0,0.0,1.0,0.0,1.0,,,,4.0,,,,2.0,100.0,,,1.0,,,1.0,,,0.0,1.0,0.0,,33.0,,,3.0,,,1.0,,,,,,,,,,
197358910,Andymonka,kazzak,43.0,18326.0,67.0,48.0,75.0,32.0,40.0,43.0,61.0,50.0,0.0,,,100.0,120.0,40.0,55.0,44.0,45.0,51.0,28.0,4.0,2.0,,,1.0,80.0,19.0,41.0,14.0,18.0,22.0,17.0,2.0,0.0,,,1.0,55.0,42.0,33.0,71.0,60.0,18.0,39.0,25.0,6.0,39.0,51.0,20.0,,,,,,,,,,,,,,,,,,
81214680,Blaxxtariam,frostwolf,39.0,32622.0,43.0,56.0,51.0,51.0,48.0,59.0,49.0,79.0,47.0,50.0,43.0,,51.0,78.0,72.0,109.0,86.0,121.0,65.0,19.0,15.0,12.0,7.0,,22.0,44.0,37.0,56.0,41.0,71.0,32.0,15.0,7.0,6.0,3.0,,53.0,48.0,52.0,116.0,82.0,23.0,62.0,39.0,12.0,55.0,84.0,46.0,,,,,,,,,,,,,,,,,,
163632883,Aitas,tarren-mill,162.0,100346.0,51.0,60.0,45.0,65.0,66.0,62.0,65.0,500.0,100.0,60.0,100.0,0.0,210.0,235.0,225.0,265.0,181.0,257.0,186.0,8.0,3.0,5.0,4.0,1.0,108.0,140.0,102.0,171.0,120.0,159.0,121.0,40.0,3.0,3.0,4.0,0.0,62.0,55.0,58.0,247.0,222.0,84.0,154.0,123.0,49.0,60.0,290.0,173.0,,100.0,100.0,,2.0,36.0,,2.0,36.0,0.0,5.0,0.0,,,,,,
124180279,Bopcorn,draenor,47.0,1746.0,100.0,75.0,67.0,100.0,0.0,100.0,100.0,67.0,33.0,100.0,,100.0,1.0,8.0,3.0,2.0,1.0,4.0,3.0,3.0,3.0,1.0,,2.0,1.0,6.0,2.0,2.0,0.0,4.0,3.0,2.0,1.0,1.0,,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
193148121,Aléxr,kazzak,71.0,31170.0,60.0,48.0,63.0,44.0,56.0,67.0,57.0,64.0,100.0,100.0,50.0,100.0,78.0,98.0,73.0,34.0,18.0,30.0,28.0,11.0,7.0,1.0,2.0,2.0,47.0,47.0,46.0,15.0,10.0,20.0,16.0,7.0,7.0,1.0,1.0,2.0,46.0,43.0,57.0,127.0,100.0,7.0,58.0,43.0,4.0,53.0,116.0,62.0,4200.0,100.0,,1.0,2.0,,42.0,2.0,,,,,,,,,,
164479772,Райтволл,howling-fjord,7.0,694.0,,,,,,,100.0,,,,,,,,,,,,1.0,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,100.0,1.0,1.0,,,,,,
156893719,Vuduuh,zuljin,105.0,255.0,,100.0,,,,100.0,0.0,,,,0.0,,,2.0,,,,1.0,1.0,,,,1.0,,,2.0,,,,1.0,0.0,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,100.0,,1.0,,1.0
164232595,Ineedyoudead,twisting-nether,80.0,7977.0,56.0,57.0,12.0,50.0,37.0,55.0,12.0,46.0,44.0,60.0,57.0,78.0,9.0,7.0,8.0,24.0,19.0,22.0,17.0,24.0,18.0,20.0,7.0,9.0,5.0,4.0,1.0,12.0,7.0,12.0,2.0,11.0,8.0,12.0,4.0,7.0,56.0,,100.0,9.0,,2.0,5.0,,2.0,33.0,3.0,1.0,42.0,50.0,100.0,12.0,2.0,1.0,5.0,1.0,1.0,,,,,,,,,
195010023,Senta,kazzak,75.0,1104.0,67.0,100.0,100.0,33.0,75.0,100.0,,67.0,33.0,,100.0,,3.0,5.0,3.0,3.0,4.0,2.0,,3.0,3.0,,1.0,,2.0,5.0,3.0,1.0,3.0,2.0,,2.0,1.0,,1.0,,,,,,,,,,,,,,,100.0,,,1.0,,,1.0,,,,,,,,,,
158123006,Zwudel,eredar,50.0,38216.0,71.0,62.0,68.0,64.0,61.0,67.0,68.0,100.0,,,100.0,,103.0,66.0,59.0,132.0,38.0,144.0,34.0,1.0,,,1.0,,73.0,41.0,40.0,85.0,23.0,96.0,23.0,1.0,,,1.0,,62.0,70.0,87.0,127.0,53.0,23.0,79.0,37.0,20.0,64.0,125.0,80.0,,,,,,,,,,,,,,,,,,
154149298,Yonuno,sanguino,4.0,1099.0,40.0,67.0,33.0,50.0,,50.0,100.0,0.0,,,,,5.0,6.0,6.0,2.0,,2.0,1.0,3.0,,,,,2.0,4.0,2.0,1.0,,1.0,1.0,0.0,,,,,0.0,,,2.0,,,0.0,,,,,,,,,,,,,,,,,,,,,,,
113800722,Draccur,argent-dawn,10.0,1838.0,50.0,50.0,33.0,0.0,80.0,33.0,33.0,,,,,,6.0,4.0,3.0,2.0,10.0,3.0,3.0,,,,,,3.0,2.0,1.0,0.0,8.0,1.0,1.0,,,,,,100.0,50.0,100.0,4.0,2.0,3.0,4.0,1.0,3.0,50.0,2.0,1.0,,,,,,,,,,,,,,,,,,
42015450,Retzrik,kazzak,54.0,37177.0,41.0,49.0,31.0,47.0,68.0,54.0,49.0,76.0,79.0,44.0,67.0,50.0,112.0,94.0,32.0,57.0,47.0,54.0,41.0,29.0,149.0,48.0,6.0,22.0,46.0,46.0,10.0,27.0,32.0,29.0,20.0,22.0,118.0,21.0,4.0,11.0,54.0,54.0,57.0,72.0,46.0,21.0,39.0,25.0,12.0,56.0,55.0,31.0,833.0,75.0,100.0,3.0,4.0,33.0,25.0,3.0,33.0,75.0,8.0,6.0,,75.0,,4.0,,3.0
140706614,Pâlitan,blackrock,13.0,547.0,,,,,,,,,,,100.0,,,,,,,,,,,,1.0,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,100.0,,,1.0,,,1.0,,,,,,,,,
188133537,Paliçh,hyjal,32.0,32841.0,57.0,34.0,68.0,31.0,46.0,48.0,49.0,80.0,,50.0,100.0,33.0,54.0,86.0,68.0,61.0,61.0,75.0,63.0,5.0,,2.0,1.0,3.0,31.0,29.0,46.0,19.0,28.0,36.0,31.0,4.0,,1.0,1.0,1.0,37.0,42.0,58.0,130.0,50.0,26.0,48.0,21.0,15.0,49.0,71.0,35.0,,100.0,,,1.0,,,1.0,,,,,,,,,,
175919321,Takeheals,twisting-nether,16.0,1357.0,,,,50.0,50.0,100.0,100.0,,,,,,,,,2.0,2.0,2.0,1.0,,,,,,,,,1.0,1.0,2.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
164826119,Muhbringer,blackrock,5.0,13071.0,62.0,61.0,80.0,46.0,75.0,43.0,33.0,0.0,,0.0,0.0,100.0,37.0,31.0,15.0,13.0,4.0,14.0,3.0,1.0,,2.0,1.0,1.0,23.0,19.0,12.0,6.0,3.0,6.0,1.0,0.0,,0.0,0.0,1.0,70.0,55.0,67.0,82.0,33.0,3.0,57.0,18.0,2.0,68.0,37.0,25.0,,67.0,,,3.0,,,2.0,,,,,,,,,,
