character.id,character.name,character.realm.slug,honor_level,honorable_kills,Alterac Valley win_rate,Classic Warsong Gulch win_rate,Classic Arathi Basin win_rate,Isle of Conquest win_rate,Twin Peaks win_rate,Silvershard Mines win_rate,Temple of Kotmogu win_rate,Deepwind Gorge (Legacy) win_rate,Seething Shore win_rate,Warsong Gulch win_rate,Arathi Basin win_rate,Deepwind Gorge win_rate,Alterac Valley played,Classic Warsong Gulch played,Classic Arathi Basin played,Isle of Conquest played,Twin Peaks played,Silvershard Mines played,Temple of Kotmogu played,Deepwind Gorge (Legacy) played,Seething Shore played,Warsong Gulch played,Arathi Basin played,Deepwind Gorge played,Alterac Valley won,Classic Warsong Gulch won,Classic Arathi Basin won,Isle of Conquest won,Twin Peaks won,Silvershard Mines won,Temple of Kotmogu won,Deepwind Gorge (Legacy) won,Seething Shore won,Warsong Gulch won,Arathi Basin won,Deepwind Gorge won,Eye of the Storm win_rate,Arathi Basin Comp Stomp win_rate,Eye of the Storm played,Arathi Basin Comp Stomp played,Eye of the Storm won,Arathi Basin Comp Stomp won,The Battle for Gilneas win_rate,The Battle for Gilneas played,The Battle for Gilneas won,Strand of the Ancients win_rate,Battle for Wintergrasp win_rate,Strand of the Ancients played,Battle for Wintergrasp played,Strand of the Ancients won,Battle for Wintergrasp won,Arathi Basin Winter win_rate,Korrak's Revenge win_rate,Arathi Basin Winter played,Korrak's Revenge played,Arathi Basin Winter won,Korrak's Revenge won,Rated Eye of the Storm win_rate,Rated Eye of the Storm played,Rated Eye of the Storm won,Ashran win_rate,Ashran played,Ashran won,Southshore vs. Tarren Mill win_rate,Southshore vs. Tarren Mill played,Southshore vs. Tarren Mill won
128060902,Wyleria,burning-blade,14.0,1114.0,50.0,100.0,0.0,0.0,75.0,50.0,75.0,100.0,100.0,50.0,100.0,100.0,2.0,1.0,1.0,1.0,4.0,2.0,4.0,1.0,3.0,2.0,1.0,1.0,1.0,1.0,0.0,0.0,3.0,1.0,3.0,1.0,3.0,1.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
110447787,Ayyah,stormscale,4.0,466.0,,0.0,,,100.0,100.0,,,,50.0,100.0,,,1.0,,,1.0,1.0,,,,2.0,1.0,,,0.0,,,1.0,1.0,,,,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
164676101,Algrunas,kazzak,16.0,1342.0,50.0,67.0,100.0,67.0,100.0,0.0,33.0,50.0,,,,100.0,2.0,3.0,1.0,3.0,2.0,2.0,3.0,2.0,,,,2.0,1.0,2.0,1.0,2.0,2.0,0.0,1.0,1.0,,,,2.0,33.0,100.0,3.0,1.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,
131665211,Korohshock,blackrock,22.0,355.0,,,,100.0,100.0,,50.0,,0.0,,,,,,,1.0,1.0,,2.0,,1.0,,,,,,,1.0,1.0,,1.0,,0.0,,,,100.0,,1.0,,1.0,,100.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,
121953897,Yolomaker,drakthul,57.0,4044.0,25.0,50.0,80.0,50.0,30.0,0.0,50.0,30.0,33.0,50.0,,100.0,4.0,6.0,5.0,2.0,10.0,1.0,8.0,10.0,3.0,2.0,,2.0,1.0,3.0,4.0,1.0,3.0,0.0,4.0,3.0,1.0,1.0,,2.0,62.0,,13.0,,8.0,,17.0,6.0,1.0,75.0,100.0,8.0,2.0,6.0,2.0,,,,,,,,,,,,,,,
150109791,Avengerippy,drakthul,34.0,7327.0,73.0,,,64.0,45.0,92.0,67.0,100.0,43.0,62.0,50.0,0.0,11.0,,,11.0,11.0,12.0,3.0,4.0,7.0,8.0,4.0,2.0,8.0,,,7.0,5.0,11.0,2.0,4.0,3.0,5.0,2.0,0.0,73.0,100.0,15.0,6.0,11.0,6.0,88.0,8.0,7.0,,55.0,,11.0,,6.0,67.0,86.0,6.0,7.0,4.0,6.0,,,,,,,,,
167094488,Bolderbast,tarren-mill,14.0,3157.0,0.0,,,75.0,67.0,62.0,67.0,,40.0,55.0,25.0,40.0,2.0,,,4.0,9.0,8.0,15.0,,10.0,11.0,8.0,15.0,0.0,,,3.0,6.0,5.0,10.0,,4.0,6.0,2.0,6.0,50.0,,2.0,,1.0,,57.0,7.0,4.0,,100.0,,1.0,,1.0,,,,,,,50.0,10.0,5.0,,,,,,
100414051,Ötztwo,ysondre,16.0,17821.0,55.0,53.0,51.0,66.0,67.0,,0.0,,,,,,22.0,70.0,49.0,29.0,15.0,,1.0,,,,,,12.0,37.0,25.0,19.0,10.0,,0.0,,,,,,42.0,,38.0,,16.0,,82.0,22.0,18.0,47.0,0.0,34.0,2.0,16.0,0.0,,,,,,,,,,,,,,,
141445649,Adrianie,ysera,126.0,140.0,,,,,0.0,,,,0.0,100.0,0.0,,,,,,1.0,,,,1.0,1.0,1.0,,,,,,0.0,,,,0.0,1.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
132278049,Oliiver,drakthul,6.0,1300.0,0.0,100.0,,50.0,,,0.0,100.0,0.0,,,,2.0,1.0,,4.0,,,1.0,1.0,1.0,,,,0.0,1.0,,2.0,,,0.0,1.0,0.0,,,,100.0,100.0,2.0,1.0,2.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,
76947846,Kynval,nemesis,10.0,7648.0,40.0,67.0,43.0,33.0,59.0,46.0,27.0,,100.0,100.0,0.0,,20.0,33.0,21.0,12.0,22.0,13.0,11.0,,1.0,1.0,1.0,,8.0,22.0,9.0,4.0,13.0,6.0,3.0,,1.0,1.0,0.0,,45.0,,22.0,,10.0,,39.0,18.0,7.0,45.0,,20.0,,9.0,,,0.0,,2.0,,0.0,,,,,,,,,
153791439,Callydon,tarren-mill,22.0,5697.0,38.0,42.0,67.0,30.0,57.0,50.0,74.0,100.0,60.0,100.0,0.0,75.0,8.0,12.0,6.0,10.0,14.0,8.0,19.0,2.0,5.0,1.0,1.0,4.0,3.0,5.0,4.0,3.0,8.0,4.0,14.0,2.0,3.0,1.0,0.0,3.0,40.0,,10.0,,4.0,,90.0,10.0,9.0,0.0,50.0,3.0,2.0,0.0,1.0,,100.0,,1.0,,1.0,,,,0.0,1.0,0.0,,,
183148479,Медаяз,gordunni,15.0,2420.0,100.0,33.0,25.0,100.0,50.0,50.0,33.0,33.0,50.0,,100.0,0.0,1.0,3.0,4.0,3.0,4.0,2.0,6.0,3.0,4.0,,1.0,1.0,1.0,1.0,1.0,3.0,2.0,1.0,2.0,1.0,2.0,,1.0,0.0,20.0,,5.0,,1.0,,,,,100.0,50.0,2.0,2.0,2.0,1.0,,,,,,,,,,100.0,1.0,1.0,,,
133368774,Qunaii,defias-brotherhood,29.0,1882.0,50.0,,,25.0,100.0,0.0,,,0.0,50.0,50.0,60.0,6.0,,,4.0,1.0,1.0,,,1.0,4.0,2.0,5.0,3.0,,,1.0,1.0,0.0,,,0.0,2.0,1.0,3.0,80.0,,5.0,,4.0,,25.0,4.0,1.0,,,,,,,0.0,0.0,1.0,6.0,0.0,0.0,50.0,2.0,1.0,,,,,,
169342255,Kelmidar,burning-blade,30.0,92.0,,,,,,,,,,100.0,,,,,,,,,,,,1.0,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
141531119,Panikopytko,drakthul,22.0,109.0,,,,,100.0,,,,,,,,,,,,1.0,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
117750486,Topical,stormscale,16.0,1367.0,29.0,,,0.0,50.0,,100.0,,33.0,75.0,100.0,50.0,7.0,,,3.0,2.0,,3.0,,3.0,4.0,1.0,2.0,2.0,,,0.0,1.0,,3.0,,1.0,3.0,1.0,1.0,75.0,,4.0,,3.0,,,,,,,,,,,,,,,,,,,,50.0,2.0,1.0,,,
144139938,Lynchburg,twisting-nether,93.0,114051.0,66.0,57.0,56.0,72.0,50.0,42.0,79.0,100.0,0.0,33.0,,0.0,196.0,190.0,184.0,161.0,101.0,12.0,14.0,1.0,1.0,3.0,,2.0,129.0,108.0,103.0,116.0,51.0,5.0,11.0,1.0,0.0,1.0,,0.0,58.0,,88.0,,51.0,,49.0,43.0,21.0,47.0,,155.0,,73.0,,,,,,,,,,,,,,,,
96347902,Asemblle,drakthul,23.0,8948.0,44.0,73.0,62.0,50.0,31.0,56.0,45.0,46.0,114.0,100.0,75.0,,9.0,11.0,13.0,8.0,16.0,16.0,20.0,13.0,7.0,4.0,4.0,,4.0,8.0,8.0,4.0,5.0,9.0,9.0,6.0,8.0,4.0,3.0,,53.0,,15.0,,8.0,,50.0,18.0,9.0,25.0,50.0,8.0,2.0,2.0,1.0,,,,,,,,,,0.0,1.0,0.0,,,
118699248,Zaryn,uldaman,5.0,1018.0,,50.0,33.0,,100.0,100.0,50.0,100.0,50.0,,,100.0,,2.0,3.0,,1.0,1.0,2.0,1.0,2.0,,,1.0,,1.0,1.0,,1.0,1.0,1.0,1.0,1.0,,,1.0,,,,,,,,,,,,,,,,,,,,,,0.0,1.0,0.0,,,,,,
153375291,Loabalboa,malganis,19.0,4459.0,42.0,33.0,,50.0,75.0,58.0,89.0,100.0,25.0,50.0,25.0,100.0,12.0,3.0,,6.0,4.0,12.0,9.0,2.0,8.0,4.0,8.0,1.0,5.0,1.0,,3.0,3.0,7.0,8.0,2.0,2.0,2.0,2.0,1.0,25.0,,4.0,,1.0,,20.0,5.0,1.0,100.0,50.0,1.0,6.0,1.0,3.0,,,,,,,,,,,,,,,
156893097,Dawnbringer,archimonde,12.0,1099.0,100.0,,,33.0,,,100.0,,100.0,0.0,0.0,,1.0,,,3.0,,,1.0,,2.0,3.0,2.0,,1.0,,,1.0,,,1.0,,2.0,0.0,0.0,,,,,,,,,,,,0.0,,1.0,,0.0,,,,,,,,,,,,,,,
130553238,Ephalistos,sargeras,77.0,12353.0,53.0,61.0,42.0,25.0,62.0,56.0,62.0,50.0,62.0,50.0,33.0,60.0,19.0,31.0,26.0,8.0,40.0,34.0,37.0,20.0,13.0,6.0,6.0,10.0,10.0,19.0,11.0,2.0,25.0,19.0,23.0,10.0,8.0,3.0,2.0,6.0,48.0,,21.0,,10.0,,46.0,26.0,12.0,50.0,40.0,18.0,5.0,9.0,2.0,,,,,,,167.0,6.0,10.0,100.0,1.0,1.0,,,
150562402,Knowmexx,blackmoore,32.0,887.0,50.0,,,100.0,100.0,,100.0,,67.0,100.0,50.0,67.0,2.0,,,3.0,1.0,,1.0,,3.0,2.0,2.0,3.0,1.0,,,3.0,1.0,,1.0,,2.0,2.0,1.0,2.0,,,,,,,100.0,2.0,2.0,,100.0,,1.0,,1.0,,,,,,,100.0,2.0,2.0,,,,,,
154220855,Eliasér,zuljin,51.0,53942.0,53.0,64.0,59.0,45.0,57.0,61.0,42.0,39.0,57.0,100.0,67.0,50.0,68.0,223.0,176.0,38.0,106.0,49.0,43.0,28.0,7.0,2.0,3.0,4.0,36.0,143.0,103.0,17.0,60.0,30.0,18.0,11.0,4.0,2.0,2.0,2.0,54.0,,122.0,,66.0,,58.0,91.0,53.0,57.0,75.0,136.0,4.0,77.0,3.0,,60.0,,5.0,,3.0,7000.0,1.0,70.0,100.0,1.0,1.0,,,
193148121,Aléxr,kazzak,71.0,31170.0,60.0,46.0,53.0,63.0,44.0,56.0,57.0,57.0,64.0,100.0,100.0,100.0,78.0,127.0,116.0,73.0,34.0,18.0,28.0,7.0,11.0,7.0,1.0,2.0,47.0,58.0,62.0,46.0,15.0,10.0,16.0,4.0,7.0,7.0,1.0,2.0,48.0,,98.0,,47.0,,67.0,30.0,20.0,43.0,50.0,100.0,2.0,43.0,1.0,,,,,,,4200.0,1.0,42.0,100.0,2.0,2.0,,,
168873055,Капитанбрукс,howling-fjord,41.0,742.0,100.0,,,50.0,,,,,67.0,0.0,100.0,,1.0,,,4.0,,,,,3.0,2.0,1.0,,1.0,,,2.0,,,,,2.0,0.0,1.0,,50.0,,2.0,,1.0,,100.0,1.0,1.0,,33.0,,3.0,,1.0,,,,,,,,,,100.0,1.0,1.0,,,
176474438,Vìzzer,burning-legion,55.0,2516.0,0.0,100.0,100.0,,43.0,33.0,55.0,60.0,100.0,78.0,57.0,62.0,1.0,2.0,1.0,,7.0,9.0,11.0,5.0,5.0,9.0,14.0,8.0,0.0,2.0,1.0,,3.0,3.0,6.0,3.0,5.0,7.0,8.0,5.0,33.0,,9.0,,3.0,,50.0,10.0,5.0,,,,,,,,,,,,,,,,100.0,1.0,1.0,,,
164644939,Valourholy,bronzebeard,14.0,417.0,,,,,0.0,0.0,,,67.0,100.0,100.0,,,,,,1.0,1.0,,,3.0,2.0,1.0,,,,,,0.0,0.0,,,2.0,2.0,1.0,,0.0,,2.0,,0.0,,,,,,,,,,,,,,,,,100.0,1.0,1.0,,,,,,
164846211,Holyrayén,blackrock,6.0,103.0,,,,,,,0.0,,,,,,,,,,,,1.0,,,,,,,,,,,,0.0,,,,,,,,,,,,100.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,
114417971,Biftek,stormscale,29.0,3926.0,91.0,,,25.0,57.0,89.0,64.0,,33.0,71.0,67.0,62.0,11.0,,,4.0,7.0,9.0,11.0,,6.0,7.0,6.0,8.0,10.0,,,1.0,4.0,8.0,7.0,,2.0,5.0,4.0,5.0,50.0,,6.0,,3.0,,71.0,7.0,5.0,,20.0,,5.0,,1.0,,,,,,,100.0,1.0,1.0,0.0,2.0,0.0,,,
175857019,Tindertank,twisting-nether,21.0,242.0,,,,,0.0,0.0,100.0,,75.0,0.0,,50.0,,,,,1.0,1.0,1.0,,4.0,1.0,,2.0,,,,,0.0,0.0,1.0,,3.0,0.0,,1.0,,,,,,,100.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,
110693952,Waniaa,eredar,49.0,4075.0,0.0,50.0,0.0,25.0,53.0,45.0,52.0,0.0,71.0,75.0,0.0,20.0,1.0,8.0,1.0,4.0,17.0,11.0,25.0,1.0,7.0,8.0,2.0,5.0,0.0,4.0,0.0,1.0,9.0,5.0,13.0,0.0,5.0,6.0,0.0,1.0,50.0,100.0,2.0,3.0,1.0,3.0,73.0,11.0,8.0,0.0,100.0,1.0,3.0,0.0,3.0,,,,,,,75.0,4.0,3.0,,,,,,
94673446,Megnar,twisting-nether,176.0,24028.0,24.0,59.0,55.0,7.0,54.0,53.0,61.0,67.0,860.0,50.0,50.0,43.0,29.0,103.0,64.0,14.0,100.0,95.0,107.0,45.0,5.0,4.0,4.0,7.0,7.0,61.0,35.0,1.0,54.0,50.0,65.0,30.0,43.0,2.0,2.0,3.0,57.0,,42.0,,24.0,,60.0,97.0,58.0,48.0,50.0,25.0,6.0,12.0,3.0,,,,,,,81.0,16.0,13.0,33.0,3.0,1.0,,,
160212062,Schnipporet,tarren-mill,14.0,240.0,,,,,,100.0,50.0,,,,0.0,,,,,,,1.0,2.0,,,,1.0,,,,,,,1.0,1.0,,,,0.0,,100.0,,1.0,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,
165037468,Diktrol,stormreaver,16.0,2301.0,50.0,,,100.0,100.0,62.0,67.0,,67.0,100.0,20.0,88.0,6.0,,,2.0,1.0,8.0,3.0,,3.0,2.0,5.0,8.0,3.0,,,2.0,1.0,5.0,2.0,,2.0,2.0,1.0,7.0,67.0,,3.0,,2.0,,57.0,7.0,4.0,,50.0,,4.0,,2.0,,100.0,,1.0,,1.0,0.0,2.0,0.0,100.0,4.0,4.0,,,
161199001,Darkbelow,drakthul,24.0,4289.0,0.0,,,0.0,83.0,78.0,53.0,75.0,77.0,75.0,86.0,100.0,1.0,,,1.0,12.0,9.0,15.0,8.0,13.0,8.0,7.0,2.0,0.0,,,0.0,10.0,7.0,8.0,6.0,10.0,6.0,6.0,2.0,57.0,,7.0,,4.0,,71.0,17.0,12.0,,,,,,,,,,,,,,,,,,,,,
176086092,Fexe,ragnaros,27.0,37484.0,39.0,41.0,32.0,22.0,46.0,65.0,59.0,45.0,160.0,82.0,20.0,60.0,49.0,32.0,25.0,27.0,13.0,17.0,22.0,11.0,5.0,11.0,5.0,5.0,19.0,13.0,8.0,6.0,6.0,11.0,13.0,5.0,8.0,9.0,1.0,3.0,53.0,,32.0,,17.0,,43.0,14.0,6.0,61.0,78.0,18.0,9.0,11.0,7.0,100.0,100.0,1.0,1.0,1.0,1.0,,,,,,,,,
68803876,Shivah,ravencrest,81.0,58621.0,57.0,71.0,70.0,61.0,73.0,60.0,66.0,57.0,33.0,,0.0,100.0,191.0,262.0,164.0,142.0,203.0,43.0,53.0,23.0,3.0,,1.0,1.0,109.0,187.0,115.0,86.0,148.0,26.0,35.0,13.0,1.0,,0.0,1.0,64.0,,168.0,,108.0,,71.0,227.0,161.0,64.0,0.0,223.0,1.0,143.0,0.0,,,,,,,,,,100.0,2.0,2.0,,,
20670128,Messii,drakthul,34.0,40031.0,66.0,68.0,66.0,62.0,65.0,86.0,38.0,83.0,69.0,70.0,67.0,67.0,128.0,156.0,169.0,40.0,26.0,21.0,21.0,6.0,13.0,10.0,9.0,6.0,84.0,106.0,112.0,25.0,17.0,18.0,8.0,5.0,9.0,7.0,6.0,4.0,67.0,,97.0,,65.0,,86.0,14.0,12.0,65.0,67.0,101.0,3.0,66.0,2.0,,80.0,,5.0,,4.0,2067.0,3.0,62.0,,,,,,
121323814,Stalorka,drakthul,56.0,13462.0,79.0,60.0,45.0,38.0,48.0,52.0,56.0,75.0,60.0,100.0,33.0,67.0,38.0,62.0,38.0,34.0,27.0,23.0,25.0,16.0,5.0,3.0,3.0,3.0,30.0,37.0,17.0,13.0,13.0,12.0,14.0,12.0,3.0,3.0,1.0,2.0,46.0,,26.0,,12.0,,43.0,23.0,10.0,42.0,,36.0,,15.0,,,,,,,,700.0,1.0,7.0,,,,,,
165207487,Titiran,drakthul,24.0,1352.0,100.0,,,0.0,100.0,80.0,33.0,,67.0,50.0,33.0,67.0,1.0,,,1.0,4.0,5.0,3.0,,6.0,2.0,3.0,6.0,1.0,,,0.0,4.0,4.0,1.0,,4.0,1.0,1.0,4.0,75.0,,4.0,,3.0,,100.0,2.0,2.0,,,,,,,,,,,,,0.0,3.0,0.0,100.0,1.0,1.0,,,
157863704,Aishei,drakthul,16.0,1506.0,100.0,,,50.0,100.0,67.0,0.0,,33.0,100.0,100.0,25.0,1.0,,,2.0,2.0,3.0,2.0,,3.0,1.0,2.0,4.0,1.0,,,1.0,2.0,2.0,0.0,,1.0,1.0,2.0,1.0,,,,,,,50.0,2.0,1.0,,100.0,,3.0,,3.0,,,,,,,0.0,1.0,0.0,,,,,,
111730213,Bulbuci,draenor,25.0,3602.0,,,,33.0,100.0,100.0,0.0,,100.0,75.0,67.0,100.0,,,,3.0,1.0,1.0,1.0,,2.0,4.0,3.0,2.0,,,,1.0,1.0,1.0,0.0,,2.0,3.0,2.0,2.0,100.0,,1.0,,1.0,,,,,,60.0,,5.0,,3.0,,80.0,,5.0,,4.0,,,,67.0,6.0,4.0,,,
149922389,Verdikt,alleria,13.0,3767.0,60.0,50.0,20.0,100.0,31.0,40.0,43.0,67.0,0.0,57.0,,100.0,5.0,8.0,5.0,4.0,13.0,5.0,14.0,3.0,4.0,7.0,,2.0,3.0,4.0,1.0,4.0,4.0,2.0,6.0,2.0,0.0,4.0,,2.0,100.0,100.0,9.0,4.0,9.0,4.0,67.0,3.0,2.0,0.0,80.0,1.0,5.0,0.0,4.0,,,,,,,,,,,,,,,
244844901,Танкохилодпс,borean-tundra,7.0,1525.0,29.0,,,50.0,50.0,,67.0,,0.0,100.0,0.0,60.0,7.0,,,2.0,2.0,,3.0,,3.0,1.0,3.0,5.0,2.0,,,1.0,1.0,,2.0,,0.0,1.0,0.0,3.0,33.0,,3.0,,1.0,,100.0,2.0,2.0,,50.0,,2.0,,1.0,,,,,,,,,,0.0,2.0,0.0,,,
184106006,Спангебуб,gordunni,59.0,13508.0,70.0,33.0,100.0,40.0,33.0,69.0,52.0,80.0,77.0,75.0,57.0,33.0,10.0,3.0,2.0,10.0,12.0,26.0,25.0,5.0,22.0,16.0,7.0,6.0,7.0,1.0,2.0,4.0,4.0,18.0,13.0,4.0,17.0,12.0,4.0,2.0,82.0,100.0,11.0,19.0,9.0,19.0,86.0,7.0,6.0,,53.0,,17.0,,9.0,100.0,40.0,3.0,5.0,3.0,2.0,50.0,4.0,2.0,100.0,2.0,2.0,,,
28405849,Yukine,drakthul,87.0,26932.0,49.0,67.0,56.0,65.0,58.0,83.0,44.0,75.0,60.0,100.0,40.0,,101.0,97.0,81.0,49.0,26.0,12.0,9.0,4.0,10.0,4.0,5.0,,49.0,65.0,45.0,32.0,15.0,10.0,4.0,3.0,6.0,4.0,2.0,,62.0,100.0,63.0,43.0,39.0,43.0,36.0,28.0,10.0,60.0,40.0,52.0,5.0,31.0,2.0,100.0,33.0,2.0,6.0,2.0,2.0,,,,100.0,1.0,1.0,,,
163632883,Aitas,tarren-mill,162.0,100346.0,51.0,62.0,60.0,45.0,65.0,66.0,65.0,58.0,500.0,100.0,60.0,0.0,210.0,247.0,290.0,225.0,265.0,181.0,186.0,84.0,8.0,3.0,5.0,1.0,108.0,154.0,173.0,102.0,171.0,120.0,121.0,49.0,40.0,3.0,3.0,0.0,60.0,100.0,235.0,36.0,140.0,36.0,62.0,257.0,159.0,55.0,100.0,222.0,4.0,123.0,4.0,,0.0,,5.0,,0.0,,,,100.0,2.0,2.0,,,
191894188,Panzarjohnny,kazzak,44.0,787.0,0.0,,,40.0,33.0,100.0,100.0,,,40.0,0.0,0.0,1.0,,,5.0,3.0,1.0,3.0,,,5.0,1.0,1.0,0.0,,,2.0,1.0,1.0,3.0,,,2.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
154538607,Angeloladin,blackrock,137.0,2624.0,67.0,,,50.0,83.0,86.0,33.0,,43.0,88.0,100.0,20.0,6.0,,,2.0,6.0,7.0,12.0,,7.0,8.0,1.0,5.0,4.0,,,1.0,5.0,6.0,4.0,,3.0,7.0,1.0,1.0,67.0,,3.0,,2.0,,67.0,6.0,4.0,,100.0,,3.0,,3.0,,,,,,,,,,,,,,,
175158446,Strunfy,twisting-nether,11.0,900.0,0.0,,,67.0,100.0,,67.0,,100.0,100.0,,0.0,1.0,,,3.0,1.0,,3.0,,1.0,1.0,,1.0,0.0,,,2.0,1.0,,2.0,,1.0,1.0,,0.0,,,,,,,,,,,25.0,,4.0,,1.0,,,,,,,0.0,1.0,0.0,100.0,1.0,1.0,,,
150735824,Elwingá,burning-legion,52.0,8282.0,36.0,83.0,,50.0,50.0,40.0,50.0,,20.0,40.0,53.0,75.0,11.0,6.0,,14.0,6.0,5.0,18.0,,5.0,10.0,15.0,4.0,4.0,5.0,,7.0,3.0,2.0,9.0,,1.0,4.0,8.0,3.0,100.0,100.0,4.0,3.0,4.0,3.0,60.0,5.0,3.0,,57.0,,7.0,,4.0,0.0,50.0,1.0,4.0,0.0,2.0,,,,75.0,4.0,3.0,,,
148090504,Saruseq,burning-legion,14.0,5991.0,50.0,29.0,40.0,67.0,29.0,38.0,33.0,33.0,36.0,30.0,56.0,71.0,2.0,17.0,5.0,3.0,14.0,16.0,15.0,3.0,14.0,10.0,9.0,7.0,1.0,5.0,2.0,2.0,4.0,6.0,5.0,1.0,5.0,3.0,5.0,5.0,50.0,,6.0,,3.0,,25.0,16.0,4.0,100.0,100.0,1.0,1.0,1.0,1.0,100.0,,1.0,,1.0,,,,,100.0,1.0,1.0,,,
134244517,Marhun,drakthul,37.0,1067.0,,80.0,100.0,,0.0,100.0,60.0,,0.0,100.0,75.0,100.0,,5.0,2.0,,3.0,1.0,5.0,,2.0,1.0,4.0,2.0,,4.0,2.0,,0.0,1.0,3.0,,0.0,1.0,3.0,2.0,50.0,,4.0,,2.0,,33.0,3.0,1.0,,,,,,,,,,,,,0.0,1.0,0.0,,,,,,
145191273,Парломис,howling-fjord,26.0,6164.0,100.0,67.0,50.0,67.0,88.0,69.0,67.0,50.0,67.0,50.0,0.0,67.0,2.0,3.0,4.0,3.0,8.0,13.0,12.0,2.0,9.0,2.0,2.0,3.0,2.0,2.0,2.0,2.0,7.0,9.0,8.0,1.0,6.0,1.0,0.0,2.0,100.0,,2.0,,2.0,,100.0,5.0,5.0,,50.0,,2.0,,1.0,,,,,,,,,,50.0,2.0,1.0,,,
98790741,Pyörätuoli,stormscale,30.0,7089.0,55.0,36.0,41.0,70.0,64.0,53.0,56.0,40.0,50.0,50.0,67.0,62.0,11.0,14.0,17.0,10.0,14.0,17.0,9.0,5.0,6.0,4.0,3.0,8.0,6.0,5.0,7.0,7.0,9.0,9.0,5.0,2.0,3.0,2.0,2.0,5.0,44.0,,9.0,,4.0,,69.0,13.0,9.0,40.0,0.0,5.0,3.0,2.0,0.0,100.0,,1.0,,1.0,,75.0,4.0,3.0,100.0,1.0,1.0,,,
158487277,Crazywings,blackhand,14.0,1206.0,100.0,,,,50.0,100.0,100.0,,100.0,50.0,50.0,50.0,1.0,,,,4.0,1.0,2.0,,2.0,2.0,2.0,2.0,1.0,,,,2.0,1.0,2.0,,2.0,1.0,1.0,1.0,100.0,,3.0,,3.0,,75.0,4.0,3.0,,100.0,,1.0,,1.0,100.0,,1.0,,1.0,,50.0,2.0,1.0,,,,,,
145636880,Fodenpala,twisting-nether,57.0,4295.0,40.0,,,33.0,25.0,33.0,75.0,0.0,50.0,44.0,50.0,50.0,5.0,,,3.0,4.0,3.0,4.0,3.0,6.0,9.0,10.0,2.0,2.0,,,1.0,1.0,1.0,3.0,0.0,3.0,4.0,5.0,1.0,43.0,,7.0,,3.0,,100.0,5.0,5.0,,33.0,,3.0,,1.0,,,,,,,50.0,2.0,1.0,100.0,1.0,1.0,,,
165797653,Päm,twisting-nether,43.0,2115.0,0.0,,,,0.0,67.0,0.0,,0.0,33.0,100.0,0.0,1.0,,,,1.0,3.0,4.0,,1.0,3.0,2.0,2.0,0.0,,,,0.0,2.0,0.0,,0.0,1.0,2.0,0.0,33.0,,3.0,,1.0,,0.0,2.0,0.0,,50.0,,4.0,,2.0,,17.0,,18.0,,3.0,,,,,,,,,
157171057,Vicker,stormscale,13.0,123.0,,,,0.0,,0.0,,,,,100.0,100.0,,,,1.0,,2.0,,,,,1.0,1.0,,,,0.0,,0.0,,,,,1.0,1.0,,,,,,,100.0,1.0,1.0,,,,,,,,,,,,,100.0,1.0,1.0,,,,,,
156908535,Gabil,burning-legion,15.0,2117.0,100.0,,,50.0,50.0,50.0,40.0,0.0,100.0,100.0,100.0,,2.0,,,4.0,2.0,2.0,5.0,1.0,1.0,2.0,1.0,,2.0,,,2.0,1.0,1.0,2.0,0.0,1.0,2.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,67.0,3.0,2.0,,,
156356735,Liriel,stormscale,31.0,6928.0,54.0,82.0,86.0,56.0,100.0,75.0,60.0,100.0,,,,,13.0,17.0,14.0,9.0,2.0,8.0,5.0,1.0,,,,,7.0,14.0,12.0,5.0,2.0,6.0,3.0,1.0,,,,,100.0,,11.0,,11.0,,83.0,6.0,5.0,78.0,,9.0,,7.0,,,,,,,,,,,,,,,,
147280595,Negativedmg,kazzak,179.0,67969.0,82.0,80.0,57.0,36.0,91.0,86.0,75.0,100.0,133.0,50.0,100.0,100.0,11.0,10.0,7.0,14.0,11.0,7.0,12.0,4.0,3.0,2.0,1.0,3.0,9.0,8.0,4.0,5.0,10.0,6.0,9.0,4.0,4.0,1.0,1.0,3.0,62.0,,8.0,,5.0,,91.0,11.0,10.0,60.0,46.0,10.0,13.0,6.0,6.0,,,,,,,,,,67.0,3.0,2.0,,,
