character.id,character.name,character.realm.slug,honor_level,honorable_kills,Twin Peaks win_rate,Silvershard Mines win_rate,The Battle for Gilneas win_rate,Rated Eye of the Storm win_rate,Temple of Kotmogu win_rate,Ashran win_rate,Seething Shore win_rate,Arathi Basin win_rate,Battle for Wintergrasp win_rate,Deepwind Gorge win_rate,Twin Peaks played,Silvershard Mines played,The Battle for Gilneas played,Rated Eye of the Storm played,Temple of Kotmogu played,Ashran played,Seething Shore played,Arathi Basin played,Battle for Wintergrasp played,Deepwind Gorge played,Twin Peaks won,Silvershard Mines won,The Battle for Gilneas won,Rated Eye of the Storm won,Temple of Kotmogu won,Ashran won,Seething Shore won,Arathi Basin won,Battle for Wintergrasp won,Deepwind Gorge won,Alterac Valley win_rate,Classic Warsong Gulch win_rate,Classic Arathi Basin win_rate,Eye of the Storm win_rate,Deepwind Gorge (Legacy) win_rate,Warsong Gulch win_rate,Alterac Valley played,Classic Warsong Gulch played,Classic Arathi Basin played,Eye of the Storm played,Deepwind Gorge (Legacy) played,Warsong Gulch played,Alterac Valley won,Classic Warsong Gulch won,Classic Arathi Basin won,Eye of the Storm won,Deepwind Gorge (Legacy) won,Warsong Gulch won,Isle of Conquest win_rate,Isle of Conquest played,Isle of Conquest won,Strand of the Ancients win_rate,Korrak's Revenge win_rate,Strand of the Ancients played,Korrak's Revenge played,Strand of the Ancients won,Korrak's Revenge won,Arathi Basin Winter win_rate,Arathi Basin Winter played,Arathi Basin Winter won,Southshore vs. Tarren Mill win_rate,Cooking: Impossible win_rate,Southshore vs. Tarren Mill played,Cooking: Impossible played,Southshore vs. Tarren Mill won,Cooking: Impossible won,Arathi Basin Comp Stomp win_rate,Arathi Basin Comp Stomp played,Arathi Basin Comp Stomp won
193749388,Palrahz,archimonde,29.0,432.0,100.0,,,,,50.0,0.0,,100.0,0.0,1.0,,,,,2.0,1.0,,1.0,1.0,1.0,,,,,1.0,0.0,,1.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
147627220,Vexrek,burning-blade,5.0,632.0,0.0,0.0,33.0,100.0,100.0,,,,,,1.0,2.0,3.0,1.0,1.0,,,,,,0.0,0.0,1.0,1.0,1.0,,,,,,100.0,,,,,,1.0,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,
160711211,Hugen,tarren-mill,15.0,2967.0,100.0,62.0,80.0,0.0,75.0,50.0,86.0,100.0,,44.0,2.0,8.0,5.0,1.0,4.0,2.0,7.0,5.0,,9.0,2.0,5.0,4.0,0.0,3.0,1.0,6.0,5.0,,4.0,0.0,,,50.0,,57.0,2.0,,,4.0,,7.0,0.0,,,2.0,,4.0,50.0,2.0,1.0,,,,,,,,,,,,,,,,,,
175857019,Tindertank,twisting-nether,21.0,242.0,0.0,0.0,100.0,,100.0,,75.0,,,50.0,1.0,1.0,1.0,,1.0,,4.0,,,2.0,0.0,0.0,1.0,,1.0,,3.0,,,1.0,,,,,,0.0,,,,,,1.0,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,
185742940,Аисандра,soulflayer,38.0,1362.0,100.0,100.0,40.0,,0.0,,33.0,100.0,0.0,,2.0,3.0,5.0,,1.0,,3.0,1.0,1.0,,2.0,3.0,2.0,,0.0,,1.0,1.0,0.0,,0.0,,,0.0,100.0,,1.0,,,1.0,1.0,,0.0,,,0.0,1.0,,100.0,2.0,2.0,,,,,,,100.0,1.0,1.0,,,,,,,,,
173729590,Ævil,sanguino,106.0,32.0,,,,,,,0.0,,,,,,,,,,1.0,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
156975747,Holywings,uldum,101.0,3635.0,80.0,67.0,38.0,,40.0,100.0,44.0,40.0,0.0,0.0,10.0,6.0,8.0,,5.0,2.0,9.0,5.0,1.0,2.0,8.0,4.0,3.0,,2.0,2.0,4.0,2.0,0.0,0.0,50.0,100.0,67.0,40.0,33.0,40.0,2.0,2.0,3.0,5.0,3.0,5.0,1.0,2.0,2.0,2.0,1.0,2.0,25.0,4.0,1.0,,,,,,,,,,,,,,,,,,
134245080,Zedbug,spinebreaker,7.0,1238.0,60.0,100.0,83.0,,100.0,0.0,17.0,50.0,,50.0,5.0,1.0,6.0,,1.0,1.0,6.0,4.0,,2.0,3.0,1.0,5.0,,1.0,0.0,1.0,2.0,,1.0,33.0,,,,,67.0,3.0,,,,,3.0,1.0,,,,,2.0,100.0,1.0,1.0,,,,,,,,,,,,,,,,,,
124180279,Bopcorn,draenor,47.0,1746.0,100.0,0.0,100.0,,100.0,,67.0,100.0,,100.0,2.0,1.0,4.0,,3.0,,3.0,1.0,,2.0,2.0,0.0,4.0,,3.0,,2.0,1.0,,2.0,100.0,,,75.0,,33.0,1.0,,,8.0,,3.0,1.0,,,6.0,,1.0,67.0,3.0,2.0,,,,,,,,,,,,,,,,,,
162106185,Highforged,twisting-nether,31.0,95.0,,0.0,,,,,,,,,,1.0,,,,,,,,,,0.0,,,,,,,,,,,,0.0,,,,,,1.0,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,
197137246,Норлен,soulflayer,49.0,5991.0,46.0,69.0,44.0,,59.0,,57.0,78.0,100.0,58.0,13.0,16.0,16.0,,17.0,,14.0,9.0,3.0,12.0,6.0,11.0,7.0,,10.0,,8.0,7.0,3.0,7.0,40.0,,,83.0,,47.0,5.0,,,12.0,,17.0,2.0,,,10.0,,8.0,50.0,2.0,1.0,,33.0,,3.0,,1.0,100.0,1.0,1.0,,,,,,,100.0,1.0,1.0
110447787,Ayyah,stormscale,4.0,466.0,100.0,100.0,,,,,,100.0,,,1.0,1.0,,,,,,1.0,,,1.0,1.0,,,,,,1.0,,,,0.0,,,,50.0,,1.0,,,,2.0,,0.0,,,,1.0,,,,,,,,,,,,,,,,,,,,,
136242937,Estarossà,twisting-nether,41.0,27389.0,57.0,67.0,82.0,,64.0,,67.0,67.0,100.0,83.0,23.0,33.0,38.0,,33.0,,18.0,15.0,1.0,6.0,13.0,22.0,31.0,,21.0,,12.0,10.0,1.0,5.0,57.0,68.0,58.0,67.0,65.0,70.0,81.0,47.0,36.0,42.0,26.0,10.0,46.0,32.0,21.0,28.0,17.0,7.0,50.0,16.0,8.0,59.0,,22.0,,13.0,,,,,,,,,,,,,
158514551,Shoboligofut,tarren-mill,22.0,4632.0,57.0,65.0,56.0,,47.0,,0.0,0.0,100.0,,7.0,17.0,16.0,,17.0,,1.0,1.0,1.0,,4.0,11.0,9.0,,8.0,,0.0,0.0,1.0,,24.0,67.0,33.0,50.0,60.0,100.0,17.0,15.0,9.0,6.0,5.0,1.0,4.0,10.0,3.0,3.0,3.0,1.0,16.0,19.0,3.0,0.0,,2.0,,0.0,,,,,,,,,,,,,
156908535,Gabil,burning-legion,15.0,2117.0,50.0,50.0,,,40.0,67.0,100.0,100.0,,,2.0,2.0,,,5.0,3.0,1.0,1.0,,,1.0,1.0,,,2.0,2.0,1.0,1.0,,,100.0,,,,0.0,100.0,2.0,,,,1.0,2.0,2.0,,,,0.0,2.0,50.0,4.0,2.0,,,,,,,,,,,,,,,,,,
175721864,Ondelia,hyjal,16.0,1150.0,0.0,50.0,100.0,,50.0,,,100.0,50.0,,1.0,4.0,1.0,,4.0,,,1.0,2.0,,0.0,2.0,1.0,,2.0,,,1.0,1.0,,50.0,50.0,100.0,100.0,,100.0,4.0,2.0,1.0,1.0,,2.0,2.0,1.0,1.0,1.0,,2.0,33.0,3.0,1.0,,,,,,,,,,,,,,,,100.0,3.0,3.0
145191273,Парломис,howling-fjord,26.0,6164.0,88.0,69.0,100.0,,67.0,50.0,67.0,0.0,50.0,67.0,8.0,13.0,5.0,,12.0,2.0,9.0,2.0,2.0,3.0,7.0,9.0,5.0,,8.0,1.0,6.0,0.0,1.0,2.0,100.0,67.0,50.0,100.0,50.0,50.0,2.0,3.0,4.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,1.0,1.0,67.0,3.0,2.0,,,,,,,,,,,,,,,,,,
195442580,Выклучатель,soulflayer,15.0,4833.0,100.0,100.0,100.0,,100.0,,50.0,100.0,100.0,67.0,2.0,3.0,1.0,,1.0,,4.0,2.0,5.0,3.0,2.0,3.0,1.0,,1.0,,2.0,2.0,5.0,2.0,,,,67.0,,50.0,,,,9.0,,6.0,,,,6.0,,3.0,100.0,1.0,1.0,,100.0,,3.0,,3.0,,,,,,,,,,,,
164644939,Valourholy,bronzebeard,14.0,417.0,0.0,0.0,,100.0,,,67.0,100.0,,,1.0,1.0,,1.0,,,3.0,1.0,,,0.0,0.0,,1.0,,,2.0,1.0,,,,,,0.0,,100.0,,,,2.0,,2.0,,,,0.0,,2.0,,,,,,,,,,,,,,,,,,,,,
84566364,Sariwa,blackhand,45.0,20242.0,65.0,52.0,42.0,,50.0,,100.0,50.0,43.0,0.0,26.0,31.0,26.0,,12.0,,2.0,2.0,7.0,1.0,17.0,16.0,11.0,,6.0,,2.0,1.0,3.0,0.0,30.0,60.0,54.0,48.0,56.0,0.0,37.0,45.0,37.0,40.0,16.0,2.0,11.0,27.0,20.0,19.0,9.0,0.0,18.0,22.0,4.0,62.0,,32.0,,20.0,,,,,,,,,,,100.0,22.0,22.0
87008979,Beork,frostwolf,36.0,635.0,100.0,,,,,33.0,100.0,,,100.0,1.0,,,,,3.0,4.0,,,2.0,1.0,,,,,1.0,4.0,,,2.0,0.0,100.0,0.0,50.0,,,1.0,1.0,1.0,2.0,,,0.0,1.0,0.0,1.0,,,0.0,1.0,0.0,,,,,,,,,,,,,,,,,,
183917942,Zacefron,hyjal,32.0,136.0,0.0,,,,,,0.0,100.0,,,1.0,,,,,,1.0,1.0,,,0.0,,,,,,0.0,1.0,,,,,,0.0,,,,,,1.0,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,
