character.id,character.name,character.realm.slug,honor_level,honorable_kills,Alterac Valley win_rate,Classic Warsong Gulch win_rate,Classic Arathi Basin win_rate,Eye of the Storm win_rate,Strand of the Ancients win_rate,Isle of Conquest win_rate,Twin Peaks win_rate,Silvershard Mines win_rate,The Battle for Gilneas win_rate,Temple of Kotmogu win_rate,Deepwind Gorge (Legacy) win_rate,Ashran win_rate,Arathi Basin Winter win_rate,Seething Shore win_rate,Warsong Gulch win_rate,Arathi Basin win_rate,Battle for Wintergrasp win_rate,Arathi Basin Comp Stomp win_rate,Deepwind Gorge win_rate,Alterac Valley played,Classic Warsong Gulch played,Classic Arathi Basin played,Eye of the Storm played,Strand of the Ancients played,Isle of Conquest played,Twin Peaks played,Silvershard Mines played,The Battle for Gilneas played,Temple of Kotmogu played,Deepwind Gorge (Legacy) played,Ashran played,Arathi Basin Winter played,Seething Shore played,Warsong Gulch played,Arathi Basin played,Battle for Wintergrasp played,Arathi Basin Comp Stomp played,Deepwind Gorge played,Alterac Valley won,Classic Warsong Gulch won,Classic Arathi Basin won,Eye of the Storm won,Strand of the Ancients won,Isle of Conquest won,Twin Peaks won,Silvershard Mines won,The Battle for Gilneas won,Temple of Kotmogu won,Deepwind Gorge (Legacy) won,Ashran won,Arathi Basin Winter won,Seething Shore won,Warsong Gulch won,Arathi Basin won,Battle for Wintergrasp won,Arathi Basin Comp Stomp won,Deepwind Gorge won,Rated Eye of the Storm win_rate,Korrak's Revenge win_rate,Rated Eye of the Storm played,Korrak's Revenge played,Rated Eye of the Storm won,Korrak's Revenge won,Cooking: Impossible win_rate,Cooking: Impossible played,Cooking: Impossible won,Southshore vs. Tarren Mill win_rate,Southshore vs. Tarren Mill played,Southshore vs. Tarren Mill won
154285510,Ciccero,stormscale,27.0,5890.0,50.0,50.0,,83.0,,100.0,87.0,85.0,91.0,73.0,89.0,,,90.0,73.0,85.0,0.0,,100.0,2.0,2.0,,12.0,,1.0,15.0,13.0,11.0,22.0,9.0,,,10.0,11.0,13.0,2.0,,5.0,1.0,1.0,,10.0,,1.0,13.0,11.0,10.0,16.0,8.0,,,9.0,8.0,11.0,0.0,,5.0,,,,,,,,,,,,
162834790,Taurageddon,draenor,10.0,1742.0,40.0,,,100.0,,33.0,25.0,20.0,40.0,50.0,,100.0,,100.0,0.0,71.0,0.0,,83.0,5.0,,,1.0,,6.0,8.0,5.0,5.0,4.0,,3.0,,2.0,2.0,7.0,2.0,,6.0,2.0,,,1.0,,2.0,2.0,1.0,2.0,2.0,,3.0,,2.0,0.0,5.0,0.0,,5.0,50.0,,2.0,,1.0,,,,,,,
163855564,Оникаминсайд,howling-fjord,51.0,176.0,,,,,,,100.0,100.0,100.0,100.0,,,,,,,,,,,,,,,,1.0,1.0,1.0,1.0,,,,,,,,,,,,,,,,1.0,1.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,
166027883,Steelysteve,tarren-mill,10.0,2.0,0.0,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
83696336,Palast,nemesis,5.0,290.0,,,0.0,,,,50.0,0.0,0.0,100.0,,,,,100.0,,,,0.0,,,1.0,,,,2.0,1.0,1.0,1.0,,,,,1.0,,,,1.0,,,0.0,,,,1.0,0.0,0.0,1.0,,,,,1.0,,,,0.0,,,,,,,,,,,,
195031258,Duriandyl,archimonde,5.0,2659.0,50.0,71.0,33.0,50.0,0.0,,67.0,43.0,67.0,80.0,100.0,,,100.0,33.0,,,,0.0,2.0,7.0,3.0,4.0,1.0,,6.0,7.0,3.0,5.0,2.0,,,3.0,3.0,,,,1.0,1.0,5.0,1.0,2.0,0.0,,4.0,3.0,2.0,4.0,2.0,,,3.0,1.0,,,,0.0,,,,,,,,,,,,
162983328,Grimlyyee,twisting-nether,20.0,2490.0,60.0,,,60.0,,17.0,33.0,50.0,0.0,50.0,,,75.0,75.0,50.0,100.0,100.0,,50.0,10.0,,,5.0,,6.0,3.0,2.0,1.0,2.0,,,4.0,4.0,6.0,2.0,3.0,,10.0,6.0,,,3.0,,1.0,1.0,1.0,0.0,1.0,,,3.0,3.0,3.0,2.0,3.0,,5.0,,,,,,,,,,,,
163358913,Celex,tarren-mill,2.0,118.0,,,,0.0,,,,,,,,100.0,,,,,,,100.0,,,,1.0,,,,,,,,1.0,,,,,,,1.0,,,,0.0,,,,,,,,1.0,,,,,,,1.0,,,,,,,,,,,,
147315390,Rhaygaer,magtheridon,5.0,810.0,100.0,,,0.0,,,100.0,100.0,0.0,,,0.0,,0.0,0.0,100.0,100.0,100.0,100.0,1.0,,,2.0,,,2.0,1.0,1.0,,,1.0,,2.0,2.0,2.0,1.0,14.0,4.0,1.0,,,0.0,,,2.0,1.0,0.0,,,0.0,,0.0,0.0,2.0,1.0,14.0,4.0,,,,,,,,,,,,
108313845,Kiwiya,ravencrest,9.0,65580.0,52.0,55.0,55.0,49.0,47.0,50.0,71.0,40.0,61.0,67.0,40.0,,,50.0,100.0,0.0,,,100.0,81.0,212.0,207.0,113.0,150.0,34.0,42.0,10.0,28.0,12.0,5.0,,,2.0,1.0,1.0,,,1.0,42.0,117.0,113.0,55.0,70.0,17.0,30.0,4.0,17.0,8.0,2.0,,,1.0,1.0,0.0,,,1.0,,,,,,,,,,,,
196682532,Deeppally,kazzak,36.0,240.0,100.0,,,,,,100.0,,,,,,,,,0.0,,,,1.0,,,,,,1.0,,,,,,,,,1.0,,,,1.0,,,,,,1.0,,,,,,,,,0.0,,,,,,,,,,,,,,,
170053575,Inprogress,tarren-mill,11.0,5153.0,31.0,55.0,76.0,31.0,19.0,23.0,30.0,47.0,46.0,54.0,0.0,,,,,100.0,,,100.0,61.0,20.0,21.0,13.0,16.0,26.0,10.0,17.0,13.0,13.0,3.0,,,,,1.0,,,1.0,19.0,11.0,16.0,4.0,3.0,6.0,3.0,8.0,6.0,7.0,0.0,,,,,1.0,,,1.0,,,,,,,,,,,,
103866719,Thonra,ravencrest,53.0,1543.0,50.0,,0.0,67.0,,0.0,50.0,,50.0,67.0,50.0,,,60.0,,50.0,50.0,,67.0,2.0,,2.0,3.0,,1.0,2.0,,2.0,3.0,2.0,,,5.0,,2.0,2.0,,3.0,1.0,,0.0,2.0,,0.0,1.0,,1.0,2.0,1.0,,,3.0,,1.0,1.0,,2.0,67.0,,3.0,,2.0,,,,,,,
175253993,Andreyx,twisting-nether,11.0,811.0,50.0,,,50.0,,33.0,33.0,,0.0,50.0,,20.0,,,100.0,100.0,0.0,,0.0,4.0,,,2.0,,3.0,3.0,,3.0,2.0,,5.0,,,1.0,1.0,1.0,,1.0,2.0,,,1.0,,1.0,1.0,,0.0,1.0,,1.0,,,1.0,1.0,0.0,,0.0,,,,,,,,,,,,
108691028,Fipsy,ragnaros,15.0,178.0,,100.0,,,,,0.0,,,,,,,,,,,,,,1.0,,,,,1.0,,,,,,,,,,,,,,1.0,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,
145667371,Evanhelsing,exodar,22.0,6378.0,33.0,50.0,50.0,57.0,0.0,100.0,50.0,60.0,70.0,59.0,25.0,75.0,100.0,67.0,55.0,50.0,0.0,100.0,0.0,12.0,22.0,6.0,7.0,3.0,1.0,18.0,15.0,10.0,34.0,4.0,4.0,1.0,6.0,11.0,4.0,1.0,1.0,3.0,4.0,11.0,3.0,4.0,0.0,1.0,9.0,9.0,7.0,20.0,1.0,3.0,1.0,4.0,6.0,2.0,0.0,1.0,0.0,0.0,100.0,1.0,7.0,0.0,7.0,,,,,,
163819113,Bikermaster,tarren-mill,2.0,1147.0,0.0,,,100.0,,100.0,,,,,,33.0,,,0.0,,33.0,,,1.0,,,1.0,,2.0,,,,,,3.0,,,1.0,,6.0,,,0.0,,,1.0,,2.0,,,,,,1.0,,,0.0,,2.0,,,,,,,,,,,,,,
226352059,Thaluun,sylvanas,3.0,80.0,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,
117392030,Luxdom,pozzo-delleternità,7.0,4511.0,17.0,20.0,33.0,24.0,0.0,23.0,43.0,14.0,25.0,11.0,0.0,67.0,100.0,0.0,67.0,0.0,50.0,100.0,100.0,18.0,5.0,6.0,17.0,2.0,13.0,7.0,7.0,4.0,9.0,1.0,3.0,1.0,1.0,3.0,1.0,2.0,3.0,2.0,3.0,1.0,2.0,4.0,0.0,3.0,3.0,1.0,1.0,1.0,0.0,2.0,1.0,0.0,2.0,0.0,1.0,3.0,2.0,,15.0,,13.0,,2.0,,,,,,
136235294,Келибримбор,gordunni,12.0,5963.0,50.0,100.0,,50.0,100.0,67.0,14.0,0.0,86.0,57.0,100.0,40.0,,25.0,100.0,80.0,33.0,,33.0,12.0,1.0,,2.0,1.0,9.0,7.0,4.0,7.0,7.0,1.0,10.0,,4.0,1.0,5.0,9.0,,3.0,6.0,1.0,,1.0,1.0,6.0,1.0,0.0,6.0,4.0,1.0,4.0,,1.0,1.0,4.0,3.0,,1.0,,0.0,,6.0,,0.0,,,,,,
93032556,Blino,ravencrest,27.0,3578.0,67.0,0.0,,50.0,0.0,100.0,33.0,18.0,31.0,43.0,33.0,,100.0,36.0,38.0,38.0,50.0,,73.0,3.0,1.0,,10.0,3.0,2.0,9.0,11.0,13.0,14.0,3.0,,1.0,11.0,13.0,16.0,2.0,,11.0,2.0,0.0,,5.0,0.0,2.0,3.0,2.0,4.0,6.0,1.0,,1.0,4.0,5.0,6.0,1.0,,8.0,67.0,,6.0,,4.0,,,,,,,
169009457,Aleyah,genjuros,23.0,15830.0,44.0,29.0,32.0,40.0,35.0,37.0,33.0,40.0,37.0,11.0,25.0,29.0,,50.0,25.0,33.0,50.0,,67.0,36.0,65.0,31.0,20.0,26.0,27.0,18.0,10.0,19.0,9.0,8.0,7.0,,2.0,4.0,3.0,4.0,,3.0,16.0,19.0,10.0,8.0,9.0,10.0,6.0,4.0,7.0,1.0,2.0,2.0,,1.0,1.0,1.0,2.0,,2.0,,,,,,,,,,,,
116067426,Nicolaîz,uldaman,21.0,25554.0,35.0,34.0,42.0,39.0,24.0,50.0,66.0,57.0,32.0,55.0,38.0,,100.0,50.0,78.0,71.0,0.0,100.0,67.0,17.0,41.0,40.0,36.0,29.0,16.0,50.0,35.0,34.0,42.0,24.0,,1.0,20.0,23.0,14.0,2.0,1.0,6.0,6.0,14.0,17.0,14.0,7.0,8.0,33.0,20.0,11.0,23.0,9.0,,1.0,10.0,18.0,10.0,0.0,1.0,4.0,,40.0,,10.0,,4.0,,,,,,
198097689,Twyra,wildhammer,6.0,553.0,100.0,,,,,,100.0,67.0,50.0,50.0,,,,67.0,100.0,,0.0,,100.0,2.0,,,,,,2.0,3.0,2.0,2.0,,,,3.0,1.0,,1.0,,1.0,2.0,,,,,,2.0,2.0,1.0,1.0,,,,2.0,1.0,,0.0,,1.0,,,,,,,,,,,,
193628624,Cynicallight,grim-batol,9.0,2478.0,,,,50.0,,,20.0,25.0,60.0,75.0,,,,20.0,100.0,50.0,,,33.0,,,,4.0,,,5.0,4.0,5.0,4.0,,,,5.0,2.0,4.0,,,6.0,,,,2.0,,,1.0,1.0,3.0,3.0,,,,1.0,2.0,2.0,,,2.0,,44.0,,9.0,,4.0,,,,,,
158426451,Panzerbüchse,antonidas,7.0,1235.0,,,,50.0,,50.0,100.0,,10.0,50.0,,,50.0,50.0,20.0,67.0,,,67.0,,,,2.0,,2.0,1.0,,10.0,2.0,,,2.0,4.0,5.0,3.0,,,3.0,,,,1.0,,1.0,1.0,,1.0,1.0,,,1.0,2.0,1.0,2.0,,,2.0,,,,,,,,,,,,
155984459,Muhhelmchen,eredar,36.0,446.0,0.0,,,,,0.0,0.0,100.0,,100.0,,,,20.0,50.0,0.0,0.0,,100.0,1.0,,,,,1.0,1.0,1.0,,2.0,,,,5.0,2.0,2.0,1.0,,1.0,0.0,,,,,0.0,0.0,1.0,,2.0,,,,1.0,1.0,0.0,0.0,,1.0,,,,,,,,,,,,
