character.id,character.name,character.realm.slug,honor_level,honorable_kills,Alterac Valley win_rate,Classic Warsong Gulch win_rate,Classic Arathi Basin win_rate,Eye of the Storm win_rate,Strand of the Ancients win_rate,Isle of Conquest win_rate,Twin Peaks win_rate,Silvershard Mines win_rate,The Battle for Gilneas win_rate,Temple of Kotmogu win_rate,Deepwind Gorge (Legacy) win_rate,Seething Shore win_rate,Warsong Gulch win_rate,Arathi Basin win_rate,Battle for Wintergrasp win_rate,Deepwind Gorge win_rate,Alterac Valley played,Classic Warsong Gulch played,Classic Arathi Basin played,Eye of the Storm played,Strand of the Ancients played,Isle of Conquest played,Twin Peaks played,Silvershard Mines played,The Battle for Gilneas played,Temple of Kotmogu played,Deepwind Gorge (Legacy) played,Seething Shore played,Warsong Gulch played,Arathi Basin played,Battle for Wintergrasp played,Deepwind Gorge played,Alterac Valley won,Classic Warsong Gulch won,Classic Arathi Basin won,Eye of the Storm won,Strand of the Ancients won,Isle of Conquest won,Twin Peaks won,Silvershard Mines won,The Battle for Gilneas won,Temple of Kotmogu won,Deepwind Gorge (Legacy) won,Seething Shore won,Warsong Gulch won,Arathi Basin won,Battle for Wintergrasp won,Deepwind Gorge won,Ashran win_rate,Arathi Basin Winter win_rate,Arathi Basin Comp Stomp win_rate,Ashran played,Arathi Basin Winter played,Arathi Basin Comp Stomp played,Ashran won,Arathi Basin Winter won,Arathi Basin Comp Stomp won,Rated Eye of the Storm win_rate,Korrak's Revenge win_rate,Rated Eye of the Storm played,Korrak's Revenge played,Rated Eye of the Storm won,Korrak's Revenge won,Southshore vs. Tarren Mill win_rate,Southshore vs. Tarren Mill played,Southshore vs. Tarren Mill won
186117497,Rhosylla,wildhammer,7.0,1502.0,,,,100.0,,25.0,0.0,67.0,50.0,60.0,,0.0,0.0,75.0,100.0,100.0,,,,1.0,,4.0,1.0,3.0,6.0,5.0,,1.0,4.0,4.0,2.0,2.0,,,,1.0,,1.0,0.0,2.0,3.0,3.0,,0.0,0.0,3.0,2.0,2.0,100.0,,,1.0,,,1.0,,,20.0,,5.0,,1.0,,,,
93517910,Oizoo,aggra-português,14.0,2639.0,0.0,67.0,0.0,0.0,100.0,0.0,80.0,,0.0,67.0,,0.0,100.0,100.0,100.0,100.0,3.0,6.0,1.0,3.0,2.0,1.0,5.0,,2.0,3.0,,1.0,1.0,1.0,1.0,1.0,0.0,4.0,0.0,0.0,2.0,0.0,4.0,,0.0,2.0,,0.0,1.0,1.0,1.0,1.0,,,100.0,,,6.0,,,6.0,,100.0,,1.0,,1.0,,,
153286544,Nerubiana,burning-blade,21.0,2462.0,,,,50.0,,,50.0,33.0,33.0,67.0,,33.0,100.0,75.0,,56.0,,,,4.0,,,4.0,3.0,3.0,3.0,,3.0,3.0,4.0,,9.0,,,,2.0,,,2.0,1.0,1.0,2.0,,1.0,3.0,3.0,,5.0,,,,,,,,,,,20.0,,15.0,,3.0,,,
141190147,Alijena,drakthul,33.0,27926.0,63.0,70.0,59.0,61.0,50.0,42.0,63.0,100.0,69.0,40.0,67.0,100.0,,100.0,0.0,,82.0,70.0,93.0,57.0,60.0,33.0,19.0,2.0,13.0,5.0,3.0,1.0,,1.0,3.0,,52.0,49.0,55.0,35.0,30.0,14.0,12.0,2.0,9.0,2.0,2.0,1.0,,1.0,0.0,,0.0,,,1.0,,,0.0,,,,83.0,,6.0,,5.0,,,
155728898,Shikari,thunderhorn,240.0,159781.0,54.0,69.0,68.0,66.0,61.0,54.0,73.0,70.0,60.0,62.0,59.0,75.0,83.0,50.0,83.0,100.0,289.0,614.0,510.0,366.0,388.0,244.0,335.0,162.0,205.0,177.0,111.0,4.0,6.0,4.0,6.0,2.0,156.0,421.0,345.0,242.0,235.0,131.0,245.0,114.0,122.0,109.0,65.0,3.0,5.0,2.0,5.0,2.0,50.0,100.0,100.0,4.0,1.0,1.0,2.0,1.0,1.0,19400.0,,1.0,,194.0,,,,
179845298,Sejn,silvermoon,9.0,2218.0,,,,33.0,,0.0,100.0,50.0,100.0,50.0,,75.0,50.0,60.0,100.0,,,,,3.0,,1.0,2.0,4.0,6.0,4.0,,4.0,6.0,5.0,1.0,,,,,1.0,,0.0,2.0,2.0,6.0,2.0,,3.0,3.0,3.0,1.0,,100.0,,,1.0,,,1.0,,,,,,,,,,,
148053643,Hinters,argent-dawn,22.0,25184.0,64.0,47.0,41.0,51.0,43.0,45.0,62.0,25.0,59.0,31.0,67.0,,,,,,72.0,51.0,59.0,41.0,47.0,42.0,8.0,4.0,17.0,13.0,6.0,,,,,,46.0,24.0,24.0,21.0,20.0,19.0,5.0,1.0,10.0,4.0,4.0,,,,,,,,,,,,,,,,50.0,,2.0,,1.0,,,
137320642,Snòrry,silvermoon,47.0,3894.0,50.0,67.0,0.0,75.0,75.0,75.0,50.0,20.0,0.0,33.0,50.0,67.0,0.0,33.0,100.0,100.0,4.0,6.0,3.0,4.0,4.0,4.0,6.0,5.0,4.0,9.0,4.0,3.0,1.0,3.0,1.0,2.0,2.0,4.0,0.0,3.0,3.0,3.0,3.0,1.0,0.0,3.0,2.0,2.0,0.0,1.0,1.0,2.0,,50.0,100.0,,2.0,1.0,,1.0,1.0,100.0,,1.0,,1.0,,,,
226178677,Idoc,sylvanas,16.0,16963.0,61.0,57.0,52.0,60.0,69.0,56.0,54.0,60.0,67.0,59.0,41.0,75.0,67.0,100.0,0.0,83.0,44.0,136.0,66.0,40.0,42.0,34.0,84.0,42.0,67.0,49.0,22.0,4.0,6.0,2.0,1.0,6.0,27.0,77.0,34.0,24.0,29.0,19.0,45.0,25.0,45.0,29.0,9.0,3.0,4.0,2.0,0.0,5.0,,,,,,,,,,,,,,,,,,
193585079,Vlatomik,thunderhorn,3.0,60.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,1.0,,,0.0,,,,,,,,,,,
196745652,Kendisen,wildhammer,5.0,1433.0,57.0,,,,,75.0,,,,100.0,,50.0,100.0,,25.0,,7.0,,,,,4.0,,,,1.0,,2.0,1.0,,4.0,,4.0,,,,,3.0,,,,1.0,,1.0,1.0,,1.0,,43.0,,,7.0,,,3.0,,,,,,,,,,,
154018548,Legendaura,silvermoon,35.0,5375.0,50.0,44.0,44.0,75.0,62.0,17.0,57.0,25.0,47.0,52.0,75.0,,,,,33.0,8.0,16.0,9.0,8.0,8.0,12.0,23.0,20.0,19.0,27.0,8.0,,,,,3.0,4.0,7.0,4.0,6.0,5.0,2.0,13.0,5.0,9.0,14.0,6.0,,,,,1.0,0.0,,,2.0,,,0.0,,,,,,,,,,,
156332815,Leroic,ravencrest,35.0,74035.0,55.0,61.0,62.0,62.0,59.0,57.0,60.0,55.0,67.0,73.0,83.0,143.0,50.0,50.0,0.0,100.0,148.0,299.0,227.0,204.0,194.0,106.0,114.0,11.0,102.0,22.0,12.0,7.0,2.0,2.0,1.0,1.0,81.0,181.0,140.0,127.0,114.0,60.0,68.0,6.0,68.0,16.0,10.0,10.0,1.0,1.0,0.0,1.0,0.0,,,1.0,,,0.0,,,,0.0,,1.0,,0.0,,,
129609368,Tirryel,wildhammer,39.0,8224.0,28.0,11.0,73.0,47.0,40.0,65.0,27.0,63.0,46.0,77.0,42.0,86.0,57.0,56.0,0.0,33.0,18.0,9.0,11.0,17.0,5.0,17.0,11.0,19.0,13.0,13.0,12.0,7.0,7.0,9.0,5.0,6.0,5.0,1.0,8.0,8.0,2.0,11.0,3.0,12.0,6.0,10.0,5.0,6.0,4.0,5.0,0.0,2.0,,,100.0,,,2.0,,,2.0,100.0,33.0,2.0,3.0,2.0,1.0,,,
159267133,Yosefina,ravencrest,20.0,39566.0,41.0,67.0,67.0,61.0,51.0,67.0,50.0,44.0,64.0,64.0,50.0,57.0,75.0,0.0,,0.0,32.0,21.0,18.0,18.0,39.0,9.0,24.0,9.0,22.0,14.0,2.0,7.0,4.0,2.0,,1.0,13.0,14.0,12.0,11.0,20.0,6.0,12.0,4.0,14.0,9.0,1.0,4.0,3.0,0.0,,0.0,57.0,,,7.0,,,4.0,,,,,,,,,,,
193641885,Wardur,wildhammer,25.0,82.0,,,,,,,,0.0,,100.0,,,,,,,,,,,,,,1.0,,1.0,,,,,,,,,,,,,,0.0,,1.0,,,,,,,,,,,,,,,,,,,,,,,,
113113444,Brattysis,eredar,35.0,7285.0,64.0,,,67.0,,71.0,50.0,68.0,58.0,70.0,0.0,53.0,44.0,56.0,100.0,44.0,11.0,,,6.0,,7.0,22.0,22.0,19.0,20.0,1.0,19.0,18.0,18.0,7.0,9.0,7.0,,,4.0,,5.0,11.0,15.0,11.0,14.0,0.0,10.0,8.0,10.0,7.0,4.0,86.0,100.0,,7.0,1.0,,6.0,1.0,,71.0,,7.0,,5.0,,,,
155209419,Mohgron,antonidas,10.0,331.0,33.0,,,,,100.0,0.0,,,,,,,,100.0,,3.0,,,,,1.0,1.0,,,,,,,,1.0,,1.0,,,,,1.0,0.0,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,
100695388,Ileila,alleria,5.0,23717.0,52.0,57.0,36.0,42.0,33.0,17.0,29.0,,33.0,25.0,,,0.0,0.0,,,64.0,107.0,75.0,24.0,30.0,12.0,7.0,,3.0,4.0,,,1.0,1.0,,,33.0,61.0,27.0,10.0,10.0,2.0,2.0,,1.0,1.0,,,0.0,0.0,,,,,,,,,,,,,,,,,,,,
166766642,Inqvizitor,thunderhorn,21.0,1475.0,0.0,,,100.0,,67.0,75.0,33.0,67.0,,,0.0,100.0,100.0,33.0,100.0,1.0,,,1.0,,3.0,4.0,3.0,3.0,,,1.0,1.0,1.0,3.0,1.0,0.0,,,1.0,,2.0,3.0,1.0,2.0,,,0.0,1.0,1.0,1.0,1.0,,,,,,,,,,,29.0,,7.0,,2.0,,,
200770670,Дримстер,eversong,20.0,106.0,,,,,,,0.0,100.0,0.0,,,,,,,,,,,,,,2.0,1.0,1.0,,,,,,,,,,,,,,0.0,1.0,0.0,,,,,,,,,,,,,,,,,0.0,,1.0,,0.0,,,,
168177456,Aymenett,thunderhorn,3.0,854.0,33.0,,,100.0,,100.0,0.0,50.0,50.0,,50.0,0.0,0.0,,0.0,,3.0,,,1.0,,2.0,1.0,2.0,2.0,,2.0,1.0,1.0,,2.0,,1.0,,,1.0,,2.0,0.0,1.0,1.0,,1.0,0.0,0.0,,0.0,,,,,,,,,,,,,,,,,,,
92891532,Pateros,thunderhorn,50.0,3991.0,50.0,,0.0,50.0,,50.0,0.0,100.0,100.0,60.0,,50.0,100.0,100.0,50.0,100.0,6.0,,1.0,6.0,,8.0,1.0,1.0,2.0,5.0,,4.0,2.0,2.0,4.0,2.0,3.0,,0.0,3.0,,4.0,0.0,1.0,2.0,3.0,,2.0,2.0,2.0,2.0,2.0,67.0,50.0,100.0,6.0,2.0,1.0,4.0,1.0,1.0,,33.0,,3.0,,1.0,,,
156103505,Echnatón,teldrassil,48.0,102085.0,59.0,44.0,39.0,42.0,46.0,58.0,50.0,40.0,52.0,12.0,54.0,0.0,67.0,100.0,0.0,,325.0,425.0,328.0,230.0,203.0,117.0,166.0,20.0,111.0,25.0,13.0,3.0,3.0,1.0,1.0,,191.0,187.0,128.0,96.0,94.0,68.0,83.0,8.0,58.0,3.0,7.0,0.0,2.0,1.0,0.0,,,100.0,100.0,,1.0,2.0,,1.0,2.0,,14.0,,7.0,,1.0,,,
87461053,Ðêßßíê,draenor,3.0,5947.0,40.0,55.0,67.0,50.0,30.0,36.0,75.0,0.0,61.0,,,0.0,100.0,100.0,,,20.0,11.0,15.0,12.0,10.0,14.0,12.0,1.0,18.0,,,1.0,1.0,1.0,,,8.0,6.0,10.0,6.0,3.0,5.0,9.0,0.0,11.0,,,0.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,
94627677,Juriens,ravencrest,27.0,13229.0,70.0,44.0,23.0,44.0,38.0,76.0,47.0,26.0,42.0,44.0,48.0,50.0,0.0,100.0,0.0,,33.0,25.0,22.0,18.0,16.0,34.0,34.0,46.0,33.0,27.0,27.0,2.0,3.0,2.0,1.0,,23.0,11.0,5.0,8.0,6.0,26.0,16.0,12.0,14.0,12.0,13.0,1.0,0.0,2.0,0.0,,100.0,,,1.0,,,1.0,,,,0.0,,1.0,,0.0,,,
162747665,Thalanôs,kargath,12.0,10699.0,69.0,67.0,43.0,33.0,27.0,50.0,44.0,25.0,31.0,17.0,50.0,50.0,0.0,50.0,,,29.0,24.0,21.0,15.0,22.0,24.0,16.0,12.0,13.0,6.0,6.0,4.0,3.0,2.0,,,20.0,16.0,9.0,5.0,6.0,12.0,7.0,3.0,4.0,1.0,3.0,2.0,0.0,1.0,,,50.0,,,2.0,,,1.0,,,,,,,,,,,
91034245,Mercilessa,thunderhorn,5.0,12661.0,50.0,54.0,48.0,41.0,61.0,62.0,55.0,,30.0,50.0,,,,,0.0,,26.0,67.0,48.0,69.0,31.0,16.0,11.0,,10.0,2.0,,,,,1.0,,13.0,36.0,23.0,28.0,19.0,10.0,6.0,,3.0,1.0,,,,,0.0,,,,,,,,,,,,,,,,,,,
172809122,Andû,hyjal,10.0,778.0,0.0,,,0.0,,100.0,,0.0,50.0,50.0,,25.0,50.0,,50.0,100.0,2.0,,,1.0,,1.0,,1.0,2.0,2.0,,4.0,2.0,,2.0,1.0,0.0,,,0.0,,1.0,,0.0,1.0,1.0,,1.0,1.0,,1.0,1.0,,,,,,,,,,100.0,,1.0,,1.0,,,,
198097689,Twyra,wildhammer,6.0,553.0,100.0,,,,,,100.0,67.0,50.0,50.0,,67.0,100.0,,0.0,100.0,2.0,,,,,,2.0,3.0,2.0,2.0,,3.0,1.0,,1.0,1.0,2.0,,,,,,2.0,2.0,1.0,1.0,,2.0,1.0,,0.0,1.0,,,,,,,,,,,,,,,,,,
186403626,Azylex,hyjal,8.0,1820.0,50.0,,,100.0,,100.0,25.0,0.0,38.0,33.0,,100.0,50.0,75.0,60.0,40.0,2.0,,,1.0,,1.0,4.0,1.0,8.0,6.0,,2.0,2.0,4.0,5.0,5.0,1.0,,,1.0,,1.0,1.0,0.0,3.0,2.0,,2.0,1.0,3.0,3.0,2.0,100.0,,,2.0,,,2.0,,,0.0,,1.0,,0.0,,,,
157946187,Lowemotion,stormscale,7.0,246.0,100.0,,,,,,,100.0,0.0,,,,0.0,0.0,,0.0,1.0,,,,,,,1.0,1.0,,,,1.0,1.0,,3.0,1.0,,,,,,,1.0,0.0,,,,0.0,0.0,,0.0,,,,,,,,,,,,,,,,,,
173598076,Akaiinu,twisting-nether,18.0,1627.0,100.0,,,50.0,,33.0,75.0,50.0,0.0,100.0,,50.0,100.0,100.0,0.0,0.0,1.0,,,2.0,,3.0,4.0,2.0,1.0,1.0,,2.0,2.0,4.0,1.0,1.0,1.0,,,1.0,,1.0,3.0,1.0,0.0,1.0,,1.0,2.0,4.0,0.0,0.0,,,100.0,,,2.0,,,2.0,,,,,,,,,
144626733,Armypâle,dalaran,55.0,1371.0,,22.0,100.0,67.0,,0.0,0.0,25.0,25.0,14.0,33.0,50.0,,100.0,0.0,,,9.0,1.0,3.0,,1.0,3.0,4.0,4.0,7.0,6.0,10.0,,2.0,1.0,,,2.0,1.0,2.0,,0.0,0.0,1.0,1.0,1.0,2.0,5.0,,2.0,0.0,,0.0,,,1.0,,,0.0,,,50.0,,2.0,,1.0,,,,
80256734,Celestris,pozzo-delleternità,2.0,6093.0,67.0,67.0,62.0,63.0,45.0,36.0,80.0,14.0,63.0,67.0,0.0,0.0,0.0,,,,15.0,12.0,21.0,19.0,20.0,22.0,15.0,7.0,19.0,3.0,2.0,2.0,1.0,,,,10.0,8.0,13.0,12.0,9.0,8.0,12.0,1.0,12.0,2.0,0.0,0.0,0.0,,,,33.0,,,3.0,,,1.0,,,,,,,,,,,
113142020,Stonehead,shattrath,15.0,922.0,100.0,,,100.0,,,43.0,67.0,100.0,20.0,0.0,,20.0,50.0,,0.0,1.0,,,3.0,,,7.0,3.0,2.0,5.0,1.0,,5.0,4.0,,1.0,1.0,,,3.0,,,3.0,2.0,2.0,1.0,0.0,,1.0,2.0,,0.0,,50.0,,,2.0,,,1.0,,,,,,,,,,
159949443,Asbell,argent-dawn,39.0,23836.0,81.0,51.0,47.0,48.0,48.0,62.0,44.0,55.0,45.0,40.0,45.0,0.0,100.0,80.0,54.0,0.0,134.0,96.0,64.0,50.0,54.0,69.0,54.0,22.0,65.0,35.0,11.0,1.0,3.0,5.0,13.0,1.0,108.0,49.0,30.0,24.0,26.0,43.0,24.0,12.0,29.0,14.0,5.0,0.0,3.0,4.0,7.0,0.0,100.0,,,3.0,,,3.0,,,,,,,,,,,
95500294,Alarrin,twisting-nether,73.0,13469.0,71.0,64.0,33.0,64.0,91.0,70.0,80.0,71.0,50.0,50.0,38.0,67.0,0.0,,56.0,100.0,17.0,22.0,12.0,11.0,11.0,20.0,15.0,7.0,14.0,24.0,16.0,3.0,1.0,,9.0,2.0,12.0,14.0,4.0,7.0,10.0,14.0,12.0,5.0,7.0,12.0,6.0,2.0,0.0,,5.0,2.0,,,,,,,,,,,,,,,,,,
167494489,Beltain,wildhammer,21.0,8862.0,50.0,68.0,82.0,55.0,,41.0,40.0,64.0,54.0,57.0,62.0,64.0,60.0,75.0,,40.0,30.0,19.0,11.0,11.0,,39.0,10.0,14.0,13.0,23.0,16.0,14.0,5.0,4.0,,5.0,15.0,13.0,9.0,6.0,,16.0,4.0,9.0,7.0,13.0,10.0,9.0,3.0,3.0,,2.0,,,,,,,,,,,,,,,,,,
175220876,Wrymen,thunderhorn,37.0,7529.0,40.0,63.0,29.0,46.0,,56.0,58.0,47.0,40.0,57.0,71.0,43.0,58.0,40.0,25.0,0.0,5.0,19.0,7.0,13.0,,9.0,19.0,17.0,15.0,7.0,7.0,21.0,12.0,15.0,4.0,4.0,2.0,12.0,2.0,6.0,,5.0,11.0,8.0,6.0,4.0,5.0,9.0,7.0,6.0,1.0,0.0,,,,,,,,,,,,,,,,,,
80106705,Закорючко,gordunni,55.0,4180.0,67.0,62.0,62.0,50.0,50.0,67.0,73.0,60.0,29.0,33.0,80.0,100.0,,50.0,0.0,100.0,6.0,8.0,8.0,8.0,8.0,12.0,11.0,5.0,7.0,6.0,5.0,1.0,,2.0,1.0,1.0,4.0,5.0,5.0,4.0,4.0,8.0,8.0,3.0,2.0,2.0,4.0,1.0,,1.0,0.0,1.0,0.0,,,2.0,,,0.0,,,,,,,,,,,
87111281,Затрещинна,howling-fjord,6.0,29392.0,62.0,45.0,39.0,44.0,32.0,63.0,60.0,100.0,50.0,100.0,,,,,,,42.0,140.0,114.0,54.0,44.0,27.0,10.0,1.0,4.0,1.0,,,,,,,26.0,63.0,45.0,24.0,14.0,17.0,6.0,1.0,2.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,
33832241,Bôlt,wildhammer,27.0,477.0,,25.0,0.0,,,,,,,,,,,,,,,4.0,3.0,,,,,,,,,,,,,,,1.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
90845235,Hargall,thunderhorn,20.0,4651.0,33.0,50.0,25.0,67.0,50.0,100.0,50.0,45.0,9.0,45.0,,60.0,33.0,75.0,,67.0,6.0,8.0,4.0,6.0,6.0,2.0,6.0,11.0,11.0,11.0,,5.0,6.0,8.0,,3.0,2.0,4.0,1.0,4.0,3.0,2.0,3.0,5.0,1.0,5.0,,3.0,2.0,6.0,,2.0,,,100.0,,,1.0,,,1.0,,100.0,,1.0,,1.0,,,
71560197,Nanúk,drakthul,12.0,4933.0,49.0,100.0,100.0,75.0,86.0,33.0,56.0,60.0,70.0,67.0,,80.0,64.0,25.0,33.0,40.0,57.0,5.0,2.0,8.0,7.0,6.0,9.0,10.0,10.0,15.0,,5.0,11.0,4.0,3.0,5.0,28.0,5.0,2.0,6.0,6.0,2.0,5.0,6.0,7.0,10.0,,4.0,7.0,1.0,1.0,2.0,50.0,100.0,,4.0,1.0,,2.0,1.0,,,100.0,,1.0,,1.0,,,
120207353,Plesoun,outland,17.0,174.0,,,,,,,,,,0.0,,0.0,,,,,,,,,,,,,,2.0,,2.0,,,,,,,,,,,,,,0.0,,0.0,,,,,,,,,,,,,,,,,,,,,,
171268022,Mentlock,thunderhorn,34.0,7219.0,37.0,0.0,100.0,50.0,,74.0,64.0,50.0,62.0,71.0,65.0,63.0,65.0,53.0,38.0,,27.0,2.0,1.0,14.0,,23.0,14.0,14.0,16.0,14.0,20.0,19.0,20.0,17.0,13.0,,10.0,0.0,1.0,7.0,,17.0,9.0,7.0,10.0,10.0,13.0,12.0,13.0,9.0,5.0,,,33.0,100.0,,3.0,5.0,,1.0,5.0,,,,,,,,,
158251081,Höfi,alleria,18.0,2025.0,100.0,20.0,100.0,100.0,,0.0,43.0,33.0,50.0,33.0,80.0,0.0,,100.0,,,2.0,5.0,1.0,1.0,,1.0,7.0,6.0,4.0,6.0,5.0,2.0,,1.0,,,2.0,1.0,1.0,1.0,,0.0,3.0,2.0,2.0,2.0,4.0,0.0,,1.0,,,,,100.0,,,2.0,,,2.0,,,,,,,,,
244411493,Икера,borean-tundra,105.0,305.0,67.0,,,,,,,0.0,,,,,,,,,3.0,,,,,,,1.0,,,,,,,,,2.0,,,,,,,0.0,,,,,,,,,50.0,,,2.0,,,1.0,,,,,,,,,,,
188008678,Neriniar,silvermoon,44.0,5349.0,20.0,,,29.0,,50.0,25.0,45.0,67.0,44.0,,50.0,50.0,50.0,40.0,33.0,10.0,,,14.0,,14.0,4.0,11.0,6.0,25.0,,10.0,8.0,8.0,15.0,9.0,2.0,,,4.0,,7.0,1.0,5.0,4.0,11.0,,5.0,4.0,4.0,6.0,3.0,50.0,40.0,,2.0,5.0,,1.0,2.0,,,,,,,,,,
