character.id,character.name,character.realm.slug,honor_level,honorable_kills,Isle of Conquest win_rate,Seething Shore win_rate,Warsong Gulch win_rate,Battle for Wintergrasp win_rate,Isle of Conquest played,Seething Shore played,Warsong Gulch played,Battle for Wintergrasp played,Isle of Conquest won,Seething Shore won,Warsong Gulch won,Battle for Wintergrasp won,Alterac Valley win_rate,Classic Warsong Gulch win_rate,Classic Arathi Basin win_rate,Eye of the Storm win_rate,Strand of the Ancients win_rate,Twin Peaks win_rate,Silvershard Mines win_rate,The Battle for Gilneas win_rate,Temple of Kotmogu win_rate,Deepwind Gorge (Legacy) win_rate,Alterac Valley played,Classic Warsong Gulch played,Classic Arathi Basin played,Eye of the Storm played,Strand of the Ancients played,Twin Peaks played,Silvershard Mines played,The Battle for Gilneas played,Temple of Kotmogu played,Deepwind Gorge (Legacy) played,Alterac Valley won,Classic Warsong Gulch won,Classic Arathi Basin won,Eye of the Storm won,Strand of the Ancients won,Twin Peaks won,Silvershard Mines won,The Battle for Gilneas won,Temple of Kotmogu won,Deepwind Gorge (Legacy) won,Arathi Basin win_rate,Deepwind Gorge win_rate,Arathi Basin played,Deepwind Gorge played,Arathi Basin won,Deepwind Gorge won,Ashran win_rate,Ashran played,Ashran won,Rated Eye of the Storm win_rate,Rated Eye of the Storm played,Rated Eye of the Storm won,Arathi Basin Winter win_rate,Arathi Basin Comp Stomp win_rate,Arathi Basin Winter played,Arathi Basin Comp Stomp played,Arathi Basin Winter won,Arathi Basin Comp Stomp won,Korrak's Revenge win_rate,Korrak's Revenge played,Korrak's Revenge won
163632883,Aitas,tarren-mill,162.0,100346.0,45.0,500.0,100.0,100.0,225.0,8.0,3.0,4.0,102.0,40.0,3.0,4.0,51.0,62.0,60.0,60.0,55.0,65.0,66.0,62.0,65.0,58.0,210.0,247.0,290.0,235.0,222.0,265.0,181.0,257.0,186.0,84.0,108.0,154.0,173.0,140.0,123.0,171.0,120.0,159.0,121.0,49.0,60.0,0.0,5.0,1.0,3.0,0.0,100.0,2.0,2.0,,,,,100.0,,36.0,,36.0,0.0,5.0,0.0
154699600,Saladyr,blackhand,48.0,900.0,44.0,,0.0,0.0,9.0,,1.0,2.0,4.0,,0.0,0.0,100.0,,,,,,,,,,4.0,,,,,,,,,,4.0,,,,,,,,,,,,,,,,50.0,4.0,2.0,,,,,,,,,,,,
73785417,Schutzinator,eredar,20.0,4518.0,56.0,,,,18.0,,,,10.0,,,,33.0,13.0,44.0,11.0,43.0,41.0,100.0,29.0,50.0,,21.0,15.0,25.0,18.0,23.0,17.0,1.0,17.0,2.0,,7.0,2.0,11.0,2.0,10.0,7.0,1.0,5.0,1.0,,,,,,,,,,,,,,,,,,,,,,
160597285,Póhma,draenor,18.0,533.0,0.0,,100.0,,1.0,,1.0,,0.0,,1.0,,,,,,,100.0,100.0,50.0,67.0,,,,,,,1.0,2.0,2.0,3.0,,,,,,,1.0,2.0,1.0,2.0,,,,,,,,,,,,,,,,,,,,,,
73171677,Zanifia,eredar,40.0,167.0,,,0.0,100.0,,,1.0,1.0,,,0.0,1.0,,,,,,,,100.0,,,,,,,,,,1.0,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,
175919321,Takeheals,twisting-nether,16.0,1357.0,,,,,,,,,,,,,,,,,,50.0,50.0,100.0,100.0,,,,,,,2.0,2.0,2.0,1.0,,,,,,,1.0,1.0,2.0,1.0,,,,,,,,,,,,,,,,,,,,,,
147116888,Ксеноо,howling-fjord,11.0,3045.0,100.0,0.0,,,1.0,1.0,,,1.0,0.0,,,100.0,,,,,100.0,,0.0,50.0,,1.0,,,,,1.0,,1.0,2.0,,1.0,,,,,1.0,,0.0,1.0,,,50.0,,2.0,,1.0,,,,100.0,1.0,1.0,,,,,,,,,
114417971,Biftek,stormscale,29.0,3926.0,25.0,33.0,71.0,20.0,4.0,6.0,7.0,5.0,1.0,2.0,5.0,1.0,91.0,,,50.0,,57.0,89.0,71.0,64.0,,11.0,,,6.0,,7.0,9.0,7.0,11.0,,10.0,,,3.0,,4.0,8.0,5.0,7.0,,67.0,62.0,6.0,8.0,4.0,5.0,0.0,2.0,0.0,100.0,1.0,1.0,,,,,,,,,
156908535,Gabil,burning-legion,15.0,2117.0,50.0,100.0,100.0,,4.0,1.0,2.0,,2.0,1.0,2.0,,100.0,,,,,50.0,50.0,,40.0,0.0,2.0,,,,,2.0,2.0,,5.0,1.0,2.0,,,,,1.0,1.0,,2.0,0.0,100.0,,1.0,,1.0,,67.0,3.0,2.0,,,,,,,,,,,,
164479772,Райтволл,howling-fjord,7.0,694.0,,,,,,,,,,,,,,,,,,,,,100.0,,,,,,,,,,1.0,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,100.0,1.0,1.0
169776565,Tikkì,nemesis,20.0,5062.0,25.0,100.0,0.0,100.0,12.0,5.0,2.0,1.0,3.0,5.0,0.0,1.0,67.0,33.0,0.0,62.0,50.0,67.0,53.0,50.0,75.0,50.0,9.0,6.0,8.0,16.0,8.0,6.0,15.0,10.0,4.0,4.0,6.0,2.0,0.0,10.0,4.0,4.0,8.0,5.0,3.0,2.0,50.0,75.0,2.0,4.0,1.0,3.0,80.0,5.0,4.0,,,,100.0,,1.0,,1.0,,,,
124422982,Lookatmefan,blackrock,14.0,1378.0,0.0,100.0,100.0,100.0,1.0,3.0,2.0,2.0,0.0,3.0,2.0,2.0,100.0,0.0,0.0,33.0,100.0,100.0,,40.0,,,2.0,2.0,1.0,3.0,1.0,2.0,,5.0,,,2.0,0.0,0.0,1.0,1.0,2.0,,2.0,,,100.0,,3.0,,3.0,,,,,,,,,,,,,,,,
140580886,Kènpachî,blackrock,75.0,20030.0,50.0,150.0,50.0,100.0,2.0,2.0,2.0,1.0,1.0,3.0,1.0,1.0,75.0,38.0,10.0,50.0,86.0,43.0,40.0,20.0,71.0,,4.0,16.0,10.0,12.0,7.0,7.0,5.0,5.0,7.0,,3.0,6.0,1.0,6.0,6.0,3.0,2.0,1.0,5.0,,50.0,60.0,2.0,5.0,1.0,3.0,,,,,,,,,,,,,,,
109090209,Sïgmûnd,stormscale,22.0,1132.0,100.0,100.0,100.0,,4.0,2.0,2.0,,4.0,2.0,2.0,,100.0,,100.0,75.0,,80.0,50.0,100.0,75.0,50.0,1.0,,1.0,4.0,,5.0,2.0,2.0,4.0,2.0,1.0,,1.0,3.0,,4.0,1.0,2.0,3.0,1.0,50.0,0.0,2.0,2.0,1.0,0.0,,,,,,,,,,,,,,,
165724001,Палияка,howling-fjord,11.0,26566.0,35.0,0.0,,,34.0,1.0,,,12.0,0.0,,,45.0,29.0,46.0,32.0,50.0,67.0,60.0,62.0,25.0,67.0,114.0,55.0,37.0,50.0,60.0,9.0,5.0,8.0,4.0,3.0,51.0,16.0,17.0,16.0,30.0,6.0,3.0,5.0,1.0,2.0,100.0,,2.0,,2.0,,,,,,,,,,,,,,100.0,1.0,1.0
78393075,Тирионша,howling-fjord,18.0,7682.0,14.0,,,,7.0,,,,1.0,,,,31.0,52.0,60.0,60.0,40.0,47.0,54.0,41.0,61.0,43.0,13.0,23.0,25.0,15.0,15.0,19.0,35.0,29.0,28.0,23.0,4.0,12.0,15.0,9.0,6.0,9.0,19.0,12.0,17.0,10.0,,0.0,,1.0,,0.0,,,,,,,,,,,,,,,
195010023,Senta,kazzak,75.0,1104.0,100.0,67.0,33.0,100.0,3.0,3.0,3.0,1.0,3.0,2.0,1.0,1.0,67.0,,,100.0,,33.0,75.0,100.0,,,3.0,,,5.0,,3.0,4.0,2.0,,,2.0,,,5.0,,1.0,3.0,2.0,,,,,,,,,100.0,1.0,1.0,,,,,,,,,,,,
157171057,Vicker,stormscale,13.0,123.0,0.0,,,,1.0,,,,0.0,,,,,,,,,,0.0,100.0,,,,,,,,,2.0,1.0,,,,,,,,,0.0,1.0,,,100.0,100.0,1.0,1.0,1.0,1.0,,,,100.0,1.0,1.0,,,,,,,,,
196175533,Бихэпи,soulflayer,174.0,80871.0,50.0,67.0,72.0,57.0,111.0,90.0,61.0,46.0,55.0,60.0,44.0,26.0,66.0,61.0,65.0,71.0,52.0,66.0,66.0,63.0,58.0,67.0,112.0,186.0,75.0,107.0,42.0,177.0,202.0,171.0,163.0,162.0,74.0,114.0,49.0,76.0,22.0,116.0,134.0,107.0,94.0,108.0,61.0,56.0,46.0,52.0,28.0,29.0,80.0,5.0,4.0,,,,33.0,100.0,3.0,24.0,1.0,24.0,75.0,4.0,3.0
103632001,Raved,draenor,44.0,590.0,100.0,,50.0,,1.0,,2.0,,1.0,,1.0,,,0.0,100.0,50.0,,0.0,,50.0,,,,2.0,2.0,2.0,,4.0,,4.0,,,,0.0,2.0,1.0,,0.0,,2.0,,,,100.0,,2.0,,2.0,,,,,,,,,,,,,,,
150562402,Knowmexx,blackmoore,32.0,887.0,100.0,67.0,100.0,100.0,3.0,3.0,2.0,1.0,3.0,2.0,2.0,1.0,50.0,,,,,100.0,,100.0,100.0,,2.0,,,,,1.0,,2.0,1.0,,1.0,,,,,1.0,,2.0,1.0,,50.0,67.0,2.0,3.0,1.0,2.0,,,,100.0,2.0,2.0,,,,,,,,,
136242937,Estarossà,twisting-nether,41.0,27389.0,50.0,67.0,70.0,100.0,16.0,18.0,10.0,1.0,8.0,12.0,7.0,1.0,57.0,68.0,58.0,67.0,59.0,57.0,67.0,82.0,64.0,65.0,81.0,47.0,36.0,42.0,22.0,23.0,33.0,38.0,33.0,26.0,46.0,32.0,21.0,28.0,13.0,13.0,22.0,31.0,21.0,17.0,67.0,83.0,15.0,6.0,10.0,5.0,,,,,,,,,,,,,,,
