character.id,character.name,character.realm.slug,honor_level,honorable_kills,Alterac Valley win_rate,Eye of the Storm win_rate,Isle of Conquest win_rate,Twin Peaks win_rate,Silvershard Mines win_rate,The Battle for Gilneas win_rate,Temple of Kotmogu win_rate,Seething Shore win_rate,Warsong Gulch win_rate,Arathi Basin win_rate,Deepwind Gorge win_rate,Alterac Valley played,Eye of the Storm played,Isle of Conquest played,Twin Peaks played,Silvershard Mines played,The Battle for Gilneas played,Temple of Kotmogu played,Seething Shore played,Warsong Gulch played,Arathi Basin played,Deepwind Gorge played,Alterac Valley won,Eye of the Storm won,Isle of Conquest won,Twin Peaks won,Silvershard Mines won,The Battle for Gilneas won,Temple of Kotmogu won,Seething Shore won,Warsong Gulch won,Arathi Basin won,Deepwind Gorge won,Classic Warsong Gulch win_rate,Classic Arathi Basin win_rate,Strand of the Ancients win_rate,Deepwind Gorge (Legacy) win_rate,Ashran win_rate,Arathi Basin Winter win_rate,Battle for Wintergrasp win_rate,Arathi Basin Comp Stomp win_rate,Korrak's Revenge win_rate,Classic Warsong Gulch played,Classic Arathi Basin played,Strand of the Ancients played,Deepwind Gorge (Legacy) played,Ashran played,Arathi Basin Winter played,Battle for Wintergrasp played,Arathi Basin Comp Stomp played,Korrak's Revenge played,Classic Warsong Gulch won,Classic Arathi Basin won,Strand of the Ancients won,Deepwind Gorge (Legacy) won,Ashran won,Arathi Basin Winter won,Battle for Wintergrasp won,Arathi Basin Comp Stomp won,Korrak's Revenge won,Rated Eye of the Storm win_rate,Rated Eye of the Storm played,Rated Eye of the Storm won
176086092,Fexe,ragnaros,27.0,37484.0,39.0,53.0,22.0,46.0,65.0,43.0,59.0,160.0,82.0,20.0,60.0,49.0,32.0,27.0,13.0,17.0,14.0,22.0,5.0,11.0,5.0,5.0,19.0,17.0,6.0,6.0,11.0,6.0,13.0,8.0,9.0,1.0,3.0,41.0,32.0,61.0,45.0,,100.0,78.0,,100.0,32.0,25.0,18.0,11.0,,1.0,9.0,,1.0,13.0,8.0,11.0,5.0,,1.0,7.0,,1.0,,,
165797653,Päm,twisting-nether,43.0,2115.0,0.0,33.0,,0.0,67.0,0.0,0.0,0.0,33.0,100.0,0.0,1.0,3.0,,1.0,3.0,2.0,4.0,1.0,3.0,2.0,2.0,0.0,1.0,,0.0,2.0,0.0,0.0,0.0,1.0,2.0,0.0,,,,,,,50.0,,17.0,,,,,,,4.0,,18.0,,,,,,,2.0,,3.0,,,
160056280,Lawrs,draenor,13.0,16063.0,45.0,41.0,30.0,54.0,0.0,48.0,100.0,,0.0,0.0,,31.0,51.0,20.0,26.0,1.0,21.0,1.0,,1.0,1.0,,14.0,21.0,6.0,14.0,0.0,10.0,1.0,,0.0,0.0,,53.0,33.0,58.0,100.0,,,,,,68.0,49.0,65.0,3.0,,,,,,36.0,16.0,38.0,3.0,,,,,,,,
175158446,Strunfy,twisting-nether,11.0,900.0,0.0,,67.0,100.0,,,67.0,100.0,100.0,,0.0,1.0,,3.0,1.0,,,3.0,1.0,1.0,,1.0,0.0,,2.0,1.0,,,2.0,1.0,1.0,,0.0,,,,,100.0,,25.0,,,,,,,1.0,,4.0,,,,,,,1.0,,1.0,,,0.0,1.0,0.0
173729590,Ævil,sanguino,106.0,32.0,,,,,,,,0.0,,,,,,,,,,,1.0,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
195442580,Выклучатель,soulflayer,15.0,4833.0,,67.0,100.0,100.0,100.0,100.0,100.0,50.0,50.0,100.0,67.0,,9.0,1.0,2.0,3.0,1.0,1.0,4.0,6.0,2.0,3.0,,6.0,1.0,2.0,3.0,1.0,1.0,2.0,3.0,2.0,2.0,,,,,,,100.0,,100.0,,,,,,,5.0,,3.0,,,,,,,5.0,,3.0,,,
137105514,Денния,soulflayer,15.0,5954.0,62.0,67.0,0.0,44.0,75.0,43.0,56.0,100.0,33.0,,0.0,8.0,12.0,4.0,9.0,8.0,7.0,9.0,1.0,3.0,,3.0,5.0,8.0,0.0,4.0,6.0,3.0,5.0,1.0,1.0,,0.0,86.0,100.0,60.0,40.0,,,0.0,,,7.0,5.0,5.0,5.0,,,1.0,,,6.0,5.0,3.0,2.0,,,0.0,,,,,
196499916,Draëntor,hyjal,2.0,11896.0,43.0,85.0,77.0,50.0,,,0.0,0.0,100.0,,,23.0,13.0,22.0,2.0,,,1.0,1.0,1.0,,,10.0,11.0,17.0,1.0,,,0.0,0.0,1.0,,,54.0,47.0,47.0,0.0,,,,,,26.0,19.0,36.0,2.0,,,,,,14.0,9.0,17.0,0.0,,,,,,,,
138534617,Angorroko,burning-legion,17.0,2404.0,75.0,75.0,0.0,25.0,0.0,100.0,71.0,0.0,75.0,29.0,0.0,4.0,8.0,2.0,4.0,1.0,2.0,7.0,4.0,4.0,7.0,1.0,3.0,6.0,0.0,1.0,0.0,2.0,5.0,0.0,3.0,2.0,0.0,0.0,100.0,,100.0,,,67.0,,,1.0,1.0,,2.0,,,3.0,,,0.0,1.0,,2.0,,,2.0,,,,,
165914900,Azenger,twisting-nether,40.0,692.0,33.0,100.0,100.0,100.0,0.0,100.0,,100.0,100.0,100.0,100.0,3.0,1.0,1.0,2.0,1.0,1.0,,2.0,2.0,1.0,1.0,1.0,1.0,1.0,2.0,0.0,1.0,,2.0,2.0,1.0,1.0,,,,,50.0,,100.0,,,,,,,2.0,,1.0,,,,,,,1.0,,1.0,,,,,
173345426,Фариб,soulflayer,31.0,4799.0,50.0,67.0,38.0,70.0,67.0,62.0,70.0,55.0,50.0,80.0,100.0,6.0,15.0,8.0,10.0,6.0,8.0,10.0,11.0,6.0,5.0,2.0,3.0,10.0,3.0,7.0,4.0,5.0,7.0,6.0,3.0,4.0,2.0,100.0,,,67.0,,,100.0,100.0,,2.0,,,3.0,,,3.0,12.0,,2.0,,,2.0,,,3.0,12.0,,0.0,1.0,0.0
147593058,Turdlee,burning-legion,29.0,3736.0,80.0,33.0,22.0,58.0,64.0,64.0,80.0,56.0,100.0,0.0,80.0,5.0,3.0,9.0,12.0,14.0,11.0,5.0,9.0,2.0,2.0,5.0,4.0,1.0,2.0,7.0,9.0,7.0,4.0,5.0,2.0,0.0,4.0,0.0,100.0,,75.0,33.0,100.0,40.0,,,1.0,2.0,,4.0,3.0,1.0,5.0,,,0.0,2.0,,3.0,1.0,1.0,2.0,,,50.0,4.0,2.0
