character.id,character.name,character.realm.slug,honor_level,honorable_kills,Alterac Valley win_rate,Isle of Conquest win_rate,Temple of Kotmogu win_rate,Seething Shore win_rate,Warsong Gulch win_rate,Arathi Basin win_rate,Battle for Wintergrasp win_rate,Alterac Valley played,Isle of Conquest played,Temple of Kotmogu played,Seething Shore played,Warsong Gulch played,Arathi Basin played,Battle for Wintergrasp played,Alterac Valley won,Isle of Conquest won,Temple of Kotmogu won,Seething Shore won,Warsong Gulch won,Arathi Basin won,Battle for Wintergrasp won,Classic Warsong Gulch win_rate,Classic Arathi Basin win_rate,Eye of the Storm win_rate,Strand of the Ancients win_rate,Twin Peaks win_rate,Silvershard Mines win_rate,The Battle for Gilneas win_rate,Rated Eye of the Storm win_rate,Deepwind Gorge (Legacy) win_rate,Arathi Basin Winter win_rate,Arathi Basin Comp Stomp win_rate,Korrak's Revenge win_rate,Deepwind Gorge win_rate,Classic Warsong Gulch played,Classic Arathi Basin played,Eye of the Storm played,Strand of the Ancients played,Twin Peaks played,Silvershard Mines played,The Battle for Gilneas played,Rated Eye of the Storm played,Deepwind Gorge (Legacy) played,Arathi Basin Winter played,Arathi Basin Comp Stomp played,Korrak's Revenge played,Deepwind Gorge played,Classic Warsong Gulch won,Classic Arathi Basin won,Eye of the Storm won,Strand of the Ancients won,Twin Peaks won,Silvershard Mines won,The Battle for Gilneas won,Rated Eye of the Storm won,Deepwind Gorge (Legacy) won,Arathi Basin Winter won,Arathi Basin Comp Stomp won,Korrak's Revenge won,Deepwind Gorge won,Ashran win_rate,Ashran played,Ashran won,Southshore vs. Tarren Mill win_rate,Southshore vs. Tarren Mill played,Southshore vs. Tarren Mill won,Cooking: Impossible win_rate,Cooking: Impossible played,Cooking: Impossible won
30076378,Jodilyn,outland,66.0,7840.0,59.0,82.0,83.0,88.0,33.0,,100.0,22.0,17.0,6.0,8.0,3.0,,1.0,13.0,14.0,5.0,7.0,1.0,,1.0,40.0,56.0,45.0,0.0,100.0,25.0,67.0,,50.0,,,,,10.0,9.0,11.0,2.0,2.0,4.0,3.0,,2.0,,,,,4.0,5.0,5.0,0.0,2.0,1.0,2.0,,1.0,,,,,,,,,,,,,
215318165,Fash,sylvanas,59.0,1107.0,50.0,,100.0,,0.0,100.0,0.0,2.0,,3.0,,1.0,1.0,1.0,1.0,,3.0,,0.0,1.0,0.0,50.0,50.0,0.0,,0.0,67.0,33.0,,100.0,,,,,4.0,2.0,1.0,,2.0,9.0,3.0,,1.0,,,,,2.0,1.0,0.0,,0.0,6.0,1.0,,1.0,,,,,0.0,1.0,0.0,,,,,,
141465253,Acidmetal,outland,60.0,43448.0,74.0,76.0,56.0,62.0,62.0,44.0,75.0,69.0,49.0,66.0,8.0,8.0,9.0,4.0,51.0,37.0,37.0,5.0,5.0,4.0,3.0,67.0,56.0,54.0,45.0,55.0,55.0,44.0,67.0,65.0,,,,40.0,3.0,39.0,46.0,44.0,11.0,44.0,55.0,3.0,40.0,,,,5.0,2.0,22.0,25.0,20.0,6.0,24.0,24.0,2.0,26.0,,,,2.0,0.0,2.0,0.0,,,,,,
68332358,Insidiøus,kazzak,29.0,17412.0,53.0,51.0,50.0,,100.0,50.0,,34.0,35.0,4.0,,1.0,2.0,,18.0,18.0,2.0,,1.0,1.0,,66.0,71.0,68.0,67.0,71.0,43.0,69.0,,75.0,,,,,73.0,85.0,91.0,58.0,83.0,7.0,64.0,,4.0,,,,,48.0,60.0,62.0,39.0,59.0,3.0,44.0,,3.0,,,,,,,,,,,,,
185122145,Кромвар,gordunni,79.0,11551.0,50.0,50.0,56.0,55.0,53.0,71.0,0.0,10.0,6.0,16.0,11.0,15.0,7.0,3.0,5.0,3.0,9.0,6.0,8.0,5.0,0.0,29.0,33.0,77.0,80.0,57.0,72.0,42.0,,83.0,,,,100.0,7.0,6.0,13.0,5.0,21.0,18.0,24.0,,6.0,,,,5.0,2.0,2.0,10.0,4.0,12.0,13.0,10.0,,5.0,,,,5.0,100.0,2.0,2.0,,,,,,
163362754,Lloydbannks,silvermoon,48.0,5627.0,,,31.0,50.0,50.0,0.0,,,,16.0,12.0,2.0,3.0,,,,5.0,6.0,1.0,0.0,,53.0,67.0,40.0,,45.0,71.0,62.0,,42.0,,,0.0,33.0,19.0,12.0,30.0,,20.0,17.0,24.0,,12.0,,,2.0,3.0,10.0,8.0,12.0,,9.0,12.0,15.0,,5.0,,,0.0,1.0,,,,,,,,,
218020568,Zephyrindark,sylvanas,62.0,5598.0,100.0,0.0,94.0,50.0,77.0,56.0,100.0,2.0,1.0,17.0,18.0,13.0,9.0,1.0,2.0,0.0,16.0,9.0,10.0,5.0,1.0,100.0,,62.0,,53.0,62.0,71.0,100.0,67.0,100.0,,,60.0,1.0,,8.0,,17.0,21.0,14.0,2.0,6.0,1.0,,,15.0,1.0,,5.0,,9.0,13.0,10.0,2.0,4.0,1.0,,,9.0,50.0,2.0,1.0,,,,,,
180862156,Mythterhawk,outland,48.0,8751.0,40.0,54.0,59.0,75.0,79.0,77.0,89.0,5.0,13.0,22.0,8.0,14.0,13.0,9.0,2.0,7.0,13.0,6.0,11.0,10.0,8.0,43.0,60.0,58.0,50.0,68.0,78.0,68.0,125.0,60.0,,,,75.0,7.0,5.0,12.0,2.0,19.0,27.0,19.0,4.0,15.0,,,,4.0,3.0,3.0,7.0,1.0,13.0,21.0,13.0,5.0,9.0,,,,3.0,,,,,,,,,
114207216,Patch,ravencrest,12.0,40669.0,48.0,53.0,44.0,75.0,52.0,100.0,50.0,143.0,106.0,9.0,4.0,31.0,2.0,2.0,68.0,56.0,4.0,3.0,16.0,2.0,1.0,69.0,65.0,61.0,55.0,52.0,70.0,69.0,,60.0,0.0,100.0,20.0,50.0,95.0,102.0,83.0,91.0,58.0,10.0,77.0,,5.0,1.0,29.0,5.0,2.0,66.0,66.0,51.0,50.0,30.0,7.0,53.0,,3.0,0.0,29.0,1.0,1.0,,,,,,,,,
178180802,Baddgerr,outland,33.0,2227.0,50.0,,45.0,100.0,100.0,50.0,,2.0,,11.0,1.0,2.0,2.0,,1.0,,5.0,1.0,2.0,1.0,,56.0,40.0,33.0,57.0,75.0,80.0,50.0,,50.0,0.0,,,0.0,9.0,5.0,6.0,7.0,4.0,5.0,6.0,,4.0,1.0,,,2.0,5.0,2.0,2.0,4.0,3.0,4.0,3.0,,2.0,0.0,,,0.0,,,,,,,,,
161940989,Ramegrag,dun-modr,68.0,28829.0,41.0,40.0,74.0,62.0,70.0,72.0,30.0,37.0,30.0,93.0,48.0,47.0,54.0,33.0,15.0,12.0,69.0,30.0,33.0,39.0,10.0,33.0,100.0,72.0,,72.0,69.0,46.0,75.0,0.0,25.0,,29.0,67.0,6.0,1.0,47.0,,60.0,59.0,54.0,12.0,1.0,4.0,,7.0,57.0,2.0,1.0,34.0,,43.0,41.0,25.0,9.0,0.0,1.0,,2.0,38.0,53.0,17.0,9.0,,,,,,
96588270,Gumgum,arygos,27.0,2582.0,0.0,0.0,0.0,,100.0,,,1.0,1.0,4.0,,1.0,,,0.0,0.0,0.0,,1.0,,,0.0,0.0,40.0,0.0,33.0,33.0,0.0,,100.0,,,0.0,,2.0,1.0,5.0,1.0,3.0,3.0,1.0,,1.0,,,1.0,,0.0,0.0,2.0,0.0,1.0,1.0,0.0,,1.0,,,0.0,,,,,,,,,,
197456256,Keirri,chamber-of-aspects,25.0,1520.0,33.0,33.0,60.0,,0.0,,,6.0,12.0,5.0,,1.0,,,2.0,4.0,3.0,,0.0,,,100.0,100.0,100.0,67.0,67.0,100.0,67.0,,50.0,,,,,3.0,1.0,1.0,3.0,6.0,2.0,6.0,,2.0,,,,,3.0,1.0,1.0,2.0,4.0,2.0,4.0,,1.0,,,,,,,,,,,,,
193790432,Kelni,outland,26.0,835.0,100.0,0.0,,0.0,,100.0,,1.0,2.0,,1.0,,1.0,,1.0,0.0,,0.0,,1.0,,,,0.0,,0.0,100.0,100.0,,,,,0.0,100.0,,,2.0,,1.0,1.0,1.0,,,,,1.0,1.0,,,0.0,,0.0,1.0,1.0,,,,,0.0,1.0,50.0,2.0,1.0,,,,,,
180420766,Тивиар,gordunni,7.0,1640.0,,,50.0,,0.0,67.0,100.0,,,2.0,,1.0,3.0,1.0,,,1.0,,0.0,2.0,1.0,0.0,,,,0.0,50.0,33.0,50.0,,,,25.0,33.0,1.0,,,,1.0,2.0,3.0,2.0,,,,8.0,3.0,0.0,,,,0.0,1.0,1.0,1.0,,,,2.0,1.0,,,,,,,,,
154405274,Landro,antonidas,7.0,130.0,,0.0,,,,,,,1.0,,,,,,,0.0,,,,,,,,,,,,0.0,,,,,,0.0,,,,,,,1.0,,,,,,1.0,,,,,,,0.0,,,,,,0.0,,,,,,,,,
107271066,Twardziejszy,ravencrest,5.0,872.0,100.0,100.0,100.0,50.0,100.0,100.0,50.0,1.0,1.0,2.0,2.0,1.0,1.0,4.0,1.0,1.0,2.0,1.0,1.0,1.0,2.0,,,0.0,,33.0,0.0,100.0,0.0,,,,100.0,100.0,,,1.0,,3.0,1.0,1.0,1.0,,,,1.0,1.0,,,0.0,,1.0,0.0,1.0,0.0,,,,1.0,1.0,,,,,,,,,
193054276,Shyliin,silvermoon,4.0,1029.0,,,100.0,,,100.0,33.0,,,1.0,,,1.0,3.0,,,1.0,,,1.0,1.0,,,,,0.0,100.0,0.0,,,,,,33.0,,,,,1.0,1.0,1.0,,,,,,3.0,,,,,0.0,1.0,0.0,,,,,,1.0,0.0,2.0,0.0,,,,,,
165077509,Hotoh,argent-dawn,33.0,4385.0,44.0,67.0,75.0,62.0,47.0,55.0,43.0,9.0,6.0,8.0,13.0,15.0,11.0,7.0,4.0,4.0,6.0,8.0,7.0,6.0,3.0,,,25.0,,57.0,33.0,78.0,36.0,,100.0,,,22.0,,,4.0,,7.0,12.0,9.0,14.0,,2.0,,,9.0,,,1.0,,4.0,4.0,7.0,5.0,,2.0,,,2.0,17.0,6.0,1.0,100.0,1.0,1.0,,,
164651210,Utydelig,tarren-mill,15.0,13012.0,46.0,42.0,36.0,67.0,67.0,100.0,100.0,50.0,31.0,14.0,3.0,3.0,1.0,2.0,23.0,13.0,5.0,2.0,2.0,1.0,2.0,54.0,50.0,40.0,36.0,63.0,77.0,42.0,,50.0,,,,0.0,28.0,20.0,25.0,22.0,27.0,13.0,12.0,,2.0,,,,4.0,15.0,10.0,10.0,8.0,17.0,10.0,5.0,,1.0,,,,0.0,50.0,4.0,2.0,,,,,,
188927309,Boxarbengan,outland,13.0,677.0,,,,50.0,0.0,,,,,,2.0,3.0,,,,,,1.0,0.0,,,,,0.0,,25.0,50.0,100.0,,,,,,33.0,,,1.0,,4.0,2.0,2.0,,,,,,3.0,,,0.0,,1.0,1.0,2.0,,,,,,1.0,,,,,,,,,
226274304,Valithria,sylvanas,58.0,7799.0,56.0,71.0,73.0,100.0,80.0,62.0,29.0,9.0,7.0,11.0,2.0,10.0,8.0,7.0,5.0,5.0,8.0,2.0,8.0,5.0,2.0,33.0,33.0,62.0,100.0,50.0,33.0,80.0,75.0,50.0,,100.0,0.0,,3.0,3.0,8.0,1.0,2.0,6.0,5.0,4.0,8.0,,51.0,2.0,,1.0,1.0,5.0,1.0,1.0,2.0,4.0,3.0,4.0,,51.0,0.0,,,,,,,,,,
178142124,Десперайт,gordunni,39.0,808.0,,100.0,,,,0.0,,,1.0,,,,1.0,,,1.0,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
197302542,Paladó,silvermoon,9.0,13387.0,56.0,56.0,25.0,75.0,25.0,71.0,0.0,48.0,25.0,8.0,4.0,4.0,7.0,2.0,27.0,14.0,2.0,3.0,1.0,5.0,0.0,19.0,64.0,50.0,58.0,31.0,43.0,67.0,,75.0,,,,33.0,16.0,28.0,26.0,24.0,16.0,7.0,15.0,,4.0,,,,3.0,3.0,18.0,13.0,14.0,5.0,3.0,10.0,,3.0,,,,1.0,,,,,,,,,
175810099,Paloushe,dalaran,9.0,2176.0,67.0,56.0,0.0,40.0,100.0,50.0,40.0,6.0,9.0,3.0,5.0,2.0,2.0,5.0,4.0,5.0,0.0,2.0,2.0,1.0,2.0,,,100.0,,100.0,,0.0,,,,,,0.0,,,1.0,,2.0,,2.0,,,,,,2.0,,,1.0,,2.0,,0.0,,,,,,0.0,57.0,7.0,4.0,,,,,,
195177961,Anthonel,nemesis,65.0,41330.0,42.0,36.0,54.0,60.0,67.0,75.0,74.0,91.0,87.0,52.0,25.0,39.0,20.0,27.0,38.0,31.0,28.0,15.0,26.0,15.0,20.0,50.0,53.0,60.0,58.0,57.0,65.0,59.0,,50.0,60.0,100.0,75.0,50.0,44.0,30.0,63.0,24.0,46.0,46.0,34.0,,34.0,15.0,18.0,4.0,6.0,22.0,16.0,38.0,14.0,26.0,30.0,20.0,,17.0,9.0,18.0,3.0,3.0,100.0,2.0,2.0,,,,,,
185202259,Aritas,silvermoon,46.0,19864.0,68.0,53.0,67.0,120.0,50.0,,60.0,129.0,74.0,9.0,5.0,2.0,,5.0,88.0,39.0,6.0,6.0,1.0,,3.0,52.0,47.0,48.0,55.0,36.0,62.0,63.0,,50.0,33.0,,,100.0,60.0,49.0,50.0,33.0,28.0,13.0,30.0,,8.0,3.0,,,2.0,31.0,23.0,24.0,18.0,10.0,8.0,19.0,,4.0,1.0,,,2.0,,,,,,,,,
115287737,Look,throkferoth,87.0,3041.0,50.0,,67.0,67.0,50.0,50.0,33.0,2.0,,9.0,12.0,4.0,4.0,3.0,1.0,,6.0,8.0,2.0,2.0,1.0,,,57.0,,50.0,58.0,50.0,,50.0,,,,20.0,,,7.0,,8.0,12.0,10.0,,2.0,,,,5.0,,,4.0,,4.0,7.0,5.0,,1.0,,,,1.0,,,,,,,,,
196975800,Phalox,outland,32.0,2922.0,23.0,33.0,75.0,100.0,100.0,,25.0,13.0,3.0,4.0,1.0,1.0,,4.0,3.0,1.0,3.0,1.0,1.0,,1.0,80.0,29.0,75.0,0.0,50.0,50.0,40.0,,0.0,,,,0.0,5.0,7.0,8.0,4.0,6.0,6.0,5.0,,1.0,,,,1.0,4.0,2.0,6.0,0.0,3.0,3.0,2.0,,0.0,,,,0.0,,,,,,,,,
126725985,Borimir,agamaggan,41.0,1771.0,40.0,100.0,50.0,0.0,,0.0,50.0,5.0,4.0,2.0,2.0,,4.0,2.0,2.0,4.0,1.0,0.0,,0.0,1.0,100.0,0.0,0.0,0.0,40.0,50.0,0.0,,100.0,,100.0,,0.0,1.0,2.0,2.0,2.0,5.0,6.0,2.0,,1.0,,44.0,,1.0,1.0,0.0,0.0,0.0,2.0,3.0,0.0,,1.0,,44.0,,0.0,,,,,,,,,
139762690,Favre,hyjal,21.0,12845.0,43.0,79.0,53.0,60.0,67.0,50.0,33.0,14.0,19.0,15.0,5.0,6.0,4.0,9.0,6.0,15.0,8.0,3.0,4.0,2.0,3.0,33.0,33.0,29.0,21.0,33.0,41.0,57.0,,42.0,,,,80.0,9.0,9.0,14.0,14.0,15.0,17.0,14.0,,12.0,,,,5.0,3.0,3.0,4.0,3.0,5.0,7.0,8.0,,5.0,,,,4.0,,,,,,,,,
141445649,Adrianie,ysera,126.0,140.0,,,,0.0,100.0,0.0,,,,,1.0,1.0,1.0,,,,,0.0,1.0,0.0,,,,,,0.0,,,,,,,,,,,,,1.0,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,
192017612,Pomfritzel,silvermoon,15.0,885.0,67.0,50.0,,100.0,100.0,0.0,,3.0,2.0,,1.0,2.0,1.0,,2.0,1.0,,1.0,2.0,0.0,,,,,,,100.0,,,,,,,67.0,,,,,,1.0,,,,,,,3.0,,,,,,1.0,,,,,,,2.0,,,,,,,,,
68803876,Shivah,ravencrest,81.0,58621.0,57.0,61.0,66.0,33.0,,0.0,0.0,191.0,142.0,53.0,3.0,,1.0,1.0,109.0,86.0,35.0,1.0,,0.0,0.0,71.0,70.0,64.0,64.0,73.0,60.0,71.0,,57.0,,,,100.0,262.0,164.0,168.0,223.0,203.0,43.0,227.0,,23.0,,,,1.0,187.0,115.0,108.0,143.0,148.0,26.0,161.0,,13.0,,,,1.0,100.0,2.0,2.0,,,,,,
110762455,Deenit,ravencrest,39.0,14249.0,67.0,40.0,36.0,67.0,86.0,50.0,50.0,6.0,5.0,14.0,12.0,7.0,2.0,2.0,4.0,2.0,5.0,8.0,6.0,1.0,1.0,41.0,62.0,61.0,0.0,55.0,19.0,50.0,,50.0,,,33.0,,17.0,13.0,18.0,3.0,11.0,16.0,12.0,,10.0,,,3.0,,7.0,8.0,11.0,0.0,6.0,3.0,6.0,,5.0,,,1.0,,0.0,1.0,0.0,,,,,,
62894345,Róman,aggramar,34.0,4961.0,58.0,50.0,33.0,67.0,100.0,75.0,33.0,31.0,14.0,6.0,3.0,2.0,4.0,6.0,18.0,7.0,2.0,2.0,2.0,3.0,2.0,60.0,56.0,20.0,0.0,67.0,50.0,100.0,,0.0,,100.0,,25.0,15.0,9.0,10.0,3.0,3.0,2.0,2.0,,2.0,,2.0,,4.0,9.0,5.0,2.0,0.0,2.0,1.0,2.0,,0.0,,2.0,,1.0,57.0,7.0,4.0,,,,,,
159091234,Missunnsam,kazzak,37.0,2462.0,100.0,25.0,20.0,0.0,25.0,100.0,100.0,3.0,4.0,5.0,1.0,4.0,1.0,1.0,3.0,1.0,1.0,0.0,1.0,1.0,1.0,100.0,0.0,17.0,50.0,50.0,0.0,100.0,,0.0,,,,100.0,1.0,3.0,6.0,4.0,6.0,7.0,2.0,,3.0,,,,1.0,1.0,0.0,1.0,2.0,3.0,0.0,2.0,,0.0,,,,1.0,50.0,2.0,1.0,,,,,,
67595897,Artstone,ravencrest,68.0,18914.0,58.0,63.0,67.0,100.0,100.0,100.0,50.0,77.0,35.0,18.0,1.0,1.0,1.0,2.0,45.0,22.0,12.0,1.0,1.0,1.0,1.0,64.0,60.0,52.0,48.0,47.0,54.0,50.0,4000.0,27.0,,,,,83.0,57.0,63.0,56.0,17.0,13.0,12.0,1.0,11.0,,,,,53.0,34.0,33.0,27.0,8.0,7.0,6.0,40.0,3.0,,,,,0.0,3.0,0.0,,,,,,
196305197,Айнест,gordunni,23.0,997.0,100.0,80.0,,50.0,,0.0,0.0,1.0,5.0,,2.0,,1.0,1.0,1.0,4.0,,1.0,,0.0,0.0,,,,,,,,,,100.0,,,,,,,,,,,,,1.0,,,,,,,,,,,,,1.0,,,,,,,,,,,,
154704488,Jitizim,ravencrest,15.0,3998.0,60.0,80.0,45.0,60.0,71.0,73.0,33.0,10.0,10.0,11.0,10.0,7.0,15.0,3.0,6.0,8.0,5.0,6.0,5.0,11.0,1.0,,,100.0,,64.0,40.0,82.0,100.0,,,,,67.0,,,3.0,,11.0,5.0,11.0,4.0,,,,,12.0,,,3.0,,7.0,2.0,9.0,4.0,,,,,8.0,67.0,3.0,2.0,,,,,,
89907460,Nimsy,blackhand,45.0,22814.0,33.0,29.0,57.0,71.0,64.0,65.0,100.0,12.0,7.0,127.0,34.0,25.0,26.0,1.0,4.0,2.0,72.0,24.0,16.0,17.0,1.0,52.0,61.0,47.0,53.0,45.0,45.0,53.0,500.0,38.0,40.0,100.0,,50.0,107.0,66.0,62.0,15.0,77.0,100.0,100.0,1.0,26.0,5.0,5.0,,26.0,56.0,40.0,29.0,8.0,35.0,45.0,53.0,5.0,10.0,2.0,5.0,,13.0,,,,,,,,,
196022814,Torvil,outland,11.0,635.0,33.0,,100.0,,,,50.0,3.0,,1.0,,,,2.0,1.0,,1.0,,,,1.0,,,100.0,,100.0,,100.0,,,100.0,,,,,,1.0,,1.0,,1.0,,,1.0,,,,,,1.0,,1.0,,1.0,,,1.0,,,,,,,,,,,,
209552371,Noderneder,deathwing,22.0,1059.0,,,,100.0,0.0,60.0,,,,,1.0,1.0,5.0,,,,,1.0,0.0,3.0,,,,100.0,,0.0,75.0,0.0,100.0,,,,,40.0,,,3.0,,3.0,4.0,4.0,1.0,,,,,5.0,,,3.0,,0.0,3.0,0.0,1.0,,,,,2.0,,,,,,,,,
153864983,Nrdx,ravencrest,18.0,72357.0,53.0,59.0,78.0,300.0,50.0,0.0,100.0,231.0,123.0,36.0,3.0,4.0,3.0,2.0,123.0,73.0,28.0,9.0,2.0,0.0,2.0,72.0,60.0,58.0,68.0,69.0,45.0,51.0,,41.0,0.0,,,,286.0,280.0,220.0,206.0,108.0,33.0,118.0,,22.0,2.0,,,,206.0,169.0,127.0,140.0,74.0,15.0,60.0,,9.0,0.0,,,,,,,,,,,,
90161233,Fincent,malorne,178.0,23884.0,64.0,64.0,41.0,60.0,50.0,45.0,43.0,14.0,22.0,29.0,30.0,18.0,20.0,7.0,9.0,14.0,12.0,18.0,9.0,9.0,3.0,47.0,34.0,47.0,36.0,45.0,37.0,46.0,200.0,25.0,0.0,100.0,25.0,55.0,34.0,32.0,49.0,22.0,29.0,30.0,39.0,12.0,12.0,1.0,2.0,12.0,11.0,16.0,11.0,23.0,8.0,13.0,11.0,18.0,24.0,3.0,0.0,2.0,3.0,6.0,0.0,1.0,0.0,,,,,,
111598945,Jimilza,uldaman,35.0,8272.0,40.0,14.0,32.0,50.0,100.0,50.0,,10.0,7.0,28.0,2.0,1.0,2.0,,4.0,1.0,9.0,1.0,1.0,1.0,,37.0,52.0,59.0,31.0,42.0,68.0,57.0,,47.0,,,,,38.0,21.0,29.0,16.0,24.0,19.0,14.0,,32.0,,,,,14.0,11.0,17.0,5.0,10.0,13.0,8.0,,15.0,,,,,,,,,,,,,
176648432,Pavema,neptulon,10.0,1881.0,50.0,100.0,67.0,33.0,22.0,70.0,0.0,4.0,2.0,6.0,6.0,9.0,10.0,4.0,2.0,2.0,4.0,2.0,2.0,7.0,0.0,,,,,57.0,33.0,55.0,67.0,,,,,100.0,,,,,7.0,6.0,11.0,3.0,,,,,3.0,,,,,4.0,2.0,6.0,2.0,,,,,3.0,0.0,2.0,0.0,,,,,,
