character.id,character.name,character.realm.slug,honor_level,honorable_kills,Alterac Valley win_rate,Classic Warsong Gulch win_rate,Classic Arathi Basin win_rate,Eye of the Storm win_rate,Strand of the Ancients win_rate,Isle of Conquest win_rate,Twin Peaks win_rate,Silvershard Mines win_rate,The Battle for Gilneas win_rate,Temple of Kotmogu win_rate,Deepwind Gorge (Legacy) win_rate,Ashran win_rate,Arathi Basin Winter win_rate,Cooking: Impossible win_rate,Seething Shore win_rate,Warsong Gulch win_rate,Arathi Basin win_rate,Battle for Wintergrasp win_rate,Arathi Basin Comp Stomp win_rate,Korrak's Revenge win_rate,Deepwind Gorge win_rate,Alterac Valley played,Classic Warsong Gulch played,Classic Arathi Basin played,Eye of the Storm played,Strand of the Ancients played,Isle of Conquest played,Twin Peaks played,Silvershard Mines played,The Battle for Gilneas played,Temple of Kotmogu played,Deepwind Gorge (Legacy) played,Ashran played,Arathi Basin Winter played,Cooking: Impossible played,Seething Shore played,Warsong Gulch played,Arathi Basin played,Battle for Wintergrasp played,Arathi Basin Comp Stomp played,Korrak's Revenge played,Deepwind Gorge played,Alterac Valley won,Classic Warsong Gulch won,Classic Arathi Basin won,Eye of the Storm won,Strand of the Ancients won,Isle of Conquest won,Twin Peaks won,Silvershard Mines won,The Battle for Gilneas won,Temple of Kotmogu won,Deepwind Gorge (Legacy) won,Ashran won,Arathi Basin Winter won,Cooking: Impossible won,Seething Shore won,Warsong Gulch won,Arathi Basin won,Battle for Wintergrasp won,Arathi Basin Comp Stomp won,Korrak's Revenge won,Deepwind Gorge won,Rated Eye of the Storm win_rate,Rated Eye of the Storm played,Rated Eye of the Storm won,Southshore vs. Tarren Mill win_rate,Southshore vs. Tarren Mill played,Southshore vs. Tarren Mill won
139653617,Bolívar,magtheridon,25.0,10775.0,29.0,56.0,100.0,67.0,0.0,60.0,74.0,55.0,74.0,45.0,56.0,75.0,50.0,100.0,76.0,50.0,65.0,50.0,100.0,50.0,74.0,7.0,9.0,1.0,18.0,1.0,5.0,27.0,20.0,19.0,22.0,9.0,4.0,2.0,1.0,17.0,20.0,17.0,4.0,2.0,2.0,19.0,2.0,5.0,1.0,12.0,0.0,3.0,20.0,11.0,14.0,10.0,5.0,3.0,1.0,1.0,13.0,10.0,11.0,2.0,2.0,1.0,14.0,,,,,,
127168376,Andgrod,minahonda,16.0,4570.0,0.0,85.0,55.0,55.0,44.0,75.0,35.0,67.0,71.0,44.0,59.0,,50.0,,75.0,50.0,75.0,,,,,2.0,13.0,11.0,11.0,9.0,4.0,17.0,18.0,17.0,16.0,17.0,,2.0,,4.0,6.0,4.0,,,,,0.0,11.0,6.0,6.0,4.0,3.0,6.0,12.0,12.0,7.0,10.0,,1.0,,3.0,3.0,3.0,,,,,,,,,,
175810099,Paloushe,dalaran,9.0,2176.0,67.0,,,100.0,,56.0,100.0,,0.0,0.0,,57.0,,,40.0,100.0,50.0,40.0,,,0.0,6.0,,,1.0,,9.0,2.0,,2.0,3.0,,7.0,,,5.0,2.0,2.0,5.0,,,2.0,4.0,,,1.0,,5.0,2.0,,0.0,0.0,,4.0,,,2.0,2.0,1.0,2.0,,,0.0,,,,,,
161267279,Hitlander,exodar,11.0,2638.0,0.0,,,80.0,,100.0,64.0,40.0,100.0,75.0,,,100.0,,86.0,57.0,75.0,100.0,,,60.0,1.0,,,5.0,,1.0,11.0,5.0,3.0,4.0,,,5.0,,7.0,7.0,4.0,1.0,,,5.0,0.0,,,4.0,,1.0,7.0,2.0,3.0,3.0,,,5.0,,6.0,4.0,3.0,1.0,,,3.0,,,,,,
191840232,Nakui,aegwynn,28.0,2299.0,,,,0.0,,50.0,100.0,67.0,60.0,100.0,0.0,33.0,,,67.0,67.0,29.0,0.0,100.0,,67.0,,,,2.0,,2.0,3.0,6.0,5.0,1.0,1.0,3.0,,,6.0,6.0,7.0,4.0,1.0,,3.0,,,,0.0,,1.0,3.0,4.0,3.0,1.0,0.0,1.0,,,4.0,4.0,2.0,0.0,1.0,,2.0,,,,,,
174805952,Palanez,exodar,26.0,160.0,,,,,,,,,50.0,,,0.0,,,,50.0,,,,,0.0,,,,,,,,,2.0,,,1.0,,,,2.0,,,,,1.0,,,,,,,,,1.0,,,0.0,,,,1.0,,,,,0.0,,,,,,
172739751,Ztrega,silvermoon,77.0,16281.0,49.0,46.0,46.0,36.0,22.0,65.0,42.0,37.0,47.0,33.0,39.0,0.0,33.0,,200.0,40.0,100.0,100.0,100.0,,,55.0,80.0,24.0,42.0,32.0,23.0,43.0,49.0,38.0,52.0,31.0,1.0,3.0,,2.0,10.0,2.0,1.0,2.0,,,27.0,37.0,11.0,15.0,7.0,15.0,18.0,18.0,18.0,17.0,12.0,0.0,1.0,,4.0,4.0,2.0,1.0,2.0,,,,,,,,
111052905,Lisburn,eonar,8.0,16434.0,41.0,38.0,61.0,49.0,36.0,50.0,33.0,43.0,36.0,26.0,67.0,,,,,,,,,,50.0,73.0,55.0,51.0,57.0,64.0,40.0,15.0,23.0,25.0,19.0,6.0,,,,,,,,,,2.0,30.0,21.0,31.0,28.0,23.0,20.0,5.0,10.0,9.0,5.0,4.0,,,,,,,,,,1.0,,,,,,
164541110,Алекстрэк,gordunni,37.0,21384.0,68.0,54.0,33.0,59.0,41.0,80.0,46.0,42.0,49.0,46.0,55.0,0.0,100.0,,44.0,54.0,67.0,17.0,100.0,,25.0,22.0,26.0,24.0,34.0,27.0,10.0,39.0,31.0,39.0,28.0,38.0,1.0,1.0,,18.0,13.0,3.0,6.0,7.0,,4.0,15.0,14.0,8.0,20.0,11.0,8.0,18.0,13.0,19.0,13.0,21.0,0.0,1.0,,8.0,7.0,2.0,1.0,7.0,,1.0,,,,,,
185322365,Aertine,hyjal,38.0,46849.0,59.0,69.0,71.0,68.0,50.0,56.0,65.0,57.0,60.0,57.0,44.0,33.0,83.0,,56.0,68.0,38.0,69.0,100.0,100.0,50.0,95.0,89.0,89.0,117.0,58.0,78.0,80.0,53.0,60.0,40.0,27.0,3.0,6.0,,25.0,31.0,21.0,36.0,11.0,1.0,10.0,56.0,61.0,63.0,80.0,29.0,44.0,52.0,30.0,36.0,23.0,12.0,1.0,5.0,,14.0,21.0,8.0,25.0,11.0,1.0,5.0,,,,,,
170921071,Дитристаг,gordunni,76.0,58369.0,62.0,51.0,49.0,56.0,45.0,74.0,52.0,59.0,49.0,48.0,55.0,50.0,100.0,,73.0,54.0,71.0,26.0,,12.0,75.0,69.0,71.0,49.0,45.0,42.0,27.0,52.0,71.0,49.0,62.0,29.0,16.0,1.0,,11.0,63.0,17.0,19.0,,8.0,4.0,43.0,36.0,24.0,25.0,19.0,20.0,27.0,42.0,24.0,30.0,16.0,8.0,1.0,,8.0,34.0,12.0,5.0,,1.0,3.0,,,,,,
81213722,Aerîon,frostwolf,27.0,10434.0,55.0,41.0,67.0,57.0,54.0,75.0,55.0,67.0,50.0,38.0,0.0,,,,100.0,,0.0,,,40.0,,20.0,17.0,18.0,14.0,13.0,12.0,11.0,3.0,12.0,8.0,3.0,,,,1.0,,2.0,,,5.0,,11.0,7.0,12.0,8.0,7.0,9.0,6.0,2.0,6.0,3.0,0.0,,,,1.0,,0.0,,,2.0,,,,,,,
175253057,Khimoa,sanguino,9.0,1309.0,100.0,50.0,50.0,50.0,,100.0,,,0.0,100.0,0.0,0.0,,,0.0,100.0,,0.0,,,50.0,1.0,4.0,2.0,2.0,,1.0,,,1.0,3.0,1.0,1.0,,,3.0,1.0,,1.0,,,2.0,1.0,2.0,1.0,1.0,,1.0,,,0.0,3.0,0.0,0.0,,,0.0,1.0,,0.0,,,1.0,,,,,,
160190997,Critical,emerald-dream,5.0,420.0,,,,,,100.0,,,,,,0.0,,,,,,0.0,,,,,,,,,2.0,,,,,,1.0,,,,,,2.0,,,,,,,,,2.0,,,,,,0.0,,,,,,0.0,,,,,,,,,
137320642,Snòrry,silvermoon,47.0,3894.0,50.0,67.0,0.0,75.0,75.0,75.0,50.0,20.0,0.0,33.0,50.0,,50.0,,67.0,0.0,33.0,100.0,100.0,,100.0,4.0,6.0,3.0,4.0,4.0,4.0,6.0,5.0,4.0,9.0,4.0,,2.0,,3.0,1.0,3.0,1.0,1.0,,2.0,2.0,4.0,0.0,3.0,3.0,3.0,3.0,1.0,0.0,3.0,2.0,,1.0,,2.0,0.0,1.0,1.0,1.0,,2.0,100.0,1.0,1.0,,,
89350990,Omi,sanguino,27.0,15165.0,66.0,48.0,59.0,49.0,42.0,54.0,44.0,36.0,64.0,69.0,50.0,50.0,,,83.0,0.0,40.0,0.0,,,33.0,38.0,75.0,70.0,97.0,80.0,13.0,16.0,11.0,11.0,13.0,8.0,2.0,,,6.0,3.0,5.0,1.0,,,6.0,25.0,36.0,41.0,48.0,34.0,7.0,7.0,4.0,7.0,9.0,4.0,1.0,,,5.0,0.0,2.0,0.0,,,2.0,,,,,,
166079251,Steks,blades-edge,22.0,20841.0,48.0,59.0,62.0,49.0,64.0,48.0,33.0,82.0,38.0,58.0,40.0,,67.0,,100.0,70.0,57.0,60.0,,14.0,25.0,160.0,49.0,93.0,43.0,61.0,23.0,15.0,11.0,26.0,12.0,5.0,,3.0,,3.0,10.0,7.0,5.0,,7.0,4.0,77.0,29.0,58.0,21.0,39.0,11.0,5.0,9.0,10.0,7.0,2.0,,2.0,,3.0,7.0,4.0,3.0,,1.0,1.0,,,,,,
163224163,Радостьмоя,gordunni,94.0,10242.0,,55.0,38.0,67.0,100.0,,43.0,56.0,59.0,54.0,67.0,,50.0,,55.0,62.0,69.0,,100.0,0.0,82.0,,22.0,8.0,24.0,3.0,,28.0,43.0,41.0,48.0,12.0,,4.0,,20.0,16.0,16.0,,2.0,1.0,11.0,,12.0,3.0,16.0,3.0,,12.0,24.0,24.0,26.0,8.0,,2.0,,11.0,10.0,11.0,,2.0,0.0,9.0,,,,,,
104576523,Savera,confrérie-du-thorium,7.0,4672.0,100.0,38.0,36.0,38.0,50.0,71.0,38.0,25.0,50.0,29.0,100.0,,,,67.0,,,50.0,100.0,100.0,0.0,1.0,8.0,11.0,8.0,2.0,14.0,8.0,4.0,8.0,7.0,2.0,,,,3.0,,,2.0,1.0,1.0,1.0,1.0,3.0,4.0,3.0,1.0,10.0,3.0,1.0,4.0,2.0,2.0,,,,2.0,,,1.0,1.0,1.0,0.0,,,,,,
187636080,Benqinsane,silvermoon,43.0,6324.0,100.0,,,60.0,,25.0,78.0,67.0,50.0,48.0,,100.0,,,67.0,62.0,33.0,38.0,,,50.0,5.0,,,15.0,,4.0,9.0,6.0,6.0,23.0,,1.0,,,9.0,13.0,9.0,8.0,,,8.0,5.0,,,9.0,,1.0,7.0,4.0,3.0,11.0,,1.0,,,6.0,8.0,3.0,3.0,,,4.0,,,,,,
135934839,Darthdraenei,exodar,7.0,831.0,0.0,0.0,100.0,0.0,,100.0,0.0,,0.0,20.0,75.0,,,,100.0,,100.0,0.0,,,,1.0,1.0,1.0,2.0,,1.0,2.0,,1.0,5.0,4.0,,,,2.0,,1.0,1.0,,,,0.0,0.0,1.0,0.0,,1.0,0.0,,0.0,1.0,3.0,,,,2.0,,1.0,0.0,,,,,,,,,
117096755,Blürg,blackmoore,37.0,22275.0,50.0,34.0,29.0,25.0,33.0,56.0,47.0,34.0,38.0,37.0,38.0,36.0,,,33.0,57.0,80.0,38.0,,,33.0,52.0,44.0,34.0,16.0,12.0,55.0,45.0,64.0,53.0,65.0,40.0,11.0,,,9.0,14.0,5.0,13.0,,,3.0,26.0,15.0,10.0,4.0,4.0,31.0,21.0,22.0,20.0,24.0,15.0,4.0,,,3.0,8.0,4.0,5.0,,,1.0,,,,,,
180724479,Dpspaladin,kazzak,6.0,4067.0,57.0,38.0,47.0,27.0,40.0,47.0,100.0,33.0,50.0,0.0,,,,,,,,,,100.0,,14.0,29.0,15.0,15.0,15.0,15.0,1.0,9.0,2.0,6.0,,,,,,,,,,12.0,,8.0,11.0,7.0,4.0,6.0,7.0,1.0,3.0,1.0,0.0,,,,,,,,,,12.0,,,,,,,
133275195,Âce,minahonda,47.0,4517.0,57.0,50.0,,50.0,0.0,33.0,57.0,56.0,50.0,67.0,0.0,0.0,,,70.0,71.0,17.0,,,,17.0,7.0,8.0,,4.0,1.0,3.0,14.0,16.0,12.0,6.0,2.0,1.0,,,10.0,28.0,6.0,,,,6.0,4.0,4.0,,2.0,0.0,1.0,8.0,9.0,6.0,4.0,0.0,0.0,,,7.0,20.0,1.0,,,,1.0,200.0,2.0,4.0,,,
131381024,Ninphadora,exodar,71.0,11224.0,36.0,48.0,58.0,12.0,50.0,40.0,44.0,47.0,62.0,30.0,36.0,,100.0,,0.0,,,,100.0,80.0,0.0,22.0,25.0,19.0,8.0,6.0,10.0,18.0,34.0,21.0,23.0,22.0,,2.0,,2.0,,,,2.0,5.0,2.0,8.0,12.0,11.0,1.0,3.0,4.0,8.0,16.0,13.0,7.0,8.0,,2.0,,0.0,,,,2.0,4.0,0.0,,,,,,
195769769,Pacthelight,hyjal,36.0,3856.0,100.0,,,57.0,,,33.0,47.0,50.0,60.0,,80.0,,,75.0,67.0,30.0,,,,62.0,2.0,,,7.0,,,6.0,17.0,10.0,10.0,,5.0,,,16.0,18.0,10.0,,,,8.0,2.0,,,4.0,,,2.0,8.0,5.0,6.0,,4.0,,,12.0,12.0,3.0,,,,5.0,100.0,1.0,1.0,,,
157598724,Xeanøth,exodar,34.0,8859.0,85.0,,,62.0,,57.0,61.0,50.0,52.0,64.0,82.0,,50.0,100.0,47.0,70.0,55.0,27.0,100.0,,100.0,20.0,,,16.0,,23.0,18.0,24.0,21.0,22.0,22.0,,6.0,1.0,17.0,30.0,20.0,11.0,1.0,,4.0,17.0,,,10.0,,13.0,11.0,12.0,11.0,14.0,18.0,,3.0,1.0,8.0,21.0,11.0,3.0,1.0,,4.0,,,,,,
90824070,Lightbrinder,minahonda,28.0,5817.0,73.0,100.0,25.0,100.0,75.0,55.0,50.0,25.0,60.0,100.0,0.0,100.0,,,33.0,,100.0,67.0,100.0,50.0,100.0,11.0,1.0,4.0,2.0,4.0,11.0,2.0,4.0,5.0,3.0,2.0,2.0,,,3.0,,1.0,9.0,5.0,2.0,1.0,8.0,1.0,1.0,2.0,3.0,6.0,1.0,1.0,3.0,3.0,0.0,2.0,,,1.0,,1.0,6.0,5.0,1.0,1.0,,,,,,
161243486,Canna,doomhammer,14.0,449.0,,,,,,,,,,,,,,,,,,,,75.0,,,,,,,,,,,,,,,,,,,,,4.0,,,,,,,,,,,,,,,,,,,,,3.0,,,,,,,
59752014,Ххамер,azuregos,18.0,3634.0,75.0,18.0,20.0,50.0,,42.0,0.0,100.0,60.0,75.0,,40.0,,,33.0,0.0,50.0,11.0,,,100.0,8.0,17.0,5.0,2.0,,12.0,1.0,2.0,5.0,4.0,,10.0,,,3.0,2.0,2.0,9.0,,,1.0,6.0,3.0,1.0,1.0,,5.0,0.0,2.0,3.0,3.0,,4.0,,,1.0,0.0,1.0,1.0,,,1.0,0.0,1.0,0.0,,,
174632438,Kurosan,cthun,30.0,1192.0,100.0,,,100.0,,75.0,100.0,0.0,0.0,,,0.0,,,100.0,50.0,,50.0,,,75.0,2.0,,,1.0,,4.0,1.0,2.0,1.0,,,1.0,,,1.0,2.0,,2.0,,,4.0,2.0,,,1.0,,3.0,1.0,0.0,0.0,,,0.0,,,1.0,1.0,,1.0,,,3.0,,,,,,
176669731,Vítorhugo,exodar,4.0,681.0,100.0,,,33.0,,0.0,100.0,100.0,,,,50.0,,,0.0,,50.0,,,,0.0,1.0,,,3.0,,1.0,1.0,1.0,,,,2.0,,,2.0,,2.0,,,,1.0,1.0,,,1.0,,0.0,1.0,1.0,,,,1.0,,,0.0,,1.0,,,,0.0,,,,,,
93049866,Ankou,exodar,87.0,46920.0,52.0,63.0,63.0,65.0,54.0,62.0,61.0,50.0,59.0,57.0,61.0,50.0,60.0,100.0,64.0,62.0,79.0,50.0,100.0,17.0,48.0,87.0,145.0,130.0,118.0,79.0,34.0,138.0,103.0,165.0,107.0,44.0,2.0,5.0,2.0,42.0,66.0,38.0,8.0,19.0,6.0,23.0,45.0,91.0,82.0,77.0,43.0,21.0,84.0,52.0,97.0,61.0,27.0,1.0,3.0,2.0,27.0,41.0,30.0,4.0,19.0,1.0,11.0,,,,100.0,1.0,1.0
162695376,Paleitor,exodar,5.0,1177.0,,,,0.0,,,,,,50.0,,,,,,100.0,50.0,33.0,,,,,,,1.0,,,,,,2.0,,,,,,1.0,2.0,3.0,,,,,,,0.0,,,,,,1.0,,,,,,1.0,1.0,1.0,,,,,,,,,
210056226,Dwellinger,nagrand,20.0,6798.0,0.0,50.0,0.0,29.0,,100.0,67.0,67.0,86.0,75.0,56.0,,33.0,,91.0,67.0,40.0,50.0,,0.0,50.0,1.0,4.0,2.0,14.0,,1.0,6.0,6.0,7.0,12.0,9.0,,3.0,,11.0,3.0,10.0,2.0,,10.0,2.0,0.0,2.0,0.0,4.0,,1.0,4.0,4.0,6.0,9.0,5.0,,1.0,,10.0,2.0,4.0,1.0,,0.0,1.0,,,,,,
87111281,Затрещинна,howling-fjord,6.0,29392.0,62.0,45.0,39.0,44.0,32.0,63.0,60.0,100.0,50.0,100.0,,,,,,,,,,,,42.0,140.0,114.0,54.0,44.0,27.0,10.0,1.0,4.0,1.0,,,,,,,,,,,,26.0,63.0,45.0,24.0,14.0,17.0,6.0,1.0,2.0,1.0,,,,,,,,,,,,,,,,,
45639438,Skalker,drakthul,8.0,37170.0,50.0,57.0,61.0,71.0,55.0,44.0,64.0,0.0,54.0,100.0,33.0,,,,40.0,,,100.0,100.0,,,115.0,166.0,153.0,117.0,151.0,122.0,77.0,4.0,78.0,4.0,3.0,,,,5.0,,,1.0,3.0,,,57.0,94.0,93.0,83.0,83.0,54.0,49.0,0.0,42.0,4.0,1.0,,,,2.0,,,1.0,3.0,,,,,,,,
97643010,Mysticwoman,tarren-mill,7.0,8656.0,32.0,31.0,12.0,0.0,60.0,33.0,33.0,45.0,67.0,44.0,,,,,,,,,,,,22.0,26.0,8.0,4.0,5.0,3.0,6.0,22.0,12.0,16.0,,,,,,,,,,,,7.0,8.0,1.0,0.0,3.0,1.0,2.0,10.0,8.0,7.0,,,,,,,,,,,,,,,,,
176700761,Copyright,minahonda,43.0,3158.0,62.0,67.0,,57.0,60.0,0.0,30.0,50.0,60.0,71.0,100.0,50.0,,,,100.0,0.0,0.0,,,,8.0,9.0,,7.0,5.0,1.0,10.0,4.0,5.0,7.0,1.0,2.0,,,,1.0,4.0,1.0,,,,5.0,6.0,,4.0,3.0,0.0,3.0,2.0,3.0,5.0,1.0,1.0,,,,1.0,0.0,0.0,,,,,,,,,
175140320,Macarrones,exodar,7.0,744.0,0.0,,,100.0,,0.0,,0.0,100.0,0.0,,0.0,100.0,,100.0,,0.0,0.0,,,0.0,1.0,,,1.0,,1.0,,1.0,2.0,3.0,,3.0,1.0,,2.0,,2.0,2.0,,,1.0,0.0,,,1.0,,0.0,,0.0,2.0,0.0,,0.0,1.0,,2.0,,0.0,0.0,,,0.0,,,,,,
155969923,Taduk,sanguino,15.0,279.0,100.0,,,,,,,,,,,0.0,,,0.0,,,,,,0.0,1.0,,,,,,,,,,,1.0,,,1.0,,,,,,1.0,1.0,,,,,,,,,,,0.0,,,0.0,,,,,,0.0,,,,,,
159247825,Ascent,haomarush,89.0,818.0,33.0,,,50.0,,0.0,100.0,50.0,100.0,0.0,,,,,50.0,33.0,,100.0,,,0.0,6.0,,,2.0,,1.0,1.0,4.0,1.0,1.0,,,,,2.0,3.0,,1.0,,,2.0,2.0,,,1.0,,0.0,1.0,2.0,1.0,0.0,,,,,1.0,1.0,,1.0,,,0.0,,,,,,
90833227,Kaidan,minahonda,22.0,51713.0,54.0,51.0,51.0,48.0,49.0,36.0,48.0,67.0,43.0,52.0,27.0,,,,120.0,0.0,33.0,,,0.0,0.0,80.0,100.0,127.0,54.0,75.0,39.0,90.0,21.0,104.0,21.0,11.0,,,,5.0,1.0,6.0,,,1.0,1.0,43.0,51.0,65.0,26.0,37.0,14.0,43.0,14.0,45.0,11.0,3.0,,,,6.0,0.0,2.0,,,0.0,0.0,,,,,,
171026989,Palanou,archimonde,8.0,870.0,75.0,,,,,33.0,0.0,0.0,,,,40.0,,,50.0,25.0,100.0,100.0,,,,4.0,,,,,3.0,2.0,1.0,,,,5.0,,,2.0,4.0,1.0,1.0,,,,3.0,,,,,1.0,0.0,0.0,,,,2.0,,,1.0,1.0,1.0,1.0,,,,,,,,,
159124478,Anngron,exodar,32.0,10956.0,50.0,,,60.0,,28.0,33.0,42.0,67.0,33.0,55.0,71.0,100.0,,44.0,50.0,39.0,50.0,,100.0,100.0,22.0,,,15.0,,18.0,15.0,12.0,12.0,9.0,11.0,7.0,1.0,,9.0,12.0,18.0,20.0,,1.0,4.0,11.0,,,9.0,,5.0,5.0,5.0,8.0,3.0,6.0,5.0,1.0,,4.0,6.0,7.0,10.0,,1.0,4.0,,,,,,
178770969,Раггнар,goldrinn,37.0,13330.0,0.0,33.0,100.0,60.0,,100.0,55.0,60.0,52.0,75.0,86.0,50.0,100.0,,72.0,68.0,56.0,100.0,100.0,25.0,65.0,3.0,6.0,1.0,47.0,,2.0,31.0,35.0,29.0,40.0,7.0,2.0,1.0,,32.0,25.0,18.0,1.0,1.0,4.0,23.0,0.0,2.0,1.0,28.0,,2.0,17.0,21.0,15.0,30.0,6.0,1.0,1.0,,23.0,17.0,10.0,1.0,1.0,1.0,15.0,,,,,,
152626769,Kouik,hyjal,5.0,1199.0,33.0,0.0,,,,50.0,25.0,0.0,,0.0,,,,,50.0,0.0,,,100.0,,,9.0,1.0,,,,2.0,4.0,2.0,,1.0,,,,,2.0,1.0,,,1.0,,,3.0,0.0,,,,1.0,1.0,0.0,,0.0,,,,,1.0,0.0,,,1.0,,,,,,,,
97118054,Anarae,tarren-mill,25.0,17597.0,38.0,51.0,51.0,72.0,64.0,52.0,29.0,62.0,44.0,40.0,60.0,67.0,,,50.0,100.0,100.0,100.0,,,100.0,69.0,65.0,37.0,29.0,44.0,40.0,24.0,8.0,25.0,15.0,5.0,3.0,,,2.0,1.0,1.0,3.0,,,1.0,26.0,33.0,19.0,21.0,28.0,21.0,7.0,5.0,11.0,6.0,3.0,2.0,,,1.0,1.0,1.0,3.0,,,1.0,,,,,,
164567847,Imslapyo,bronzebeard,14.0,3596.0,40.0,73.0,50.0,80.0,40.0,50.0,27.0,31.0,62.0,68.0,67.0,,,,,0.0,67.0,,,0.0,50.0,5.0,11.0,8.0,5.0,5.0,2.0,11.0,13.0,13.0,19.0,3.0,,,,,1.0,3.0,,,1.0,2.0,2.0,8.0,4.0,4.0,2.0,1.0,3.0,4.0,8.0,13.0,2.0,,,,,0.0,2.0,,,0.0,1.0,,,,,,
159143128,Glutenguri,ravencrest,15.0,2272.0,75.0,,,50.0,,75.0,75.0,0.0,,0.0,,11.0,33.0,,50.0,0.0,33.0,50.0,,,50.0,4.0,,,2.0,,4.0,4.0,3.0,,2.0,,9.0,3.0,,2.0,1.0,3.0,10.0,,,2.0,3.0,,,1.0,,3.0,3.0,0.0,,0.0,,1.0,1.0,,1.0,0.0,1.0,5.0,,,1.0,,,,,,
162397961,Ixíón,dun-modr,9.0,239.0,33.0,,,,,,,0.0,,,,100.0,,,,0.0,0.0,,,,,3.0,,,,,,,1.0,,,,1.0,,,,2.0,1.0,,,,,1.0,,,,,,,0.0,,,,1.0,,,,0.0,0.0,,,,,,,,,,
127593735,Форстарлинг,blackscar,10.0,11294.0,73.0,53.0,41.0,53.0,33.0,84.0,46.0,52.0,35.0,43.0,20.0,,0.0,,0.0,,,100.0,100.0,,,15.0,34.0,29.0,19.0,27.0,19.0,13.0,25.0,17.0,21.0,10.0,,1.0,,1.0,,,2.0,1.0,,,11.0,18.0,12.0,10.0,9.0,16.0,6.0,13.0,6.0,9.0,2.0,,0.0,,0.0,,,2.0,1.0,,,,,,,,
170229125,Элитныи,gordunni,51.0,24170.0,49.0,62.0,54.0,60.0,58.0,40.0,56.0,59.0,70.0,79.0,76.0,,,,100.0,0.0,,,,,,39.0,110.0,79.0,52.0,53.0,30.0,70.0,27.0,91.0,24.0,21.0,,,,1.0,2.0,,,,,,19.0,68.0,43.0,31.0,31.0,12.0,39.0,16.0,64.0,19.0,16.0,,,,1.0,0.0,,,,,,,,,,,
139762690,Favre,hyjal,21.0,12845.0,43.0,33.0,33.0,29.0,21.0,79.0,33.0,41.0,57.0,53.0,42.0,,,,60.0,67.0,50.0,33.0,,,80.0,14.0,9.0,9.0,14.0,14.0,19.0,15.0,17.0,14.0,15.0,12.0,,,,5.0,6.0,4.0,9.0,,,5.0,6.0,3.0,3.0,4.0,3.0,15.0,5.0,7.0,8.0,8.0,5.0,,,,3.0,4.0,2.0,3.0,,,4.0,,,,,,
155711006,Gottköníg,antonidas,33.0,741.0,,,,0.0,,100.0,,100.0,,0.0,,100.0,,,0.0,0.0,100.0,,,33.0,100.0,,,,1.0,,1.0,,1.0,,1.0,,1.0,,,2.0,1.0,2.0,,,6.0,1.0,,,,0.0,,1.0,,1.0,,0.0,,1.0,,,0.0,0.0,2.0,,,2.0,1.0,,,,,,
154057664,Malwéthiel,kirin-tor,84.0,5572.0,44.0,33.0,0.0,0.0,,50.0,65.0,71.0,21.0,27.0,80.0,0.0,,,250.0,20.0,,50.0,100.0,0.0,33.0,9.0,12.0,4.0,2.0,,8.0,17.0,7.0,24.0,11.0,5.0,1.0,,,2.0,5.0,,6.0,14.0,4.0,3.0,4.0,4.0,0.0,0.0,,4.0,11.0,5.0,5.0,3.0,4.0,0.0,,,5.0,1.0,,3.0,14.0,0.0,1.0,,,,,,
192244793,Woopiedancer,kazzak,4.0,615.0,,,,33.0,,,50.0,33.0,0.0,50.0,,,,,100.0,67.0,50.0,,,,100.0,,,,3.0,,,2.0,3.0,1.0,2.0,,,,,1.0,3.0,2.0,,,,1.0,,,,1.0,,,1.0,1.0,0.0,1.0,,,,,1.0,2.0,1.0,,,,1.0,,,,,,
166161372,Lexaniqt,blackmoore,53.0,57718.0,43.0,59.0,55.0,60.0,53.0,43.0,62.0,50.0,65.0,,40.0,,,,,,0.0,,,,0.0,28.0,90.0,38.0,30.0,45.0,46.0,29.0,6.0,34.0,,5.0,,,,,,2.0,,,,1.0,12.0,53.0,21.0,18.0,24.0,20.0,18.0,3.0,22.0,,2.0,,,,,,0.0,,,,0.0,,,,,,
166641501,Rstudios,hyjal,5.0,629.0,100.0,,,,,0.0,100.0,50.0,100.0,,,100.0,,,0.0,100.0,,,,,100.0,1.0,,,,,1.0,1.0,2.0,1.0,,,1.0,,,1.0,1.0,,,,,1.0,1.0,,,,,0.0,1.0,1.0,1.0,,,1.0,,,0.0,1.0,,,,,1.0,,,,,,
189279294,Холиманьяк,gordunni,60.0,14208.0,0.0,55.0,60.0,72.0,,57.0,57.0,67.0,56.0,64.0,55.0,0.0,44.0,,66.0,46.0,74.0,0.0,100.0,,75.0,3.0,11.0,5.0,25.0,,7.0,28.0,27.0,36.0,47.0,20.0,1.0,9.0,,44.0,26.0,23.0,2.0,2.0,,8.0,0.0,6.0,3.0,18.0,,4.0,16.0,18.0,20.0,30.0,11.0,0.0,4.0,,29.0,12.0,17.0,0.0,2.0,,6.0,,,,,,
