character.id,character.name,character.realm.slug,honor_level,honorable_kills,Alterac Valley win_rate,Classic Warsong Gulch win_rate,Classic Arathi Basin win_rate,Eye of the Storm win_rate,Strand of the Ancients win_rate,Isle of Conquest win_rate,Twin Peaks win_rate,Silvershard Mines win_rate,The Battle for Gilneas win_rate,Rated Eye of the Storm win_rate,Temple of Kotmogu win_rate,Deepwind Gorge (Legacy) win_rate,Ashran win_rate,Seething Shore win_rate,Warsong Gulch win_rate,Arathi Basin win_rate,Battle for Wintergrasp win_rate,Arathi Basin Comp Stomp win_rate,Deepwind Gorge win_rate,Alterac Valley played,Classic Warsong Gulch played,Classic Arathi Basin played,Eye of the Storm played,Strand of the Ancients played,Isle of Conquest played,Twin Peaks played,Silvershard Mines played,The Battle for Gilneas played,Rated Eye of the Storm played,Temple of Kotmogu played,Deepwind Gorge (Legacy) played,Ashran played,Seething Shore played,Warsong Gulch played,Arathi Basin played,Battle for Wintergrasp played,Arathi Basin Comp Stomp played,Deepwind Gorge played,Alterac Valley won,Classic Warsong Gulch won,Classic Arathi Basin won,Eye of the Storm won,Strand of the Ancients won,Isle of Conquest won,Twin Peaks won,Silvershard Mines won,The Battle for Gilneas won,Rated Eye of the Storm won,Temple of Kotmogu won,Deepwind Gorge (Legacy) won,Ashran won,Seething Shore won,Warsong Gulch won,Arathi Basin won,Battle for Wintergrasp won,Arathi Basin Comp Stomp won,Deepwind Gorge won,Arathi Basin Winter win_rate,Arathi Basin Winter played,Arathi Basin Winter won,Cooking: Impossible win_rate,Cooking: Impossible played,Cooking: Impossible won,Korrak's Revenge win_rate,Korrak's Revenge played,Korrak's Revenge won,Southshore vs. Tarren Mill win_rate,Southshore vs. Tarren Mill played,Southshore vs. Tarren Mill won
114207216,Patch,ravencrest,12.0,40669.0,48.0,69.0,65.0,61.0,55.0,53.0,52.0,70.0,69.0,,44.0,60.0,,75.0,52.0,100.0,50.0,100.0,50.0,143.0,95.0,102.0,83.0,91.0,106.0,58.0,10.0,77.0,,9.0,5.0,,4.0,31.0,2.0,2.0,29.0,2.0,68.0,66.0,66.0,51.0,50.0,56.0,30.0,7.0,53.0,,4.0,3.0,,3.0,16.0,2.0,1.0,29.0,1.0,0.0,1.0,0.0,,,,20.0,5.0,1.0,,,
164676101,Algrunas,kazzak,16.0,1342.0,50.0,67.0,100.0,33.0,,67.0,100.0,0.0,,,33.0,50.0,,,,,,100.0,100.0,2.0,3.0,1.0,3.0,,3.0,2.0,2.0,,,3.0,2.0,,,,,,1.0,2.0,1.0,2.0,1.0,1.0,,2.0,2.0,0.0,,,1.0,1.0,,,,,,1.0,2.0,,,,,,,,,,,,
153197999,Gordain,malfurion,17.0,4505.0,38.0,,,50.0,,86.0,38.0,50.0,33.0,,50.0,50.0,67.0,50.0,40.0,75.0,33.0,100.0,0.0,8.0,,,6.0,,7.0,8.0,8.0,3.0,,4.0,2.0,6.0,4.0,5.0,4.0,9.0,2.0,2.0,3.0,,,3.0,,6.0,3.0,4.0,1.0,,2.0,1.0,4.0,2.0,2.0,3.0,3.0,2.0,0.0,100.0,1.0,1.0,,,,0.0,4.0,0.0,,,
156363333,Biosync,ravencrest,5.0,58.0,,,,,,0.0,,,,,,,0.0,,,,,,,,,,,,1.0,,,,,,,1.0,,,,,,,,,,,,0.0,,,,,,,0.0,,,,,,,,,,,,,,,,,,
118352641,Council,ravencrest,16.0,3106.0,50.0,55.0,100.0,100.0,20.0,100.0,50.0,56.0,67.0,0.0,60.0,,,100.0,100.0,67.0,50.0,,100.0,2.0,11.0,3.0,1.0,5.0,2.0,4.0,9.0,6.0,1.0,5.0,,,1.0,1.0,3.0,2.0,,1.0,1.0,6.0,3.0,1.0,1.0,2.0,2.0,5.0,4.0,0.0,3.0,,,1.0,1.0,2.0,1.0,,1.0,,,,,,,,,,,,
175702618,Pjonka,burning-legion,13.0,526.0,,,,0.0,,,67.0,100.0,0.0,,0.0,,,,,100.0,,,50.0,,,,2.0,,,3.0,2.0,1.0,,2.0,,,,,2.0,,,2.0,,,,0.0,,,2.0,2.0,0.0,,0.0,,,,,2.0,,,1.0,,,,,,,,,,,,
158953594,Byakuren,earthen-ring,35.0,9204.0,67.0,40.0,40.0,50.0,27.0,71.0,44.0,23.0,50.0,,62.0,31.0,0.0,0.0,0.0,100.0,45.0,,100.0,21.0,15.0,15.0,16.0,22.0,24.0,18.0,22.0,22.0,,24.0,16.0,2.0,1.0,1.0,1.0,11.0,,2.0,14.0,6.0,6.0,8.0,6.0,17.0,8.0,5.0,11.0,,15.0,5.0,0.0,0.0,0.0,1.0,5.0,,2.0,100.0,1.0,1.0,,,,,,,,,
154725896,Nishuri,antonidas,22.0,327.0,,,,,,,,,,,,,,,,,100.0,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,
82172328,Kenpulcy,pozzo-delleternità,53.0,12972.0,38.0,50.0,50.0,62.0,14.0,17.0,40.0,33.0,40.0,,50.0,67.0,,50.0,,,,100.0,,21.0,12.0,10.0,8.0,7.0,6.0,5.0,12.0,5.0,,14.0,3.0,,2.0,,,,48.0,,8.0,6.0,5.0,5.0,1.0,1.0,2.0,4.0,2.0,,7.0,2.0,,1.0,,,,48.0,,,,,,,,67.0,27.0,18.0,,,
162077971,Lognus,pozzo-delleternità,8.0,669.0,0.0,100.0,33.0,100.0,,,67.0,100.0,,,,,,,,,,,,1.0,1.0,3.0,1.0,,,3.0,1.0,,,,,,,,,,,,0.0,1.0,1.0,1.0,,,2.0,1.0,,,,,,,,,,,,,,,,,,,,,,,
96588270,Gumgum,arygos,27.0,2582.0,0.0,0.0,0.0,40.0,0.0,0.0,33.0,33.0,0.0,,0.0,100.0,,,100.0,,,,,1.0,2.0,1.0,5.0,1.0,1.0,3.0,3.0,1.0,,4.0,1.0,,,1.0,,,,,0.0,0.0,0.0,2.0,0.0,0.0,1.0,1.0,0.0,,0.0,1.0,,,1.0,,,,,,,,,,,0.0,1.0,0.0,,,
168873055,Капитанбрукс,howling-fjord,41.0,742.0,100.0,,,50.0,,50.0,,,100.0,,,,100.0,67.0,0.0,100.0,33.0,,,1.0,,,2.0,,4.0,,,1.0,,,,1.0,3.0,2.0,1.0,3.0,,,1.0,,,1.0,,2.0,,,1.0,,,,1.0,2.0,0.0,1.0,1.0,,,,,,,,,,,,,,
140589344,Bubblès,stormreaver,99.0,5003.0,78.0,,,64.0,,40.0,57.0,62.0,25.0,50.0,38.0,60.0,,75.0,64.0,25.0,33.0,100.0,33.0,9.0,,,11.0,,5.0,7.0,8.0,4.0,2.0,8.0,5.0,,4.0,14.0,4.0,6.0,9.0,6.0,7.0,,,7.0,,2.0,4.0,5.0,1.0,1.0,3.0,3.0,,3.0,9.0,1.0,2.0,9.0,2.0,71.0,7.0,5.0,,,,100.0,1.0,1.0,,,
195863248,Aureion,pozzo-delleternità,9.0,130.0,,,,,,,50.0,0.0,0.0,100.0,0.0,,,,0.0,50.0,,,,,,,,,,2.0,1.0,1.0,2.0,2.0,,,,1.0,2.0,,,,,,,,,,1.0,0.0,0.0,2.0,0.0,,,,0.0,1.0,,,,,,,,,,,,,,,
136676508,Tonínoo,dun-modr,22.0,6186.0,67.0,75.0,50.0,56.0,0.0,33.0,54.0,57.0,33.0,50.0,50.0,67.0,100.0,67.0,53.0,40.0,,,70.0,3.0,8.0,8.0,9.0,2.0,3.0,13.0,23.0,12.0,2.0,20.0,3.0,2.0,12.0,15.0,15.0,,,10.0,2.0,6.0,4.0,5.0,0.0,1.0,7.0,13.0,4.0,1.0,10.0,2.0,2.0,8.0,8.0,6.0,,,7.0,,,,,,,,,,,,
160612866,Awesomedin,draenor,43.0,39081.0,37.0,58.0,76.0,66.0,70.0,62.0,71.0,54.0,73.0,,62.0,61.0,,150.0,50.0,67.0,80.0,,100.0,41.0,101.0,91.0,74.0,46.0,39.0,70.0,37.0,79.0,,24.0,28.0,,4.0,4.0,6.0,5.0,,1.0,15.0,59.0,69.0,49.0,32.0,24.0,50.0,20.0,58.0,,15.0,17.0,,6.0,2.0,4.0,4.0,,1.0,,,,,,,,,,,,
132034364,Kerlink,pozzo-delleternità,19.0,8227.0,60.0,35.0,9.0,50.0,60.0,75.0,29.0,67.0,54.0,,50.0,75.0,,25.0,0.0,71.0,33.0,,67.0,5.0,31.0,22.0,24.0,10.0,12.0,7.0,6.0,13.0,,4.0,4.0,,8.0,7.0,7.0,3.0,,6.0,3.0,11.0,2.0,12.0,6.0,9.0,2.0,4.0,7.0,,2.0,3.0,,2.0,0.0,5.0,1.0,,4.0,,,,,,,,,,,,
87045038,Dreadknight,uldum,30.0,13619.0,42.0,60.0,67.0,87.0,50.0,52.0,36.0,75.0,69.0,,62.0,60.0,100.0,57.0,75.0,75.0,40.0,,60.0,48.0,15.0,18.0,15.0,18.0,33.0,14.0,8.0,13.0,,8.0,5.0,2.0,7.0,8.0,8.0,5.0,,5.0,20.0,9.0,12.0,13.0,9.0,17.0,5.0,6.0,9.0,,5.0,3.0,2.0,4.0,6.0,6.0,2.0,,3.0,,,,,,,67.0,3.0,2.0,,,
132678981,Ehtelwen,pozzo-delleternità,32.0,14248.0,33.0,50.0,44.0,70.0,100.0,54.0,69.0,67.0,61.0,,55.0,25.0,100.0,48.0,57.0,67.0,33.0,100.0,36.0,15.0,8.0,9.0,33.0,2.0,13.0,29.0,27.0,28.0,,38.0,12.0,1.0,21.0,23.0,27.0,3.0,32.0,14.0,5.0,4.0,4.0,23.0,2.0,7.0,20.0,18.0,17.0,,21.0,3.0,1.0,10.0,13.0,18.0,1.0,32.0,5.0,73.0,11.0,8.0,,,,40.0,5.0,2.0,,,
175018118,Dranapal,dalaran,13.0,458.0,,,,,,100.0,,,,,,,100.0,,,0.0,50.0,,,,,,,,1.0,,,,,,,1.0,,,1.0,2.0,,,,,,,,1.0,,,,,,,1.0,,,0.0,1.0,,,,,,,,,,,,,,
153864983,Nrdx,ravencrest,18.0,72357.0,53.0,72.0,60.0,58.0,68.0,59.0,69.0,45.0,51.0,,78.0,41.0,,300.0,50.0,0.0,100.0,,,231.0,286.0,280.0,220.0,206.0,123.0,108.0,33.0,118.0,,36.0,22.0,,3.0,4.0,3.0,2.0,,,123.0,206.0,169.0,127.0,140.0,73.0,74.0,15.0,60.0,,28.0,9.0,,9.0,2.0,0.0,2.0,,,0.0,2.0,0.0,,,,,,,,,
147544743,Lusimusi,rajaxx,48.0,20033.0,52.0,33.0,100.0,66.0,0.0,68.0,39.0,58.0,59.0,56.0,58.0,12.0,56.0,63.0,54.0,38.0,45.0,,60.0,29.0,3.0,1.0,29.0,2.0,28.0,28.0,24.0,32.0,9.0,43.0,8.0,9.0,30.0,24.0,26.0,22.0,,30.0,15.0,1.0,1.0,19.0,0.0,19.0,11.0,14.0,19.0,5.0,25.0,1.0,5.0,19.0,13.0,10.0,10.0,,18.0,100.0,2.0,2.0,,,,71.0,7.0,5.0,50.0,2.0,1.0
180862156,Mythterhawk,outland,48.0,8751.0,40.0,43.0,60.0,58.0,50.0,54.0,68.0,78.0,68.0,125.0,59.0,60.0,,75.0,79.0,77.0,89.0,,75.0,5.0,7.0,5.0,12.0,2.0,13.0,19.0,27.0,19.0,4.0,22.0,15.0,,8.0,14.0,13.0,9.0,,4.0,2.0,3.0,3.0,7.0,1.0,7.0,13.0,21.0,13.0,5.0,13.0,9.0,,6.0,11.0,10.0,8.0,,3.0,,,,,,,,,,,,
88946441,Marfuska,draenor,8.0,2297.0,33.0,57.0,83.0,60.0,60.0,0.0,67.0,67.0,0.0,,50.0,50.0,,,0.0,0.0,,,,12.0,7.0,6.0,5.0,5.0,3.0,6.0,3.0,2.0,,8.0,2.0,,,1.0,3.0,,,,4.0,4.0,5.0,3.0,3.0,0.0,4.0,2.0,0.0,,4.0,1.0,,,0.0,0.0,,,,,,,,,,,,,,,
194875727,Anjelin,kazzak,47.0,188.0,,,,,,,0.0,0.0,75.0,,0.0,,,0.0,,0.0,,,,,,,,,,1.0,1.0,4.0,,1.0,,,1.0,,1.0,,,,,,,,,,0.0,0.0,3.0,,0.0,,,0.0,,0.0,,,,,,,,,,,,,,,
148224739,Rory,blackmoore,29.0,29748.0,53.0,60.0,41.0,44.0,52.0,48.0,58.0,23.0,62.0,,77.0,43.0,,,,100.0,38.0,100.0,,53.0,192.0,147.0,62.0,54.0,67.0,26.0,13.0,24.0,,39.0,21.0,,,,1.0,13.0,1.0,,28.0,115.0,60.0,27.0,28.0,32.0,15.0,3.0,15.0,,30.0,9.0,,,,1.0,5.0,1.0,,,,,,,,0.0,2.0,0.0,,,
188124681,Kuromiko,silvermoon,16.0,4777.0,70.0,25.0,100.0,58.0,60.0,33.0,60.0,29.0,43.0,,67.0,,,0.0,67.0,40.0,67.0,,40.0,10.0,4.0,4.0,12.0,5.0,6.0,5.0,7.0,7.0,,3.0,,,1.0,3.0,5.0,3.0,,5.0,7.0,1.0,4.0,7.0,3.0,2.0,3.0,2.0,3.0,,2.0,,,0.0,2.0,2.0,2.0,,2.0,100.0,1.0,1.0,,,,0.0,1.0,0.0,,,
197358910,Andymonka,kazzak,43.0,18326.0,67.0,55.0,39.0,48.0,42.0,75.0,32.0,40.0,43.0,,61.0,33.0,,50.0,0.0,,,,100.0,120.0,71.0,51.0,40.0,60.0,55.0,44.0,45.0,51.0,,28.0,18.0,,4.0,2.0,,,,1.0,80.0,39.0,20.0,19.0,25.0,41.0,14.0,18.0,22.0,,17.0,6.0,,2.0,0.0,,,,1.0,,,,,,,,,,,,
148208909,Omegawookie,blackmoore,18.0,2835.0,14.0,,,62.0,,67.0,71.0,25.0,33.0,,67.0,,,33.0,100.0,,71.0,,50.0,7.0,,,8.0,,3.0,7.0,4.0,3.0,,3.0,,,6.0,2.0,,7.0,,4.0,1.0,,,5.0,,2.0,5.0,1.0,1.0,,2.0,,,2.0,2.0,,5.0,,2.0,,,,,,,,,,,,
149339799,Fragey,tarren-mill,34.0,1704.0,0.0,,,,,100.0,60.0,83.0,0.0,100.0,29.0,,0.0,20.0,80.0,50.0,,,20.0,3.0,,,,,2.0,10.0,6.0,1.0,2.0,7.0,,2.0,5.0,5.0,6.0,,,5.0,0.0,,,,,2.0,6.0,5.0,0.0,2.0,2.0,,0.0,1.0,4.0,3.0,,,1.0,,,,,,,,,,,,
145849552,Jhonnycrash,pozzo-delleternità,45.0,4630.0,40.0,25.0,75.0,55.0,14.0,71.0,18.0,55.0,67.0,100.0,12.0,67.0,20.0,0.0,50.0,40.0,0.0,,25.0,5.0,4.0,4.0,11.0,7.0,14.0,11.0,11.0,15.0,1.0,8.0,3.0,5.0,1.0,6.0,5.0,2.0,,4.0,2.0,1.0,3.0,6.0,1.0,10.0,2.0,6.0,10.0,1.0,1.0,2.0,1.0,0.0,3.0,2.0,0.0,,1.0,,,,,,,50.0,2.0,1.0,,,
113036424,Morsatra,pozzo-delleternità,8.0,3346.0,50.0,33.0,0.0,38.0,33.0,67.0,0.0,60.0,67.0,,100.0,50.0,,40.0,0.0,50.0,0.0,,,10.0,6.0,2.0,8.0,3.0,6.0,1.0,5.0,3.0,,1.0,4.0,,5.0,1.0,4.0,2.0,,,5.0,2.0,0.0,3.0,1.0,4.0,0.0,3.0,2.0,,1.0,2.0,,2.0,0.0,2.0,0.0,,,,,,,,,,,,,,
82386110,Mortank,dun-modr,11.0,3351.0,100.0,57.0,60.0,20.0,33.0,64.0,50.0,70.0,22.0,,19.0,0.0,,67.0,33.0,33.0,50.0,100.0,100.0,6.0,7.0,5.0,5.0,3.0,11.0,2.0,10.0,9.0,,16.0,1.0,,3.0,3.0,3.0,2.0,7.0,1.0,6.0,4.0,3.0,1.0,1.0,7.0,1.0,7.0,2.0,,3.0,0.0,,2.0,1.0,1.0,1.0,7.0,1.0,,,,,,,,,,,,
68803876,Shivah,ravencrest,81.0,58621.0,57.0,71.0,70.0,64.0,64.0,61.0,73.0,60.0,71.0,,66.0,57.0,100.0,33.0,,0.0,0.0,,100.0,191.0,262.0,164.0,168.0,223.0,142.0,203.0,43.0,227.0,,53.0,23.0,2.0,3.0,,1.0,1.0,,1.0,109.0,187.0,115.0,108.0,143.0,86.0,148.0,26.0,161.0,,35.0,13.0,2.0,1.0,,0.0,0.0,,1.0,,,,,,,,,,,,
