character.id,character.name,character.realm.slug,honor_level,honorable_kills,Alterac Valley win_rate,Classic Warsong Gulch win_rate,Classic Arathi Basin win_rate,Eye of the Storm win_rate,Strand of the Ancients win_rate,Isle of Conquest win_rate,Twin Peaks win_rate,Silvershard Mines win_rate,The Battle for Gilneas win_rate,Temple of Kotmogu win_rate,Deepwind Gorge (Legacy) win_rate,Alterac Valley played,Classic Warsong Gulch played,Classic Arathi Basin played,Eye of the Storm played,Strand of the Ancients played,Isle of Conquest played,Twin Peaks played,Silvershard Mines played,The Battle for Gilneas played,Temple of Kotmogu played,Deepwind Gorge (Legacy) played,Alterac Valley won,Classic Warsong Gulch won,Classic Arathi Basin won,Eye of the Storm won,Strand of the Ancients won,Isle of Conquest won,Twin Peaks won,Silvershard Mines won,The Battle for Gilneas won,Temple of Kotmogu won,Deepwind Gorge (Legacy) won,Seething Shore win_rate,Warsong Gulch win_rate,Arathi Basin win_rate,Battle for Wintergrasp win_rate,Deepwind Gorge win_rate,Seething Shore played,Warsong Gulch played,Arathi Basin played,Battle for Wintergrasp played,Deepwind Gorge played,Seething Shore won,Warsong Gulch won,Arathi Basin won,Battle for Wintergrasp won,Deepwind Gorge won,Rated Eye of the Storm win_rate,Ashran win_rate,Arathi Basin Comp Stomp win_rate,Rated Eye of the Storm played,Ashran played,Arathi Basin Comp Stomp played,Rated Eye of the Storm won,Ashran won,Arathi Basin Comp Stomp won,Korrak's Revenge win_rate,Korrak's Revenge played,Korrak's Revenge won,Arathi Basin Winter win_rate,Arathi Basin Winter played,Arathi Basin Winter won
108809209,Trynias,eredar,28.0,3040.0,100.0,100.0,50.0,33.0,,57.0,100.0,67.0,60.0,100.0,86.0,2.0,4.0,2.0,3.0,,7.0,1.0,3.0,5.0,5.0,7.0,2.0,4.0,1.0,1.0,,4.0,1.0,2.0,3.0,5.0,6.0,45.0,0.0,25.0,33.0,0.0,11.0,1.0,4.0,3.0,1.0,5.0,0.0,1.0,1.0,0.0,,,100.0,,,1.0,,,1.0,,,,,,
160711211,Hugen,tarren-mill,15.0,2967.0,0.0,,,50.0,,50.0,100.0,62.0,80.0,75.0,,2.0,,,4.0,,2.0,2.0,8.0,5.0,4.0,,0.0,,,2.0,,1.0,2.0,5.0,4.0,3.0,,86.0,57.0,100.0,,44.0,7.0,7.0,5.0,,9.0,6.0,4.0,5.0,,4.0,0.0,50.0,,1.0,2.0,,0.0,1.0,,,,,,,
63473937,Invi,ysondre,24.0,12268.0,79.0,56.0,66.0,76.0,51.0,50.0,0.0,100.0,,100.0,,34.0,50.0,44.0,33.0,47.0,2.0,1.0,1.0,,1.0,,27.0,28.0,29.0,25.0,24.0,1.0,0.0,1.0,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
101864005,Dreamer,ragnaros,25.0,25595.0,63.0,51.0,59.0,63.0,43.0,33.0,0.0,80.0,50.0,100.0,40.0,73.0,39.0,69.0,38.0,44.0,15.0,1.0,5.0,2.0,1.0,5.0,46.0,20.0,41.0,24.0,19.0,5.0,0.0,4.0,1.0,1.0,2.0,,,100.0,50.0,,,,1.0,2.0,,,,1.0,1.0,,,,,,,,,,,,,,,,
157171057,Vicker,stormscale,13.0,123.0,,,,,,0.0,,0.0,100.0,,,,,,,,1.0,,2.0,1.0,,,,,,,,0.0,,0.0,1.0,,,,,100.0,,100.0,,,1.0,,1.0,,,1.0,,1.0,100.0,,,1.0,,,1.0,,,,,,,,
152154457,Taradina,tarren-mill,21.0,808.0,0.0,,,,,50.0,100.0,0.0,0.0,100.0,,1.0,,,,,2.0,1.0,1.0,1.0,1.0,,0.0,,,,,1.0,1.0,0.0,0.0,1.0,,0.0,0.0,0.0,100.0,0.0,1.0,1.0,2.0,2.0,1.0,0.0,0.0,0.0,2.0,0.0,,0.0,,,1.0,,,0.0,,,,,,,
69296778,Wtsfood,stormscale,12.0,17680.0,43.0,62.0,52.0,55.0,46.0,64.0,43.0,,88.0,100.0,0.0,134.0,97.0,77.0,85.0,83.0,39.0,7.0,,8.0,2.0,1.0,58.0,60.0,40.0,47.0,38.0,25.0,3.0,,7.0,2.0,0.0,,,,25.0,,,,,4.0,,,,,1.0,,,100.0,,,2.0,,,2.0,,,,,,,
176231782,Intrøper,outland,11.0,3109.0,50.0,50.0,100.0,38.0,,50.0,33.0,67.0,44.0,29.0,50.0,2.0,4.0,3.0,8.0,,2.0,3.0,6.0,9.0,7.0,4.0,1.0,2.0,3.0,3.0,,1.0,1.0,4.0,4.0,2.0,2.0,83.0,75.0,75.0,67.0,0.0,6.0,4.0,4.0,3.0,1.0,5.0,3.0,3.0,2.0,0.0,,,,,,,,,,,,,,,
162106185,Highforged,twisting-nether,31.0,95.0,,,,0.0,,,,0.0,,,,,,,1.0,,,,1.0,,,,,,,0.0,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
118134897,Licht,ysondre,7.0,2695.0,50.0,,,50.0,,50.0,50.0,0.0,75.0,0.0,,2.0,,,2.0,,2.0,2.0,1.0,4.0,2.0,,1.0,,,1.0,,1.0,1.0,0.0,3.0,0.0,,,100.0,0.0,33.0,100.0,,2.0,2.0,3.0,2.0,,2.0,0.0,1.0,2.0,,50.0,,,2.0,,,1.0,,,,,,,
164676101,Algrunas,kazzak,16.0,1342.0,50.0,67.0,100.0,33.0,,67.0,100.0,0.0,,33.0,50.0,2.0,3.0,1.0,3.0,,3.0,2.0,2.0,,3.0,2.0,1.0,2.0,1.0,1.0,,2.0,2.0,0.0,,1.0,1.0,,,,,100.0,,,,,2.0,,,,,2.0,,,100.0,,,1.0,,,1.0,,,,,,
154583345,Maélize,ysondre,11.0,1634.0,33.0,,,,,0.0,0.0,,50.0,50.0,0.0,3.0,,,,,1.0,2.0,,4.0,4.0,1.0,1.0,,,,,0.0,0.0,,2.0,2.0,0.0,50.0,50.0,100.0,,50.0,2.0,2.0,2.0,,2.0,1.0,1.0,2.0,,1.0,40.0,,,5.0,,,2.0,,,,,,,,
133402982,Tankrn,draenor,42.0,9163.0,62.0,,,60.0,,72.0,72.0,62.0,62.0,54.0,,16.0,,,5.0,,18.0,18.0,13.0,13.0,13.0,,10.0,,,3.0,,13.0,13.0,8.0,8.0,7.0,,70.0,59.0,64.0,73.0,50.0,20.0,22.0,14.0,11.0,14.0,14.0,13.0,9.0,8.0,7.0,44.0,57.0,,9.0,7.0,,4.0,4.0,,,,,50.0,2.0,1.0
42015450,Retzrik,kazzak,54.0,37177.0,41.0,54.0,56.0,49.0,54.0,31.0,47.0,68.0,54.0,49.0,57.0,112.0,72.0,55.0,94.0,46.0,32.0,57.0,47.0,54.0,41.0,21.0,46.0,39.0,31.0,46.0,25.0,10.0,27.0,32.0,29.0,20.0,12.0,76.0,79.0,44.0,67.0,50.0,29.0,149.0,48.0,6.0,22.0,22.0,118.0,21.0,4.0,11.0,833.0,75.0,100.0,3.0,4.0,33.0,25.0,3.0,33.0,75.0,8.0,6.0,75.0,4.0,3.0
167884326,Kongozuna,tarren-mill,95.0,25523.0,62.0,56.0,61.0,64.0,71.0,43.0,75.0,53.0,48.0,77.0,56.0,8.0,55.0,36.0,70.0,7.0,7.0,24.0,17.0,25.0,35.0,18.0,5.0,31.0,22.0,45.0,5.0,3.0,18.0,9.0,12.0,27.0,10.0,75.0,100.0,33.0,50.0,50.0,12.0,2.0,6.0,2.0,2.0,9.0,2.0,2.0,1.0,1.0,,,100.0,,,37.0,,,37.0,100.0,1.0,1.0,,,
108091854,Chrizpy,draenor,22.0,5669.0,69.0,43.0,54.0,20.0,50.0,56.0,56.0,64.0,56.0,100.0,71.0,45.0,14.0,13.0,5.0,6.0,9.0,9.0,14.0,9.0,4.0,7.0,31.0,6.0,7.0,1.0,3.0,5.0,5.0,9.0,5.0,4.0,5.0,20.0,67.0,67.0,50.0,100.0,5.0,6.0,3.0,2.0,1.0,1.0,4.0,2.0,1.0,1.0,200.0,100.0,,1.0,1.0,,2.0,1.0,,75.0,4.0,3.0,,,
158108681,Thejóy,tarren-mill,16.0,7295.0,57.0,38.0,41.0,83.0,83.0,10.0,58.0,57.0,60.0,67.0,29.0,7.0,29.0,17.0,6.0,6.0,10.0,24.0,23.0,20.0,24.0,7.0,4.0,11.0,7.0,5.0,5.0,1.0,14.0,13.0,12.0,16.0,2.0,111.0,71.0,0.0,0.0,67.0,9.0,7.0,1.0,1.0,3.0,10.0,5.0,0.0,0.0,2.0,,,,,,,,,,100.0,2.0,2.0,,,
113387085,Acashic,blackhand,9.0,1896.0,50.0,,33.0,40.0,,,67.0,0.0,50.0,80.0,0.0,4.0,,3.0,5.0,,,3.0,1.0,4.0,5.0,1.0,2.0,,1.0,2.0,,,2.0,0.0,2.0,4.0,0.0,33.0,0.0,0.0,100.0,50.0,3.0,1.0,1.0,1.0,2.0,1.0,0.0,0.0,1.0,1.0,,,,,,,,,,100.0,1.0,1.0,,,
