character.id,character.name,character.realm.slug,honor_level,honorable_kills,Alterac Valley win_rate,Isle of Conquest win_rate,Temple of Kotmogu win_rate,Ashran win_rate,Seething Shore win_rate,Battle for Wintergrasp win_rate,Alterac Valley played,Isle of Conquest played,Temple of Kotmogu played,Ashran played,Seething Shore played,Battle for Wintergrasp played,Alterac Valley won,Isle of Conquest won,Temple of Kotmogu won,Ashran won,Seething Shore won,Battle for Wintergrasp won,Classic Warsong Gulch win_rate,Classic Arathi Basin win_rate,Eye of the Storm win_rate,Strand of the Ancients win_rate,Twin Peaks win_rate,Silvershard Mines win_rate,The Battle for Gilneas win_rate,Rated Eye of the Storm win_rate,Deepwind Gorge (Legacy) win_rate,Arathi Basin Winter win_rate,Warsong Gulch win_rate,Arathi Basin win_rate,Arathi Basin Comp Stomp win_rate,Korrak's Revenge win_rate,Deepwind Gorge win_rate,Classic Warsong Gulch played,Classic Arathi Basin played,Eye of the Storm played,Strand of the Ancients played,Twin Peaks played,Silvershard Mines played,The Battle for Gilneas played,Rated Eye of the Storm played,Deepwind Gorge (Legacy) played,Arathi Basin Winter played,Warsong Gulch played,Arathi Basin played,Arathi Basin Comp Stomp played,Korrak's Revenge played,Deepwind Gorge played,Classic Warsong Gulch won,Classic Arathi Basin won,Eye of the Storm won,Strand of the Ancients won,Twin Peaks won,Silvershard Mines won,The Battle for Gilneas won,Rated Eye of the Storm won,Deepwind Gorge (Legacy) won,Arathi Basin Winter won,Warsong Gulch won,Arathi Basin won,Arathi Basin Comp Stomp won,Korrak's Revenge won,Deepwind Gorge won,Cooking: Impossible win_rate,Cooking: Impossible played,Cooking: Impossible won,Southshore vs. Tarren Mill win_rate,Southshore vs. Tarren Mill played,Southshore vs. Tarren Mill won
176086092,Fexe,ragnaros,27.0,37484.0,39.0,22.0,59.0,,160.0,78.0,49.0,27.0,22.0,,5.0,9.0,19.0,6.0,13.0,,8.0,7.0,41.0,32.0,53.0,61.0,46.0,65.0,43.0,,45.0,100.0,82.0,20.0,,100.0,60.0,32.0,25.0,32.0,18.0,13.0,17.0,14.0,,11.0,1.0,11.0,5.0,,1.0,5.0,13.0,8.0,17.0,11.0,6.0,11.0,6.0,,5.0,1.0,9.0,1.0,,1.0,3.0,,,,,,
175810099,Paloushe,dalaran,9.0,2176.0,67.0,56.0,0.0,57.0,40.0,40.0,6.0,9.0,3.0,7.0,5.0,5.0,4.0,5.0,0.0,4.0,2.0,2.0,,,100.0,,100.0,,0.0,,,,100.0,50.0,,,0.0,,,1.0,,2.0,,2.0,,,,2.0,2.0,,,2.0,,,1.0,,2.0,,0.0,,,,2.0,1.0,,,0.0,,,,,,
167884326,Kongozuna,tarren-mill,95.0,25523.0,62.0,43.0,77.0,,75.0,50.0,8.0,7.0,35.0,,12.0,2.0,5.0,3.0,27.0,,9.0,1.0,56.0,61.0,64.0,71.0,75.0,53.0,48.0,,56.0,,100.0,33.0,100.0,100.0,50.0,55.0,36.0,70.0,7.0,24.0,17.0,25.0,,18.0,,2.0,6.0,37.0,1.0,2.0,31.0,22.0,45.0,5.0,18.0,9.0,12.0,,10.0,,2.0,2.0,37.0,1.0,1.0,,,,,,
199216357,Wynell,arathor,17.0,1057.0,100.0,,,67.0,,100.0,2.0,,,3.0,,1.0,2.0,,,2.0,,1.0,,,75.0,,100.0,,100.0,,,,100.0,50.0,,,100.0,,,4.0,,3.0,,2.0,,,,1.0,2.0,,,1.0,,,3.0,,3.0,,2.0,,,,1.0,1.0,,,1.0,,,,,,
192017612,Pomfritzel,silvermoon,15.0,885.0,67.0,50.0,,,100.0,,3.0,2.0,,,1.0,,2.0,1.0,,,1.0,,,,,,,100.0,,,,,100.0,0.0,,,67.0,,,,,,1.0,,,,,2.0,1.0,,,3.0,,,,,,1.0,,,,,2.0,0.0,,,2.0,,,,,,
243291332,Холиджастис,gordunni,143.0,693.0,,,,,0.0,,,,,,2.0,,,,,,0.0,,,,50.0,,0.0,,,,,,,,,,,,,2.0,,1.0,,,,,,,,,,,,,1.0,,0.0,,,,,,,,,,,,,,,,
152789283,Bimm,gilneas,69.0,3766.0,40.0,71.0,100.0,50.0,50.0,50.0,5.0,7.0,1.0,2.0,6.0,2.0,2.0,5.0,1.0,1.0,3.0,1.0,50.0,33.0,50.0,,60.0,50.0,100.0,,21.0,100.0,67.0,0.0,100.0,,50.0,4.0,3.0,4.0,,5.0,4.0,5.0,,14.0,2.0,3.0,2.0,2.0,,2.0,2.0,1.0,2.0,,3.0,2.0,5.0,,3.0,2.0,2.0,0.0,2.0,,1.0,,,,,,
139762690,Favre,hyjal,21.0,12845.0,43.0,79.0,53.0,,60.0,33.0,14.0,19.0,15.0,,5.0,9.0,6.0,15.0,8.0,,3.0,3.0,33.0,33.0,29.0,21.0,33.0,41.0,57.0,,42.0,,67.0,50.0,,,80.0,9.0,9.0,14.0,14.0,15.0,17.0,14.0,,12.0,,6.0,4.0,,,5.0,3.0,3.0,4.0,3.0,5.0,7.0,8.0,,5.0,,4.0,2.0,,,4.0,,,,,,
184106006,Спангебуб,gordunni,59.0,13508.0,70.0,40.0,52.0,100.0,77.0,53.0,10.0,10.0,25.0,2.0,22.0,17.0,7.0,4.0,13.0,2.0,17.0,9.0,33.0,100.0,82.0,,33.0,69.0,86.0,50.0,80.0,100.0,75.0,57.0,100.0,40.0,33.0,3.0,2.0,11.0,,12.0,26.0,7.0,4.0,5.0,3.0,16.0,7.0,19.0,5.0,6.0,1.0,2.0,9.0,,4.0,18.0,6.0,2.0,4.0,3.0,12.0,4.0,19.0,2.0,2.0,,,,,,
113620817,Cykapala,ravencrest,15.0,3411.0,67.0,67.0,17.0,,67.0,100.0,3.0,3.0,6.0,,3.0,2.0,2.0,2.0,1.0,,2.0,2.0,,,53.0,,50.0,86.0,100.0,,100.0,,25.0,75.0,,,50.0,,,15.0,,4.0,7.0,2.0,,1.0,,4.0,4.0,,,4.0,,,8.0,,2.0,6.0,2.0,,1.0,,1.0,3.0,,,2.0,,,,,,
184164572,Confesser,silvermoon,51.0,7586.0,43.0,67.0,60.0,,63.0,33.0,7.0,6.0,20.0,,19.0,3.0,3.0,4.0,12.0,,12.0,1.0,55.0,25.0,53.0,,50.0,65.0,83.0,,0.0,,25.0,47.0,,,50.0,11.0,4.0,19.0,,18.0,20.0,12.0,,1.0,,12.0,17.0,,,12.0,6.0,1.0,10.0,,9.0,13.0,10.0,,0.0,,3.0,8.0,,,6.0,,,,,,
153078382,Anorwen,pozzo-delleternità,14.0,4849.0,42.0,50.0,50.0,,43.0,100.0,12.0,20.0,10.0,,7.0,4.0,5.0,10.0,5.0,,3.0,4.0,25.0,0.0,44.0,,14.0,0.0,33.0,,31.0,,0.0,67.0,100.0,0.0,,4.0,6.0,9.0,,7.0,2.0,3.0,,16.0,,1.0,3.0,1.0,1.0,,1.0,0.0,4.0,,1.0,0.0,1.0,,5.0,,0.0,2.0,1.0,0.0,,,,,,,
187527906,Гростер,gordunni,235.0,2193.0,50.0,0.0,67.0,50.0,50.0,50.0,2.0,1.0,6.0,2.0,4.0,2.0,1.0,0.0,4.0,1.0,2.0,1.0,,,100.0,,38.0,40.0,25.0,,0.0,,75.0,50.0,,,50.0,,,3.0,,8.0,5.0,4.0,,1.0,,4.0,4.0,,,2.0,,,3.0,,3.0,2.0,1.0,,0.0,,3.0,2.0,,,1.0,,,,,,
159091234,Missunnsam,kazzak,37.0,2462.0,100.0,25.0,20.0,50.0,0.0,100.0,3.0,4.0,5.0,2.0,1.0,1.0,3.0,1.0,1.0,1.0,0.0,1.0,100.0,0.0,17.0,50.0,50.0,0.0,100.0,,0.0,,25.0,100.0,,,100.0,1.0,3.0,6.0,4.0,6.0,7.0,2.0,,3.0,,4.0,1.0,,,1.0,1.0,0.0,1.0,2.0,3.0,0.0,2.0,,0.0,,1.0,1.0,,,1.0,,,,,,
175357997,Apollocreed,dun-modr,34.0,1230.0,,,25.0,,0.0,,,,4.0,,2.0,,,,1.0,,0.0,,,,50.0,,80.0,80.0,33.0,,,,80.0,100.0,,,100.0,,,4.0,,5.0,5.0,3.0,,,,5.0,1.0,,,1.0,,,2.0,,4.0,4.0,1.0,,,,4.0,1.0,,,1.0,,,,,,
245074253,Лайтревендж,gordunni,97.0,2706.0,86.0,29.0,100.0,33.0,100.0,67.0,7.0,7.0,1.0,6.0,1.0,6.0,6.0,2.0,1.0,2.0,1.0,4.0,,,50.0,,,40.0,0.0,,,,100.0,,,,0.0,,,2.0,,,5.0,1.0,,,,1.0,,,,2.0,,,1.0,,,2.0,0.0,,,,1.0,,,,0.0,,,,,,
141445649,Adrianie,ysera,126.0,140.0,,,,,0.0,,,,,,1.0,,,,,,0.0,,,,,,0.0,,,,,,100.0,0.0,,,,,,,,1.0,,,,,,1.0,1.0,,,,,,,,0.0,,,,,,1.0,0.0,,,,,,,,,
174638647,Joramun,cthun,53.0,486.0,,,33.0,,,,,,3.0,,,,,,1.0,,,,0.0,,,,,100.0,,,0.0,,,,,,,1.0,,,,,1.0,,,1.0,,,,,,,0.0,,,,,1.0,,,0.0,,,,,,,,,,,,
107767012,Bloodykawaii,ravencrest,30.0,13434.0,50.0,69.0,56.0,,44.0,33.0,78.0,39.0,25.0,,9.0,9.0,39.0,27.0,14.0,,4.0,3.0,55.0,77.0,71.0,80.0,70.0,58.0,62.0,,67.0,,50.0,67.0,,,0.0,31.0,13.0,21.0,10.0,27.0,24.0,16.0,,24.0,,8.0,3.0,,,1.0,17.0,10.0,15.0,8.0,19.0,14.0,10.0,,16.0,,4.0,2.0,,,0.0,,,,,,
75467312,Sucoo,dun-modr,57.0,41107.0,46.0,44.0,55.0,33.0,0.0,38.0,123.0,86.0,20.0,6.0,3.0,8.0,56.0,38.0,11.0,2.0,0.0,3.0,50.0,46.0,45.0,53.0,59.0,27.0,50.0,,33.0,,50.0,,,0.0,,222.0,162.0,132.0,122.0,37.0,22.0,38.0,,6.0,,2.0,,,1.0,,112.0,74.0,60.0,65.0,22.0,6.0,19.0,,2.0,,1.0,,,0.0,,,,,,,
193054276,Shyliin,silvermoon,4.0,1029.0,,,100.0,0.0,,33.0,,,1.0,2.0,,3.0,,,1.0,0.0,,1.0,,,,,0.0,100.0,0.0,,,,,100.0,,,33.0,,,,,1.0,1.0,1.0,,,,,1.0,,,3.0,,,,,0.0,1.0,0.0,,,,,1.0,,,1.0,,,,,,
155879663,Honeymelon,antonidas,9.0,18426.0,54.0,89.0,,0.0,,,50.0,9.0,,1.0,,,27.0,8.0,,0.0,,,54.0,60.0,52.0,56.0,17.0,,62.0,,,,0.0,,,,,52.0,53.0,63.0,57.0,6.0,,8.0,,,,1.0,,,,,28.0,32.0,33.0,32.0,1.0,,5.0,,,,0.0,,,,,,,,,,
116738104,Borgindal,antonidas,46.0,397.0,50.0,50.0,,50.0,,,2.0,2.0,,2.0,,,1.0,1.0,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
192599651,Aalmae,silvermoon,7.0,180.0,,,0.0,0.0,100.0,,,,1.0,1.0,1.0,,,,0.0,0.0,1.0,,,,,,0.0,100.0,0.0,,,,,0.0,,0.0,,,,,,1.0,1.0,1.0,,,,,1.0,,1.0,,,,,,0.0,1.0,0.0,,,,,0.0,,0.0,,,,,,,
157739997,Martinuther,dun-modr,20.0,5480.0,43.0,25.0,90.0,,81.0,100.0,7.0,4.0,21.0,,16.0,1.0,3.0,1.0,19.0,,13.0,1.0,,,67.0,,54.0,67.0,30.0,,100.0,100.0,55.0,80.0,,50.0,83.0,,,9.0,,13.0,9.0,10.0,,1.0,2.0,11.0,10.0,,2.0,6.0,,,6.0,,7.0,6.0,3.0,,1.0,2.0,6.0,8.0,,1.0,5.0,,,,,,
143899528,Gondår,sargeras,80.0,30185.0,71.0,57.0,33.0,,92.0,0.0,7.0,7.0,51.0,,12.0,2.0,5.0,4.0,17.0,,11.0,0.0,40.0,52.0,48.0,75.0,44.0,42.0,57.0,367.0,50.0,29.0,50.0,100.0,100.0,,75.0,63.0,33.0,52.0,16.0,36.0,48.0,46.0,3.0,32.0,7.0,8.0,3.0,1.0,,4.0,25.0,17.0,25.0,12.0,16.0,20.0,26.0,11.0,16.0,2.0,4.0,3.0,1.0,,3.0,,,,,,
158992537,Paläca,dun-modr,22.0,1436.0,,,,,,,,,,,,,,,,,,,100.0,33.0,67.0,0.0,100.0,,,,,,,,,,,1.0,3.0,3.0,2.0,2.0,,,,,,,,,,,1.0,1.0,2.0,0.0,2.0,,,,,,,,,,,,,,,,
153720946,Astrian,sanguino,101.0,11759.0,44.0,62.0,62.0,42.0,77.0,73.0,34.0,26.0,21.0,12.0,13.0,11.0,15.0,16.0,13.0,5.0,10.0,8.0,75.0,20.0,60.0,,57.0,58.0,43.0,50.0,50.0,,75.0,80.0,,0.0,60.0,12.0,5.0,10.0,,14.0,12.0,21.0,4.0,6.0,,12.0,5.0,,1.0,5.0,9.0,1.0,6.0,,8.0,7.0,9.0,2.0,3.0,,9.0,4.0,,0.0,3.0,,,,,,
197506046,Mkl,silvermoon,3.0,552.0,100.0,,0.0,,,100.0,2.0,,1.0,,,1.0,2.0,,0.0,,,1.0,,,0.0,,100.0,100.0,100.0,,,,,,,,100.0,,,1.0,,1.0,1.0,1.0,,,,,,,,1.0,,,0.0,,1.0,1.0,1.0,,,,,,,,1.0,,,,,,
190776907,Kínky,frostmane,194.0,190946.0,67.0,65.0,77.0,0.0,287.0,60.0,419.0,321.0,367.0,3.0,71.0,10.0,279.0,210.0,282.0,0.0,204.0,6.0,73.0,59.0,63.0,66.0,69.0,68.0,65.0,3375.0,75.0,100.0,64.0,64.0,100.0,20.0,40.0,572.0,562.0,294.0,248.0,398.0,367.0,353.0,4.0,271.0,1.0,28.0,22.0,1.0,5.0,5.0,416.0,331.0,185.0,163.0,275.0,249.0,230.0,135.0,202.0,1.0,18.0,14.0,1.0,1.0,2.0,,,,,,
85818897,Tizzuidal,dun-modr,7.0,5460.0,86.0,80.0,53.0,0.0,,,7.0,5.0,15.0,1.0,,,6.0,4.0,8.0,0.0,,,46.0,32.0,44.0,33.0,32.0,42.0,45.0,,23.0,,,,,,,13.0,22.0,9.0,12.0,19.0,12.0,11.0,,13.0,,,,,,,6.0,7.0,4.0,4.0,6.0,5.0,5.0,,3.0,,,,,,,,,,,,
193790432,Kelni,outland,26.0,835.0,100.0,0.0,,50.0,0.0,,1.0,2.0,,2.0,1.0,,1.0,0.0,,1.0,0.0,,,,0.0,,0.0,100.0,100.0,,,,,100.0,,0.0,100.0,,,2.0,,1.0,1.0,1.0,,,,,1.0,,1.0,1.0,,,0.0,,0.0,1.0,1.0,,,,,1.0,,0.0,1.0,,,,,,
156356594,Wyrea,antonidas,16.0,234.0,0.0,,,,,,1.0,,,,,,0.0,,,,,,,,,,,,,,,50.0,100.0,,,,,,,,,,,,,,2.0,1.0,,,,,,,,,,,,,,1.0,1.0,,,,,,,,,,
165126289,Døvo,dun-modr,187.0,37899.0,40.0,55.0,56.0,0.0,3150.0,25.0,15.0,20.0,142.0,2.0,4.0,4.0,6.0,11.0,79.0,0.0,126.0,1.0,58.0,46.0,57.0,25.0,44.0,47.0,41.0,,44.0,,20.0,100.0,100.0,0.0,62.0,198.0,72.0,44.0,4.0,115.0,111.0,105.0,,66.0,,5.0,5.0,3.0,4.0,8.0,115.0,33.0,25.0,1.0,51.0,52.0,43.0,,29.0,,1.0,5.0,3.0,0.0,5.0,,,,,,
196695440,Sylseth,silvermoon,77.0,45155.0,48.0,63.0,51.0,25.0,46.0,25.0,124.0,90.0,85.0,4.0,46.0,4.0,60.0,57.0,43.0,1.0,21.0,1.0,40.0,59.0,61.0,29.0,45.0,53.0,44.0,2400.0,46.0,43.0,54.0,53.0,,,83.0,93.0,79.0,71.0,80.0,64.0,87.0,84.0,1.0,81.0,7.0,13.0,17.0,,,6.0,37.0,47.0,43.0,23.0,29.0,46.0,37.0,24.0,37.0,3.0,7.0,9.0,,,5.0,,,,,,
89933994,Lasaga,ravencrest,57.0,3653.0,14.0,25.0,100.0,0.0,75.0,27.0,7.0,12.0,1.0,1.0,4.0,11.0,1.0,3.0,1.0,0.0,3.0,3.0,,,33.0,,0.0,50.0,33.0,,,,100.0,25.0,,,67.0,,,3.0,,3.0,2.0,3.0,,,,1.0,4.0,,,3.0,,,1.0,,0.0,1.0,1.0,,,,1.0,1.0,,,2.0,,,,,,
121583901,Дредстар,fordragon,43.0,15444.0,67.0,100.0,48.0,50.0,120.0,25.0,9.0,19.0,50.0,2.0,10.0,4.0,6.0,19.0,24.0,1.0,12.0,1.0,38.0,63.0,58.0,20.0,40.0,53.0,51.0,,52.0,,44.0,29.0,100.0,33.0,71.0,26.0,30.0,38.0,5.0,35.0,45.0,37.0,,25.0,,9.0,7.0,2.0,3.0,7.0,10.0,19.0,22.0,1.0,14.0,24.0,19.0,,13.0,,4.0,2.0,2.0,1.0,5.0,,,,,,
199152184,Слипноумо,gordunni,16.0,1928.0,50.0,,50.0,,75.0,0.0,2.0,,2.0,,8.0,1.0,1.0,,1.0,,6.0,0.0,,,100.0,,67.0,60.0,,,,,0.0,67.0,,,33.0,,,5.0,,6.0,10.0,,,,,1.0,3.0,,,3.0,,,5.0,,4.0,6.0,,,,,0.0,2.0,,,1.0,,,,,,
174832637,Zammeráth,uldum,96.0,413.0,,,0.0,,67.0,,,,1.0,,3.0,,,,0.0,,2.0,,,,,,100.0,,100.0,,,,0.0,100.0,,,100.0,,,,,2.0,,2.0,,,,1.0,3.0,,,1.0,,,,,2.0,,2.0,,,,0.0,3.0,,,1.0,,,,,,
160412481,Mahlac,dun-modr,31.0,9379.0,0.0,0.0,50.0,,50.0,33.0,2.0,1.0,34.0,,24.0,6.0,0.0,0.0,17.0,,12.0,2.0,,,56.0,,61.0,57.0,67.0,44.0,75.0,100.0,77.0,54.0,,50.0,54.0,,,18.0,,36.0,42.0,42.0,16.0,4.0,1.0,31.0,28.0,,2.0,26.0,,,10.0,,22.0,24.0,28.0,7.0,3.0,1.0,24.0,15.0,,1.0,14.0,,,,,,
193091808,Thaladriana,aegwynn,17.0,8020.0,44.0,67.0,80.0,33.0,87.0,100.0,9.0,9.0,15.0,6.0,15.0,2.0,4.0,6.0,12.0,2.0,13.0,2.0,75.0,0.0,44.0,12.0,53.0,50.0,59.0,50.0,57.0,,53.0,43.0,,50.0,36.0,4.0,1.0,9.0,8.0,17.0,26.0,22.0,4.0,7.0,,15.0,7.0,,8.0,14.0,3.0,0.0,4.0,1.0,9.0,13.0,13.0,2.0,4.0,,8.0,3.0,,4.0,5.0,,,,,,
171490413,Celene,cthun,76.0,23731.0,35.0,45.0,53.0,100.0,40.0,100.0,51.0,44.0,15.0,1.0,5.0,1.0,18.0,20.0,8.0,1.0,2.0,1.0,48.0,39.0,48.0,51.0,55.0,31.0,69.0,,100.0,100.0,50.0,60.0,,,100.0,110.0,62.0,66.0,91.0,11.0,13.0,13.0,,3.0,1.0,2.0,5.0,,,1.0,53.0,24.0,32.0,46.0,6.0,4.0,9.0,,3.0,1.0,1.0,3.0,,,1.0,,,,,,
81816192,Clëment,dun-modr,72.0,5852.0,0.0,50.0,45.0,0.0,40.0,0.0,2.0,2.0,11.0,1.0,15.0,1.0,0.0,1.0,5.0,0.0,6.0,0.0,100.0,,64.0,,58.0,38.0,58.0,88.0,100.0,,45.0,39.0,,,47.0,1.0,,11.0,,12.0,21.0,12.0,8.0,1.0,,11.0,18.0,,,19.0,1.0,,7.0,,7.0,8.0,7.0,7.0,1.0,,5.0,7.0,,,9.0,,,,,,
187636080,Benqinsane,silvermoon,43.0,6324.0,100.0,25.0,48.0,100.0,67.0,38.0,5.0,4.0,23.0,1.0,9.0,8.0,5.0,1.0,11.0,1.0,6.0,3.0,,,60.0,,78.0,67.0,50.0,,,,62.0,33.0,,,50.0,,,15.0,,9.0,6.0,6.0,,,,13.0,9.0,,,8.0,,,9.0,,7.0,4.0,3.0,,,,8.0,3.0,,,4.0,,,,,,
67972002,Ithillien,ravencrest,43.0,5524.0,38.0,57.0,82.0,0.0,50.0,20.0,13.0,14.0,11.0,1.0,8.0,5.0,5.0,8.0,9.0,0.0,4.0,1.0,67.0,57.0,83.0,,40.0,56.0,71.0,,75.0,,67.0,100.0,,100.0,,6.0,7.0,6.0,,5.0,9.0,7.0,,4.0,,3.0,1.0,,1.0,,4.0,4.0,5.0,,2.0,5.0,5.0,,3.0,,2.0,1.0,,1.0,,,,,,,
150481065,Atherea,dun-modr,67.0,6742.0,71.0,50.0,67.0,,150.0,,7.0,2.0,15.0,,8.0,,5.0,1.0,10.0,,12.0,,50.0,36.0,60.0,67.0,59.0,86.0,65.0,,67.0,,83.0,100.0,,,71.0,16.0,11.0,15.0,3.0,27.0,14.0,20.0,,6.0,,6.0,5.0,,,7.0,8.0,4.0,9.0,2.0,16.0,12.0,13.0,,4.0,,5.0,5.0,,,5.0,,,,,,
137417779,Ardiana,khadgar,36.0,39099.0,57.0,58.0,62.0,,100.0,0.0,63.0,100.0,8.0,,1.0,1.0,36.0,58.0,5.0,,1.0,0.0,49.0,48.0,50.0,47.0,78.0,50.0,17.0,,67.0,,,,,0.0,0.0,431.0,114.0,107.0,95.0,9.0,6.0,6.0,,3.0,,,,,8.0,1.0,213.0,55.0,54.0,45.0,7.0,3.0,1.0,,2.0,,,,,0.0,0.0,,,,,,
161565483,Ymri,dun-modr,44.0,352.0,,,0.0,,,,,,1.0,,,,,,0.0,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,0.0,,,,,,,,,
62894345,Róman,aggramar,34.0,4961.0,58.0,50.0,33.0,57.0,67.0,33.0,31.0,14.0,6.0,7.0,3.0,6.0,18.0,7.0,2.0,4.0,2.0,2.0,60.0,56.0,20.0,0.0,67.0,50.0,100.0,,0.0,,100.0,75.0,100.0,,25.0,15.0,9.0,10.0,3.0,3.0,2.0,2.0,,2.0,,2.0,4.0,2.0,,4.0,9.0,5.0,2.0,0.0,2.0,1.0,2.0,,0.0,,2.0,3.0,2.0,,1.0,,,,,,
171221642,Коннемарра,gordunni,49.0,972.0,,,0.0,,150.0,,,,1.0,,2.0,,,,0.0,,3.0,,50.0,0.0,,0.0,100.0,80.0,60.0,,100.0,,,,,,,2.0,1.0,,1.0,1.0,5.0,5.0,,1.0,,,,,,,1.0,0.0,,0.0,1.0,4.0,3.0,,1.0,,,,,,,,,,,,
8177602,Siukzen,dun-modr,122.0,61610.0,64.0,44.0,71.0,100.0,33.0,44.0,76.0,52.0,14.0,3.0,3.0,25.0,49.0,23.0,10.0,3.0,1.0,11.0,48.0,47.0,47.0,65.0,17.0,50.0,50.0,,53.0,,0.0,0.0,100.0,33.0,,110.0,75.0,55.0,49.0,12.0,32.0,18.0,,19.0,,1.0,1.0,2.0,3.0,,53.0,35.0,26.0,32.0,2.0,16.0,9.0,,10.0,,0.0,0.0,2.0,1.0,,,,,,,
226274304,Valithria,sylvanas,58.0,7799.0,56.0,71.0,73.0,,100.0,29.0,9.0,7.0,11.0,,2.0,7.0,5.0,5.0,8.0,,2.0,2.0,33.0,33.0,62.0,100.0,50.0,33.0,80.0,75.0,50.0,,80.0,62.0,100.0,0.0,,3.0,3.0,8.0,1.0,2.0,6.0,5.0,4.0,8.0,,10.0,8.0,51.0,2.0,,1.0,1.0,5.0,1.0,1.0,2.0,4.0,3.0,4.0,,8.0,5.0,51.0,0.0,,,,,,,
185122145,Кромвар,gordunni,79.0,11551.0,50.0,50.0,56.0,100.0,55.0,0.0,10.0,6.0,16.0,2.0,11.0,3.0,5.0,3.0,9.0,2.0,6.0,0.0,29.0,33.0,77.0,80.0,57.0,72.0,42.0,,83.0,,53.0,71.0,,,100.0,7.0,6.0,13.0,5.0,21.0,18.0,24.0,,6.0,,15.0,7.0,,,5.0,2.0,2.0,10.0,4.0,12.0,13.0,10.0,,5.0,,8.0,5.0,,,5.0,,,,,,
191467363,Bkhawk,frostmane,56.0,8744.0,33.0,46.0,71.0,75.0,57.0,43.0,12.0,13.0,7.0,4.0,7.0,14.0,4.0,6.0,5.0,3.0,4.0,6.0,25.0,29.0,50.0,43.0,40.0,43.0,58.0,200.0,100.0,,33.0,64.0,,,75.0,4.0,14.0,12.0,7.0,5.0,7.0,12.0,1.0,1.0,,3.0,14.0,,,8.0,1.0,4.0,6.0,3.0,2.0,3.0,7.0,2.0,1.0,,1.0,9.0,,,6.0,,,,,,
106040000,Getinmyvan,antonidas,47.0,7157.0,100.0,73.0,69.0,60.0,77.0,58.0,2.0,11.0,13.0,5.0,13.0,12.0,2.0,8.0,9.0,3.0,10.0,7.0,100.0,,50.0,,85.0,56.0,54.0,,33.0,,65.0,40.0,,,50.0,1.0,,10.0,,13.0,16.0,13.0,,6.0,,17.0,10.0,,,6.0,1.0,,5.0,,11.0,9.0,7.0,,2.0,,11.0,4.0,,,3.0,,,,,,
185202259,Aritas,silvermoon,46.0,19864.0,68.0,53.0,67.0,,120.0,60.0,129.0,74.0,9.0,,5.0,5.0,88.0,39.0,6.0,,6.0,3.0,52.0,47.0,48.0,55.0,36.0,62.0,63.0,,50.0,33.0,50.0,,,,100.0,60.0,49.0,50.0,33.0,28.0,13.0,30.0,,8.0,3.0,2.0,,,,2.0,31.0,23.0,24.0,18.0,10.0,8.0,19.0,,4.0,1.0,1.0,,,,2.0,,,,,,
109506889,Volant,blackrock,9.0,21989.0,56.0,44.0,74.0,,50.0,,39.0,45.0,19.0,,2.0,,22.0,20.0,14.0,,1.0,,53.0,48.0,64.0,51.0,62.0,74.0,67.0,,68.0,,,,,100.0,,72.0,60.0,56.0,51.0,56.0,23.0,63.0,,19.0,,,,,1.0,,38.0,29.0,36.0,26.0,35.0,17.0,42.0,,13.0,,,,,1.0,,,,,,,
166734171,Zelaeya,blackmoore,14.0,32.0,,,100.0,,,,,,1.0,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
202503394,Брескето,gordunni,17.0,5408.0,100.0,50.0,46.0,0.0,67.0,100.0,1.0,4.0,13.0,1.0,6.0,2.0,1.0,2.0,6.0,0.0,4.0,2.0,,,67.0,,33.0,58.0,100.0,,,,80.0,38.0,,,33.0,,,3.0,,9.0,12.0,2.0,,,,5.0,8.0,,,3.0,,,2.0,,3.0,7.0,2.0,,,,4.0,3.0,,,1.0,,,,,,
74086767,Fàlk,antonidas,16.0,30579.0,49.0,46.0,59.0,0.0,67.0,57.0,87.0,80.0,34.0,4.0,6.0,7.0,43.0,37.0,20.0,0.0,4.0,4.0,41.0,33.0,51.0,34.0,45.0,50.0,36.0,,,,50.0,0.0,100.0,,0.0,68.0,79.0,67.0,71.0,20.0,8.0,11.0,,,,4.0,1.0,9.0,,2.0,28.0,26.0,34.0,24.0,9.0,4.0,4.0,,,,2.0,0.0,9.0,,0.0,,,,,,
136938662,Komaster,todeswache,6.0,4186.0,50.0,100.0,50.0,50.0,100.0,100.0,8.0,5.0,2.0,2.0,1.0,1.0,4.0,5.0,1.0,1.0,1.0,1.0,49.0,11.0,60.0,,100.0,40.0,100.0,,,100.0,0.0,,,,0.0,35.0,9.0,5.0,,1.0,5.0,1.0,,,1.0,1.0,,,,2.0,17.0,1.0,3.0,,1.0,2.0,1.0,,,1.0,0.0,,,,0.0,,,,,,
128957568,Aeth,argent-dawn,9.0,700.0,100.0,0.0,0.0,,50.0,,1.0,1.0,1.0,,2.0,,1.0,0.0,0.0,,1.0,,0.0,,40.0,,100.0,0.0,0.0,,,,50.0,0.0,,,100.0,1.0,,5.0,,1.0,2.0,1.0,,,,2.0,2.0,,,1.0,0.0,,2.0,,1.0,0.0,0.0,,,,1.0,0.0,,,1.0,,,,,,
