character.id,character.name,character.realm.slug,honor_level,honorable_kills,Alterac Valley win_rate,Classic Warsong Gulch win_rate,Classic Arathi Basin win_rate,Eye of the Storm win_rate,Strand of the Ancients win_rate,Isle of Conquest win_rate,Twin Peaks win_rate,The Battle for Gilneas win_rate,Temple of Kotmogu win_rate,Deepwind Gorge (Legacy) win_rate,Ashran win_rate,Battle for Wintergrasp win_rate,Alterac Valley played,Classic Warsong Gulch played,Classic Arathi Basin played,Eye of the Storm played,Strand of the Ancients played,Isle of Conquest played,Twin Peaks played,The Battle for Gilneas played,Temple of Kotmogu played,Deepwind Gorge (Legacy) played,Ashran played,Battle for Wintergrasp played,Alterac Valley won,Classic Warsong Gulch won,Classic Arathi Basin won,Eye of the Storm won,Strand of the Ancients won,Isle of Conquest won,Twin Peaks won,The Battle for Gilneas won,Temple of Kotmogu won,Deepwind Gorge (Legacy) won,Ashran won,Battle for Wintergrasp won,Silvershard Mines win_rate,Seething Shore win_rate,Warsong Gulch win_rate,Arathi Basin win_rate,Arathi Basin Comp Stomp win_rate,Deepwind Gorge win_rate,Silvershard Mines played,Seething Shore played,Warsong Gulch played,Arathi Basin played,Arathi Basin Comp Stomp played,Deepwind Gorge played,Silvershard Mines won,Seething Shore won,Warsong Gulch won,Arathi Basin won,Arathi Basin Comp Stomp won,Deepwind Gorge won,Rated Eye of the Storm win_rate,Korrak's Revenge win_rate,Rated Eye of the Storm played,Korrak's Revenge played,Rated Eye of the Storm won,Korrak's Revenge won,Arathi Basin Winter win_rate,Arathi Basin Winter played,Arathi Basin Winter won
78769113,Экзекуторс,howling-fjord,47.0,31676.0,41.0,36.0,41.0,53.0,50.0,32.0,46.0,40.0,48.0,10.0,80.0,50.0,81.0,95.0,70.0,81.0,68.0,81.0,65.0,62.0,66.0,10.0,5.0,6.0,33.0,34.0,29.0,43.0,34.0,26.0,30.0,25.0,32.0,1.0,4.0,3.0,60.0,20.0,67.0,100.0,,33.0,30.0,5.0,3.0,3.0,,3.0,18.0,1.0,2.0,3.0,,1.0,2200.0,,1.0,,22.0,,,,
169776565,Tikkì,nemesis,20.0,5062.0,67.0,33.0,0.0,62.0,50.0,25.0,67.0,50.0,75.0,50.0,80.0,100.0,9.0,6.0,8.0,16.0,8.0,12.0,6.0,10.0,4.0,4.0,5.0,1.0,6.0,2.0,0.0,10.0,4.0,3.0,4.0,5.0,3.0,2.0,4.0,1.0,53.0,100.0,0.0,50.0,,75.0,15.0,5.0,2.0,2.0,,4.0,8.0,5.0,0.0,1.0,,3.0,,,,,,,100.0,1.0,1.0
119925571,Goldenweek,nefarian,21.0,1805.0,100.0,40.0,71.0,100.0,,,,,,,,,2.0,10.0,7.0,1.0,,,,,,,,,2.0,4.0,5.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
172378614,Ðarkz,twisting-nether,197.0,770.0,67.0,,,,,0.0,0.0,,,,60.0,0.0,3.0,,,,,4.0,1.0,,,,5.0,2.0,2.0,,,,,0.0,0.0,,,,3.0,0.0,,,,,,100.0,,,,,,1.0,,,,,,1.0,,,,,,,,,
111748922,Divinewings,eredar,16.0,825.0,50.0,0.0,100.0,,100.0,50.0,0.0,,50.0,,,,2.0,4.0,1.0,,1.0,2.0,2.0,,2.0,,,,1.0,0.0,1.0,,1.0,1.0,0.0,,1.0,,,,50.0,,,,,,2.0,,,,,,1.0,,,,,,,50.0,,2.0,,1.0,,,
138465092,Misstag,twisting-nether,25.0,2101.0,33.0,,100.0,50.0,,0.0,83.0,50.0,67.0,,100.0,,3.0,,1.0,2.0,,1.0,6.0,6.0,12.0,,3.0,,1.0,,1.0,1.0,,0.0,5.0,3.0,8.0,,3.0,,60.0,43.0,71.0,67.0,,43.0,5.0,7.0,7.0,3.0,,7.0,3.0,3.0,5.0,2.0,,3.0,25.0,,4.0,,1.0,,,,
167543148,Caersei,blackrock,11.0,364.0,100.0,,,,,,100.0,0.0,100.0,,100.0,100.0,1.0,,,,,,1.0,2.0,1.0,,1.0,1.0,1.0,,,,,,1.0,0.0,1.0,,1.0,1.0,0.0,,,,,,1.0,,,,,,0.0,,,,,,,,,,,,,,
102761668,Celedith,blackhand,15.0,949.0,100.0,100.0,,100.0,100.0,,67.0,100.0,33.0,100.0,,,1.0,4.0,,1.0,2.0,,3.0,2.0,3.0,3.0,,,1.0,4.0,,1.0,2.0,,2.0,2.0,1.0,3.0,,,33.0,,,,,,3.0,,,,,,1.0,,,,,,,,,,,,,,
188436851,Vynrael,kazzak,129.0,32640.0,50.0,65.0,67.0,65.0,59.0,50.0,58.0,52.0,55.0,60.0,,100.0,8.0,77.0,88.0,78.0,37.0,14.0,98.0,90.0,98.0,73.0,,1.0,4.0,50.0,59.0,51.0,22.0,7.0,57.0,47.0,54.0,44.0,,1.0,65.0,112.0,57.0,60.0,100.0,40.0,88.0,8.0,7.0,5.0,5.0,5.0,57.0,9.0,4.0,3.0,5.0,2.0,1800.0,,1.0,,18.0,,100.0,1.0,1.0
154135172,Imaqtcats,sanguino,7.0,691.0,,,,,,,0.0,75.0,50.0,,,100.0,,,,,,,2.0,4.0,2.0,,,1.0,,,,,,,0.0,3.0,1.0,,,1.0,71.0,100.0,50.0,0.0,,100.0,7.0,1.0,2.0,3.0,,1.0,5.0,1.0,1.0,0.0,,1.0,100.0,,1.0,,1.0,,,,
94673446,Megnar,twisting-nether,176.0,24028.0,24.0,59.0,55.0,57.0,48.0,7.0,54.0,60.0,61.0,67.0,33.0,50.0,29.0,103.0,64.0,42.0,25.0,14.0,100.0,97.0,107.0,45.0,3.0,6.0,7.0,61.0,35.0,24.0,12.0,1.0,54.0,58.0,65.0,30.0,1.0,3.0,53.0,860.0,50.0,50.0,,43.0,95.0,5.0,4.0,4.0,,7.0,50.0,43.0,2.0,2.0,,3.0,81.0,,16.0,,13.0,,,,
158487277,Crazywings,blackhand,14.0,1206.0,100.0,,,100.0,,,50.0,75.0,100.0,,,100.0,1.0,,,3.0,,,4.0,4.0,2.0,,,1.0,1.0,,,3.0,,,2.0,3.0,2.0,,,1.0,100.0,100.0,50.0,50.0,,50.0,1.0,2.0,2.0,2.0,,2.0,1.0,2.0,1.0,1.0,,1.0,50.0,,2.0,,1.0,,100.0,1.0,1.0
153387395,Snaatz,malganis,54.0,355.0,,,100.0,100.0,,100.0,,50.0,,,,,,,1.0,1.0,,1.0,,4.0,,,,,,,1.0,1.0,,1.0,,2.0,,,,,,0.0,50.0,,,,,1.0,2.0,,,,,0.0,1.0,,,,,,,,,,,,
130884215,Juular,blackrock,50.0,6082.0,35.0,75.0,17.0,62.0,80.0,36.0,31.0,50.0,57.0,67.0,88.0,50.0,20.0,8.0,6.0,16.0,5.0,28.0,13.0,12.0,14.0,3.0,8.0,2.0,7.0,6.0,1.0,10.0,4.0,10.0,4.0,6.0,8.0,2.0,7.0,1.0,50.0,50.0,56.0,27.0,,67.0,16.0,8.0,9.0,11.0,,6.0,8.0,4.0,5.0,3.0,,4.0,,,,,,,,,
160711211,Hugen,tarren-mill,15.0,2967.0,0.0,,,50.0,,50.0,100.0,80.0,75.0,,50.0,,2.0,,,4.0,,2.0,2.0,5.0,4.0,,2.0,,0.0,,,2.0,,1.0,2.0,4.0,3.0,,1.0,,62.0,86.0,57.0,100.0,,44.0,8.0,7.0,7.0,5.0,,9.0,5.0,6.0,4.0,5.0,,4.0,0.0,,1.0,,0.0,,,,
126430141,Manodin,blackrock,31.0,3153.0,43.0,67.0,50.0,100.0,100.0,48.0,50.0,25.0,64.0,80.0,,,7.0,3.0,2.0,2.0,2.0,23.0,6.0,4.0,11.0,5.0,,,3.0,2.0,1.0,2.0,2.0,11.0,3.0,1.0,7.0,4.0,,,100.0,,100.0,,100.0,,5.0,,1.0,,1.0,,5.0,,1.0,,1.0,,,,,,,,,,
109712710,Palover,thrall,16.0,232.0,,,,,,,,100.0,,,,,,,,,,,,1.0,,,,,,,,,,,,1.0,,,,,100.0,,,,,,1.0,,,,,,1.0,,,,,,,,,,,,,,
176086092,Fexe,ragnaros,27.0,37484.0,39.0,41.0,32.0,53.0,61.0,22.0,46.0,43.0,59.0,45.0,,78.0,49.0,32.0,25.0,32.0,18.0,27.0,13.0,14.0,22.0,11.0,,9.0,19.0,13.0,8.0,17.0,11.0,6.0,6.0,6.0,13.0,5.0,,7.0,65.0,160.0,82.0,20.0,,60.0,17.0,5.0,11.0,5.0,,5.0,11.0,8.0,9.0,1.0,,3.0,,100.0,,1.0,,1.0,100.0,1.0,1.0
160056280,Lawrs,draenor,13.0,16063.0,45.0,53.0,33.0,41.0,58.0,30.0,54.0,48.0,100.0,100.0,,,31.0,68.0,49.0,51.0,65.0,20.0,26.0,21.0,1.0,3.0,,,14.0,36.0,16.0,21.0,38.0,6.0,14.0,10.0,1.0,3.0,,,0.0,,0.0,0.0,,,1.0,,1.0,1.0,,,0.0,,0.0,0.0,,,,,,,,,,,
170267257,Neb,shattered-hand,19.0,5048.0,83.0,52.0,45.0,67.0,33.0,60.0,74.0,57.0,63.0,69.0,,,6.0,27.0,22.0,12.0,3.0,15.0,23.0,21.0,19.0,16.0,,,5.0,14.0,10.0,8.0,1.0,9.0,17.0,12.0,12.0,11.0,,,59.0,,,,,,27.0,,,,,,16.0,,,,,,,,,,,,,,
135590330,Solvejk,thrall,24.0,11494.0,42.0,25.0,55.0,38.0,50.0,52.0,48.0,60.0,21.0,36.0,0.0,75.0,60.0,16.0,22.0,24.0,6.0,21.0,27.0,25.0,24.0,11.0,2.0,8.0,25.0,4.0,12.0,9.0,3.0,11.0,13.0,15.0,5.0,4.0,0.0,6.0,43.0,45.0,56.0,55.0,,50.0,21.0,11.0,9.0,11.0,,10.0,9.0,5.0,5.0,6.0,,5.0,100.0,0.0,5.0,1.0,5.0,0.0,,,
173771360,Avenger,archimonde,35.0,53336.0,67.0,52.0,46.0,51.0,48.0,58.0,62.0,44.0,70.0,47.0,100.0,0.0,36.0,69.0,69.0,89.0,102.0,24.0,24.0,32.0,23.0,17.0,1.0,1.0,24.0,36.0,32.0,45.0,49.0,14.0,15.0,14.0,16.0,8.0,1.0,0.0,60.0,100.0,33.0,50.0,,80.0,20.0,2.0,3.0,4.0,,5.0,12.0,2.0,1.0,2.0,,4.0,,89.0,,9.0,,8.0,,,
120178573,Propalli,draenor,7.0,9142.0,57.0,56.0,57.0,57.0,54.0,31.0,67.0,50.0,100.0,100.0,,,42.0,34.0,30.0,46.0,26.0,13.0,9.0,12.0,1.0,1.0,,,24.0,19.0,17.0,26.0,14.0,4.0,6.0,6.0,1.0,1.0,,,100.0,,,,,,1.0,,,,,,1.0,,,,,,,,,,,,,,
175810099,Paloushe,dalaran,9.0,2176.0,67.0,,,100.0,,56.0,100.0,0.0,0.0,,57.0,40.0,6.0,,,1.0,,9.0,2.0,2.0,3.0,,7.0,5.0,4.0,,,1.0,,5.0,2.0,0.0,0.0,,4.0,2.0,,40.0,100.0,50.0,,0.0,,5.0,2.0,2.0,,2.0,,2.0,2.0,1.0,,0.0,,,,,,,,,
175158446,Strunfy,twisting-nether,11.0,900.0,0.0,,,,,67.0,100.0,,67.0,,100.0,25.0,1.0,,,,,3.0,1.0,,3.0,,1.0,4.0,0.0,,,,,2.0,1.0,,2.0,,1.0,1.0,,100.0,100.0,,,0.0,,1.0,1.0,,,1.0,,1.0,1.0,,,0.0,0.0,,1.0,,0.0,,,,
154764560,Møømøø,archimonde,27.0,3165.0,60.0,88.0,56.0,100.0,0.0,50.0,50.0,40.0,100.0,100.0,100.0,,5.0,8.0,9.0,6.0,2.0,2.0,2.0,5.0,5.0,1.0,1.0,,3.0,7.0,5.0,6.0,0.0,1.0,1.0,2.0,5.0,1.0,1.0,,40.0,,33.0,67.0,,100.0,5.0,,3.0,3.0,,1.0,2.0,,1.0,2.0,,1.0,,,,,,,,,
123059806,Lenida,thrall,32.0,28908.0,53.0,47.0,56.0,58.0,76.0,46.0,69.0,78.0,56.0,57.0,75.0,50.0,51.0,116.0,87.0,59.0,55.0,39.0,91.0,69.0,55.0,14.0,8.0,2.0,27.0,55.0,49.0,34.0,42.0,18.0,63.0,54.0,31.0,8.0,6.0,1.0,55.0,80.0,56.0,75.0,,50.0,56.0,10.0,9.0,4.0,,6.0,31.0,8.0,5.0,3.0,,3.0,425.0,,4.0,,17.0,,,,
154012370,Hornypâl,draenor,8.0,780.0,100.0,,,50.0,,100.0,0.0,,100.0,,0.0,0.0,1.0,,,2.0,,1.0,1.0,,2.0,,1.0,1.0,1.0,,,1.0,,1.0,0.0,,2.0,,0.0,0.0,33.0,0.0,0.0,0.0,,50.0,3.0,3.0,2.0,1.0,,2.0,1.0,0.0,0.0,0.0,,1.0,,,,,,,,,
