,Head,Neck,Shoulders,Chest,Waist,Legs,Feet,Wrist,Hands,Ring 1,Ring 2,Trinket 1,Trinket 2,Back,Main Hand,Tabard,Shirt,Off Hand,score
10,Wrathbark Greathelm,Sin Stained Pendant,Shadowghast Pauldrons,Rampaging Giant's Chestplate,Girdle of the Soulflayer,Gormshell Greaves,Errant Crusader's Greaves,Thunderous Echo Vambraces,Fleshfused Crushers,Death God's Signet,Stitchflesh's Misplaced Signet,Blood-Spattered Scale,Splintered Heart of Al'ar,Dealer Xy'exa's Cape,Sophisticated Bonecracker,,,Acidslough Bulwark,1268.4
11,Shadowghast Helm,Sinful Gladiator's Necklace,Pauldrons of Unleashed Pride,Sinful Gladiator's Plate Chestguard,Stoic Guardsman's Belt,Halkias's Towering Pillars,Sinful Gladiator's Plate Warboots,Hellhound Cuffs,Fleshfused Crushers,Sinful Gladiator's Ring,Death God's Signet,Sinful Aspirant's Insignia of Alacrity,Sinful Aspirant's Relentless Brooch,Cowled Batwing Cloak,Axe of the Deadgrove,,,Stonewrought Gargoyles Barrier,1197.7
12,Darkfrost Helmet,Charm of Eternal Winter,Shadowghast Pauldrons,Tharatos' Charred Chestplate,Girdle of the Soulflayer,Galvanized Oxxein Legguards,Sinful Gladiator's Plate Warboots,Pit Fighter's Wristguards,Fallen Templar's Gauntlets,Death God's Signet,Sinful Gladiator's Ring,Spare Meat Hook,Blood-Spattered Scale,Sinful Gladiator's Drape,Sinful Gladiator's Hacker,,Precious' Ribbon,Acidslough Bulwark,1108.5
13,Wing Commander's Helmet,Trailspinner Pendant,Prankster's Pauldrons,Breastplate of Fatal Contrivances,Shadowghast Waistguard,Galvanized Oxxein Legguards,Muckwallow Stompers,Soldier's Stoneband Wristguards,Fleshfused Crushers,Stitchflesh's Misplaced Signet,Signet of the False Accuser,Splintered Heart of Al'ar,Blood-Spattered Scale,Drape of Twisted Loyalties,Axe of the Deadgrove,Tabard of the Achiever,Tailored Officer's Shirt,Sylvan Whiteshield,1164.1
14,Wrathbark Greathelm,Charm of Eternal Winter,Unyielding Combatant's Pauldrons,Abdominal Securing Chestguard,Binding of Warped Desires,Galvanized Oxxein Legguards,Sabatons of the Rushing Juggernaut,Reality-Shatter Vambraces,Fleshfused Crushers,Shadowghast Ring,Signet of the False Accuser,Stone Legion Heraldry,Blood-Spattered Scale,Cowled Batwing Cloak,Engorged Worm Smasher,,,Acidslough Bulwark,1459.3
15,Wing Commander's Helmet,Sin Stained Pendant,Shadowghast Pauldrons,Breastplate of Otherworldly Influence,Fused Bone Greatbelt,Galvanized Oxxein Legguards,Dynamo Doomstompers,Thunderous Echo Vambraces,Colossal Plate Gauntlets,Stitchflesh's Misplaced Signet,Bloodoath Signet,Slimy Consumptive Organ,Anima Field Emitter,Cloak of Enveloping Manifestations,Engorged Worm Smasher,,,Encrusted Canopic Lid,1121.1
16,Shadowghast Helm,Sin Stained Pendant,Unyielding Combatant's Pauldrons,Abdominal Securing Chestguard,Scarred Bloodbound Girdle,Gormshell Greaves,Errant Crusader's Greaves,Reality-Shatter Vambraces,Distorted Construct's Gauntlets,Stitchflesh's Misplaced Signet,Death God's Signet,Splintered Heart of Al'ar,Blood-Spattered Scale,Dealer Xy'exa's Cape,Sophisticated Bonecracker,Renowned Guild Tabard,Sleeveless T-Shirt,Acidslough Bulwark,1207.1
17,Shadowghast Helm,Sin Stained Pendant,Pauldrons of Unleashed Pride,Breastplate of Otherworldly Influence,Stoic Guardsman's Belt,Gormshell Greaves,Sabatons of the Rushing Juggernaut,Hellhound Cuffs,Fleshfused Crushers,Stitchflesh's Misplaced Signet,Band of the Risen Bonelord,Blood-Spattered Scale,Anima Field Emitter,Cowled Batwing Cloak,Sophisticated Bonecracker,,,Elysian Sentinel's Aegis,1202.2
18,Shadowghast Helm,Charm of Eternal Winter,Pauldrons of Unleashed Pride,Breastplate of Otherworldly Influence,Fused Bone Greatbelt,Gormshell Greaves,Dynamo Doomstompers,Vambraces of the Depraved Warden,Hardened Castle Crushers,Death God's Signet,Ritual Commander's Ring,Anima Field Emitter,Splintered Heart of Al'ar,Cowled Batwing Cloak,Axe of the Deadgrove,,,Elysian Sentinel's Aegis,1384.2
19,Darkfrost Helmet,Sin Stained Pendant,Shadowghast Pauldrons,Rampaging Giant's Chestplate,Fused Bone Greatbelt,Halkias's Towering Pillars,Stoneguard Attendant's Boots,Soldier's Stoneband Wristguards,Colossal Plate Gauntlets,Fleshfused Circle,Death God's Signet,Anima Field Emitter,Inscrutable Quantum Device,Cowled Batwing Cloak,Axe of the Deadgrove,,,Acidslough Bulwark,1194.9
20,Wrathbark Greathelm,Sin Stained Pendant,Prankster's Pauldrons,Breastplate of Otherworldly Influence,Girdle of the Soulflayer,Endlessly Gluttonous Greaves,Shadowghast Sabatons,Reality-Shatter Vambraces,Colossal Plate Gauntlets,Signet of the False Accuser,Death God's Signet,Blood-Spattered Scale,Anima Field Emitter,Cloak of Enveloping Manifestations,Axe of the Deadgrove,,Wraps of the Blood-Soaked Brawler,Barricade of the Endless Empire,934.3
21,Wrathbark Greathelm,Trailspinner Pendant,Shadowghast Pauldrons,Abdominal Securing Chestguard,Waistguard of Expurged Anguish,Endlessly Gluttonous Greaves,Muckwallow Stompers,Thunderous Echo Vambraces,Fleshfused Crushers,Hyperlight Band,Death God's Signet,Overwhelming Power Crystal,Inscrutable Quantum Device,Drape of Twisted Loyalties,Sophisticated Bonecracker,,,Barricade of the Endless Empire,1213.4
22,Wrathbark Greathelm,Charm of Eternal Winter,Shadowghast Pauldrons,Breastplate of Brutal Dissonance,Girdle of the Soulflayer,Halkias's Towering Pillars,Dynamo Doomstompers,Soldier's Stoneband Wristguards,Fleshfused Crushers,Ardent Sunstar Signet,Ritual Bone Band,Blood-Spattered Scale,Splintered Heart of Al'ar,Dealer Xy'exa's Cape,Engorged Worm Smasher,,,Acidslough Bulwark,1271.9
23,Shadowghast Helm,Charm of Eternal Winter,Epaulettes of Overwhelming Force,Breastplate of Fatal Contrivances,Girdle of the Soulflayer,Ceremonial Parade Legguards,Muckwallow Stompers,Vambraces of the Depraved Warden,Distorted Construct's Gauntlets,Bloodoath Signet,Stitchflesh's Misplaced Signet,Anima Field Emitter,Blood-Spattered Scale,Drape of Twisted Loyalties,Sophisticated Bonecracker,Silvermoon City Tabard,,Acidslough Bulwark,1054.3
24,Shadowghast Helm,Sin Stained Pendant,Unyielding Combatant's Pauldrons,Breastplate of Otherworldly Influence,Girdle of the Soulflayer,Legplates of Unholy Frenzy,Dynamo Doomstompers,Sinful Gladiator's Plate Vambraces,Distorted Construct's Gauntlets,Hyperlight Band,Most Regal Signet of Sire Denathrius,Splintered Heart of Al'ar,Blood-Spattered Scale,Cowled Batwing Cloak,Sinsmasher,,,Elysian Sentinel's Aegis,1259.6
25,Wing Commander's Helmet,Trailspinner Pendant,Shadowghast Pauldrons,Breastplate of Brutal Dissonance,Scarred Bloodbound Girdle,Gormshell Greaves,Warboots of Ruthless Conviction,Thunderous Echo Vambraces,Colossal Plate Gauntlets,Hyperlight Band,Ritual Bone Band,Darkmoon Deck: Indomitable,Viscera of Coalesced Hatred,Cowled Batwing Cloak,Engorged Worm Smasher,Tabard of the Zandalari,,Acidslough Bulwark,1085.1
26,Sinful Gladiator's Plate Helm,Charm of Eternal Winter,Unyielding Combatant's Pauldrons,Sinful Gladiator's Plate Chestguard,Shadowghast Waistguard,Halkias's Towering Pillars,Sabatons of the Rushing Juggernaut,Pit Fighter's Wristguards,Sinful Gladiator's Plate Handguards,Ring of Perpetual Conflict,Sinful Gladiator's Signet,Anima Field Emitter,Splintered Heart of Al'ar,Mantle of Manifest Sins,Supercollider,,,Acidslough Bulwark,1161.7
27,Shadowghast Helm,Sinful Gladiator's Necklace,Pauldrons of Unleashed Pride,Rampaging Giant's Chestplate,Girdle of the Soulflayer,Endlessly Gluttonous Greaves,Stoneguard Attendant's Boots,Hellhound Cuffs,Fleshfused Crushers,Sinful Gladiator's Ring,Ardent Sunstar Signet,Splintered Heart of Al'ar,Bargast's Leash,Cloak of Enveloping Manifestations,Supercollider,,,Sinful Gladiator's Guard,1014.5
28,Wing Commander's Helmet,Sin Stained Pendant,Sinful Gladiator's Plate Pauldrons,Breastplate of Brutal Dissonance,Girdle of the Soulflayer,Shadowghast Greaves,Errant Crusader's Greaves,Thunderous Echo Vambraces,Fleshfused Crushers,Sinful Gladiator's Ring,Band of the Risen Bonelord,Overwhelming Power Crystal,Skulker's Wing,Decadent Nathrian Shawl,Axe of the Deadgrove,Tabard of the Lightbringer,Artisan Officer's Shirt,Barricade of the Endless Empire,1121.0
29,Shadowghast Helm,Sinful Gladiator's Necklace,Epaulettes of Overwhelming Force,Abdominal Securing Chestguard,Girdle of the Soulflayer,Halkias's Towering Pillars,Warboots of Ruthless Conviction,Vambraces of the Depraved Warden,Fleshfused Crushers,Sinful Gladiator's Ring,Stitchflesh's Misplaced Signet,Blood-Spattered Scale,Anima Field Emitter,Blighted Margrave's Cloak,Sophisticated Bonecracker,Illustrious Guild Tabard,,Sinful Gladiator's Guard,1328.2
30,Darkfrost Helmet,Noble's Birthstone Pendant,Shadowghast Pauldrons,Breastplate of Fatal Contrivances,Fused Bone Greatbelt,Halkias's Towering Pillars,Errant Crusader's Greaves,Vambraces of the Depraved Warden,Colossal Plate Gauntlets,Bloodoath Signet,Ardent Sunstar Signet,Phial of Putrefaction,Splintered Heart of Al'ar,Crest of the Legionnaire General,Axe of the Deadgrove,Renowned Guild Tabard,,Acidslough Bulwark,1280.0
31,Wing Commander's Helmet,Sin Stained Pendant,Pauldrons of Unleashed Pride,Breastplate of Brutal Dissonance,Shadowghast Waistguard,Gormshell Greaves,Errant Crusader's Greaves,Reality-Shatter Vambraces,Fogweaver Gauntlets,Signet of the False Accuser,Stitchflesh's Misplaced Signet,Blood-Spattered Scale,Splintered Heart of Al'ar,Cowled Batwing Cloak,Engorged Worm Smasher,,,Acidslough Bulwark,1077.3
32,Wing Commander's Helmet,Sin Stained Pendant,Shadowghast Pauldrons,Rampaging Giant's Chestplate,Binding of Warped Desires,Halkias's Towering Pillars,Errant Crusader's Greaves,Vambraces of the Depraved Warden,Fleshfused Crushers,Stitchflesh's Misplaced Signet,Death God's Signet,Gluttonous Spike,Blood-Spattered Scale,Dealer Xy'exa's Cape,Engorged Worm Smasher,,,Barricade of the Endless Empire,1050.9
33,Sinful Gladiator's Plate Helmet,Charm of Eternal Winter,Sinful Gladiator's Plate Pauldrons,Sinful Gladiator's Plate Chestguard,Sinful Gladiator's Plate Girdle,Ceremonial Parade Legguards,Shadowghast Sabatons,Sinful Gladiator's Plate Vambraces,Colossal Plate Gauntlets,Signet of the False Accuser,Sinful Gladiator's Band,Sinful Aspirant's Medallion,Sinful Aspirant's Badge of Ferocity,Cowled Batwing Cloak,Sinsmasher,Tabard of the Explorer,,Sinful Gladiator's Redoubt,1006.2
34,Wing Commander's Helmet,Sin Stained Pendant,Shadowghast Pauldrons,Abdominal Securing Chestguard,Girdle of the Soulflayer,Gormshell Greaves,Muckwallow Stompers,Thunderous Echo Vambraces,Fleshfused Crushers,Hyperlight Band,Sinful Gladiator's Ring,Overwhelming Power Crystal,Anima Field Emitter,Drape of Twisted Loyalties,Sinful Gladiator's Xiphos,,Blue Linen Shirt,Sinful Gladiator's Guard,1027.8
35,Wing Commander's Helmet,Trailspinner Pendant,Shadowghast Pauldrons,Breastplate of Fatal Contrivances,Scarred Bloodbound Girdle,Galvanized Oxxein Legguards,Errant Crusader's Greaves,Shoulderblade Vambraces,Fogweaver Gauntlets,Ring of Perpetual Conflict,Fleshfused Circle,Anima Field Emitter,Inscrutable Quantum Device,Blighted Margrave's Cloak,Gorestained Cleaver,,,Acidslough Bulwark,1020.5
36,Wrathbark Greathelm,Sinful Gladiator's Amulet,Shadowghast Pauldrons,Breastplate of Brutal Dissonance,Waistguard of Expurged Anguish,Endlessly Gluttonous Greaves,Sinful Gladiator's Plate Warboots,Sinful Gladiator's Plate Vambraces,Sinful Gladiator's Plate Gauntlets,Signet of the False Accuser,Sinful Gladiator's Ring,Decanter of Anima-Charged Winds,Blood-Spattered Scale,Sinful Aspirant's Drape,Sinful Gladiator's Xiphos,Silvermoon City Tabard,Sharkskin Tunic,Sinful Gladiator's Guard,959.2
37,Wrathbark Greathelm,Sin Stained Pendant,Pauldrons of Unleashed Pride,Breastplate of Otherworldly Influence,Fused Bone Greatbelt,Galvanized Oxxein Legguards,Stoneguard Attendant's Boots,Shadowghast Armguards,Fleshfused Crushers,Death God's Signet,Hyperlight Band,Sanguine Vintage,Splintered Heart of Al'ar,Decadent Nathrian Shawl,Gorestained Cleaver,Tabard of the Argent Crusade,,Acidslough Bulwark,1178.1
38,Darkfrost Helmet,Sin Stained Pendant,Prankster's Pauldrons,Abdominal Securing Chestguard,Shadowghast Waistguard,Halkias's Towering Pillars,Errant Crusader's Greaves,Vambraces of the Depraved Warden,Fleshfused Crushers,Death God's Signet,Stitchflesh's Misplaced Signet,Anima Field Emitter,Blood-Spattered Scale,Blighted Margrave's Cloak,Sinsmasher,,,Encrusted Canopic Lid,1033.8
39,Darkfrost Helmet,Sin Stained Pendant,Prankster's Pauldrons,Breastplate of Otherworldly Influence,Shadowghast Waistguard,Galvanized Oxxein Legguards,Errant Crusader's Greaves,Thunderous Echo Vambraces,Fallen Templar's Gauntlets,Death God's Signet,Stitchflesh's Misplaced Signet,Anima Field Emitter,Blood-Spattered Scale,Decadent Nathrian Shawl,Sinsmasher,Renowned Guild Tabard,,Acidslough Bulwark,1053.0
40,Wing Commander's Helmet,Sinful Gladiator's Necklace,Shadowghast Pauldrons,Sinful Gladiator's Plate Chestguard,Sinful Gladiator's Plate Girdle,Halkias's Towering Pillars,Sabatons of the Rushing Juggernaut,Sinful Gladiator's Plate Vambraces,Hardened Castle Crushers,Ritual Bone Band,Sinful Gladiator's Ring,Sinful Aspirant's Medallion,Sinful Aspirant's Badge of Ferocity,Blighted Margrave's Cloak,Engorged Worm Smasher,Tabard of the Shattered Sun,Precious' Ribbon,Sinful Gladiator's Guard,1328.7
41,Sinful Gladiator's Plate Helmet,Shadowghast Necklace,Sinful Gladiator's Plate Pauldrons,Sinful Gladiator's Plate Chestguard,Sinful Aspirant's Plate Girdle,Halkias's Towering Pillars,Valinor's Ground Pounders,Sinful Gladiator's Plate Vambraces,Fleshfused Crushers,Sinful Gladiator's Ring,Sinful Aspirant's Band,Sinful Aspirant's Insignia of Alacrity,Sinful Aspirant's Medallion,Cowled Batwing Cloak,Sinful Gladiator's Hacker,,,Sinful Gladiator's Guard,1185.7
42,Wrathbark Greathelm,Charm of Eternal Winter,Shadowghast Pauldrons,Breastplate of Otherworldly Influence,Stoic Guardsman's Belt,Halkias's Towering Pillars,Errant Crusader's Greaves,Shoulderblade Vambraces,Colossal Plate Gauntlets,Band of the Risen Bonelord,Stitchflesh's Misplaced Signet,Anima Field Emitter,Blood-Spattered Scale,Crest of the Legionnaire General,Sacred Sparrer's Edge,,,Acidslough Bulwark,964.2
43,Wrathbark Greathelm,Sin Stained Pendant,Pauldrons of Unleashed Pride,Abdominal Securing Chestguard,Stonebark Girdle,Gormshell Greaves,Errant Crusader's Greaves,Shoulderblade Vambraces,Fleshfused Crushers,Signet of the False Accuser,Shadowghast Ring,Gluttonous Spike,Bladedancer's Armor Kit,Drape of Twisted Loyalties,Sophisticated Bonecracker,,,Acidslough Bulwark,972.9
44,Wing Commander's Helmet,Sin Stained Pendant,Shadowghast Pauldrons,Sinful Gladiator's Plate Chestplate,Sinful Gladiator's Plate Greatbelt,Galvanized Oxxein Legguards,Errant Crusader's Greaves,Pit Fighter's Wristguards,Sinful Gladiator's Plate Gauntlets,Death God's Signet,Band of the Risen Bonelord,Decanter of Anima-Charged Winds,Sinful Gladiator's Badge of Ferocity,Mantle of Manifest Sins,Sinful Gladiator's Swordbreaker,Blood Knight Tabard,,Sinful Gladiator's Redoubt,963.2
45,Wing Commander's Helmet,Charm of Eternal Winter,Unyielding Combatant's Pauldrons,Breastplate of Fatal Contrivances,Shadowghast Waistguard,Galvanized Oxxein Legguards,Muckwallow Stompers,Thunderous Echo Vambraces,Sinful Gladiator's Plate Handguards,Stitchflesh's Misplaced Signet,Ritual Commander's Ring,Blood-Spattered Scale,Splintered Heart of Al'ar,Crest of the Legionnaire General,Ascended Gladius of Glory,,Stylish Black Shirt,Sinful Gladiator's Guard,1005.7
46,Wrathbark Greathelm,Charm of Eternal Winter,Shadowghast Pauldrons,Sinful Gladiator's Plate Chestguard,Fused Bone Greatbelt,Gormshell Greaves,Sabatons of the Rushing Juggernaut,Reality-Shatter Vambraces,Fogweaver Gauntlets,Stitchflesh's Misplaced Signet,Signet of the False Accuser,Gluttonous Spike,Inscrutable Quantum Device,Crest of the Legionnaire General,Axe of the Deadgrove,Purple Trophy Tabard of the Illidari,,Elysian Sentinel's Aegis,1001.2
47,Shadowghast Helm,Sin Stained Pendant,Vile Butcher's Pauldrons,Rampaging Giant's Chestplate,Stoic Guardsman's Belt,Ceremonial Parade Legguards,Errant Crusader's Greaves,Soldier's Stoneband Wristguards,Colossal Plate Gauntlets,Bloodoath Signet,Signet of the False Accuser,Stone Legion Heraldry,Splintered Heart of Al'ar,Cowled Batwing Cloak,Ascended Gladius of Glory,,Digmaster's Bodysleeve,Sylvan Whiteshield,1289.2
48,Wing Commander's Helmet,Charm of Eternal Winter,Shadowghast Pauldrons,Breastplate of Cautious Calculation,Fused Bone Greatbelt,Galvanized Oxxein Legguards,Errant Crusader's Greaves,Vambraces of the Depraved Warden,Fleshfused Crushers,Stitchflesh's Misplaced Signet,Band of the Risen Bonelord,Viscera of Coalesced Hatred,Splintered Heart of Al'ar,Drape of Twisted Loyalties,Supercollider,Horde Tabard,,Acidslough Bulwark,969.9
49,Plague Handler's Greathelm,Sin Stained Pendant,Shadowghast Pauldrons,Rampaging Giant's Chestplate,Girdle of the Soulflayer,Galvanized Oxxein Legguards,Sabatons of the Rushing Juggernaut,Pit Fighter's Wristguards,Fleshfused Crushers,Stitchflesh's Misplaced Signet,Ring of Perpetual Conflict,Inscrutable Quantum Device,Decanter of Anima-Charged Winds,Drape of Twisted Loyalties,Axe of the Deadgrove,Thunder Bluff Tabard,Common White Shirt,Acidslough Bulwark,1330.5
50,Wing Commander's Helmet,Sin Stained Pendant,Pauldrons of Unleashed Pride,Rampaging Giant's Chestplate,Shadowghast Waistguard,Ceremonial Parade Legguards,Muckwallow Stompers,Hellhound Cuffs,Guilewind Stone Talons,Bloodoath Signet,Death God's Signet,Gluttonous Spike,Sanguine Vintage,Crest of the Legionnaire General,Gorestained Cleaver,Orgrimmar Tabard,,Acidslough Bulwark,1165.9
51,Wing Commander's Helmet,Sinful Gladiator's Necklace,Unyielding Combatant's Pauldrons,Rampaging Giant's Chestplate,Shadowghast Waistguard,Galvanized Oxxein Legguards,Errant Crusader's Greaves,Vambraces of the Depraved Warden,Fleshfused Crushers,Ritualist's Treasured Ring,Bloodoath Signet,Blood-Spattered Scale,Sinful Aspirant's Badge of Ferocity,Crest of the Legionnaire General,Barbed-Edge of the Stone Legion,Renowned Guild Tabard,,Acidslough Bulwark,1052.0
52,Shadowghast Helm,Charm of Eternal Winter,Unyielding Combatant's Pauldrons,Breastplate of Brutal Dissonance,Girdle of the Soulflayer,Legplates of Unholy Frenzy,Warboots of Ruthless Conviction,Pit Fighter's Wristguards,Distorted Construct's Gauntlets,Stitchflesh's Misplaced Signet,Bloodoath Signet,Decanter of Anima-Charged Winds,Inscrutable Quantum Device,Dealer Xy'exa's Cape,Engorged Worm Smasher,Tabard of the Lightbringer,Stylish Red Shirt,Encrusted Canopic Lid,918.5
53,Wrathbark Greathelm,Sinful Gladiator's Necklace,Shadowghast Pauldrons,Abdominal Securing Chestguard,Waistguard of Expurged Anguish,Galvanized Oxxein Legguards,Sinful Gladiator's Plate Stompers,Sinful Gladiator's Plate Wristguards,Fleshfused Crushers,Sinful Gladiator's Ring,Ritual Commander's Ring,Sinful Aspirant's Relentless Brooch,Sinful Aspirant's Badge of Ferocity,Cowled Batwing Cloak,Sophisticated Bonecracker,Dread Gladiator's Tabard,,Sinful Gladiator's Guard,1103.3
54,Shadowghast Helm,Charm of Eternal Winter,Prankster's Pauldrons,Breastplate of Otherworldly Influence,Scarred Bloodbound Girdle,Galvanized Oxxein Legguards,Muckwallow Stompers,Shoulderblade Vambraces,Colossal Plate Gauntlets,Signet of the False Accuser,Death God's Signet,Blood-Spattered Scale,Anima Field Emitter,Cowled Batwing Cloak,Engorged Worm Smasher,,Captain Sanders' Shirt,Acidslough Bulwark,1131.9
55,Wrathbark Greathelm,Sinful Gladiator's Necklace,Shadowghast Pauldrons,Rampaging Giant's Chestplate,Waistguard of Expurged Anguish,Endlessly Gluttonous Greaves,Errant Crusader's Greaves,Sinful Gladiator's Plate Vambraces,Sinful Gladiator's Plate Handguards,Ritual Bone Band,Sinful Gladiator's Ring,Sinful Gladiator's Insignia of Alacrity,Phial of Putrefaction,Sinful Gladiator's Drape,Supercollider,,,Sinful Gladiator's Guard,1036.1
56,Wing Commander's Helmet,Sin Stained Pendant,Shadowghast Pauldrons,Sinful Gladiator's Plate Chestguard,Girdle of the Soulflayer,Sinful Gladiator's Plate Legguards,Muckwallow Stompers,Reality-Shatter Vambraces,Colossal Plate Gauntlets,Ritualist's Treasured Ring,Death God's Signet,Blood-Spattered Scale,Gluttonous Spike,Sinful Gladiator's Drape,Sinful Gladiator's Xiphos,,,Chyrus's Crest of Hope,1312.1
57,Wrathbark Greathelm,Trailspinner Pendant,Shadowghast Pauldrons,Breastplate of Brutal Dissonance,Scarred Bloodbound Girdle,Halkias's Towering Pillars,Muckwallow Stompers,Hellhound Cuffs,Fleshfused Crushers,Most Regal Signet of Sire Denathrius,Ritualist's Treasured Ring,Slimy Consumptive Organ,Gluttonous Spike,Crest of the Legionnaire General,Engorged Worm Smasher,,,Encrusted Canopic Lid,885.2
58,Wing Commander's Helmet,Sin Stained Pendant,Shadowghast Pauldrons,Breastplate of Cautious Calculation,Scarred Bloodbound Girdle,Halkias's Towering Pillars,Dynamo Doomstompers,Pit Fighter's Wristguards,Fleshfused Crushers,Ritual Bone Band,Hyperlight Band,Slimy Consumptive Organ,Bargast's Leash,Cowled Batwing Cloak,Supercollider,Guild Tabard,,Encrusted Canopic Lid,1021.9
59,Darkfrost Helmet,Muckformed Chain Choker,Shadowghast Pauldrons,Breastplate of Otherworldly Influence,Binding of Warped Desires,Gormshell Greaves,Dynamo Doomstompers,Vambraces of the Depraved Warden,Fleshfused Crushers,Ritual Bone Band,Death God's Signet,Anima Field Emitter,Blood-Spattered Scale,Cowled Batwing Cloak,Sophisticated Bonecracker,,,Barricade of the Endless Empire,1123.2
