Head,Neck,Shoulders,Chest,Waist,Legs,Feet,Wrist,Hands,Ring 1,Ring 2,Trinket 1,Trinket 2,Back,Main Hand,Off Hand,Tabard,character.id,Shirt
Shadowghast Helm,Charm of Eternal Winter,Pauldrons of Unleashed Pride,Breastplate of Brutal Dissonance,Stoic Guardsman's Belt,Legplates of Unholy Frenzy,Muckwallow Stompers,Soldier's Stoneband Wristguards,Guilewind Stone Talons,Twisted Witherroot Band,Signet of the False Accuser,Pulsating Stoneheart,Stone Legion Heraldry,Cowled Batwing Cloak,Sophisticated Bonecracker,Acidslough Bulwark,Guild Tabard,161350388,Master Builder's Shirt
Wing Commander's Helmet,Charm of Eternal Winter,Shadowghast Pauldrons,Breastplate of Fatal Contrivances,Stoic Guardsman's Belt,Gormshell Greaves,Errant Crusader's Greaves,Hellhound Cuffs,Fleshfused Crushers,Ritualist's Treasured Ring,Ritual Commander's Ring,Decanter of Anima-Charged Winds,Viscera of Coalesced Hatred,Blighted Margrave's Cloak,Sophisticated Bonecracker,Chyrus's Crest of Hope,,134721680,
Shadowghast Helm,Noble's Birthstone Pendant,Pauldrons of Unleashed Pride,Abdominal Securing Chestguard,Girdle of the Soulflayer,Gormshell Greaves,Errant Crusader's Greaves,Armbands of the Construct,Fleshfused Crushers,Stitchflesh's Misplaced Signet,Ritualist's Treasured Ring,Blood-Spattered Scale,Bargast's Leash,Mantle of Manifest Sins,Sinful Gladiator's Xiphos,Chyrus's Crest of Hope,,185512720,
Shadowghast Helm,Trailspinner Pendant,Prankster's Pauldrons,Abdominal Securing Chestguard,Waistguard of Expurged Anguish,Gormshell Greaves,Muckwallow Stompers,Pit Fighter's Wristguards,Fleshfused Crushers,Signet of the False Accuser,Ritualist's Treasured Ring,Slimy Consumptive Organ,Inscrutable Quantum Device,Blighted Margrave's Cloak,Sophisticated Bonecracker,Sinful Gladiator's Guard,Tabard of the Dark Iron,199715926,
Wrathbark Greathelm,Azure-Venom Choker,Shadowghast Pauldrons,Abdominal Securing Chestguard,Stonebark Girdle,Selfless Collector's Legguards,Warboots of Ruthless Conviction,Vambraces of the Depraved Warden,Fogweaver Gauntlets,Ritual Bone Band,Stitchflesh's Misplaced Signet,Bargast's Leash,Phial of Putrefaction,Cloak of Enveloping Manifestations,Sophisticated Bonecracker,Encrusted Canopic Lid,,154378559,Precious' Ribbon
Wing Commander's Helmet,Sin Stained Pendant,Unyielding Combatant's Pauldrons,Breastplate of Fatal Contrivances,Shadowghast Waistguard,Gormshell Greaves,Sabatons of the Rushing Juggernaut,Thunderous Echo Vambraces,Hardened Castle Crushers,Ritual Bone Band,Arachnid Cipher Ring,Blood-Spattered Scale,Anima Field Emitter,Cowled Batwing Cloak,Axe of the Deadgrove,Acidslough Bulwark,,145469438,Precious' Ribbon
Plague Handler's Greathelm,Sin Stained Pendant,Shadowghast Pauldrons,Breastplate of Cautious Calculation,Sinful Gladiator's Plate Girdle,Halkias's Towering Pillars,Errant Crusader's Greaves,Vambraces of the Depraved Warden,Colossal Plate Gauntlets,Most Regal Signet of Sire Denathrius,Stitchflesh's Misplaced Signet,Slimy Consumptive Organ,Bladedancer's Armor Kit,Decadent Nathrian Shawl,Sophisticated Bonecracker,Acidslough Bulwark,Renowned Guild Tabard,59752014,
Wrathbark Greathelm,Sinful Gladiator's Pendant,Sinful Gladiator's Plate Pauldrons,Abdominal Securing Chestguard,Girdle of the Soulflayer,Halkias's Towering Pillars,Sinful Gladiator's Plate Warboots,Sinful Gladiator's Plate Vambraces,Fogweaver Gauntlets,Shadowghast Ring,Ritual Bone Band,Macabre Sheet Music,Blood-Spattered Scale,Sinful Gladiator's Drape,Sophisticated Bonecracker,Barricade of the Endless Empire,,245178334,
Darkfrost Helmet,Trailspinner Pendant,Shadowghast Pauldrons,Sinful Gladiator's Plate Chestplate,Girdle of the Soulflayer,Galvanized Oxxein Legguards,Baetheas' Ironclad Warboots,Pit Fighter's Wristguards,Fallen Templar's Gauntlets,Ring of Perpetual Conflict,Signet of the False Accuser,Bladedancer's Armor Kit,Slimy Consumptive Organ,Cowled Batwing Cloak,Sinful Aspirant's Mace,Acidslough Bulwark,Knight's Colors,116707126,Precious' Ribbon
Shadowghast Helm,Muckformed Chain Choker,Prankster's Pauldrons,Breastplate of Fatal Contrivances,Scarred Bloodbound Girdle,Gormshell Greaves,Sabatons of the Rushing Juggernaut,Sinful Gladiator's Plate Vambraces,Distorted Construct's Gauntlets,Stitchflesh's Misplaced Signet,Band of the Risen Bonelord,Viscera of Coalesced Hatred,Slimy Consumptive Organ,Blighted Margrave's Cloak,Supercollider,Acidslough Bulwark,,184063419,
Darkfrost Helmet,Azure-Venom Choker,Unyielding Combatant's Pauldrons,Breastplate of Fatal Contrivances,Girdle of the Soulflayer,Gormshell Greaves,Shadowghast Sabatons,Hellhound Cuffs,Colossal Plate Gauntlets,Hyperlight Band,Ritualist's Treasured Ring,Decanter of Anima-Charged Winds,Phial of Putrefaction,Blighted Margrave's Cloak,Xandria's Kopis of Courage,Acidslough Bulwark,Tabard of the Lightbringer,167046606,Precious' Ribbon
Diadem of Imperious Desire,Charm of Eternal Winter,Shadowghast Pauldrons,Abdominal Securing Chestguard,Girdle of the Soulflayer,Halkias's Towering Pillars,Sabatons of the Rushing Juggernaut,Pit Fighter's Wristguards,Guilewind Stone Talons,Ritual Bone Band,Ardent Sunstar Signet,Blood-Spattered Scale,Bargast's Leash,Decadent Nathrian Shawl,Gorestained Cleaver,Acidslough Bulwark,,172005302,
Shadowghast Helm,Charm of Eternal Winter,Selfless Collector's Spaulders,Breastplate of Cautious Calculation,Stoic Guardsman's Belt,Ceremonial Parade Legguards,Warboots of Ruthless Conviction,Hellhound Cuffs,Fleshfused Crushers,Bloodoath Signet,Most Regal Signet of Sire Denathrius,Macabre Sheet Music,Stone Legion Heraldry,Decadent Nathrian Shawl,Xandria's Kopis of Courage,Encrusted Canopic Lid,Tabard of the Argent Crusade,156149482,Master Builder's Shirt
Shadowghast Helm,Trailspinner Pendant,Unyielding Combatant's Pauldrons,Breastplate of Cautious Calculation,Girdle of the Soulflayer,Endlessly Gluttonous Greaves,Stoneguard Attendant's Boots,Pit Fighter's Wristguards,Fallen Templar's Gauntlets,Death God's Signet,Bloodoath Signet,Splintered Heart of Al'ar,Blood-Spattered Scale,Shroud of the Penitent,Axe of the Deadgrove,Acidslough Bulwark,,147510448,
Wing Commander's Helmet,Trailspinner Pendant,Shadowghast Pauldrons,Abdominal Securing Chestguard,Fused Bone Greatbelt,Halkias's Towering Pillars,Warboots of Ruthless Conviction,Thunderous Echo Vambraces,Distorted Construct's Gauntlets,Ritual Bone Band,Stitchflesh's Misplaced Signet,Inscrutable Quantum Device,Blood-Spattered Scale,Blighted Margrave's Cloak,Sinsmasher,Encrusted Canopic Lid,Tabard of Conquest,167456545,Precious' Ribbon
Wrathbark Greathelm,Sin Stained Pendant,Conqueror's Aegis Shoulderguards,Breastplate of Fatal Contrivances,Shadowghast Waistguard,Gormshell Greaves,Errant Crusader's Greaves,Shoulderblade Vambraces,Fleshfused Crushers,Hyperlight Band,Death God's Signet,Beating Abomination Core,Blood-Spattered Scale,Blighted Margrave's Cloak,Axe of the Deadgrove,Acidslough Bulwark,,148048710,
Wing Commander's Helmet,Trailspinner Pendant,Shadowghast Pauldrons,Breastplate of Cautious Calculation,Stoic Guardsman's Belt,Galvanized Oxxein Legguards,Errant Crusader's Greaves,Hellhound Cuffs,Distorted Construct's Gauntlets,Signet of the False Accuser,Band of the Risen Bonelord,Sinful Aspirant's Medallion,Blood-Spattered Scale,Crest of the Legionnaire General,Ascended Gladius of Glory,Sylvan Whiteshield,Orgrimmar Tabard,130317265,
Sinful Gladiator's Plate Helm,Sinful Gladiator's Necklace,Sinful Gladiator's Plate Pauldrons,Breastplate of Cautious Calculation,Shadowghast Waistguard,Legplates of Unholy Frenzy,Sinful Gladiator's Plate Warboots,Sinful Gladiator's Plate Wristguards,Distorted Construct's Gauntlets,Signet of the False Accuser,Death God's Signet,Slimy Consumptive Organ,Pulsating Stoneheart,Sinful Gladiator's Drape,Axe of the Deadgrove,Sinful Gladiator's Guard,Argent Crusader's Tabard,116739417,Fashionable Undershirt
Diadem of Imperious Desire,Sin Stained Pendant,Shadowghast Pauldrons,Abdominal Securing Chestguard,Stoic Guardsman's Belt,Gormshell Greaves,Errant Crusader's Greaves,Reality-Shatter Vambraces,Hardened Castle Crushers,Ring of Perpetual Conflict,Death God's Signet,Viscera of Coalesced Hatred,Decanter of Anima-Charged Winds,Shroud of the Penitent,Sophisticated Bonecracker,Encrusted Canopic Lid,,117557214,
Wrathbark Greathelm,Charm of Eternal Winter,Vile Butcher's Pauldrons,Breastplate of Brutal Dissonance,Stonebark Girdle,Gormshell Greaves,Muckwallow Stompers,Shadowghast Armguards,Distorted Construct's Gauntlets,Ring of Perpetual Conflict,Ritual Bone Band,Blood-Spattered Scale,Darkmoon Deck: Indomitable,Drape of Twisted Loyalties,Sophisticated Bonecracker,Acidslough Bulwark,,176149093,
Shadowghast Helm,Sin Stained Pendant,Prankster's Pauldrons,Breastplate of Otherworldly Influence,Fused Bone Greatbelt,Halkias's Towering Pillars,Errant Crusader's Greaves,Vambraces of the Depraved Warden,Fogweaver Gauntlets,Death God's Signet,Hyperlight Band,Splintered Heart of Al'ar,Blood-Spattered Scale,Dealer Xy'exa's Cape,Xandria's Kopis of Courage,Barricade of the Endless Empire,Argent Crusader's Tabard,34572441,
Wing Commander's Helmet,Sin Stained Pendant,Shadowghast Pauldrons,Breastplate of Fatal Contrivances,Girdle of the Soulflayer,Legplates of Unholy Frenzy,Stoneguard Attendant's Boots,Soldier's Stoneband Wristguards,Fallen Templar's Gauntlets,Ritualist's Treasured Ring,Ardent Sunstar Signet,Anima Field Emitter,Viscera of Coalesced Hatred,Decadent Nathrian Shawl,Engorged Worm Smasher,Barricade of the Endless Empire,,116613516,
Sinful Gladiator's Plate Helm,Trailspinner Pendant,Pauldrons of Unleashed Pride,Shadowghast Breastplate,Sinful Gladiator's Plate Greatbelt,Sinful Gladiator's Plate Wargreaves,Sinful Gladiator's Plate Warboots,Vambraces of the Depraved Warden,Sinful Gladiator's Plate Handguards,Sinful Aspirant's Ring,Sinful Gladiator's Ring,Bladedancer's Armor Kit,Inscrutable Quantum Device,Dealer Xy'exa's Cape,Gorestained Cleaver,Sinful Aspirant's Barrier,Tabard of the Ascended,243065807,
Plague Handler's Greathelm,Trailspinner Pendant,Shadowghast Pauldrons,Sapsteel Breastplate,Scarred Bloodbound Girdle,Dread Sentinel's Ebony Legguards,Warboots of Ruthless Conviction,Thunderous Echo Vambraces,Fleshfused Crushers,Fleshfused Circle,Death God's Signet,Viscera of Coalesced Hatred,Darkmoon Deck: Voracity,Cowled Batwing Cloak,Engorged Worm Smasher,Builwark of the Stone Legion,,148579723,
Darkfrost Helmet,Sinful Gladiator's Necklace,Sinful Gladiator's Plate Pauldrons,Sinful Aspirant's Plate Chestplate,Sapsteel Clasp,Halkias's Towering Pillars,Errant Crusader's Greaves,Shadowghast Armguards,Fleshfused Crushers,Most Regal Signet of Sire Denathrius,Hyperlight Band,Splintered Heart of Al'ar,Darkmoon Deck: Indomitable,Cowled Batwing Cloak,Axe of the Deadgrove,Acidslough Bulwark,,208990724,
Wing Commander's Helmet,Trailspinner Pendant,Shadowghast Pauldrons,Breastplate of Fatal Contrivances,Stonebark Girdle,Sapsteel Legplates,Sabatons of the Rushing Juggernaut,Thunderous Echo Vambraces,Hardened Castle Crushers,Death God's Signet,Ritualist's Treasured Ring,Anima Field Emitter,Inscrutable Quantum Device,Mantle of Manifest Sins,Engorged Worm Smasher,Barricade of the Endless Empire,,201277080,
Shadowghast Helm,Sin Stained Pendant,Unyielding Combatant's Pauldrons,Breastplate of Otherworldly Influence,Binding of Warped Desires,Halkias's Towering Pillars,Sinful Aspirant's Plate Warboots,Thunderous Echo Vambraces,Fleshfused Crushers,Ritual Commander's Ring,Ritual Bone Band,Wakener's Frond,Anima Field Emitter,Cowled Batwing Cloak,Sophisticated Bonecracker,Barricade of the Endless Empire,Stormwind Tabard,45422692,Antiseptic-Soaked Dressing
Wing Commander's Helmet,Trailspinner Pendant,Shadowghast Pauldrons,Breastplate of Cautious Calculation,Stoic Guardsman's Belt,Halkias's Towering Pillars,Sabatons of the Rushing Juggernaut,Reality-Shatter Vambraces,Fleshfused Crushers,Hyperlight Band,Ritual Bone Band,Blood-Spattered Scale,Gluttonous Spike,Crest of the Legionnaire General,Axe of the Deadgrove,Barricade of the Endless Empire,,17484420,
Wing Commander's Helmet,Sinful Gladiator's Necklace,Sinful Gladiator's Plate Pauldrons,Breastplate of Cautious Calculation,Sinful Gladiator's Plate Greatbelt,Shadowghast Greaves,Dynamo Doomstompers,Pit Fighter's Wristguards,Hardened Castle Crushers,Arachnid Cipher Ring,Stitchflesh's Misplaced Signet,Inscrutable Quantum Device,Stone Legion Heraldry,Sinful Gladiator's Cloak,Axe of the Deadgrove,Acidslough Bulwark,Orgrimmar Tabard,158578480,
Darkfrost Helmet,Azure-Venom Choker,Prankster's Pauldrons,Breastplate of Otherworldly Influence,Girdle of the Soulflayer,Halkias's Towering Pillars,Dynamo Doomstompers,Shadowghast Armguards,Hardened Castle Crushers,Signet of the False Accuser,Ritual Bone Band,Macabre Sheet Music,Pulsating Stoneheart,Blighted Margrave's Cloak,Sinful Gladiator's Splitter,Encrusted Canopic Lid,,149346593,
Sinful Aspirant's Plate Helm,Sinful Gladiator's Necklace,Vile Butcher's Pauldrons,Sinful Gladiator's Plate Chestguard,Binding of Warped Desires,Halkias's Towering Pillars,Shadowghast Sabatons,Pit Fighter's Wristguards,Distorted Construct's Gauntlets,Sinful Gladiator's Ring,Stitchflesh's Misplaced Signet,Sinful Aspirant's Medallion,Sinful Gladiator's Insignia of Alacrity,Dealer Xy'exa's Cape,Sophisticated Bonecracker,Sinful Gladiator's Guard,Stormwind Tabard,165454325,
Shadowghast Helm,Charm of Eternal Winter,Epaulettes of Overwhelming Force,Breastplate of Cautious Calculation,Fused Bone Greatbelt,Legplates of Unholy Frenzy,Stoneguard Attendant's Boots,Pit Fighter's Wristguards,Desm's Fistos,Stitchflesh's Misplaced Signet,Ritualist's Treasured Ring,Blood-Spattered Scale,Splintered Heart of Al'ar,Cowled Batwing Cloak,Supercollider,Bulwark of the Unbowed,Tabard of Brute Force,81938986,
Dread Sentinel's Ebony Headgear,Sin Stained Pendant,Shadowghast Pauldrons,Rampaging Giant's Chestplate,Stoic Guardsman's Belt,Galvanized Oxxein Legguards,Muckwallow Stompers,Hellhound Cuffs,Fleshfused Crushers,Ritual Bone Band,Hyperlight Band,Gluttonous Spike,Darkmoon Deck: Indomitable,Blighted Margrave's Cloak,Dreamsong Saber,Duskwarder Shield,Tabard of the 7th Legion,143344946,Stylish Black Shirt
Wing Commander's Helmet,Sinful Gladiator's Pendant,Shadowghast Pauldrons,Sinful Gladiator's Plate Chestguard,Fused Bone Greatbelt,Selfless Collector's Legguards,Errant Crusader's Greaves,Hellhound Cuffs,Hardened Castle Crushers,Ardent Sunstar Signet,Twisted Witherroot Band,Sinful Gladiator's Badge of Ferocity,Stone Legion Heraldry,Drape of Twisted Loyalties,Gorestained Cleaver,Barricade of the Endless Empire,,243825141,
Wing Commander's Helmet,Azure-Venom Choker,Prankster's Pauldrons,Breastplate of Brutal Dissonance,Girdle of the Soulflayer,Shadowghast Greaves,Stoneguard Attendant's Boots,Thunderous Echo Vambraces,Colossal Plate Gauntlets,Band of the Risen Bonelord,Stitchflesh's Misplaced Signet,Pulsating Stoneheart,Sanguine Vintage,Cowled Batwing Cloak,Supercollider,Acidslough Bulwark,,114631523,
Darkfrost Helmet,Azure-Venom Choker,Shadowghast Pauldrons,Breastplate of Fatal Contrivances,Binding of Warped Desires,Ceremonial Parade Legguards,Errant Crusader's Greaves,Vambraces of the Depraved Warden,Distorted Construct's Gauntlets,Stitchflesh's Misplaced Signet,Hyperlight Band,Blood-Spattered Scale,Darkmoon Deck: Indomitable,Shroud of the Penitent,Engorged Worm Smasher,Encrusted Canopic Lid,,116762480,
Wing Commander's Helmet,Charm of Eternal Winter,Epaulettes of Overwhelming Force,Breastplate of Fatal Contrivances,Girdle of the Soulflayer,Gormshell Greaves,Warboots of Ruthless Conviction,Reality-Shatter Vambraces,Fleshfused Crushers,Arachnid Cipher Ring,Shadowghast Ring,Anima Field Emitter,Slimy Consumptive Organ,Mantle of Manifest Sins,Supercollider,Acidslough Bulwark,Champions of Azeroth Tabard,247894298,
Darkfrost Helmet,Sin Stained Pendant,Prankster's Pauldrons,Rampaging Giant's Chestplate,Girdle of the Soulflayer,Halkias's Towering Pillars,Errant Crusader's Greaves,Shadowghast Armguards,Colossal Plate Gauntlets,Stitchflesh's Misplaced Signet,Sinful Aspirant's Ring,Blood-Spattered Scale,Splintered Heart of Al'ar,Cowled Batwing Cloak,Sophisticated Bonecracker,Builwark of the Stone Legion,,181972979,
Darkfrost Helmet,Charm of Eternal Winter,Shadowghast Pauldrons,Breastplate of Otherworldly Influence,Girdle of the Soulflayer,Gormshell Greaves,Sinful Aspirant's Plate Warboots,Soldier's Stoneband Wristguards,Distorted Construct's Gauntlets,Ritualist's Treasured Ring,Ritual Bone Band,Stone Legion Heraldry,Sanguine Vintage,Cowled Batwing Cloak,Sinful Gladiator's Xiphos,Barricade of the Endless Empire,Bilgewater Cartel Tabard,172711572,White Tuxedo Shirt
Wing Commander's Helmet,Charm of Eternal Winter,Shadowghast Pauldrons,Abdominal Securing Chestguard,Fused Bone Greatbelt,Galvanized Oxxein Legguards,Stoneguard Attendant's Boots,Bracers of the Tenebrous Retinue,Guilewind Stone Talons,Ritualist's Treasured Ring,Death God's Signet,Anima Field Emitter,Blood-Spattered Scale,Dealer Xy'exa's Cape,Axe of the Deadgrove,Barricade of the Endless Empire,,90623563,
Plague Handler's Greathelm,Noble's Birthstone Pendant,Shadowghast Pauldrons,Abdominal Securing Chestguard,Stonebark Girdle,Gormshell Greaves,Dynamo Doomstompers,Pit Fighter's Wristguards,Distorted Construct's Gauntlets,Twisted Witherroot Band,Arachnid Cipher Ring,Blood-Spattered Scale,Decanter of Anima-Charged Winds,Drape of Twisted Loyalties,Supercollider,Acidslough Bulwark,,154926847,
Wrathbark Greathelm,Charm of Eternal Winter,Vile Butcher's Pauldrons,Breastplate of Fatal Contrivances,Stoic Guardsman's Belt,Shadowghast Greaves,Baetheas' Ironclad Warboots,Pit Fighter's Wristguards,Fallen Templar's Gauntlets,Stitchflesh's Misplaced Signet,Ritualist's Treasured Ring,Bargast's Leash,Stone Legion Heraldry,Decadent Nathrian Shawl,Axe of the Deadgrove,Elysian Sentinel's Aegis,Renowned Guild Tabard,92872063,
Darkfrost Helmet,Sin Stained Pendant,Shadowghast Pauldrons,Breastplate of Cautious Calculation,Scarred Bloodbound Girdle,Gormshell Greaves,Sabatons of the Rushing Juggernaut,Reality-Shatter Vambraces,Distorted Construct's Gauntlets,Band of the Risen Bonelord,Stitchflesh's Misplaced Signet,Inscrutable Quantum Device,Splintered Heart of Al'ar,Blighted Margrave's Cloak,Engorged Worm Smasher,Barricade of the Endless Empire,,154753123,
Shadowghast Helm,Charm of Eternal Winter,Unyielding Combatant's Pauldrons,Breastplate of Otherworldly Influence,Stoic Guardsman's Belt,Halkias's Towering Pillars,Errant Crusader's Greaves,Thunderous Echo Vambraces,Distorted Construct's Gauntlets,Signet of the False Accuser,Fleshfused Circle,Decanter of Anima-Charged Winds,Macabre Sheet Music,Mantle of Manifest Sins,Sophisticated Bonecracker,Barricade of the Endless Empire,Renowned Guild Tabard,170337490,Antiseptic-Soaked Dressing
Plague Handler's Greathelm,Azure-Venom Choker,Selfless Collector's Spaulders,Selfless Collector's Chestplate,Scarred Bloodbound Girdle,Ceremonial Parade Legguards,Dynamo Doomstompers,Reality-Shatter Vambraces,Guilewind Stone Talons,Ritualist's Treasured Ring,Shadowghast Ring,Viscera of Coalesced Hatred,Anima Field Emitter,Drape of Twisted Loyalties,Duskwarder Scimitar,Elysian Sentinel's Aegis,Tabard of the Ascended,176460242,
