Head,Neck,Shoulders,Shirt,Chest,Waist,Legs,Feet,Wrist,Hands,Ring 1,Ring 2,Trinket 1,Trinket 2,Back,Main Hand,Off Hand,character.id,Tabard
Plague Handler's Greathelm,Sin Stained Pendant,Prankster's Pauldrons,,Breastplate of Brutal Dissonance,Girdle of the Soulflayer,Halkias's Towering Pillars,Valinor's Ground Pounders,Pit Fighter's Wristguards,Distorted Construct's Gauntlets,Shadowghast Ring,Death God's Signet,Sinful Gladiator's Insignia of Alacrity,Anima Field Emitter,Cowled Batwing Cloak,Sophisticated Bonecracker,Barricade of the Endless Empire,245828891,
Sinful Gladiator's Plate Helm,Sinful Gladiator's Necklace,Epaulettes of Overwhelming Force,Precious' Ribbon,Sinful Gladiator's Plate Chestguard,Sinful Gladiator's Plate Greatbelt,Sinful Gladiator's Plate Legguards,Stoneguard Attendant's Boots,Sinful Gladiator's Plate Vambraces,Colossal Plate Gauntlets,Shadowghast Ring,Sinful Gladiator's Ring,Sinful Gladiator's Insignia of Alacrity,Sinful Aspirant's Medallion,Sinful Gladiator's Drape,Sinful Gladiator's Hacker,Sinful Gladiator's Guard,180634966,Tabard of the Lightbringer
Darkfrost Helmet,Azure-Venom Choker,Sinful Gladiator's Plate Pauldrons,Common Gray Shirt,Abdominal Securing Chestguard,Shadowghast Waistguard,Gormshell Greaves,Sinful Gladiator's Plate Warboots,Reality-Shatter Vambraces,Fleshfused Crushers,Ritual Commander's Ring,Sinful Gladiator's Ring,Blood-Spattered Scale,Splintered Heart of Al'ar,Blighted Margrave's Cloak,Sophisticated Bonecracker,Acidslough Bulwark,241481850,Tabard of the Lightbringer
Wrathbark Greathelm,Sin Stained Pendant,Prankster's Pauldrons,,Abdominal Securing Chestguard,Shadowghast Waistguard,Halkias's Towering Pillars,Warboots of Ruthless Conviction,Sinful Gladiator's Plate Vambraces,Fleshfused Crushers,Signet of the False Accuser,Stitchflesh's Misplaced Signet,Blood-Spattered Scale,Sinful Aspirant's Insignia of Alacrity,Dealer Xy'exa's Cape,Supercollider,Acidslough Bulwark,200315419,
Darkfrost Helmet,Sin Stained Pendant,Shadowghast Pauldrons,Artisan Member's Shirt,Rampaging Giant's Chestplate,Ember-Scarred Girdle,Gormshell Greaves,Errant Crusader's Greaves,Thunderous Echo Vambraces,Guilewind Stone Talons,Stitchflesh's Misplaced Signet,Death God's Signet,Blood-Spattered Scale,Anima Field Emitter,Drape of Twisted Loyalties,Engorged Worm Smasher,Encrusted Canopic Lid,246997567,
Shadowghast Helm,Sin Stained Pendant,Prankster's Pauldrons,Precious' Ribbon,Tharatos' Charred Chestplate,Scarred Bloodbound Girdle,Galvanized Oxxein Legguards,Stoneguard Attendant's Boots,Thunderous Echo Vambraces,Fallen Templar's Gauntlets,Signet of the False Accuser,Stitchflesh's Misplaced Signet,Pulsating Stoneheart,Viscera of Coalesced Hatred,Cloak of Enveloping Manifestations,Engorged Worm Smasher,Acidslough Bulwark,115920321,Tabard of the 7th Legion
Wing Commander's Helmet,Sin Stained Pendant,Unyielding Combatant's Pauldrons,,Breastplate of Fatal Contrivances,Shadowghast Waistguard,Gormshell Greaves,Muckwallow Stompers,Thunderous Echo Vambraces,Guilewind Stone Talons,Bloodoath Signet,Stitchflesh's Misplaced Signet,Slimy Consumptive Organ,Blood-Spattered Scale,Cloak of Enveloping Manifestations,Engorged Worm Smasher,Stonewrought Gargoyles Barrier,170717326,Tabard of the Argent Crusade
Diadem of Imperious Desire,Sin Stained Pendant,Shadowghast Pauldrons,,Breastplate of Cautious Calculation,Stoic Guardsman's Belt,Gormshell Greaves,Errant Crusader's Greaves,Soldier's Stoneband Wristguards,Colossal Plate Gauntlets,Ritual Bone Band,Death God's Signet,Sinful Aspirant's Insignia of Alacrity,Blood-Spattered Scale,Cowled Batwing Cloak,Sophisticated Bonecracker,Barricade of the Endless Empire,245744753,Renowned Guild Tabard
Shadowghast Helm,Sin Stained Pendant,Unyielding Combatant's Pauldrons,,Breastplate of Brutal Dissonance,Girdle of the Soulflayer,Ceremonial Parade Legguards,Errant Crusader's Greaves,Thunderous Echo Vambraces,Fleshfused Crushers,Ritual Bone Band,Signet of the False Accuser,Blood-Spattered Scale,Sinful Gladiator's Insignia of Alacrity,Blighted Margrave's Cloak,Axe of the Deadgrove,Barricade of the Endless Empire,196045964,
Wing Commander's Helmet,Trailspinner Pendant,Shadowghast Pauldrons,Red Linen Shirt,Breastplate of Fatal Contrivances,Girdle of the Soulflayer,Gormshell Greaves,Muckwallow Stompers,Reality-Shatter Vambraces,Fogweaver Gauntlets,Bloodoath Signet,Death God's Signet,Phial of Putrefaction,Inscrutable Quantum Device,Drape of Twisted Loyalties,Sophisticated Bonecracker,Acidslough Bulwark,178770969,Tabard of Summer Flames
Sapsteel Warhelm,Sin Stained Pendant,Shadowghast Pauldrons,,Breastplate of Otherworldly Influence,Stoic Guardsman's Belt,Halkias's Towering Pillars,Errant Crusader's Greaves,Pit Fighter's Wristguards,Hardened Castle Crushers,Signet of the False Accuser,Death God's Signet,Sinful Aspirant's Badge of Ferocity,Inscrutable Quantum Device,Cowled Batwing Cloak,Axe of the Deadgrove,Acidslough Bulwark,147263387,
Wrathbark Greathelm,Charm of Eternal Winter,Shadowghast Pauldrons,,Breastplate of Fatal Contrivances,Waistguard of Expurged Anguish,Gormshell Greaves,Sabatons of the Rushing Juggernaut,Soldier's Stoneband Wristguards,Guilewind Stone Talons,Bloodoath Signet,Ritualist's Treasured Ring,Blood-Spattered Scale,Gluttonous Spike,Blighted Margrave's Cloak,Engorged Worm Smasher,Acidslough Bulwark,157856011,Renowned Guild Tabard
Iron Riveted War Helm,Sin Stained Pendant,Shadowghast Pauldrons,,Rampaging Giant's Chestplate,Girdle of the Soulflayer,Halkias's Towering Pillars,Sabatons of the Rushing Juggernaut,Vambraces of the Depraved Warden,Fleshfused Crushers,Band of the Risen Bonelord,Stitchflesh's Misplaced Signet,Pulsating Stoneheart,Inscrutable Quantum Device,Blighted Margrave's Cloak,Axe of the Deadgrove,Pulsing Spellshield,241722119,
Wrathbark Greathelm,Trailspinner Pendant,Shadowghast Pauldrons,Fashionable Undershirt,Breastplate of Brutal Dissonance,Fused Bone Greatbelt,Legplates of Unholy Frenzy,Dynamo Doomstompers,Thunderous Echo Vambraces,Fogweaver Gauntlets,Signet of the False Accuser,Death God's Signet,Bladedancer's Armor Kit,Splintered Heart of Al'ar,Dealer Xy'exa's Cape,Sinsmasher,Encrusted Canopic Lid,226355394,
Wrathbark Greathelm,Trailspinner Pendant,Shadowghast Pauldrons,,Breastplate of Otherworldly Influence,Ember-Scarred Girdle,Halkias's Towering Pillars,Dynamo Doomstompers,Vambraces of the Depraved Warden,Fleshfused Crushers,Band of the Risen Bonelord,Bloodoath Signet,Overwhelming Power Crystal,Splintered Heart of Al'ar,Cloak of Enveloping Manifestations,Axe of the Deadgrove,Acidslough Bulwark,166993169,Green Trophy Tabard of the Illidari
Diadem of Imperious Desire,Trailspinner Pendant,Epaulettes of Overwhelming Force,,Breastplate of Cautious Calculation,Shadowghast Waistguard,Endlessly Gluttonous Greaves,Muckwallow Stompers,Pit Fighter's Wristguards,Guilewind Stone Talons,Most Regal Signet of Sire Denathrius,Ring of Perpetual Conflict,Macabre Sheet Music,Splintered Heart of Al'ar,Dealer Xy'exa's Cape,Axe of the Deadgrove,Acidslough Bulwark,175416231,Tabard of the Achiever
Wing Commander's Helmet,Sin Stained Pendant,Shadowghast Pauldrons,,Abdominal Securing Chestguard,Fused Bone Greatbelt,Halkias's Towering Pillars,Errant Crusader's Greaves,Hellhound Cuffs,Guilewind Stone Talons,Ardent Sunstar Signet,Ritual Bone Band,Viscera of Coalesced Hatred,Darkmoon Deck: Indomitable,Cowled Batwing Cloak,Supercollider,Barricade of the Endless Empire,75791424,
Wing Commander's Helmet,Muckformed Chain Choker,Vile Butcher's Pauldrons,,Abdominal Securing Chestguard,Shadowghast Waistguard,Halkias's Towering Pillars,Sabatons of the Rushing Juggernaut,Vambraces of the Depraved Warden,Fogweaver Gauntlets,Entwined Gorger Tendril,Ritual Bone Band,Blood-Spattered Scale,Pulsating Stoneheart,Drape of Twisted Loyalties,Axe of the Deadgrove,Barricade of the Endless Empire,161864854,
Wrathbark Greathelm,Sin Stained Pendant,Shadowghast Pauldrons,,Abdominal Securing Chestguard,Binding of Warped Desires,Galvanized Oxxein Legguards,Dynamo Doomstompers,Sinful Gladiator's Plate Vambraces,Hardened Castle Crushers,Death God's Signet,Band of the Risen Bonelord,Gluttonous Spike,Sinful Aspirant's Badge of Ferocity,Drape of Twisted Loyalties,Sophisticated Bonecracker,Sinful Gladiator's Guard,200338301,Thunder Bluff Tabard
Diadem of Imperious Desire,Trailspinner Pendant,Prankster's Pauldrons,Precious' Ribbon,Rampaging Giant's Chestplate,Shadowghast Waistguard,Gormshell Greaves,Warboots of Ruthless Conviction,Pit Fighter's Wristguards,Fogweaver Gauntlets,Ardent Sunstar Signet,Fleshfused Circle,Gluttonous Spike,Splintered Heart of Al'ar,Cloak of Enveloping Manifestations,Sophisticated Bonecracker,Acidslough Bulwark,176370068,
Wrathbark Greathelm,Azure-Venom Choker,Shadowghast Pauldrons,Amber Filigreed Shirt,Breastplate of Brutal Dissonance,Waistguard of Expurged Anguish,Gormshell Greaves,Errant Crusader's Greaves,Reality-Shatter Vambraces,Fleshfused Crushers,Stitchflesh's Misplaced Signet,Death God's Signet,Blood-Spattered Scale,Splintered Heart of Al'ar,Cloak of Enveloping Manifestations,Engorged Worm Smasher,Acidslough Bulwark,240803000,Stormwind Tabard
Shadowghast Helm,Trailspinner Pendant,Unyielding Combatant's Pauldrons,,Breastplate of Cautious Calculation,Fused Bone Greatbelt,Gormshell Greaves,Sabatons of the Rushing Juggernaut,Thunderous Echo Vambraces,Fogweaver Gauntlets,Ritual Bone Band,Stitchflesh's Misplaced Signet,Blood-Spattered Scale,Decanter of Anima-Charged Winds,Blighted Margrave's Cloak,Engorged Worm Smasher,Encrusted Canopic Lid,209919859,Silvermoon City Tabard
Wing Commander's Helmet,Azure-Venom Choker,Shadowghast Pauldrons,,Breastplate of Fatal Contrivances,Waistguard of Expurged Anguish,Halkias's Towering Pillars,Muckwallow Stompers,Vambraces of the Depraved Warden,Fleshfused Crushers,Ritual Bone Band,Most Regal Signet of Sire Denathrius,Blood-Spattered Scale,Bargast's Leash,Mantle of Manifest Sins,Axe of the Deadgrove,Barricade of the Endless Empire,201516298,
Wing Commander's Helmet,Charm of Eternal Winter,Shadowghast Pauldrons,Precious' Ribbon,Breastplate of Cautious Calculation,Sinful Gladiator's Plate Greatbelt,Sinful Aspirant's Plate Legguards,Sinful Aspirant's Plate Warboots,Sinful Gladiator's Plate Vambraces,Fleshfused Crushers,Sinful Gladiator's Ring,Death God's Signet,Blood-Spattered Scale,Viscera of Coalesced Hatred,Sinful Gladiator's Drape,Sinful Gladiator's Xiphos,Acidslough Bulwark,199922005,Tabard of the Lightbringer
Casque of the Path,Azure-Venom Choker,Pauldrons of Unleashed Pride,,Breastplate of Brutal Dissonance,Shadowghast Waistguard,Endlessly Gluttonous Greaves,Errant Crusader's Greaves,Vambraces of the Depraved Warden,Colossal Plate Gauntlets,Ring of Perpetual Conflict,Ritual Bone Band,Decanter of Anima-Charged Winds,Stone Legion Heraldry,Blighted Margrave's Cloak,Engorged Worm Smasher,Barricade of the Endless Empire,176027966,
Shadowghast Helm,Sinful Gladiator's Necklace,Unyielding Combatant's Pauldrons,Fashionable Undershirt,Abdominal Securing Chestguard,Binding of Warped Desires,Gormshell Greaves,Dynamo Doomstompers,Reality-Shatter Vambraces,Fogweaver Gauntlets,Twisted Witherroot Band,Band of the Risen Bonelord,Blood-Spattered Scale,Splintered Heart of Al'ar,Mantle of Manifest Sins,Sophisticated Bonecracker,Elysian Sentinel's Aegis,238652985,Tabard of Ramkahen
Shadowghast Helm,Sin Stained Pendant,Vile Butcher's Pauldrons,Fashionable Undershirt,Abdominal Securing Chestguard,Girdle of the Soulflayer,Frostplate Greaves,Errant Crusader's Greaves,Queensguard Vambraces,Queensguard Gauntlets,Sinful Gladiator's Ring,Stitchflesh's Misplaced Signet,Blood-Spattered Scale,Anima Field Emitter,Drape of the Lithe,Sinsmasher,Sinful Gladiator's Bulwark,241439269,Theramore Tabard
Shadowghast Helm,Trailspinner Pendant,Sinful Gladiator's Plate Pauldrons,,Breastplate of Brutal Dissonance,Girdle of the Soulflayer,Gormshell Greaves,Sinful Gladiator's Plate Warboots,Vambraces of the Depraved Warden,Fogweaver Gauntlets,Ritual Bone Band,Band of the Risen Bonelord,Sinful Gladiator's Medallion,Gluttonous Spike,Drape of Twisted Loyalties,Sophisticated Bonecracker,Acidslough Bulwark,240572046,
Wrathbark Greathelm,Charm of Eternal Winter,Pauldrons of Unleashed Pride,,Abdominal Securing Chestguard,Fused Bone Greatbelt,Gormshell Greaves,Errant Crusader's Greaves,Shoulderblade Vambraces,Fleshfused Crushers,Stitchflesh's Misplaced Signet,Shadowghast Ring,Blood-Spattered Scale,Splintered Heart of Al'ar,Blighted Margrave's Cloak,Sinsmasher,Barricade of the Endless Empire,188444787,
Plague Handler's Greathelm,Azure-Venom Choker,Epaulettes of Overwhelming Force,,Rampaging Giant's Chestplate,Stonebark Girdle,Galvanized Oxxein Legguards,Errant Crusader's Greaves,Selfless Collector's Wristguards,Distorted Construct's Gauntlets,Leafed Banewood Band,Shadowghast Ring,Master Duelist's Chit,Bladedancer's Armor Kit,Selfless Collector's Greatcloak,Plague-Etched Hacker,Duskwarder Shield,208477090,Stormwind Tabard
Casque of the Path,Reinforced High Collar,Shadowghast Pauldrons,,Chestplate of the March Warden,Stonebark Girdle,Amber-Plated Legguards,Sabatons of the Rushing Juggernaut,Thunderous Echo Vambraces,Guilewind Stone Talons,Hyperlight Band,Death God's Signet,Blood-Spattered Scale,Gluttonous Spike,Dealer Xy'exa's Cape,Sinsmasher,Elysian Sentinel's Aegis,151171140,
Wrathbark Greathelm,Azure-Venom Choker,Unyielding Combatant's Pauldrons,Fashionable Undershirt,Rampaging Giant's Chestplate,Stonebark Girdle,Legplates of Unholy Frenzy,Dynamo Doomstompers,Shoulderblade Vambraces,Fogweaver Gauntlets,Ritualist's Treasured Ring,Bloodoath Signet,Instructor's Divine Bell,Viscera of Coalesced Hatred,Grim-Veiled Cape,Gorestained Cleaver,Chyrus's Crest of Hope,60203641,
Shadowghast Helm,Muckformed Chain Choker,Tabone's Branded Pauldrons,Precious' Ribbon,Breastplate of Fatal Contrivances,Fused Bone Greatbelt,Halkias's Towering Pillars,Bladesworn Harbinger's Stompers,Thunderous Echo Vambraces,Desm's Fistos,Death God's Signet,Dominance Guard's Band,Blood-Spattered Scale,Splintered Heart of Al'ar,Drape of Twisted Loyalties,Sinsmasher,Sylvan Whiteshield,23978057,
Darkfrost Helmet,Sin Stained Pendant,Epaulettes of Overwhelming Force,Artisan Officer's Shirt,Breastplate of Otherworldly Influence,Shadowghast Waistguard,Gormshell Greaves,Valinor's Ground Pounders,Pit Fighter's Wristguards,Fleshfused Crushers,Bloodoath Signet,Ritual Commander's Ring,Blood-Spattered Scale,Bladedancer's Armor Kit,Blighted Margrave's Cloak,Supercollider,Acidslough Bulwark,149422450,Tabard of the Lightbringer
Diadem of Imperious Desire,Charm of Eternal Winter,Unyielding Combatant's Pauldrons,,Selfless Collector's Chestplate,Shadowghast Waistguard,Selfless Collector's Legguards,Errant Crusader's Greaves,Selfless Collector's Wristguards,Fleshfused Crushers,Entwined Gorger Tendril,Ritual Commander's Ring,Pulsating Stoneheart,Anima Field Emitter,Crest of the Legionnaire General,Axe of the Deadgrove,Acidslough Bulwark,142361663,
Wrathbark Greathelm,Sin Stained Pendant,Unyielding Combatant's Pauldrons,,Breastplate of Otherworldly Influence,Shadowghast Waistguard,Endlessly Gluttonous Greaves,Errant Crusader's Greaves,Sinful Gladiator's Plate Vambraces,Dread Sentinel's Ebony Grips,Ritualist's Treasured Ring,Ritual Commander's Ring,Inscrutable Quantum Device,Sanguine Vintage,Crest of the Legionnaire General,Klontzas' Precise Pummeler,Builwark of the Stone Legion,173070077,
Wrathbark Greathelm,Azure-Venom Choker,Epaulettes of Overwhelming Force,,Breastplate of Fatal Contrivances,Stoic Guardsman's Belt,Gormshell Greaves,Errant Crusader's Greaves,Hellhound Cuffs,Fallen Templar's Gauntlets,Shadowghast Ring,Twisted Witherroot Band,Overwhelming Power Crystal,Blood-Spattered Scale,Blighted Margrave's Cloak,Sinful Gladiator's Xiphos,Barricade of the Endless Empire,164445574,
Shadowghast Helm,Trailspinner Pendant,Unyielding Combatant's Pauldrons,,Breastplate of Cautious Calculation,Girdle of the Soulflayer,Endlessly Gluttonous Greaves,Stoneguard Attendant's Boots,Pit Fighter's Wristguards,Fallen Templar's Gauntlets,Death God's Signet,Bloodoath Signet,Splintered Heart of Al'ar,Blood-Spattered Scale,Shroud of the Penitent,Axe of the Deadgrove,Acidslough Bulwark,147510448,
Darkfrost Helmet,Sin Stained Pendant,Shadowghast Pauldrons,,Breastplate of Otherworldly Influence,Scarred Bloodbound Girdle,Gormshell Greaves,Dynamo Doomstompers,Pit Fighter's Wristguards,Hardened Castle Crushers,Stitchflesh's Misplaced Signet,Ritual Bone Band,Memory of Past Sins,Blood-Spattered Scale,Blighted Margrave's Cloak,Engorged Worm Smasher,Sylvan Whiteshield,245719974,
Plague Handler's Greathelm,Sin Stained Pendant,Shadowghast Pauldrons,Precious' Ribbon,Abdominal Securing Chestguard,Scarred Bloodbound Girdle,Endlessly Gluttonous Greaves,Errant Crusader's Greaves,Thunderous Echo Vambraces,Fleshfused Crushers,Ritual Commander's Ring,Entwined Gorger Tendril,Anima Field Emitter,Overwhelming Power Crystal,Blighted Margrave's Cloak,Gorestained Cleaver,Acidslough Bulwark,197079708,Horde Tabard
Wrathbark Greathelm,Trailspinner Pendant,Shadowghast Pauldrons,,Breastplate of Fatal Contrivances,Fused Bone Greatbelt,Halkias's Towering Pillars,Warboots of Ruthless Conviction,Bracers of the Tenebrous Retinue,Guilewind Stone Talons,Hyperlight Band,Death God's Signet,Slimy Consumptive Organ,Blood-Spattered Scale,Blighted Margrave's Cloak,Axe of the Deadgrove,Encrusted Canopic Lid,173771014,Orgrimmar Tabard
Shadowghast Helm,Noble's Birthstone Pendant,Prankster's Pauldrons,Sharkskin Tunic,Sinful Gladiator's Plate Chestplate,Girdle of the Soulflayer,Gormshell Greaves,Dynamo Doomstompers,Sinful Gladiator's Plate Vambraces,Fogweaver Gauntlets,Death God's Signet,Stitchflesh's Misplaced Signet,Anima Field Emitter,Blood-Spattered Scale,Sinful Gladiator's Drape,Sophisticated Bonecracker,Acidslough Bulwark,241026765,
Shadowghast Helm,Charm of Eternal Winter,Epaulettes of Overwhelming Force,,Breastplate of Cautious Calculation,Stoic Guardsman's Belt,Galvanized Oxxein Legguards,Dynamo Doomstompers,Pit Fighter's Wristguards,Fogweaver Gauntlets,Band of the Risen Bonelord,Signet of the False Accuser,Overwhelming Power Crystal,Sanguine Vintage,Cowled Batwing Cloak,Gorestained Cleaver,Elysian Sentinel's Aegis,194270639,
Shadowghast Helm,Trailspinner Pendant,Prankster's Pauldrons,,Breastplate of Cautious Calculation,Girdle of the Soulflayer,Galvanized Oxxein Legguards,Errant Crusader's Greaves,Hellhound Cuffs,Fleshfused Crushers,Ritualist's Treasured Ring,Fleshfused Circle,Inscrutable Quantum Device,Splintered Heart of Al'ar,Cowled Batwing Cloak,Sophisticated Bonecracker,Elysian Sentinel's Aegis,176011005,
Shadowghast Helm,Muckformed Chain Choker,Prankster's Pauldrons,,Breastplate of Brutal Dissonance,Waistguard of Expurged Anguish,Gormshell Greaves,Stoneguard Attendant's Boots,Pit Fighter's Wristguards,Distorted Construct's Gauntlets,Ritual Bone Band,Fleshfused Circle,Blood-Spattered Scale,Anima Field Emitter,Dealer Xy'exa's Cape,Axe of the Deadgrove,Kudebeh's Remarkable Targe,169766240,
Wrathbark Greathelm,Sin Stained Pendant,Shadowghast Pauldrons,,Breastplate of Otherworldly Influence,Girdle of the Soulflayer,Galvanized Oxxein Legguards,Muckwallow Stompers,Sinful Gladiator's Plate Vambraces,Distorted Construct's Gauntlets,Fleshfused Circle,Ritual Commander's Ring,Anima Field Emitter,Bargast's Leash,Cloak of Enveloping Manifestations,Sophisticated Bonecracker,Encrusted Canopic Lid,241480812,
Wing Commander's Helmet,Noble's Birthstone Pendant,Shadowghast Pauldrons,,Breastplate of Cautious Calculation,Stoic Guardsman's Belt,Gormshell Greaves,Dynamo Doomstompers,Thunderous Echo Vambraces,Sinful Gladiator's Plate Handguards,Fleshfused Circle,Entwined Gorger Tendril,Darkmoon Deck: Indomitable,Bladedancer's Armor Kit,Dealer Xy'exa's Cape,Sinsmasher,Stonewrought Gargoyles Barrier,169765121,
Sinful Gladiator's Plate Helm,Trailspinner Pendant,Pauldrons of Unleashed Pride,,Shadowghast Breastplate,Sinful Gladiator's Plate Greatbelt,Sinful Gladiator's Plate Wargreaves,Sinful Gladiator's Plate Warboots,Vambraces of the Depraved Warden,Sinful Gladiator's Plate Handguards,Sinful Aspirant's Ring,Sinful Gladiator's Ring,Bladedancer's Armor Kit,Inscrutable Quantum Device,Dealer Xy'exa's Cape,Gorestained Cleaver,Sinful Aspirant's Barrier,243065807,Tabard of the Ascended
Shadowghast Helm,Noble's Birthstone Pendant,Razorscale Shoulderguards,,Rampaging Giant's Chestplate,Waistguard of Expurged Anguish,Ceremonial Parade Legguards,Dynamo Doomstompers,Vambraces of the Depraved Warden,Fallen Templar's Gauntlets,Ritual Bone Band,Hyperlight Band,Splintered Heart of Al'ar,Blood-Spattered Scale,Cowled Batwing Cloak,Ascended Gladius of Glory,Sinful Gladiator's Redoubt,174761785,
Darkfrost Helmet,Sin Stained Pendant,Shadowghast Pauldrons,Fashionable Undershirt,Breastplate of Brutal Dissonance,Sinful Gladiator's Plate Greatbelt,Legplates of Unholy Frenzy,Muckwallow Stompers,Vambraces of the Depraved Warden,Fleshfused Crushers,Ritual Commander's Ring,Stitchflesh's Misplaced Signet,Stone Legion Heraldry,Inscrutable Quantum Device,Shroud of the Penitent,Sinsmasher,Encrusted Canopic Lid,72667609,Renowned Guild Tabard
Wing Commander's Helmet,Sin Stained Pendant,Shadowghast Pauldrons,Red Linen Shirt,Abdominal Securing Chestguard,Fused Bone Greatbelt,Gormshell Greaves,Warboots of Ruthless Conviction,Vambraces of the Depraved Warden,Fogweaver Gauntlets,Stitchflesh's Misplaced Signet,Death God's Signet,Pulsating Stoneheart,Decanter of Anima-Charged Winds,Drape of Twisted Loyalties,Engorged Worm Smasher,Barricade of the Endless Empire,164840523,
