Head,Neck,Shoulders,Shirt,Chest,Waist,Legs,Feet,Wrist,Hands,Ring 1,Ring 2,Trinket 1,Trinket 2,Back,Main Hand,Off Hand,Tabard,character.id
Darkfrost Helmet,Charm of Eternal Winter,Epaulettes of Overwhelming Force,,Sinful Gladiator's Plate Chestplate,Shadowghast Waistguard,Gormshell Greaves,Dynamo Doomstompers,Soldier's Stoneband Wristguards,Fallen Templar's Gauntlets,Most Regal Signet of Sire Denathrius,Signet of the False Accuser,Blood-Spattered Scale,Slimy Consumptive Organ,Cowled Batwing Cloak,Sophisticated Bonecracker,Sinful Gladiator's Guard,Renowned Guild Tabard,175660087
Wrathbark Greathelm,Trailspinner Pendant,Shadowghast Pauldrons,,Breastplate of Brutal Dissonance,Fused Bone Greatbelt,Endlessly Gluttonous Greaves,Sabatons of the Rushing Juggernaut,Vambraces of the Depraved Warden,Fogweaver Gauntlets,Ritual Bone Band,Fleshfused Circle,Slimy Consumptive Organ,Blood-Spattered Scale,Cloak of Enveloping Manifestations,Engorged Worm Smasher,Acidslough Bulwark,,188977395
Shadowghast Helm,Noble's Birthstone Pendant,Epaulettes of Overwhelming Force,Artisan Officer's Shirt,Rampaging Giant's Chestplate,Stoic Guardsman's Belt,Gormshell Greaves,Errant Crusader's Greaves,Vambraces of the Depraved Warden,Distorted Construct's Gauntlets,Sinful Gladiator's Ring,Stitchflesh's Misplaced Signet,Darkmoon Deck: Voracity,Sinful Gladiator's Insignia of Alacrity,Cowled Batwing Cloak,Axe of the Deadgrove,Chyrus's Crest of Hope,Tabard of the Lightbringer,91060995
Wing Commander's Helmet,Azure-Venom Choker,Shadowghast Pauldrons,Precious' Ribbon,Breastplate of Fatal Contrivances,Selfless Collector's Girdle,Ceremonial Parade Legguards,Warboots of Ruthless Conviction,Vambraces of the Depraved Warden,Distorted Construct's Gauntlets,Ritual Commander's Ring,Stitchflesh's Misplaced Signet,Sinful Gladiator's Insignia of Alacrity,Anima Field Emitter,Cloak of Enveloping Manifestations,Axe of the Deadgrove,Sinful Gladiator's Guard,Nightfallen Tabard,226271489
Shadowghast Helm,Sin Stained Pendant,Unyielding Combatant's Pauldrons,Sleeveless T-Shirt,Abdominal Securing Chestguard,Scarred Bloodbound Girdle,Gormshell Greaves,Errant Crusader's Greaves,Reality-Shatter Vambraces,Distorted Construct's Gauntlets,Stitchflesh's Misplaced Signet,Death God's Signet,Splintered Heart of Al'ar,Blood-Spattered Scale,Dealer Xy'exa's Cape,Sophisticated Bonecracker,Acidslough Bulwark,Renowned Guild Tabard,162758759
Wrathbark Greathelm,Sin Stained Pendant,Shadowghast Pauldrons,,Breastplate of Otherworldly Influence,Girdle of the Soulflayer,Gormshell Greaves,Warboots of Ruthless Conviction,Thunderous Echo Vambraces,Fleshfused Crushers,Death God's Signet,Signet of the False Accuser,Gluttonous Spike,Anima Field Emitter,Cowled Batwing Cloak,Axe of the Deadgrove,Acidslough Bulwark,,141975019
Wrathbark Greathelm,Gaiazelle's Spiked Collar,Prankster's Pauldrons,,Sinful Gladiator's Plate Chestguard,Shadowghast Waistguard,Halkias's Towering Pillars,Sabatons of the Rushing Juggernaut,Soldier's Stoneband Wristguards,Fogweaver Gauntlets,Hyperlight Band,Ardent Sunstar Signet,Stone Legion Heraldry,Splintered Heart of Al'ar,Cowled Batwing Cloak,Sinsmasher,Sinful Gladiator's Redoubt,,163846729
Wing Commander's Helmet,Noble's Birthstone Pendant,Prankster's Pauldrons,,Breastplate of Otherworldly Influence,Stoic Guardsman's Belt,Legplates of Unholy Frenzy,Errant Crusader's Greaves,Shoulderblade Vambraces,Colossal Plate Gauntlets,Arachnid Cipher Ring,Death God's Signet,Sanguine Vintage,Blood-Spattered Scale,Cloak of Coordination,Supercollider,Acidslough Bulwark,,91417893
Wrathbark Greathelm,Charm of Eternal Winter,Shadowghast Pauldrons,,Breastplate of Fatal Contrivances,Scarred Bloodbound Girdle,Halkias's Towering Pillars,Errant Crusader's Greaves,Thunderous Echo Vambraces,Fogweaver Gauntlets,Hyperlight Band,Death God's Signet,Anima Field Emitter,Splintered Heart of Al'ar,Dealer Xy'exa's Cape,Axe of the Deadgrove,Acidslough Bulwark,,119268203
Shadowghast Helm,Sin Stained Pendant,Epaulettes of Overwhelming Force,Artisan Officer's Shirt,Breastplate of Otherworldly Influence,Fused Bone Greatbelt,Gormshell Greaves,Errant Crusader's Greaves,Shoulderblade Vambraces,Fleshfused Crushers,Bloodoath Signet,Signet of the False Accuser,Gluttonous Spike,Darkmoon Deck: Indomitable,Mantle of Manifest Sins,Sophisticated Bonecracker,Acidslough Bulwark,Tabard of the Zandalari,14803174
Wrathbark Greathelm,Charm of Eternal Winter,Epaulettes of Overwhelming Force,,Breastplate of Cautious Calculation,Waistguard of Expurged Anguish,Shadowghast Greaves,Warboots of Ruthless Conviction,Pit Fighter's Wristguards,Fogweaver Gauntlets,Entwined Gorger Tendril,Death God's Signet,Overwhelming Power Crystal,Blood-Spattered Scale,Cowled Batwing Cloak,Axe of the Deadgrove,Barricade of the Endless Empire,,166112687
Wrathbark Greathelm,Sin Stained Pendant,Shadowghast Pauldrons,,Breastplate of Fatal Contrivances,Girdle of the Soulflayer,Endlessly Gluttonous Greaves,Errant Crusader's Greaves,Vambraces of the Depraved Warden,Distorted Construct's Gauntlets,Stitchflesh's Misplaced Signet,Bloodoath Signet,Decanter of Anima-Charged Winds,Inscrutable Quantum Device,Crest of the Legionnaire General,Engorged Worm Smasher,Barricade of the Endless Empire,Orgrimmar Tabard,112850267
Darkfrost Helmet,Sinful Gladiator's Necklace,Shadowghast Pauldrons,,Breastplate of Fatal Contrivances,Girdle of the Soulflayer,Galvanized Oxxein Legguards,Dynamo Doomstompers,Reality-Shatter Vambraces,Fleshfused Crushers,Signet of the False Accuser,Sinful Aspirant's Ring,Stone Legion Heraldry,Blood-Spattered Scale,Sinful Aspirant's Drape,Axe of the Deadgrove,Acidslough Bulwark,,162807969
Shadowghast Helm,Sin Stained Pendant,Unyielding Combatant's Pauldrons,Common Gray Shirt,Breastplate of Brutal Dissonance,Girdle of the Soulflayer,Halkias's Towering Pillars,Sabatons of the Rushing Juggernaut,Pit Fighter's Wristguards,Fleshfused Crushers,Stitchflesh's Misplaced Signet,Death God's Signet,Anima Field Emitter,Blood-Spattered Scale,Dealer Xy'exa's Cape,Ascended Gladius of Glory,Acidslough Bulwark,,112822523
Wrathbark Greathelm,Sin Stained Pendant,Unyielding Combatant's Pauldrons,Precious' Ribbon,Breastplate of Brutal Dissonance,Fused Bone Greatbelt,Halkias's Towering Pillars,Errant Crusader's Greaves,Soldier's Stoneband Wristguards,Shadowghast Gauntlets,Ardent Sunstar Signet,Arachnid Cipher Ring,Pulsating Stoneheart,Anima Field Emitter,Decadent Nathrian Shawl,Engorged Worm Smasher,Acidslough Bulwark,Darkspear Tabard,142307880
Plague Handler's Greathelm,Sin Stained Pendant,Shadowghast Pauldrons,,Breastplate of Otherworldly Influence,Waistguard of Expurged Anguish,Galvanized Oxxein Legguards,Dynamo Doomstompers,Thunderous Echo Vambraces,Guilewind Stone Talons,Stitchflesh's Misplaced Signet,Arachnid Cipher Ring,Decanter of Anima-Charged Winds,Blood-Spattered Scale,Cowled Batwing Cloak,Sophisticated Bonecracker,Acidslough Bulwark,,148939936
Shadowghast Helm,Sin Stained Pendant,Pauldrons of Unleashed Pride,,Breastplate of Fatal Contrivances,Stoic Guardsman's Belt,Legplates of Unholy Frenzy,Errant Crusader's Greaves,Soldier's Stoneband Wristguards,Hardened Castle Crushers,Hyperlight Band,Most Regal Signet of Sire Denathrius,Slimy Consumptive Organ,Blood-Spattered Scale,Crest of the Legionnaire General,Ascended Gladius of Glory,Acidslough Bulwark,Tabard of the Ascended,166218226
Plague Handler's Greathelm,Sin Stained Pendant,Shadowghast Pauldrons,Artisan Officer's Shirt,Breastplate of Otherworldly Influence,Binding of Warped Desires,Halkias's Towering Pillars,Dynamo Doomstompers,Pit Fighter's Wristguards,Fogweaver Gauntlets,Signet of the False Accuser,Stitchflesh's Misplaced Signet,Sanguine Vintage,Decanter of Anima-Charged Winds,Blighted Margrave's Cloak,Gorestained Cleaver,Acidslough Bulwark,Tabard of the Lightbringer,83425858
Shadowghast Helm,Noble's Birthstone Pendant,Prankster's Pauldrons,,Breastplate of Fatal Contrivances,Stoic Guardsman's Belt,Halkias's Towering Pillars,Dynamo Doomstompers,Thunderous Echo Vambraces,Distorted Construct's Gauntlets,Stitchflesh's Misplaced Signet,Fleshfused Circle,Blood-Spattered Scale,Gluttonous Spike,Crest of the Legionnaire General,Sophisticated Bonecracker,Acidslough Bulwark,Tabard of the Wild Hunt,186874101
Shadowghast Helm,Charm of Eternal Winter,Epaulettes of Overwhelming Force,Master Builder's Shirt,Breastplate of Brutal Dissonance,Stoic Guardsman's Belt,Ceremonial Parade Legguards,Sabatons of the Rushing Juggernaut,Hellhound Cuffs,Colossal Plate Gauntlets,Ritual Bone Band,Death God's Signet,Splintered Heart of Al'ar,Slimy Consumptive Organ,Cowled Batwing Cloak,Ascended Gladius of Glory,Elysian Sentinel's Aegis,,141353965
Casque of the Path,Sin Stained Pendant,Pauldrons of Unleashed Pride,Precious' Ribbon,Selfless Collector's Chestplate,Stonebark Girdle,Galvanized Oxxein Legguards,Muckwallow Stompers,Thunderous Echo Vambraces,Fallen Templar's Gauntlets,Shadowghast Ring,Hyperlight Band,Bargast's Leash,Anima Field Emitter,Dealer Xy'exa's Cape,Axe of the Deadgrove,Acidslough Bulwark,Tabard of the Achiever,91454812
Shadowghast Helm,Sin Stained Pendant,Vile Butcher's Pauldrons,,Breastplate of Brutal Dissonance,Girdle of the Soulflayer,Endlessly Gluttonous Greaves,Errant Crusader's Greaves,Hellhound Cuffs,Fogweaver Gauntlets,Bloodoath Signet,Signet of the False Accuser,Blood-Spattered Scale,Anima Field Emitter,Dealer Xy'exa's Cape,Sinful Aspirant's Sword,Chyrus's Crest of Hope,Tabard of the Ascended,162950847
Shadowghast Helm,Charm of Eternal Winter,Prankster's Pauldrons,Artisan Officer's Shirt,Breastplate of Fatal Contrivances,Girdle of the Soulflayer,Ceremonial Parade Legguards,Errant Crusader's Greaves,Hellhound Cuffs,Hardened Castle Crushers,Signet of the False Accuser,Death God's Signet,Inscrutable Quantum Device,Blood-Spattered Scale,Cowled Batwing Cloak,Axe of the Deadgrove,Barricade of the Endless Empire,,169150290
Darkfrost Helmet,Sin Stained Pendant,Shadowghast Pauldrons,,Breastplate of Fatal Contrivances,Scarred Bloodbound Girdle,Legplates of Unholy Frenzy,Muckwallow Stompers,Thunderous Echo Vambraces,Hardened Castle Crushers,Band of the Risen Bonelord,Ritual Commander's Ring,Splintered Heart of Al'ar,Viscera of Coalesced Hatred,Dealer Xy'exa's Cape,Supercollider,Barricade of the Endless Empire,,107463319
Diadem of Imperious Desire,Charm of Eternal Winter,Epaulettes of Overwhelming Force,Squire's Shirt,Abdominal Securing Chestguard,Shadowghast Waistguard,Halkias's Towering Pillars,Warboots of Ruthless Conviction,Thunderous Echo Vambraces,Hardened Castle Crushers,Ritualist's Treasured Ring,Stitchflesh's Misplaced Signet,Blood-Spattered Scale,Anima Field Emitter,Drape of Twisted Loyalties,Xandria's Kopis of Courage,Chyrus's Crest of Hope,Renowned Guild Tabard,162944869
Wing Commander's Helmet,Sin Stained Pendant,Shadowghast Pauldrons,,Rampaging Giant's Chestplate,Fused Bone Greatbelt,Galvanized Oxxein Legguards,Warboots of Ruthless Conviction,Shoulderblade Vambraces,Fogweaver Gauntlets,Band of the Risen Bonelord,Death God's Signet,Blood-Spattered Scale,Inscrutable Quantum Device,Blighted Margrave's Cloak,Axe of the Deadgrove,Acidslough Bulwark,Tabard of the Argent Crusade,164689223
Wrathbark Greathelm,Muckformed Chain Choker,Shadowghast Pauldrons,,Abdominal Securing Chestguard,Scarred Bloodbound Girdle,Galvanized Oxxein Legguards,Stoneguard Attendant's Boots,Hellhound Cuffs,Fleshfused Crushers,Signet of the False Accuser,Twisted Witherroot Band,Macabre Sheet Music,Anima Field Emitter,Sinful Aspirant's Cloak,Sinsmasher,Sinful Gladiator's Guard,Tabard of the Zandalari,173485160
Shadowghast Helm,Trailspinner Pendant,Epaulettes of Overwhelming Force,,Abdominal Securing Chestguard,Girdle of the Soulflayer,Gormshell Greaves,Stoneguard Attendant's Boots,Vambraces of the Depraved Warden,Fleshfused Crushers,Band of the Risen Bonelord,Ritual Bone Band,Decanter of Anima-Charged Winds,Blood-Spattered Scale,Drape of Twisted Loyalties,Axe of the Deadgrove,Barricade of the Endless Empire,,197169175
Wing Commander's Helmet,Sin Stained Pendant,Prankster's Pauldrons,,Sapsteel Breastplate,Girdle of the Soulflayer,Gormshell Greaves,Errant Crusader's Greaves,Shoulderblade Vambraces,Shadowghast Gauntlets,Arachnid Cipher Ring,Stitchflesh's Misplaced Signet,Splintered Heart of Al'ar,Gluttonous Spike,Crest of the Legionnaire General,Supercollider,Barricade of the Endless Empire,Darkspear Tabard,197970744
Wing Commander's Helmet,Charm of Eternal Winter,Prankster's Pauldrons,Red Linen Shirt,Selfless Collector's Chestplate,Fused Bone Greatbelt,Endlessly Gluttonous Greaves,Warboots of Ruthless Conviction,Pit Fighter's Wristguards,Sinful Gladiator's Plate Handguards,Shadowghast Ring,Fleshfused Circle,Gluttonous Spike,Viscera of Coalesced Hatred,Dealer Xy'exa's Cape,Sinsmasher,Acidslough Bulwark,,29777509
Wing Commander's Helmet,Muckformed Chain Choker,Vile Butcher's Pauldrons,,Stonewrought Breastplate,Shadowghast Waistguard,Halkias's Towering Pillars,Valinor's Ground Pounders,Reality-Shatter Vambraces,Fleshfused Crushers,Ardent Sunstar Signet,Bloodoath Signet,Splintered Heart of Al'ar,Gluttonous Spike,Dealer Xy'exa's Cape,Gorestained Cleaver,Encrusted Canopic Lid,,177305449
Diadem of Imperious Desire,Charm of Eternal Winter,Unyielding Combatant's Pauldrons,,Selfless Collector's Chestplate,Shadowghast Waistguard,Selfless Collector's Legguards,Errant Crusader's Greaves,Selfless Collector's Wristguards,Fleshfused Crushers,Entwined Gorger Tendril,Ritual Commander's Ring,Pulsating Stoneheart,Anima Field Emitter,Crest of the Legionnaire General,Axe of the Deadgrove,Acidslough Bulwark,,142361663
Wrathbark Greathelm,Noble's Birthstone Pendant,Shadowghast Pauldrons,,Breastplate of Cautious Calculation,Girdle of the Soulflayer,Ceremonial Parade Legguards,Warboots of Ruthless Conviction,Reality-Shatter Vambraces,Distorted Construct's Gauntlets,Hyperlight Band,Signet of the False Accuser,Anima Field Emitter,Viscera of Coalesced Hatred,Cowled Batwing Cloak,Engorged Worm Smasher,Barricade of the Endless Empire,,133509635
Shadowghast Helm,Sin Stained Pendant,Pauldrons of Unleashed Pride,,Breastplate of Otherworldly Influence,Stonebark Girdle,Galvanized Oxxein Legguards,Arachnaflame Treads,Vambraces of the Depraved Warden,Fleshfused Crushers,Hyperlight Band,Stitchflesh's Misplaced Signet,Sinful Gladiator's Insignia of Alacrity,Slimy Consumptive Organ,Sinful Gladiator's Drape,Gorestained Cleaver,Barricade of the Endless Empire,,92331503
Plague Handler's Greathelm,Sin Stained Pendant,Shadowghast Pauldrons,,Abdominal Securing Chestguard,Stonebark Girdle,Gormshell Greaves,Errant Crusader's Greaves,Pit Fighter's Wristguards,Guilewind Stone Talons,Bloodoath Signet,Death God's Signet,Slimy Consumptive Organ,Gluttonous Spike,Drape of Twisted Loyalties,Sophisticated Bonecracker,Acidslough Bulwark,Horde Tabard,175117700
Wrathbark Greathelm,Sinful Gladiator's Necklace,Shadowghast Pauldrons,,Sinful Gladiator's Plate Chestguard,Sinful Gladiator's Plate Greatbelt,Halkias's Towering Pillars,Errant Crusader's Greaves,Sinful Gladiator's Plate Vambraces,Selfless Collector's Gauntlets,Ritual Bone Band,Sinful Gladiator's Ring,Anima Field Emitter,Stone Legion Heraldry,Drape of Twisted Loyalties,Axe of the Deadgrove,Sinful Gladiator's Guard,Tabard of the Ascended,243036715
Wrathbark Greathelm,Charm of Eternal Winter,Shadowghast Pauldrons,,Breastplate of Brutal Dissonance,Scarred Bloodbound Girdle,Halkias's Towering Pillars,Errant Crusader's Greaves,Thunderous Echo Vambraces,Fogweaver Gauntlets,Signet of the False Accuser,Ritual Bone Band,Blood-Spattered Scale,Inscrutable Quantum Device,Cowled Batwing Cloak,Sinsmasher,Elysian Sentinel's Aegis,Guild Tabard,106860784
Shadowghast Helm,Charm of Eternal Winter,Epaulettes of Overwhelming Force,,Breastplate of Fatal Contrivances,Fused Bone Greatbelt,Halkias's Towering Pillars,Muckwallow Stompers,Vambraces of the Depraved Warden,Distorted Construct's Gauntlets,Signet of the False Accuser,Stitchflesh's Misplaced Signet,Overwhelming Power Crystal,Gluttonous Spike,Dealer Xy'exa's Cape,Gorestained Cleaver,Barricade of the Endless Empire,,109644853
Shadowghast Helm,Charm of Eternal Winter,Prankster's Pauldrons,Artisan Officer's Shirt,Breastplate of Fatal Contrivances,Fused Bone Greatbelt,Legplates of Unholy Frenzy,Sabatons of the Rushing Juggernaut,Pit Fighter's Wristguards,Selfless Collector's Gauntlets,Signet of the False Accuser,Ritual Commander's Ring,Sanguine Vintage,Blood-Spattered Scale,Cloak of Enveloping Manifestations,Sinsmasher,Barricade of the Endless Empire,,169412555
Wrathbark Greathelm,Muckformed Chain Choker,Unyielding Combatant's Pauldrons,,Unbreakable Chestguard,Shadowghast Waistguard,Ceremonial Parade Legguards,Baetheas' Ironclad Warboots,Bitter Cold Armguards,Colossal Plate Gauntlets,Arachnid Cipher Ring,Most Regal Signet of Sire Denathrius,Viscera of Coalesced Hatred,Bladedancer's Armor Kit,Drape of Twisted Loyalties,Axe of the Deadgrove,Gorewrought Barrier,,120911679
Plague Handler's Greathelm,Charm of Eternal Winter,Shadowghast Pauldrons,,Breastplate of Cautious Calculation,Stoic Guardsman's Belt,Legplates of Unholy Frenzy,Errant Crusader's Greaves,Reality-Shatter Vambraces,Colossal Plate Gauntlets,Ardent Sunstar Signet,Bloodoath Signet,Stone Legion Heraldry,Inscrutable Quantum Device,Dealer Xy'exa's Cape,Ascended Gladius of Glory,Acidslough Bulwark,,110898468
Wrathbark Greathelm,Sin Stained Pendant,Shadowghast Pauldrons,Green Holiday Shirt,Sinful Gladiator's Plate Chestguard,Stoic Guardsman's Belt,Gormshell Greaves,Errant Crusader's Greaves,Soldier's Stoneband Wristguards,Distorted Construct's Gauntlets,Sinful Gladiator's Band,Death God's Signet,Gluttonous Spike,Darkmoon Deck: Indomitable,Cowled Batwing Cloak,Axe of the Deadgrove,Acidslough Bulwark,Tabard of the Lightbringer,197740020
Darkfrost Helmet,Noble's Birthstone Pendant,Shadowghast Pauldrons,Precious' Ribbon,Breastplate of Otherworldly Influence,Fused Bone Greatbelt,Gormshell Greaves,Errant Crusader's Greaves,Reality-Shatter Vambraces,Distorted Construct's Gauntlets,Bloodoath Signet,Signet of the False Accuser,Anima Field Emitter,Slimy Consumptive Organ,Drape of Twisted Loyalties,Gorestained Cleaver,Barricade of the Endless Empire,Stormwind Tabard,176565823
Dreadguard's Greathelm,Sin Stained Pendant,Shadowghast Pauldrons,Precious' Ribbon,Breastplate of Otherworldly Influence,Fused Bone Greatbelt,Galvanized Oxxein Legguards,Stoneguard Attendant's Boots,Reality-Shatter Vambraces,Fleshfused Crushers,Bloodoath Signet,Signet of the False Accuser,Decanter of Anima-Charged Winds,Anima Field Emitter,Shroud of the Penitent,Axe of the Deadgrove,Acidslough Bulwark,,169134117
Shadowghast Helm,Trailspinner Pendant,Epaulettes of Overwhelming Force,,Abdominal Securing Chestguard,Waistguard of Expurged Anguish,Legplates of Unholy Frenzy,Errant Crusader's Greaves,Thunderous Echo Vambraces,Hardened Castle Crushers,Ritual Bone Band,Stitchflesh's Misplaced Signet,Viscera of Coalesced Hatred,Gluttonous Spike,Cowled Batwing Cloak,Engorged Worm Smasher,Elysian Sentinel's Aegis,,153955075
Dread Sentinel's Ebony Headgear,Sin Stained Pendant,Epaulettes of Overwhelming Force,,Breastplate of Cautious Calculation,Shadowghast Waistguard,Legplates of Unholy Frenzy,Stoneguard Attendant's Boots,Hellhound Cuffs,Colossal Plate Gauntlets,Twisted Witherroot Band,Stitchflesh's Misplaced Signet,Gluttonous Spike,Decanter of Anima-Charged Winds,Crest of the Legionnaire General,Stoneborn Terrorblade,Stonewrought Gargoyles Barrier,,146066655
Darkfrost Helmet,Sin Stained Pendant,Prankster's Pauldrons,,Breastplate of Otherworldly Influence,Shadowghast Waistguard,Gormshell Greaves,Dynamo Doomstompers,Pit Fighter's Wristguards,Fogweaver Gauntlets,Band of the Risen Bonelord,Signet of the False Accuser,Gluttonous Spike,Decanter of Anima-Charged Winds,Blighted Margrave's Cloak,Gorestained Cleaver,Acidslough Bulwark,Silvermoon City Tabard,91510847
Diadem of Imperious Desire,Charm of Eternal Winter,Shadowghast Pauldrons,,Breastplate of Otherworldly Influence,Stoic Guardsman's Belt,Galvanized Oxxein Legguards,Warboots of Ruthless Conviction,Vambraces of the Depraved Warden,Guilewind Stone Talons,Arachnid Cipher Ring,Bloodoath Signet,Gluttonous Spike,Darkmoon Deck: Indomitable,Cowled Batwing Cloak,Axe of the Deadgrove,Acidslough Bulwark,Tabard of Brute Force,81103851
