Head,Neck,Shoulders,Chest,Waist,Legs,Feet,Wrist,Hands,Ring 1,Ring 2,Trinket 1,Trinket 2,Back,Main Hand,Off Hand,character.id,Tabard,Shirt
Wrathbark Greathelm,Trailspinner Pendant,Shadowghast Pauldrons,Breastplate of Brutal Dissonance,Girdle of the Soulflayer,Gormshell Greaves,Muckwallow Stompers,Reality-Shatter Vambraces,Fogweaver Gauntlets,Ritual Commander's Ring,Band of the Risen Bonelord,Blood-Spattered Scale,Decanter of Anima-Charged Winds,Cowled Batwing Cloak,Axe of the Deadgrove,Acidslough Bulwark,154156029,,Stylish Black Shirt
Shadowghast Helm,Azure-Venom Choker,Pauldrons of Unleashed Pride,Sinful Gladiator's Plate Chestguard,Girdle of the Soulflayer,Galvanized Oxxein Legguards,Muckwallow Stompers,Thunderous Echo Vambraces,Fleshfused Crushers,Signet of the False Accuser,Sinful Gladiator's Ring,Gluttonous Spike,Bladedancer's Armor Kit,Cowled Batwing Cloak,Supercollider,Acidslough Bulwark,154395030,Renowned Guild Tabard,Antiseptic-Soaked Dressing
Wing Commander's Helmet,Sin Stained Pendant,Shadowghast Pauldrons,Breastplate of Cautious Calculation,Scarred Bloodbound Girdle,Halkias's Towering Pillars,Muckwallow Stompers,Pit Fighter's Wristguards,Fleshfused Crushers,Most Regal Signet of Sire Denathrius,Hyperlight Band,Gluttonous Spike,Inscrutable Quantum Device,Cowled Batwing Cloak,Sophisticated Bonecracker,Acidslough Bulwark,166734171,,
Shadowghast Helm,Trailspinner Pendant,Pauldrons of Unleashed Pride,Sinful Gladiator's Plate Chestplate,Sinful Gladiator's Plate Girdle,Ceremonial Parade Legguards,Sabatons of the Rushing Juggernaut,Pit Fighter's Wristguards,Fleshfused Crushers,Death God's Signet,Ritual Bone Band,Sinful Gladiator's Medallion,Pulsating Stoneheart,Sinful Gladiator's Shawl,Xandria's Kopis of Courage,Sinful Gladiator's Guard,181393909,Uldum Accord Tabard,Artisan Officer's Shirt
Wing Commander's Helmet,Charm of Eternal Winter,Unyielding Combatant's Pauldrons,Abdominal Securing Chestguard,Shadowghast Waistguard,Gormshell Greaves,Dynamo Doomstompers,Pit Fighter's Wristguards,Colossal Plate Gauntlets,Sinful Gladiator's Ring,Stitchflesh's Misplaced Signet,Inscrutable Quantum Device,Splintered Heart of Al'ar,Blighted Margrave's Cloak,Xandria's Kopis of Courage,Chyrus's Crest of Hope,148169893,Tabard of the Unshackled,Fashionable Undershirt
Darkfrost Helmet,Sin Stained Pendant,Shadowghast Pauldrons,Breastplate of Brutal Dissonance,Scarred Bloodbound Girdle,Galvanized Oxxein Legguards,Stoneguard Attendant's Boots,Vambraces of the Depraved Warden,Fogweaver Gauntlets,Stitchflesh's Misplaced Signet,Signet of the False Accuser,Anima Field Emitter,Blood-Spattered Scale,Dealer Xy'exa's Cape,Axe of the Deadgrove,Encrusted Canopic Lid,123988351,Tabard of the Lightbringer,Fashionable Undershirt
Plague Handler's Greathelm,Charm of Eternal Winter,Pauldrons of Unleashed Pride,Abdominal Securing Chestguard,Binding of Warped Desires,Ceremonial Parade Legguards,Errant Crusader's Greaves,Thunderous Echo Vambraces,Colossal Plate Gauntlets,Most Regal Signet of Sire Denathrius,Shadowghast Ring,Stone Legion Heraldry,Sinful Gladiator's Insignia of Alacrity,Blighted Margrave's Cloak,Supercollider,Dredge-Giant's Warshield,150700960,Renowned Guild Tabard,The Very Best Shirt
Darkfrost Helmet,Muckformed Chain Choker,Unyielding Combatant's Pauldrons,Selfless Collector's Chestplate,Shadowghast Waistguard,Legplates of Unholy Frenzy,Sabatons of the Rushing Juggernaut,Shoulderblade Vambraces,Hardened Castle Crushers,Signet of the False Accuser,Ritual Commander's Ring,Bargast's Leash,Slimy Consumptive Organ,Drape of Twisted Loyalties,Engorged Worm Smasher,Barricade of the Endless Empire,140826339,,
Sinful Gladiator's Plate Helmet,Muckformed Chain Choker,Shadowghast Pauldrons,Sinful Gladiator's Plate Chestguard,Sinful Gladiator's Plate Greatbelt,Endlessly Gluttonous Greaves,Sinful Gladiator's Plate Warboots,Thunderous Echo Vambraces,Distorted Construct's Gauntlets,Sinful Gladiator's Band,Sinful Gladiator's Signet,Sinful Aspirant's Insignia of Alacrity,Sinful Aspirant's Relentless Brooch,Blighted Margrave's Cloak,Axe of the Deadgrove,Sinful Gladiator's Guard,134795825,,
Wing Commander's Helmet,Sin Stained Pendant,Sinful Gladiator's Plate Pauldrons,Breastplate of Brutal Dissonance,Shadowghast Waistguard,Sinful Gladiator's Plate Legguards,Errant Crusader's Greaves,Vambraces of the Depraved Warden,Fleshfused Crushers,Ritualist's Treasured Ring,Signet of the False Accuser,Splintered Heart of Al'ar,Sinful Gladiator's Badge of Ferocity,Crest of the Legionnaire General,Axe of the Deadgrove,Acidslough Bulwark,176395591,Tabard of the Zandalari,
Sinful Gladiator's Plate Helm,Sinful Gladiator's Necklace,Shadowghast Pauldrons,Breastplate of Otherworldly Influence,Girdle of the Soulflayer,Gormshell Greaves,Sinful Gladiator's Plate Warboots,Vambraces of the Depraved Warden,Sinful Gladiator's Plate Handguards,Sinful Gladiator's Ring,Signet of the False Accuser,Blood-Spattered Scale,Sinful Aspirant's Insignia of Alacrity,Drape of Twisted Loyalties,Gorestained Cleaver,Sinful Gladiator's Guard,146437861,Tushui Tabard,Threads of Tirion
Plague Handler's Greathelm,Charm of Eternal Winter,Pauldrons of Unleashed Pride,Lifeforge Breastplate,Stonebark Girdle,Gormshell Greaves,Sinful Gladiator's Plate Stompers,Shadowghast Armguards,Gauntlets of the Thunder God,Arachnid Cipher Ring,Twisted Witherroot Band,Anima Field Emitter,Inscrutable Quantum Device,Mantle of Manifest Sins,Supercollider,Sinful Gladiator's Bulwark,217470555,,
Wing Commander's Helmet,Charm of Eternal Winter,Shadowghast Pauldrons,Breastplate of Cautious Calculation,Girdle of the Soulflayer,Selfless Collector's Legguards,Warboots of Ruthless Conviction,Sinful Gladiator's Plate Vambraces,Colossal Plate Gauntlets,Stitchflesh's Misplaced Signet,Hyperlight Band,Blood-Spattered Scale,Darkmoon Deck: Indomitable,Cowled Batwing Cloak,Supercollider,Acidslough Bulwark,247013395,,
Wrathbark Greathelm,Sin Stained Pendant,Shadowghast Pauldrons,Breastplate of Cautious Calculation,Girdle of the Soulflayer,Gormshell Greaves,Sinful Gladiator's Plate Warboots,Sinful Gladiator's Plate Vambraces,Distorted Construct's Gauntlets,Stitchflesh's Misplaced Signet,Signet of the False Accuser,Pulsating Stoneheart,Slimy Consumptive Organ,Mantle of Manifest Sins,Gorestained Cleaver,Barricade of the Endless Empire,159709105,,
Wing Commander's Helmet,Sin Stained Pendant,Prankster's Pauldrons,Breastplate of Cautious Calculation,Selfless Collector's Girdle,Gormshell Greaves,Errant Crusader's Greaves,Hellhound Cuffs,Fallen Templar's Gauntlets,Fleshfused Circle,Shadowghast Ring,Gluttonous Spike,Pulsating Stoneheart,Blighted Margrave's Cloak,Klontzas' Precise Pummeler,Acidslough Bulwark,194658674,Renowned Guild Tabard,Precious' Ribbon
Wrathbark Greathelm,Sin Stained Pendant,Shadowghast Pauldrons,Breastplate of Otherworldly Influence,Fused Bone Greatbelt,Legplates of Unholy Frenzy,Stoneguard Attendant's Boots,Thunderous Echo Vambraces,Fogweaver Gauntlets,Ring of Perpetual Conflict,Bloodoath Signet,Pulsating Stoneheart,Anima Field Emitter,Dealer Xy'exa's Cape,Sophisticated Bonecracker,Acidslough Bulwark,72227975,Renowned Guild Tabard,Paper Shirt
Darkfrost Helmet,Sinful Aspirant's Necklace,Vile Butcher's Pauldrons,Rampaging Giant's Chestplate,Fused Bone Greatbelt,Halkias's Towering Pillars,Shadowghast Sabatons,Vambraces of the Depraved Warden,Guilewind Stone Talons,Bloodoath Signet,Signet of the False Accuser,Sinful Aspirant's Badge of Ferocity,Sinful Aspirant's Insignia of Alacrity,Cowled Batwing Cloak,Sophisticated Bonecracker,Sinful Aspirant's Barrier,156374158,Argent Crusader's Tabard,Desecrated Seaweed Shirt
Casque of the Path,Azure-Venom Choker,Vile Butcher's Pauldrons,Breastplate of Otherworldly Influence,Girdle of the Soulflayer,Shadowghast Greaves,Warboots of Ruthless Conviction,Pit Fighter's Wristguards,Fleshfused Crushers,Signet of the False Accuser,Band of the Risen Bonelord,Inscrutable Quantum Device,Splintered Heart of Al'ar,Cloak of Enveloping Manifestations,Supercollider,Chyrus's Crest of Hope,159145308,Lightforged Tabard,
Wing Commander's Helmet,Sin Stained Pendant,Shadowghast Pauldrons,Breastplate of Cautious Calculation,Binding of Warped Desires,Gormshell Greaves,Errant Crusader's Greaves,Pit Fighter's Wristguards,Colossal Plate Gauntlets,Bloodoath Signet,Ritualist's Treasured Ring,Inscrutable Quantum Device,Stone Legion Heraldry,Blighted Margrave's Cloak,Sophisticated Bonecracker,Builwark of the Stone Legion,194739259,,Precious' Ribbon
Darkfrost Helmet,Sin Stained Pendant,Shadowghast Pauldrons,Abdominal Securing Chestguard,Fused Bone Greatbelt,Halkias's Towering Pillars,Dynamo Doomstompers,Vambraces of the Depraved Warden,Fogweaver Gauntlets,Death God's Signet,Signet of the False Accuser,Anima Field Emitter,Overwhelming Power Crystal,Dealer Xy'exa's Cape,Axe of the Deadgrove,Acidslough Bulwark,94693709,Tabard of the Lightbringer,Lucky Shirt
Oversized Centurion Helm,Charm of Eternal Winter,Shadowghast Pauldrons,Breastplate of Cautious Calculation,Stonebark Girdle,Ceremonial Parade Legguards,Errant Crusader's Greaves,Pit Fighter's Wristguards,Colossal Plate Gauntlets,Death God's Signet,Ritualist's Treasured Ring,Splintered Heart of Al'ar,Gluttonous Spike,Cloak of Enveloping Manifestations,Engorged Worm Smasher,Acidslough Bulwark,158078035,Tabard of the Ascended,
Shadowghast Helm,Sin Stained Pendant,Unyielding Combatant's Pauldrons,Chestplate of the March Warden,Girdle of the Soulflayer,Gormshell Greaves,Errant Crusader's Greaves,Thunderous Echo Vambraces,Guilewind Stone Talons,Signet of the False Accuser,Ritual Bone Band,Inscrutable Quantum Device,Viscera of Coalesced Hatred,Blighted Margrave's Cloak,Axe of the Deadgrove,Chyrus's Crest of Hope,157409587,Tabard of the Lightbringer,Artisan Officer's Shirt
Shadowghast Helm,Trailspinner Pendant,Pauldrons of Unleashed Pride,Abdominal Securing Chestguard,Scarred Bloodbound Girdle,Halkias's Towering Pillars,Sabatons of the Rushing Juggernaut,Thunderous Echo Vambraces,Fogweaver Gauntlets,Band of the Risen Bonelord,Stitchflesh's Misplaced Signet,Stone Legion Heraldry,Anima Field Emitter,Mantle of Manifest Sins,Sinsmasher,Acidslough Bulwark,187022384,,
Wing Commander's Helmet,Sin Stained Pendant,Shadowghast Pauldrons,Breastplate of Cautious Calculation,Stonebark Girdle,Halkias's Towering Pillars,Warboots of Ruthless Conviction,Soldier's Stoneband Wristguards,Fallen Templar's Gauntlets,Ardent Sunstar Signet,Stitchflesh's Misplaced Signet,Blood-Spattered Scale,Bladedancer's Armor Kit,Decadent Nathrian Shawl,Engorged Worm Smasher,Barricade of the Endless Empire,198168755,,
Wrathbark Greathelm,Sin Stained Pendant,Shadowghast Pauldrons,Breastplate of Otherworldly Influence,Fused Bone Greatbelt,Galvanized Oxxein Legguards,Errant Crusader's Greaves,Thunderous Echo Vambraces,Hardened Castle Crushers,Signet of the False Accuser,Ritual Bone Band,Viscera of Coalesced Hatred,Pulsating Stoneheart,Blighted Margrave's Cloak,Axe of the Deadgrove,Encrusted Canopic Lid,108691028,,
Wing Commander's Helmet,Charm of Eternal Winter,Shadowghast Pauldrons,Breastplate of Otherworldly Influence,Scarred Bloodbound Girdle,Legplates of Unholy Frenzy,Errant Crusader's Greaves,Hellhound Cuffs,Fleshfused Crushers,Death God's Signet,Band of the Risen Bonelord,Blood-Spattered Scale,Macabre Sheet Music,Blighted Margrave's Cloak,Sophisticated Bonecracker,Encrusted Canopic Lid,176897232,,
Diadem of Imperious Desire,Trailspinner Pendant,Pauldrons of Unleashed Pride,Tharatos' Charred Chestplate,Stoic Guardsman's Belt,Shadowghast Greaves,Baetheas' Ironclad Warboots,Thunderous Echo Vambraces,Fallen Templar's Gauntlets,Fleshfused Circle,Most Regal Signet of Sire Denathrius,Splintered Heart of Al'ar,Gluttonous Spike,Decadent Nathrian Shawl,Sinful Gladiator's Swordbreaker,Encrusted Canopic Lid,166731995,,Lucky Shirt
Wrathbark Greathelm,Noble's Birthstone Pendant,Shadowghast Pauldrons,Breastplate of Fatal Contrivances,Sinful Gladiator's Plate Greatbelt,Gormshell Greaves,Sabatons of the Rushing Juggernaut,Pit Fighter's Wristguards,Sinful Gladiator's Plate Handguards,Signet of the False Accuser,Death God's Signet,Viscera of Coalesced Hatred,Gluttonous Spike,Cowled Batwing Cloak,Sinsmasher,Acidslough Bulwark,157740157,Renowned Guild Tabard,
Wrathbark Greathelm,Azure-Venom Choker,Shadowghast Pauldrons,Breastplate of Fatal Contrivances,Fused Bone Greatbelt,Legplates of Unholy Frenzy,Valinor's Ground Pounders,Reality-Shatter Vambraces,Fogweaver Gauntlets,Arachnid Cipher Ring,Stitchflesh's Misplaced Signet,Decanter of Anima-Charged Winds,Splintered Heart of Al'ar,Blighted Margrave's Cloak,Engorged Worm Smasher,Acidslough Bulwark,140327879,,
Darkfrost Helmet,Sin Stained Pendant,Tabone's Branded Pauldrons,Selfless Collector's Chestplate,Scarred Bloodbound Girdle,Gormshell Greaves,Sinful Aspirant's Plate Warboots,Vambraces of the Depraved Warden,Guilewind Stone Talons,Shadowghast Ring,Bloodoath Signet,Blood-Spattered Scale,Decanter of Anima-Charged Winds,Cowled Batwing Cloak,Sinful Aspirant's Sword,Sinful Gladiator's Guard,91002580,Thunder Bluff Tabard,
Wing Commander's Helmet,Charm of Eternal Winter,Shadowghast Pauldrons,Abdominal Securing Chestguard,Girdle of the Soulflayer,Galvanized Oxxein Legguards,Valinor's Ground Pounders,Soldier's Stoneband Wristguards,Selfless Collector's Gauntlets,Signet of the False Accuser,Stitchflesh's Misplaced Signet,Splintered Heart of Al'ar,Stone Legion Heraldry,Crest of the Legionnaire General,Sinsmasher,Acidslough Bulwark,94961101,,
Shadowghast Helm,Noble's Birthstone Pendant,Prankster's Pauldrons,Breastplate of Brutal Dissonance,Stonebark Girdle,Endlessly Gluttonous Greaves,Errant Crusader's Greaves,Soldier's Stoneband Wristguards,Fleshfused Crushers,Arachnid Cipher Ring,Fleshfused Circle,Macabre Sheet Music,Gluttonous Spike,Cowled Batwing Cloak,Sophisticated Bonecracker,Acidslough Bulwark,166336411,,
Darkfrost Helmet,Trailspinner Pendant,Shadowghast Pauldrons,Rampaging Giant's Chestplate,Stoic Guardsman's Belt,Gormshell Greaves,Stoneguard Attendant's Boots,Shoulderblade Vambraces,Distorted Construct's Gauntlets,Stitchflesh's Misplaced Signet,Hyperlight Band,Pulsating Stoneheart,Anima Field Emitter,Cowled Batwing Cloak,Sinsmasher,Acidslough Bulwark,157584187,Lightforged Tabard,Common Gray Shirt
Shadowghast Helm,Sin Stained Pendant,Pauldrons of Unleashed Pride,Abdominal Securing Chestguard,Waistguard of Expurged Anguish,Galvanized Oxxein Legguards,Dynamo Doomstompers,Hellhound Cuffs,Fleshfused Crushers,Stitchflesh's Misplaced Signet,Signet of the False Accuser,Viscera of Coalesced Hatred,Overwhelming Power Crystal,Dealer Xy'exa's Cape,Axe of the Deadgrove,Encrusted Canopic Lid,114426776,,
Wrathbark Greathelm,Sin Stained Pendant,Shadowghast Pauldrons,Selfless Collector's Chestplate,Stoic Guardsman's Belt,Halkias's Towering Pillars,Dynamo Doomstompers,Pit Fighter's Wristguards,Guilewind Stone Talons,Most Regal Signet of Sire Denathrius,Signet of the False Accuser,Pulsating Stoneheart,Splintered Heart of Al'ar,Dealer Xy'exa's Cape,Xandria's Kopis of Courage,Acidslough Bulwark,87936936,Blood Knight Tabard,Fashionable Undershirt
Wing Commander's Helmet,Muckformed Chain Choker,Pauldrons of Unleashed Pride,Abdominal Securing Chestguard,Shadowghast Waistguard,Selfless Collector's Legguards,Selfless Collector's Warboots,Thunderous Echo Vambraces,Selfless Collector's Gauntlets,Band of the Risen Bonelord,Arachnid Cipher Ring,Blood-Spattered Scale,Darkmoon Deck: Indomitable,Cowled Batwing Cloak,Gorestained Cleaver,Barricade of the Endless Empire,155123012,Tabard of Summer Flames,
Darkfrost Helmet,Azure-Venom Choker,Pauldrons of Unleashed Pride,Breastplate of Otherworldly Influence,Shadowghast Waistguard,Galvanized Oxxein Legguards,Muckwallow Stompers,Soldier's Stoneband Wristguards,Distorted Construct's Gauntlets,Stitchflesh's Misplaced Signet,Sinful Gladiator's Ring,Gluttonous Spike,Blood-Spattered Scale,Blighted Margrave's Cloak,Xandria's Kopis of Courage,Barricade of the Endless Empire,154525486,,
Sinful Gladiator's Plate Helm,Charm of Eternal Winter,Shadowghast Pauldrons,Abdominal Securing Chestguard,Girdle of the Soulflayer,Gormshell Greaves,Valinor's Ground Pounders,Pit Fighter's Wristguards,Guilewind Stone Talons,Stitchflesh's Misplaced Signet,Ritual Commander's Ring,Pulsating Stoneheart,Blood-Spattered Scale,Blighted Margrave's Cloak,Gorestained Cleaver,Acidslough Bulwark,76173648,Renowned Guild Tabard,
Shadowghast Helm,Sin Stained Pendant,Unyielding Combatant's Pauldrons,Breastplate of Brutal Dissonance,Binding of Warped Desires,Gormshell Greaves,Errant Crusader's Greaves,Vambraces of the Depraved Warden,Colossal Plate Gauntlets,Most Regal Signet of Sire Denathrius,Ritual Bone Band,Blood-Spattered Scale,Anima Field Emitter,Cowled Batwing Cloak,Axe of the Deadgrove,Builwark of the Stone Legion,110406274,,
Wrathbark Greathelm,Noble's Birthstone Pendant,Shadowghast Pauldrons,Breastplate of Otherworldly Influence,Girdle of the Soulflayer,Halkias's Towering Pillars,Sabatons of the Rushing Juggernaut,Vambraces of the Depraved Warden,Fleshfused Crushers,Stitchflesh's Misplaced Signet,Ritual Bone Band,Blood-Spattered Scale,Sinful Gladiator's Insignia of Alacrity,Blighted Margrave's Cloak,Axe of the Deadgrove,Acidslough Bulwark,189585324,,
Darkfrost Helmet,Charm of Eternal Winter,Shadowghast Pauldrons,Sinful Gladiator's Plate Chestguard,Stoic Guardsman's Belt,Halkias's Towering Pillars,Errant Crusader's Greaves,Soldier's Stoneband Wristguards,Fleshfused Crushers,Stitchflesh's Misplaced Signet,Sinful Gladiator's Ring,Sinful Gladiator's Insignia of Alacrity,Sinful Gladiator's Medallion,Crest of the Legionnaire General,Xandria's Kopis of Courage,Chyrus's Crest of Hope,133368774,Lightforged Tabard,
Wrathbark Greathelm,Reinforced High Collar,Epaulettes of Overwhelming Force,Breastplate of Cautious Calculation,Shadowghast Waistguard,Halkias's Towering Pillars,Dynamo Doomstompers,Sinful Gladiator's Plate Vambraces,Fogweaver Gauntlets,Ritual Bone Band,Band of the Risen Bonelord,Anima Field Emitter,Blood-Spattered Scale,Cloak of Enveloping Manifestations,Supercollider,Encrusted Canopic Lid,160353447,Renowned Guild Tabard,
Wrathbark Greathelm,Trailspinner Pendant,Shadowghast Pauldrons,Breastplate of Fatal Contrivances,Binding of Warped Desires,Galvanized Oxxein Legguards,Muckwallow Stompers,Thunderous Echo Vambraces,Fleshfused Crushers,Band of the Risen Bonelord,Bloodoath Signet,Blood-Spattered Scale,Splintered Heart of Al'ar,Cloak of Enveloping Manifestations,Supercollider,Barricade of the Endless Empire,153959746,Tabard of the Ascended,Red Martial Shirt
Plague Handler's Greathelm,Charm of Eternal Winter,Shadowghast Pauldrons,Sinful Gladiator's Plate Chestguard,Fused Bone Greatbelt,Halkias's Towering Pillars,Sinful Gladiator's Plate Stompers,Reality-Shatter Vambraces,Fogweaver Gauntlets,Ritual Commander's Ring,Entwined Gorger Tendril,Blood-Spattered Scale,Sinful Aspirant's Insignia of Alacrity,Drape of Twisted Loyalties,Engorged Worm Smasher,Sinful Gladiator's Guard,185599669,Darkspear Tabard,
Wrathbark Greathelm,Sinful Gladiator's Necklace,Unyielding Combatant's Pauldrons,Breastplate of Fatal Contrivances,Stoic Guardsman's Belt,Shadowghast Greaves,Sinful Gladiator's Plate Warboots,Sinful Gladiator's Plate Vambraces,Colossal Plate Gauntlets,Ritualist's Treasured Ring,Sinful Gladiator's Ring,Splintered Heart of Al'ar,Sanguine Vintage,Cowled Batwing Cloak,Sophisticated Bonecracker,Sinful Gladiator's Redoubt,175091275,,
Wrathbark Greathelm,Charm of Eternal Winter,Unyielding Combatant's Pauldrons,Breastplate of Brutal Dissonance,Binding of Warped Desires,Halkias's Towering Pillars,Errant Crusader's Greaves,Soldier's Stoneband Wristguards,Fleshfused Crushers,Arachnid Cipher Ring,Shadowghast Ring,Decanter of Anima-Charged Winds,Slimy Consumptive Organ,Mantle of Manifest Sins,Axe of the Deadgrove,Acidslough Bulwark,96768294,Tabard of the Protector,Undisputed Champion's Shirt
