Head,Neck,Shoulders,Chest,Waist,Legs,Feet,Wrist,Hands,Ring 1,Ring 2,Trinket 1,Trinket 2,Back,Main Hand,Off Hand,character.id,Tabard,Shirt
Plague Handler's Greathelm,Sin Stained Pendant,Shadowghast Pauldrons,Breastplate of Fatal Contrivances,Girdle of the Soulflayer,Galvanized Oxxein Legguards,Warboots of Ruthless Conviction,Vambraces of the Depraved Warden,Distorted Construct's Gauntlets,Death God's Signet,Signet of the False Accuser,Splintered Heart of Al'ar,Anima Field Emitter,Cowled Batwing Cloak,Engorged Worm Smasher,Barricade of the Endless Empire,147481452,,
Shadowghast Helm,Sin Stained Pendant,Vile Butcher's Pauldrons,Breastplate of Otherworldly Influence,Stonebark Girdle,Galvanized Oxxein Legguards,Muckwallow Stompers,Thunderous Echo Vambraces,Distorted Construct's Gauntlets,Band of the Risen Bonelord,Stitchflesh's Misplaced Signet,Sanguine Vintage,Gluttonous Spike,Blighted Margrave's Cloak,Gorestained Cleaver,Acidslough Bulwark,174891056,Stormwind Tabard,Red Linen Shirt
Plague Handler's Greathelm,Sinful Gladiator's Necklace,Shadowghast Pauldrons,Rampaging Giant's Chestplate,Binding of Warped Desires,Galvanized Oxxein Legguards,Errant Crusader's Greaves,Hellhound Cuffs,Colossal Plate Gauntlets,Ritual Bone Band,Death God's Signet,Sinful Gladiator's Insignia of Alacrity,Inscrutable Quantum Device,Cowled Batwing Cloak,Supercollider,Acidslough Bulwark,151851326,,
Wing Commander's Helmet,Sin Stained Pendant,Prankster's Pauldrons,Breastplate of Brutal Dissonance,Stonebark Girdle,Gormshell Greaves,Stoneguard Attendant's Boots,Vambraces of the Depraved Warden,Guilewind Stone Talons,Shadowghast Ring,Ring of Perpetual Conflict,Blood-Spattered Scale,Slimy Consumptive Organ,Dealer Xy'exa's Cape,Engorged Worm Smasher,Encrusted Canopic Lid,91926582,Tabard of the Lightbringer,Fashionable Undershirt
Shadowghast Helm,Sin Stained Pendant,Prankster's Pauldrons,Breastplate of Otherworldly Influence,Stoic Guardsman's Belt,Ceremonial Parade Legguards,Dynamo Doomstompers,Hellhound Cuffs,Colossal Plate Gauntlets,Ritualist's Treasured Ring,Bloodoath Signet,Splintered Heart of Al'ar,Blood-Spattered Scale,Cowled Batwing Cloak,Ascended Gladius of Glory,Barricade of the Endless Empire,153717278,Tabard of the Waveblade Ankoan,
Plague Handler's Greathelm,Trailspinner Pendant,Shadowghast Pauldrons,Breastplate of Brutal Dissonance,Waistguard of Expurged Anguish,Gormshell Greaves,Dynamo Doomstompers,Reality-Shatter Vambraces,Fogweaver Gauntlets,Bloodoath Signet,Arachnid Cipher Ring,Viscera of Coalesced Hatred,Slimy Consumptive Organ,Blighted Margrave's Cloak,Axe of the Deadgrove,Sinful Gladiator's Guard,96884524,,
Wrathbark Greathelm,Sin Stained Pendant,Shadowghast Pauldrons,Breastplate of Otherworldly Influence,Waistguard of Expurged Anguish,Legplates of Unholy Frenzy,Errant Crusader's Greaves,Soldier's Stoneband Wristguards,Colossal Plate Gauntlets,Ardent Sunstar Signet,Ritualist's Treasured Ring,Inscrutable Quantum Device,Darkmoon Deck: Indomitable,Cowled Batwing Cloak,Engorged Worm Smasher,Elysian Sentinel's Aegis,168143376,,
Wing Commander's Helmet,Sin Stained Pendant,Pauldrons of Unleashed Pride,Abdominal Securing Chestguard,Stoic Guardsman's Belt,Shadowghast Greaves,Dynamo Doomstompers,Vambraces of the Depraved Warden,Distorted Construct's Gauntlets,Ritualist's Treasured Ring,Signet of the False Accuser,Sinful Aspirant's Relentless Brooch,Sinful Aspirant's Insignia of Alacrity,Cowled Batwing Cloak,Xandria's Kopis of Courage,Chyrus's Crest of Hope,155554810,Tabard of the Lightbringer,Last Season's Shirt
Wrathbark Greathelm,Sin Stained Pendant,Prankster's Pauldrons,Breastplate of Otherworldly Influence,Girdle of the Soulflayer,Gormshell Greaves,Sabatons of the Rushing Juggernaut,Pit Fighter's Wristguards,Guilewind Stone Talons,Shadowghast Ring,Death God's Signet,Inscrutable Quantum Device,Anima Field Emitter,Cowled Batwing Cloak,Sophisticated Bonecracker,Barricade of the Endless Empire,145228433,Guild Tabard,
Darkfrost Helmet,Noble's Birthstone Pendant,Unyielding Combatant's Pauldrons,Breastplate of Otherworldly Influence,Shadowghast Waistguard,Legplates of Unholy Frenzy,Muckwallow Stompers,Reality-Shatter Vambraces,Guilewind Stone Talons,Bloodoath Signet,Twisted Witherroot Band,Bladedancer's Armor Kit,Blood-Spattered Scale,Blighted Margrave's Cloak,Engorged Worm Smasher,Barricade of the Endless Empire,156705856,,
Sinful Gladiator's Plate Helm,Sin Stained Pendant,Shadowghast Pauldrons,Abdominal Securing Chestguard,Binding of Warped Desires,Galvanized Oxxein Legguards,Warboots of Ruthless Conviction,Reality-Shatter Vambraces,Sinful Gladiator's Plate Handguards,Death God's Signet,Ritualist's Treasured Ring,Blood-Spattered Scale,Inscrutable Quantum Device,Cowled Batwing Cloak,Axe of the Deadgrove,Sinful Gladiator's Guard,196139612,,Artisan Officer's Shirt
Wrathbark Greathelm,Sinful Gladiator's Necklace,Unyielding Combatant's Pauldrons,Conqueror's Aegis Breastplate,Stoic Guardsman's Belt,Shadowghast Greaves,Valinor's Ground Pounders,Reality-Shatter Vambraces,Valorous Aegis Handguards,Ritual Bone Band,Stitchflesh's Misplaced Signet,Inscrutable Quantum Device,Gluttonous Spike,Cowled Batwing Cloak,Engorged Worm Smasher,Sinful Gladiator's Bulwark,98335049,,
Wrathbark Greathelm,Sin Stained Pendant,Vile Butcher's Pauldrons,Rampaging Giant's Chestplate,Shadowghast Waistguard,Endlessly Gluttonous Greaves,Errant Crusader's Greaves,Hellhound Cuffs,Fleshfused Crushers,Band of the Risen Bonelord,Ritualist's Treasured Ring,Inscrutable Quantum Device,Blood-Spattered Scale,Cowled Batwing Cloak,Ascended Gladius of Glory,Acidslough Bulwark,136643238,,
Plague Handler's Greathelm,Trailspinner Pendant,Shadowghast Pauldrons,Breastplate of Brutal Dissonance,Binding of Warped Desires,Sinful Gladiator's Plate Legguards,Sabatons of the Rushing Juggernaut,Thunderous Echo Vambraces,Colossal Plate Gauntlets,Ritual Bone Band,Stitchflesh's Misplaced Signet,Overwhelming Power Crystal,Decanter of Anima-Charged Winds,Cloak of Enveloping Manifestations,Sophisticated Bonecracker,Encrusted Canopic Lid,225713693,,
Shadowghast Helm,Azure-Venom Choker,Vile Butcher's Pauldrons,Rampaging Giant's Chestplate,Waistguard of Expurged Anguish,Sinful Aspirant's Plate Legguards,Sabatons of the Rushing Juggernaut,Soldier's Stoneband Wristguards,Fleshfused Crushers,Sinful Gladiator's Ring,Entwined Gorger Tendril,Inscrutable Quantum Device,Sinful Aspirant's Insignia of Alacrity,Decadent Nathrian Shawl,Sinful Gladiator's Xiphos,Sinful Gladiator's Guard,149928827,,
Wrathbark Greathelm,Trailspinner Pendant,Shadowghast Pauldrons,Breastplate of Brutal Dissonance,Fused Bone Greatbelt,Legplates of Unholy Frenzy,Dynamo Doomstompers,Thunderous Echo Vambraces,Fogweaver Gauntlets,Signet of the False Accuser,Death God's Signet,Bladedancer's Armor Kit,Splintered Heart of Al'ar,Dealer Xy'exa's Cape,Sinsmasher,Encrusted Canopic Lid,226355394,,Fashionable Undershirt
Shadowghast Helm,Charm of Eternal Winter,Prankster's Pauldrons,Rampaging Giant's Chestplate,Stoic Guardsman's Belt,Halkias's Towering Pillars,Errant Crusader's Greaves,Soldier's Stoneband Wristguards,Colossal Plate Gauntlets,Hyperlight Band,Ritualist's Treasured Ring,Blood-Spattered Scale,Inscrutable Quantum Device,Cowled Batwing Cloak,Gorestained Cleaver,Elysian Sentinel's Aegis,154505565,Undercity Tabard,Artisan Member's Shirt
Wrathbark Greathelm,Charm of Eternal Winter,Sinful Gladiator's Plate Pauldrons,Breastplate of Otherworldly Influence,Shadowghast Waistguard,Gormshell Greaves,Muckwallow Stompers,Shoulderblade Vambraces,Fleshfused Crushers,Sinful Gladiator's Signet,Sinful Gladiator's Ring,Skulker's Wing,Spare Meat Hook,Drape of Twisted Loyalties,Engorged Worm Smasher,Barricade of the Endless Empire,200935849,Tabard of the Lightbringer,
Sinful Aspirant's Plate Helm,Sinful Gladiator's Necklace,Prankster's Pauldrons,Sinful Gladiator's Plate Chestguard,Stoic Guardsman's Belt,Sinful Gladiator's Plate Legguards,Sinful Gladiator's Plate Warboots,Shadowghast Armguards,Sinful Gladiator's Plate Handguards,Ring of Perpetual Conflict,Sinful Gladiator's Ring,Sinful Aspirant's Badge of Ferocity,Sinful Aspirant's Medallion,Cloak of Coordination,Sophisticated Bonecracker,Sinful Aspirant's Barrier,173048490,Orgrimmar Tabard,
Shadowghast Helm,Charm of Eternal Winter,Prankster's Pauldrons,Breastplate of Otherworldly Influence,Fused Bone Greatbelt,Ceremonial Parade Legguards,Muckwallow Stompers,Hellhound Cuffs,Colossal Plate Gauntlets,Hyperlight Band,Ritualist's Treasured Ring,Splintered Heart of Al'ar,Blood-Spattered Scale,Blighted Margrave's Cloak,Engorged Worm Smasher,Elysian Sentinel's Aegis,187188645,,Captain Sanders' Shirt
Wrathbark Greathelm,Charm of Eternal Winter,Shadowghast Pauldrons,Breastplate of Otherworldly Influence,Sinful Gladiator's Plate Greatbelt,Gormshell Greaves,Sinful Gladiator's Plate Warboots,Vambraces of the Depraved Warden,Fleshfused Crushers,Sinful Gladiator's Ring,Ritual Bone Band,Inscrutable Quantum Device,Blood-Spattered Scale,Blighted Margrave's Cloak,Engorged Worm Smasher,Acidslough Bulwark,208307745,,Precious' Ribbon
Shadowghast Helm,Sin Stained Pendant,Pauldrons of Unleashed Pride,Sinful Gladiator's Plate Chestplate,Steelcore Girdle,Legplates of Unholy Frenzy,Warboots of Ruthless Conviction,Sinful Gladiator's Plate Vambraces,Sinful Gladiator's Plate Handguards,Ring of Perpetual Conflict,Ritual Bone Band,Blood-Spattered Scale,Overwhelming Power Crystal,Sinful Gladiator's Shawl,Sinful Aspirant's Mace,Sinful Gladiator's Guard,153863408,Tabard of the Lightbringer,Precious' Ribbon
Plague Handler's Greathelm,Gaiazelle's Spiked Collar,Shadowghast Pauldrons,Breastplate of Fatal Contrivances,Fused Bone Greatbelt,Gormshell Greaves,Baetheas' Ironclad Warboots,Hellhound Cuffs,Fallen Templar's Gauntlets,Arachnid Cipher Ring,Ardent Sunstar Signet,Viscera of Coalesced Hatred,Blood-Spattered Scale,Drape of Twisted Loyalties,Supercollider,Encrusted Canopic Lid,127692024,,
Wrathbark Greathelm,Muckformed Chain Choker,Shadowghast Pauldrons,Breastplate of Fatal Contrivances,Scarred Bloodbound Girdle,Halkias's Towering Pillars,Stoneguard Attendant's Boots,Hellhound Cuffs,Fallen Templar's Gauntlets,Ritual Commander's Ring,Arachnid Cipher Ring,Inscrutable Quantum Device,Blood-Spattered Scale,Cowled Batwing Cloak,Supercollider,Elysian Sentinel's Aegis,118247010,,
Shadowghast Helm,Trailspinner Pendant,Unyielding Combatant's Pauldrons,Breastplate of Cautious Calculation,Girdle of the Soulflayer,Endlessly Gluttonous Greaves,Stoneguard Attendant's Boots,Pit Fighter's Wristguards,Fallen Templar's Gauntlets,Death God's Signet,Bloodoath Signet,Splintered Heart of Al'ar,Blood-Spattered Scale,Shroud of the Penitent,Axe of the Deadgrove,Acidslough Bulwark,147510448,,
Darkfrost Helmet,Sin Stained Pendant,Prankster's Pauldrons,Breastplate of Otherworldly Influence,Binding of Warped Desires,Gormshell Greaves,Sabatons of the Rushing Juggernaut,Shadowghast Armguards,Fleshfused Crushers,Band of the Risen Bonelord,Signet of the False Accuser,Blood-Spattered Scale,Anima Field Emitter,Mantle of Manifest Sins,Engorged Worm Smasher,Barricade of the Endless Empire,176644890,Tabard of the Lightbringer,
Wing Commander's Helmet,Sinful Gladiator's Necklace,Sinful Gladiator's Plate Pauldrons,Sinful Gladiator's Plate Chestguard,Shadowghast Waistguard,Halkias's Towering Pillars,Errant Crusader's Greaves,Soldier's Stoneband Wristguards,Guilewind Stone Talons,Sinful Gladiator's Ring,Most Regal Signet of Sire Denathrius,Anima Field Emitter,Spare Meat Hook,Shroud of the Penitent,Supercollider,Sinful Gladiator's Guard,47595649,Tabard of the Ascended,Irradiated Undercoat
Wrathbark Greathelm,Sin Stained Pendant,Unyielding Combatant's Pauldrons,Breastplate of Cautious Calculation,Shadowghast Waistguard,Galvanized Oxxein Legguards,Sabatons of the Rushing Juggernaut,Pit Fighter's Wristguards,Fogweaver Gauntlets,Stitchflesh's Misplaced Signet,Death God's Signet,Bargast's Leash,Anima Field Emitter,Cowled Batwing Cloak,Supercollider,Barricade of the Endless Empire,146319436,Tabard of the 7th Legion,
Wrathbark Greathelm,Valeshroud Torque,Queensguard Pauldrons,Breastplate of Fatal Contrivances,Shadowghast Waistguard,Halkias's Towering Pillars,Muckwallow Stompers,Queensguard Vambraces,Queensguard Gauntlets,Ardent Sunstar Signet,Death God's Signet,Splintered Heart of Al'ar,Blood-Spattered Scale,Drape of Twisted Loyalties,Sinsmasher,Encrusted Canopic Lid,78209257,,
Shadowghast Helm,Muckformed Chain Choker,Pauldrons of Unleashed Pride,Breastplate of Brutal Dissonance,Girdle of the Soulflayer,Galvanized Oxxein Legguards,Valinor's Ground Pounders,Vambraces of the Depraved Warden,Fogweaver Gauntlets,Band of the Risen Bonelord,Stitchflesh's Misplaced Signet,Beating Abomination Core,Anima Field Emitter,Dealer Xy'exa's Cape,Axe of the Deadgrove,Elysian Sentinel's Aegis,166166492,,
Wing Commander's Helmet,Charm of Eternal Winter,Shadowghast Pauldrons,Sinful Gladiator's Plate Chestguard,Sinful Gladiator's Plate Greatbelt,Legplates of Unholy Frenzy,Sinful Gladiator's Plate Warboots,Sinful Gladiator's Plate Vambraces,Sinful Gladiator's Plate Handguards,Sinful Gladiator's Ring,Death God's Signet,Blood-Spattered Scale,Sinful Aspirant's Insignia of Alacrity,Shroud of the Penitent,Sophisticated Bonecracker,Barricade of the Endless Empire,163875207,Ironforge Tabard,
Darkfrost Helmet,Noble's Birthstone Pendant,Unyielding Combatant's Pauldrons,Breastplate of Brutal Dissonance,Shadowghast Waistguard,Galvanized Oxxein Legguards,Errant Crusader's Greaves,Reality-Shatter Vambraces,Distorted Construct's Gauntlets,Death God's Signet,Signet of the False Accuser,Inscrutable Quantum Device,Viscera of Coalesced Hatred,Mantle of Manifest Sins,Axe of the Deadgrove,Acidslough Bulwark,90306483,,Sightless Mantle
Shadowghast Helm,Sin Stained Pendant,Pauldrons of Unleashed Pride,Breastplate of Fatal Contrivances,Fused Bone Greatbelt,Gormshell Greaves,Dynamo Doomstompers,Reality-Shatter Vambraces,Fogweaver Gauntlets,Signet of the False Accuser,Band of the Risen Bonelord,Blood-Spattered Scale,Inscrutable Quantum Device,Dealer Xy'exa's Cape,Sophisticated Bonecracker,Acidslough Bulwark,187023840,,
Sinful Gladiator's Plate Helmet,Sinful Gladiator's Amulet,Shadowghast Pauldrons,Breastplate of Otherworldly Influence,Binding of Warped Desires,Legplates of Unholy Frenzy,Sinful Gladiator's Plate Warboots,Pit Fighter's Wristguards,Fogweaver Gauntlets,Fleshfused Circle,Ritual Bone Band,Slimy Consumptive Organ,Anima Field Emitter,Mantle of Manifest Sins,Sophisticated Bonecracker,Sinful Gladiator's Guard,62886283,Tabard of Brute Force,Sleeveless T-Shirt
Wing Commander's Helmet,Sin Stained Pendant,Shadowghast Pauldrons,Rampaging Giant's Chestplate,Binding of Warped Desires,Galvanized Oxxein Legguards,Sabatons of the Rushing Juggernaut,Hellhound Cuffs,Fogweaver Gauntlets,Bloodoath Signet,Ritual Bone Band,Decanter of Anima-Charged Winds,Anima Field Emitter,Crest of the Legionnaire General,Sacred Sparrer's Edge,Sinful Gladiator's Guard,217452273,Tabard of the Dark Iron,
Wrathbark Greathelm,Azure-Venom Choker,Shadowghast Pauldrons,Selfless Collector's Chestplate,Waistguard of Expurged Anguish,Gormshell Greaves,Dynamo Doomstompers,Vambraces of the Depraved Warden,Fleshfused Crushers,Hyperlight Band,Death God's Signet,Viscera of Coalesced Hatred,Blood-Spattered Scale,Shroud of the Penitent,Sophisticated Bonecracker,Acidslough Bulwark,197816108,Army of the Light Tabard,
Wing Commander's Helmet,Trailspinner Pendant,Shadowghast Pauldrons,Breastplate of Brutal Dissonance,Girdle of the Soulflayer,Ceremonial Parade Legguards,Errant Crusader's Greaves,Hellhound Cuffs,Colossal Plate Gauntlets,Ritual Bone Band,Band of the Risen Bonelord,Gluttonous Spike,Splintered Heart of Al'ar,Mantle of Manifest Sins,Sophisticated Bonecracker,Barricade of the Endless Empire,245593888,Stormwind Tabard,Fashionable Undershirt
Wrathbark Greathelm,Noble's Birthstone Pendant,Shadowghast Pauldrons,Breastplate of Otherworldly Influence,Stonebark Girdle,Gormshell Greaves,Sinful Gladiator's Plate Warboots,Soldier's Stoneband Wristguards,Fogweaver Gauntlets,Signet of the False Accuser,Ring of Perpetual Conflict,Sinful Gladiator's Emblem,Sinful Gladiator's Insignia of Alacrity,Dealer Xy'exa's Cape,Axe of the Deadgrove,Acidslough Bulwark,148320783,,
Shadowghast Helm,Sin Stained Pendant,Pauldrons of Unleashed Pride,Breastplate of Fatal Contrivances,Stoic Guardsman's Belt,Legplates of Unholy Frenzy,Errant Crusader's Greaves,Soldier's Stoneband Wristguards,Hardened Castle Crushers,Hyperlight Band,Most Regal Signet of Sire Denathrius,Slimy Consumptive Organ,Blood-Spattered Scale,Crest of the Legionnaire General,Ascended Gladius of Glory,Acidslough Bulwark,166218226,Tabard of the Ascended,
Darkfrost Helmet,Sin Stained Pendant,Unyielding Combatant's Pauldrons,Abdominal Securing Chestguard,Shadowghast Waistguard,Gormshell Greaves,Sabatons of the Rushing Juggernaut,Reality-Shatter Vambraces,Fleshfused Crushers,Ritualist's Treasured Ring,Signet of the False Accuser,Anima Field Emitter,Viscera of Coalesced Hatred,Blighted Margrave's Cloak,Axe of the Deadgrove,Acidslough Bulwark,87111281,Tabard of the Argent Crusade,
Wing Commander's Helmet,Charm of Eternal Winter,Shadowghast Pauldrons,Abdominal Securing Chestguard,Scarred Bloodbound Girdle,Halkias's Towering Pillars,Muckwallow Stompers,Shoulderblade Vambraces,Distorted Construct's Gauntlets,Death God's Signet,Hyperlight Band,Anima Field Emitter,Blood-Spattered Scale,Dealer Xy'exa's Cape,Engorged Worm Smasher,Acidslough Bulwark,174832890,Tabard of the Zandalari,
Wrathbark Greathelm,Sin Stained Pendant,Shadowghast Pauldrons,Breastplate of Otherworldly Influence,Scarred Bloodbound Girdle,Gormshell Greaves,Warboots of Ruthless Conviction,Soldier's Stoneband Wristguards,Distorted Construct's Gauntlets,Ritual Commander's Ring,Ardent Sunstar Signet,Inscrutable Quantum Device,Skulker's Wing,Dealer Xy'exa's Cape,Sophisticated Bonecracker,Acidslough Bulwark,217345498,Renowned Guild Tabard,
Wrathbark Greathelm,Sin Stained Pendant,Shadowghast Pauldrons,Breastplate of Otherworldly Influence,Fused Bone Greatbelt,Sinful Gladiator's Plate Legguards,Errant Crusader's Greaves,Sinful Gladiator's Plate Vambraces,Fleshfused Crushers,Entwined Gorger Tendril,Sinful Gladiator's Ring,Blood-Spattered Scale,Anima Field Emitter,Cowled Batwing Cloak,Engorged Worm Smasher,Acidslough Bulwark,155456798,,
Plague Handler's Greathelm,Sin Stained Pendant,Shadowghast Pauldrons,Selfless Collector's Chestplate,Waistguard of Expurged Anguish,Gormshell Greaves,Errant Crusader's Greaves,Pit Fighter's Wristguards,Fogweaver Gauntlets,Fleshfused Circle,Ritual Bone Band,Blood-Spattered Scale,Anima Field Emitter,Cowled Batwing Cloak,Sophisticated Bonecracker,Encrusted Canopic Lid,161471908,,Artisan Member's Shirt
Shadowghast Helm,Sin Stained Pendant,Epaulettes of Overwhelming Force,Breastplate of Cautious Calculation,Stoic Guardsman's Belt,Halkias's Towering Pillars,Errant Crusader's Greaves,Shoulderblade Vambraces,Distorted Construct's Gauntlets,Hyperlight Band,Stitchflesh's Misplaced Signet,Stone Legion Heraldry,Splintered Heart of Al'ar,Cowled Batwing Cloak,Supercollider,Barricade of the Endless Empire,73481377,,
Darkfrost Helmet,Azure-Venom Choker,Pauldrons of Unleashed Pride,Breastplate of Cautious Calculation,Shadowghast Waistguard,Galvanized Oxxein Legguards,Warboots of Ruthless Conviction,Thunderous Echo Vambraces,Fogweaver Gauntlets,Death God's Signet,Stitchflesh's Misplaced Signet,Hymnal of the Path,Sinful Aspirant's Insignia of Alacrity,Drape of Twisted Loyalties,Axe of the Deadgrove,Acidslough Bulwark,59088983,,
Plague Handler's Greathelm,Sin Stained Pendant,Pauldrons of Unleashed Pride,Tharatos' Charred Chestplate,Shadowghast Waistguard,Galvanized Oxxein Legguards,Errant Crusader's Greaves,Vambraces of the Depraved Warden,Fallen Templar's Gauntlets,Hyperlight Band,Band of the Risen Bonelord,Pulsating Stoneheart,Splintered Heart of Al'ar,Cowled Batwing Cloak,Engorged Worm Smasher,Elysian Sentinel's Aegis,195128378,Stormwind Tabard,Gorgeous Blouse
Wrathbark Greathelm,Sinful Gladiator's Necklace,Shadowghast Pauldrons,Abdominal Securing Chestguard,Binding of Warped Desires,Halkias's Towering Pillars,Selfless Collector's Warboots,Selfless Collector's Wristguards,Selfless Collector's Gauntlets,Signet of the False Accuser,Sinful Gladiator's Ring,Pulsating Stoneheart,Blood-Spattered Scale,Cloak of Enveloping Manifestations,Axe of the Deadgrove,Barricade of the Endless Empire,129825943,Guild Tabard,
Wrathbark Greathelm,Charm of Eternal Winter,Prankster's Pauldrons,Sinful Gladiator's Plate Chestplate,Sinful Gladiator's Plate Greatbelt,Halkias's Towering Pillars,Sinful Gladiator's Plate Warboots,Thunderous Echo Vambraces,Fallen Templar's Gauntlets,Shadowghast Ring,Death God's Signet,Sinful Aspirant's Emblem,Sinful Aspirant's Medallion,Dealer Xy'exa's Cape,Engorged Worm Smasher,Encrusted Canopic Lid,167267282,Horde Tabard,
Wrathbark Greathelm,Sin Stained Pendant,Shadowghast Pauldrons,Rampaging Giant's Chestplate,Binding of Warped Desires,Gormshell Greaves,Errant Crusader's Greaves,Vambraces of the Depraved Warden,Colossal Plate Gauntlets,Stitchflesh's Misplaced Signet,Hyperlight Band,Stone Legion Heraldry,Anima Field Emitter,Cowled Batwing Cloak,Sophisticated Bonecracker,Barricade of the Endless Empire,180191286,Renowned Guild Tabard,
Wrathbark Greathelm,Sin Stained Pendant,Unyielding Combatant's Pauldrons,Abdominal Securing Chestguard,Steelcore Girdle,Amber-Plated Legguards,Muckwallow Stompers,Thunderous Echo Vambraces,Fleshfused Crushers,Shadowghast Ring,Hyperlight Band,Bladedancer's Armor Kit,Decanter of Anima-Charged Winds,Drape of Twisted Loyalties,Sophisticated Bonecracker,Barricade of the Endless Empire,81251125,Champions of Azeroth Tabard,Sightless Mantle
