Head,Neck,Shoulders,Chest,Waist,Legs,Feet,Wrist,Hands,Ring 1,Ring 2,Trinket 1,Trinket 2,Back,Main Hand,Off Hand,character.id,Shirt,Tabard
Wing Commander's Helmet,Sin Stained Pendant,Unyielding Combatant's Pauldrons,Breastplate of Otherworldly Influence,Stoic Guardsman's Belt,Halkias's Towering Pillars,Warboots of Ruthless Conviction,Pit Fighter's Wristguards,Fogweaver Gauntlets,Death God's Signet,Shadowghast Ring,Blood-Spattered Scale,Anima Field Emitter,Blighted Margrave's Cloak,Gorestained Cleaver,Barricade of the Endless Empire,65143466,,
Wrathbark Greathelm,Sin Stained Pendant,Unyielding Combatant's Pauldrons,Breastplate of Brutal Dissonance,Fused Bone Greatbelt,Halkias's Towering Pillars,Errant Crusader's Greaves,Soldier's Stoneband Wristguards,Shadowghast Gauntlets,Ardent Sunstar Signet,Arachnid Cipher Ring,Pulsating Stoneheart,Anima Field Emitter,Decadent Nathrian Shawl,Engorged Worm Smasher,Acidslough Bulwark,142307880,Precious' Ribbon,Darkspear Tabard
Plague Handler's Greathelm,Noble's Birthstone Pendant,Shadowghast Pauldrons,Breastplate of Cautious Calculation,Scarred Bloodbound Girdle,Gormshell Greaves,Errant Crusader's Greaves,Vambraces of the Depraved Warden,Fogweaver Gauntlets,Fleshfused Circle,Band of the Risen Bonelord,Inscrutable Quantum Device,Splintered Heart of Al'ar,Cloak of Enveloping Manifestations,Sinful Gladiator's Hacker,Chyrus's Crest of Hope,166518277,,
Shadowghast Helm,Charm of Eternal Winter,Epaulettes of Overwhelming Force,Breastplate of Cautious Calculation,Sinful Gladiator's Plate Greatbelt,Galvanized Oxxein Legguards,Dynamo Doomstompers,Hellhound Cuffs,Distorted Construct's Gauntlets,Ritualist's Treasured Ring,Signet of the False Accuser,Sanguine Vintage,Gluttonous Spike,Mantle of Manifest Sins,Engorged Worm Smasher,Barricade of the Endless Empire,117093868,,Lightforged Tabard
Shadowghast Helm,Sin Stained Pendant,Pauldrons of Unleashed Pride,Breastplate of Fatal Contrivances,Scarred Bloodbound Girdle,Halkias's Towering Pillars,Sabatons of the Rushing Juggernaut,Vambraces of the Depraved Warden,Guilewind Stone Talons,Stitchflesh's Misplaced Signet,Arachnid Cipher Ring,Anima Field Emitter,Blood-Spattered Scale,Mantle of Manifest Sins,Axe of the Deadgrove,Barricade of the Endless Empire,97379439,,
Shadowghast Helm,Sinful Gladiator's Necklace,Prankster's Pauldrons,Abdominal Securing Chestguard,Stonebark Girdle,Gormshell Greaves,Errant Crusader's Greaves,Thunderous Echo Vambraces,Fogweaver Gauntlets,Fleshfused Circle,Ritual Commander's Ring,Decanter of Anima-Charged Winds,Anima Field Emitter,Mantle of Manifest Sins,Axe of the Deadgrove,Acidslough Bulwark,104228421,Threads of Tirion,Tabard of the Scarlet Crusade
Shadowghast Helm,Sin Stained Pendant,Pauldrons of Unleashed Pride,Breastplate of Otherworldly Influence,Sinful Aspirant's Plate Girdle,Gormshell Greaves,Warboots of Ruthless Conviction,Soldier's Stoneband Wristguards,Fogweaver Gauntlets,Ardent Sunstar Signet,Stitchflesh's Misplaced Signet,Viscera of Coalesced Hatred,Pulsating Stoneheart,Sinful Gladiator's Drape,Axe of the Deadgrove,Acidslough Bulwark,137189961,Wound Dressing,
Wrathbark Greathelm,Charm of Eternal Winter,Unyielding Combatant's Pauldrons,Breastplate of Otherworldly Influence,Stoic Guardsman's Belt,Gormshell Greaves,Baetheas' Ironclad Warboots,Hellhound Cuffs,Distorted Construct's Gauntlets,Hyperlight Band,Shadowghast Ring,Anima Field Emitter,Decanter of Anima-Charged Winds,Cowled Batwing Cloak,Supercollider,Chyrus's Crest of Hope,79979616,,
Darkfrost Helmet,Sinful Aspirant's Necklace,Vile Butcher's Pauldrons,Rampaging Giant's Chestplate,Fused Bone Greatbelt,Halkias's Towering Pillars,Shadowghast Sabatons,Vambraces of the Depraved Warden,Guilewind Stone Talons,Bloodoath Signet,Signet of the False Accuser,Sinful Aspirant's Badge of Ferocity,Sinful Aspirant's Insignia of Alacrity,Cowled Batwing Cloak,Sophisticated Bonecracker,Sinful Aspirant's Barrier,156374158,Desecrated Seaweed Shirt,Argent Crusader's Tabard
Wrathbark Greathelm,Noble's Birthstone Pendant,Shadowghast Pauldrons,Abdominal Securing Chestguard,Scarred Bloodbound Girdle,Legplates of Unholy Frenzy,Warboots of Ruthless Conviction,Hellhound Cuffs,Fleshfused Crushers,Fleshfused Circle,Ritual Bone Band,Gluttonous Spike,Blood-Spattered Scale,Dealer Xy'exa's Cape,Gorestained Cleaver,Acidslough Bulwark,102804543,Precious' Ribbon,
Wing Commander's Helmet,Sin Stained Pendant,Shadowghast Pauldrons,Breastplate of Fatal Contrivances,Girdle of the Soulflayer,Gormshell Greaves,Muckwallow Stompers,Thunderous Echo Vambraces,Distorted Construct's Gauntlets,Signet of the False Accuser,Entwined Gorger Tendril,Gluttonous Spike,Blood-Spattered Scale,Dealer Xy'exa's Cape,Sinsmasher,Sinful Gladiator's Guard,117575209,,
Oversized Centurion Helm,Sinful Gladiator's Pendant,Shadowghast Pauldrons,Sinful Gladiator's Plate Chestguard,Scarred Bloodbound Girdle,Endlessly Gluttonous Greaves,Dynamo Doomstompers,Sinful Gladiator's Plate Wristguards,Sinful Gladiator's Plate Gauntlets,Sinful Gladiator's Ring,Stitchflesh's Misplaced Signet,Inscrutable Quantum Device,Gluttonous Spike,Cowled Batwing Cloak,Sophisticated Bonecracker,Sinful Gladiator's Guard,55915862,,Tabard of the Lightbringer
Shadowghast Helm,Sin Stained Pendant,Unyielding Combatant's Pauldrons,Breastplate of Brutal Dissonance,Girdle of the Soulflayer,Halkias's Towering Pillars,Sabatons of the Rushing Juggernaut,Pit Fighter's Wristguards,Fleshfused Crushers,Stitchflesh's Misplaced Signet,Death God's Signet,Anima Field Emitter,Blood-Spattered Scale,Dealer Xy'exa's Cape,Ascended Gladius of Glory,Acidslough Bulwark,112822523,Common Gray Shirt,
Wing Commander's Helmet,Noble's Birthstone Pendant,Prankster's Pauldrons,Breastplate of Cautious Calculation,Binding of Warped Desires,Shadowghast Greaves,Warboots of Ruthless Conviction,Hellhound Cuffs,Hardened Castle Crushers,Arachnid Cipher Ring,Ritualist's Treasured Ring,Splintered Heart of Al'ar,Gluttonous Spike,Dealer Xy'exa's Cape,Axe of the Deadgrove,Stonewrought Gargoyles Barrier,6042049,,Tabard of the Lightbringer
Wing Commander's Helmet,Sinful Gladiator's Necklace,Pauldrons of Unleashed Pride,Breastplate of Cautious Calculation,Girdle of the Soulflayer,Ceremonial Parade Legguards,Valinor's Ground Pounders,Soldier's Stoneband Wristguards,Fleshfused Crushers,Shadowghast Ring,Signet of the False Accuser,Splintered Heart of Al'ar,Gluttonous Spike,Cowled Batwing Cloak,Engorged Worm Smasher,Elysian Sentinel's Aegis,175728551,,Illustrious Guild Tabard
Shadowghast Helm,Azure-Venom Choker,Epaulettes of Overwhelming Force,Breastplate of Brutal Dissonance,Girdle of the Soulflayer,Ceremonial Parade Legguards,Stoneguard Attendant's Boots,Selfless Collector's Wristguards,Fleshfused Crushers,Bloodoath Signet,Ritualist's Treasured Ring,Macabre Sheet Music,Stone Legion Heraldry,Mantle of Manifest Sins,Sophisticated Bonecracker,Encrusted Canopic Lid,14342712,Artisan Officer's Shirt,Tabard of the Lightbringer
Wrathbark Greathelm,Trailspinner Pendant,Prankster's Pauldrons,Breastplate of Otherworldly Influence,Shadowghast Waistguard,Halkias's Towering Pillars,Sabatons of the Rushing Juggernaut,Pit Fighter's Wristguards,Colossal Plate Gauntlets,Signet of the False Accuser,Stitchflesh's Misplaced Signet,Blood-Spattered Scale,Darkmoon Deck: Indomitable,Drape of Twisted Loyalties,Engorged Worm Smasher,Acidslough Bulwark,63673161,,August Celestials Tabard
Oversized Centurion Helm,Sinful Gladiator's Amulet,Sinful Gladiator's Plate Pauldrons,Abdominal Securing Chestguard,Shadowghast Waistguard,Galvanized Oxxein Legguards,Errant Crusader's Greaves,Hellhound Cuffs,Fogweaver Gauntlets,Twisted Witherroot Band,Hyperlight Band,Splintered Heart of Al'ar,Skulker's Wing,Cowled Batwing Cloak,Gorestained Cleaver,Sinful Gladiator's Guard,173508381,,
Wrathbark Greathelm,Sin Stained Pendant,Shadowghast Pauldrons,Breastplate of Brutal Dissonance,Stoic Guardsman's Belt,Gormshell Greaves,Warboots of Ruthless Conviction,Pit Fighter's Wristguards,Fogweaver Gauntlets,Band of the Risen Bonelord,Bloodoath Signet,Pulsating Stoneheart,Inscrutable Quantum Device,Drape of Twisted Loyalties,Sinsmasher,Barricade of the Endless Empire,174669298,,
Shadowghast Helm,Sin Stained Pendant,Shoulderguards of the Solemn Watch,Rampaging Giant's Chestplate,Stoic Guardsman's Belt,Endlessly Gluttonous Greaves,Errant Crusader's Greaves,Hellhound Cuffs,Distorted Construct's Gauntlets,Entwined Gorger Tendril,Death God's Signet,Inscrutable Quantum Device,Stone Legion Heraldry,Blighted Margrave's Cloak,Axe of the Deadgrove,Chyrus's Crest of Hope,59309360,Shuurt's Precious,Tabard of the Lightbringer
Iron Riveted War Helm,Trailspinner Pendant,Shadowghast Pauldrons,Conqueror's Aegis Breastplate,Stonebark Girdle,Gormshell Greaves,Selfless Collector's Warboots,Soldier's Stoneband Wristguards,Fogweaver Gauntlets,Arachnid Cipher Ring,Death God's Signet,Inscrutable Quantum Device,Darkmoon Deck: Voracity,Blighted Margrave's Cloak,Sinsmasher,Duskwarder Shield,162833090,,Lightforged Tabard
Darkfrost Helmet,Sin Stained Pendant,Shadowghast Pauldrons,Breastplate of Cautious Calculation,Fused Bone Greatbelt,Halkias's Towering Pillars,Valinor's Ground Pounders,Hellhound Cuffs,Fogweaver Gauntlets,Death God's Signet,Stitchflesh's Misplaced Signet,Inscrutable Quantum Device,Decanter of Anima-Charged Winds,Cowled Batwing Cloak,Axe of the Deadgrove,Acidslough Bulwark,114033536,,
Wrathbark Greathelm,Sin Stained Pendant,Shadowghast Pauldrons,Breastplate of Otherworldly Influence,Waistguard of Expurged Anguish,Halkias's Towering Pillars,Sabatons of the Rushing Juggernaut,Shoulderblade Vambraces,Queensguard Gauntlets,Ritual Bone Band,Bloodoath Signet,Anima Field Emitter,Splintered Heart of Al'ar,Cloak of Enveloping Manifestations,Stone General's Edge,Encrusted Canopic Lid,154518972,,
Wrathbark Greathelm,Trailspinner Pendant,Vile Butcher's Pauldrons,Breastplate of Fatal Contrivances,Girdle of the Soulflayer,Gormshell Greaves,Shadowghast Sabatons,Hellhound Cuffs,Colossal Plate Gauntlets,Ring of Perpetual Conflict,Stitchflesh's Misplaced Signet,Spare Meat Hook,Skulker's Wing,Dealer Xy'exa's Cape,Engorged Worm Smasher,Sinful Gladiator's Redoubt,15961707,Squire's Shirt,Klaxxi Tabard
Wing Commander's Helmet,Sin Stained Pendant,Shadowghast Pauldrons,Breastplate of Brutal Dissonance,Stoic Guardsman's Belt,Galvanized Oxxein Legguards,Dynamo Doomstompers,Thunderous Echo Vambraces,Distorted Construct's Gauntlets,Most Regal Signet of Sire Denathrius,Stitchflesh's Misplaced Signet,Blood-Spattered Scale,Slimy Consumptive Organ,Dealer Xy'exa's Cape,Axe of the Deadgrove,Acidslough Bulwark,196969136,,
Wrathbark Greathelm,Sin Stained Pendant,Shadowghast Pauldrons,Rampaging Giant's Chestplate,Girdle of the Soulflayer,Halkias's Towering Pillars,Errant Crusader's Greaves,Thunderous Echo Vambraces,Colossal Plate Gauntlets,Death God's Signet,Signet of the False Accuser,Blood-Spattered Scale,Gluttonous Spike,Cowled Batwing Cloak,Engorged Worm Smasher,Barricade of the Endless Empire,96671188,Fashionable Undershirt,
Wrathbark Greathelm,Sin Stained Pendant,Shadowghast Pauldrons,Breastplate of Otherworldly Influence,Scarred Bloodbound Girdle,Legplates of Unholy Frenzy,Errant Crusader's Greaves,Shoulderblade Vambraces,Distorted Construct's Gauntlets,Ring of Perpetual Conflict,Death God's Signet,Blood-Spattered Scale,Slimy Consumptive Organ,Drape of Twisted Loyalties,Axe of the Deadgrove,Acidslough Bulwark,194497307,,
Diadem of Imperious Desire,Charm of Eternal Winter,Shadowghast Pauldrons,Breastplate of Fatal Contrivances,Binding of Warped Desires,Galvanized Oxxein Legguards,Errant Crusader's Greaves,Pit Fighter's Wristguards,Fogweaver Gauntlets,Signet of the False Accuser,Ritual Bone Band,Inscrutable Quantum Device,Heart of Iron,Cowled Batwing Cloak,Axe of the Deadgrove,Elysian Sentinel's Aegis,79215146,Undisputed Champion's Shirt,Private's Tabard
Shadowghast Helm,Sin Stained Pendant,Pauldrons of Unleashed Pride,Breastplate of Brutal Dissonance,Waistguard of Expurged Anguish,Gormshell Greaves,Warboots of Ruthless Conviction,Thunderous Echo Vambraces,Fogweaver Gauntlets,Signet of the False Accuser,Death God's Signet,Slimy Consumptive Organ,Blood-Spattered Scale,Mantle of Manifest Sins,Sinsmasher,Acidslough Bulwark,208670307,Red Linen Shirt,
Darkfrost Helmet,Trailspinner Pendant,Shadowghast Pauldrons,Breastplate of Cautious Calculation,Sinful Gladiator's Plate Girdle,Galvanized Oxxein Legguards,Errant Crusader's Greaves,Thunderous Echo Vambraces,Fleshfused Crushers,Fleshfused Circle,Ritual Commander's Ring,Decanter of Anima-Charged Winds,Gluttonous Spike,Cowled Batwing Cloak,Sinful Gladiator's Hacker,Acidslough Bulwark,111697314,,
Darkfrost Helmet,Noble's Birthstone Pendant,Bladesworn Harbinger's Pauldrons,Bladesworn Harbinger's Chestguard,Stoic Guardsman's Belt,Gormshell Greaves,Errant Crusader's Greaves,Soldier's Stoneband Wristguards,Colossal Plate Gauntlets,Shadowghast Ring,Hyperlight Band,Stone Legion Heraldry,Decanter of Anima-Charged Winds,Drape of Twisted Loyalties,Axe of the Deadgrove,Barricade of the Endless Empire,76133439,White Tuxedo Shirt,
Shadowghast Helm,Sinful Gladiator's Amulet,Prankster's Pauldrons,Breastplate of Brutal Dissonance,Binding of Warped Desires,Legplates of Unholy Frenzy,Muckwallow Stompers,Sinful Gladiator's Plate Vambraces,Fleshfused Crushers,Entwined Gorger Tendril,Sinful Gladiator's Band,Overwhelming Power Crystal,Blood-Spattered Scale,Sinful Gladiator's Shawl,Supercollider,Acidslough Bulwark,115678327,Fashionable Undershirt,
Plague Handler's Greathelm,Sin Stained Pendant,Shadowghast Pauldrons,Breastplate of Otherworldly Influence,Binding of Warped Desires,Halkias's Towering Pillars,Sinful Aspirant's Plate Warboots,Soldier's Stoneband Wristguards,Fallen Templar's Gauntlets,Signet of the False Accuser,Fleshfused Circle,Slimy Consumptive Organ,Pulsating Stoneheart,Cowled Batwing Cloak,Axe of the Deadgrove,Barricade of the Endless Empire,134938472,Artisan Officer's Shirt,Renowned Guild Tabard
Wing Commander's Helmet,Sin Stained Pendant,Shadowghast Pauldrons,Breastplate of Otherworldly Influence,Stoic Guardsman's Belt,Halkias's Towering Pillars,Sabatons of the Rushing Juggernaut,Thunderous Echo Vambraces,Guilewind Stone Talons,Death God's Signet,Stitchflesh's Misplaced Signet,Inscrutable Quantum Device,Overwhelming Power Crystal,Blighted Margrave's Cloak,Sophisticated Bonecracker,Encrusted Canopic Lid,189151295,Common Gray Shirt,
Wing Commander's Helmet,Sin Stained Pendant,Shadowghast Pauldrons,Abdominal Securing Chestguard,Scarred Bloodbound Girdle,Gormshell Greaves,Errant Crusader's Greaves,Thunderous Echo Vambraces,Hardened Castle Crushers,Death God's Signet,Signet of the False Accuser,Inscrutable Quantum Device,Skulker's Wing,Dealer Xy'exa's Cape,Gorestained Cleaver,Barricade of the Endless Empire,119003965,,
Shadowghast Helm,Trailspinner Pendant,Stonewing Mantle,Breastplate of Otherworldly Influence,Waistguard of Expurged Anguish,Gormshell Greaves,Warboots of Ruthless Conviction,Armbands of the Construct,Desm's Fistos,Twisted Witherroot Band,Ritual Bone Band,Overwhelming Power Crystal,Grim Codex,Drape of Twisted Loyalties,Sinsmasher,Acidslough Bulwark,76759958,,
Wing Commander's Helmet,Sin Stained Pendant,Shadowghast Pauldrons,Breastplate of Otherworldly Influence,Fused Bone Greatbelt,Gormshell Greaves,Errant Crusader's Greaves,Hellhound Cuffs,Colossal Plate Gauntlets,Band of the Risen Bonelord,Ritual Commander's Ring,Blood-Spattered Scale,Pulsating Stoneheart,Drape of Twisted Loyalties,Axe of the Deadgrove,Barricade of the Endless Empire,160356773,,
Wrathbark Greathelm,Trailspinner Pendant,Unyielding Combatant's Pauldrons,Breastplate of Otherworldly Influence,Waistguard of Expurged Anguish,Galvanized Oxxein Legguards,Warboots of Ruthless Conviction,Sapsteel Vambraces,Fleshfused Crushers,Ring of Perpetual Conflict,Shadowghast Ring,Bladedancer's Armor Kit,Slimy Consumptive Organ,Sinful Gladiator's Shawl,Gorestained Cleaver,Acidslough Bulwark,225116496,Floot-Tooter's Tunic,Tabard of the 7th Legion
Sapsteel Warhelm,Trailspinner Pendant,Shadowghast Pauldrons,Breastplate of Fatal Contrivances,Binding of Warped Desires,Galvanized Oxxein Legguards,Muckwallow Stompers,Thunderous Echo Vambraces,Colossal Plate Gauntlets,Signet of the False Accuser,Ritual Commander's Ring,Grim Codex,Darkmoon Deck: Indomitable,Shroud of the Penitent,Gorestained Cleaver,Barricade of the Endless Empire,99544902,,
Wrathbark Greathelm,Noble's Birthstone Pendant,Unyielding Combatant's Pauldrons,Breastplate of Otherworldly Influence,Girdle of the Soulflayer,Halkias's Towering Pillars,Warboots of Ruthless Conviction,Reality-Shatter Vambraces,Distorted Construct's Gauntlets,Shadowghast Ring,Death God's Signet,Inscrutable Quantum Device,Blood-Spattered Scale,Blighted Margrave's Cloak,Sinful Aspirant's Sword,Acidslough Bulwark,83484075,Antiseptic-Soaked Dressing,Army of the Light Tabard
Wing Commander's Helmet,Muckformed Chain Choker,Shadowghast Pauldrons,Breastplate of Cautious Calculation,Scarred Bloodbound Girdle,Gormshell Greaves,Errant Crusader's Greaves,Pit Fighter's Wristguards,Fogweaver Gauntlets,Hyperlight Band,Band of the Risen Bonelord,Splintered Heart of Al'ar,Viscera of Coalesced Hatred,Cowled Batwing Cloak,Axe of the Deadgrove,Encrusted Canopic Lid,191955496,Red Linen Shirt,
Shadowghast Helm,Sin Stained Pendant,Prankster's Pauldrons,Breastplate of Brutal Dissonance,Girdle of the Soulflayer,Galvanized Oxxein Legguards,Valinor's Ground Pounders,Vambraces of the Depraved Warden,Desm's Fistos,Signet of the False Accuser,Bloodoath Signet,Blood-Spattered Scale,Splintered Heart of Al'ar,Cloak of Enveloping Manifestations,Sophisticated Bonecracker,Barricade of the Endless Empire,85448887,Orgrimmar Doublet,Renowned Guild Tabard
Wrathbark Greathelm,Muckformed Chain Choker,Shadowghast Pauldrons,Selfless Collector's Chestplate,Fused Bone Greatbelt,Gormshell Greaves,Dynamo Doomstompers,Vambraces of the Depraved Warden,Fleshfused Crushers,Hyperlight Band,Ritual Bone Band,Blood-Spattered Scale,Anima Field Emitter,Cowled Batwing Cloak,Axe of the Deadgrove,Acidslough Bulwark,135811192,Stylish Black Shirt,Tabard of the Shattered Sun
Shadowghast Helm,Charm of Eternal Winter,Epaulettes of Overwhelming Force,Breastplate of Brutal Dissonance,Stonebark Girdle,Halkias's Towering Pillars,Greaves of the Rockmender,Pit Fighter's Wristguards,Distorted Construct's Gauntlets,Sinful Gladiator's Ring,Signet of the False Accuser,Unbound Changeling,Siphoning Phylactery Shard,Dealer Xy'exa's Cape,Gore-Smudged Shortsword of the Peerless,Acidslough Bulwark,80195166,,
Wing Commander's Helmet,Trailspinner Pendant,Sapsteel Pauldrons,Breastplate of Fatal Contrivances,Shadowghast Waistguard,Gormshell Greaves,Selfless Collector's Warboots,Pit Fighter's Wristguards,Colossal Plate Gauntlets,Ring of Perpetual Conflict,Bloodoath Signet,Gluttonous Spike,Anima Field Emitter,Selfless Collector's Greatcloak,Honortoll Gavel,Kudebeh's Remarkable Targe,243756745,Sleeveless T-Shirt,Tabard of the Zandalari
Plague Handler's Greathelm,Muckformed Chain Choker,Shadowghast Pauldrons,Breastplate of Brutal Dissonance,Stoic Guardsman's Belt,Gormshell Greaves,Warboots of Ruthless Conviction,Reality-Shatter Vambraces,Hardened Castle Crushers,Ritual Bone Band,Signet of the False Accuser,Bargast's Leash,Anima Field Emitter,Blighted Margrave's Cloak,Axe of the Deadgrove,Barricade of the Endless Empire,151484032,,
Darkfrost Helmet,Azure-Venom Choker,Shadowghast Pauldrons,Abdominal Securing Chestguard,Binding of Warped Desires,Legplates of Unholy Frenzy,Warboots of Ruthless Conviction,Pit Fighter's Wristguards,Distorted Construct's Gauntlets,Bloodoath Signet,Arachnid Cipher Ring,Decanter of Anima-Charged Winds,Viscera of Coalesced Hatred,Drape of Twisted Loyalties,Sinsmasher,Barricade of the Endless Empire,30146156,Squire's Shirt,Tabard of Summer Flames
Conqueror's Aegis Faceguard,Azure-Venom Choker,Prankster's Pauldrons,Breastplate of Cautious Calculation,Stoic Guardsman's Belt,Shadowghast Greaves,Stoneguard Attendant's Boots,Pit Fighter's Wristguards,Fallen Templar's Gauntlets,Stitchflesh's Misplaced Signet,Ritualist's Treasured Ring,Blood-Spattered Scale,Macabre Sheet Music,Cowled Batwing Cloak,Xandria's Kopis of Courage,Chyrus's Crest of Hope,157779278,,Tabard of the Zandalari
Valorous Aegis Faceguard,Sin Stained Pendant,Shadowghast Pauldrons,Chestplate of Vicious Potency,Selfless Collector's Girdle,Gormshell Greaves,Selfless Collector's Warboots,Reality-Shatter Vambraces,Selfless Collector's Gauntlets,Entwined Gorger Tendril,Fleshfused Circle,Inscrutable Quantum Device,Bargast's Leash,Dealer Xy'exa's Cape,Legacy of Thunder,Acidslough Bulwark,76764247,Fashionable Undershirt,
Selfless Collector's GreatHelm,Trailspinner Pendant,Shadowghast Pauldrons,Selfless Collector's Chestplate,Scarred Bloodbound Girdle,Selfless Collector's Legguards,Dynamo Doomstompers,Hellhound Cuffs,Selfless Collector's Gauntlets,Twisted Witherroot Band,Ritual Bone Band,Darkmoon Deck: Voracity,Blood-Spattered Scale,Selfless Collector's Greatcloak,Sophisticated Bonecracker,Waylight Defender,109746469,Master Builder's Shirt,Champions of Azeroth Tabard
Wing Commander's Helmet,Charm of Eternal Winter,Shadowghast Pauldrons,Breastplate of Fatal Contrivances,Girdle of the Soulflayer,Galvanized Oxxein Legguards,Errant Crusader's Greaves,Thunderous Echo Vambraces,Guilewind Stone Talons,Ritualist's Treasured Ring,Death God's Signet,Viscera of Coalesced Hatred,Blood-Spattered Scale,Dealer Xy'exa's Cape,Supercollider,Acidslough Bulwark,167110208,,
