Head,Neck,Shoulders,Shirt,Chest,Waist,Legs,Feet,Wrist,Hands,Ring 1,Ring 2,Trinket 1,Trinket 2,Back,Main Hand,Off Hand,character.id,Tabard
Wrathbark Greathelm,Sin Stained Pendant,Shadowghast Pauldrons,Sightless Mantle,Breastplate of Otherworldly Influence,Stoic Guardsman's Belt,Endlessly Gluttonous Greaves,Stoneguard Attendant's Boots,Soldier's Stoneband Wristguards,Fallen Templar's Gauntlets,Ritualist's Treasured Ring,Death God's Signet,Anima Field Emitter,Splintered Heart of Al'ar,Mantle of Manifest Sins,Xandria's Kopis of Courage,Elysian Sentinel's Aegis,51319175,Tabard of the Lightbringer
Darkfrost Helmet,Sin Stained Pendant,Shadowghast Pauldrons,,Abdominal Securing Chestguard,Girdle of the Soulflayer,Halkias's Towering Pillars,Warboots of Ruthless Conviction,Thunderous Echo Vambraces,Guilewind Stone Talons,Death God's Signet,Signet of the False Accuser,Blood-Spattered Scale,Decanter of Anima-Charged Winds,Cowled Batwing Cloak,Sophisticated Bonecracker,Acidslough Bulwark,161484022,
Wrathbark Greathelm,Trailspinner Pendant,Shadowghast Pauldrons,Croc-Tooth Harness,Breastplate of Brutal Dissonance,Girdle of the Soulflayer,Endlessly Gluttonous Greaves,Muckwallow Stompers,Vambraces of the Depraved Warden,Fallen Templar's Gauntlets,Ritual Bone Band,Signet of the False Accuser,Splintered Heart of Al'ar,Blood-Spattered Scale,Cowled Batwing Cloak,Sinsmasher,Elysian Sentinel's Aegis,124066180,
Shadowghast Helm,Charm of Eternal Winter,Vile Butcher's Pauldrons,,Breastplate of Cautious Calculation,Stoic Guardsman's Belt,Gormshell Greaves,Stoneguard Attendant's Boots,Soldier's Stoneband Wristguards,Fleshfused Crushers,Arachnid Cipher Ring,Hyperlight Band,Sinful Gladiator's Insignia of Alacrity,Blood-Spattered Scale,Cowled Batwing Cloak,Axe of the Deadgrove,Acidslough Bulwark,153416301,
Darkfrost Helmet,Sin Stained Pendant,Shadowghast Pauldrons,,Abdominal Securing Chestguard,Waistguard of Expurged Anguish,Galvanized Oxxein Legguards,Warboots of Ruthless Conviction,Thunderous Echo Vambraces,Fogweaver Gauntlets,Fleshfused Circle,Hyperlight Band,Inscrutable Quantum Device,Slimy Consumptive Organ,Dealer Xy'exa's Cape,Sinsmasher,Encrusted Canopic Lid,166629786,
Sinful Gladiator's Plate Helm,Charm of Eternal Winter,Shadowghast Pauldrons,Precious' Ribbon,Breastplate of Cautious Calculation,Scarred Bloodbound Girdle,Endlessly Gluttonous Greaves,Dynamo Doomstompers,Vambraces of the Depraved Warden,Colossal Plate Gauntlets,Ritual Bone Band,Signet of the False Accuser,Darkmoon Deck: Indomitable,Inscrutable Quantum Device,Cowled Batwing Cloak,Sinful Gladiator's Xiphos,Encrusted Canopic Lid,82411309,Tabard of Brute Force
Diadem of Imperious Desire,Charm of Eternal Winter,Shadowghast Pauldrons,Artisan Officer's Shirt,Rampaging Giant's Chestplate,Scarred Bloodbound Girdle,Halkias's Towering Pillars,Errant Crusader's Greaves,Pit Fighter's Wristguards,Colossal Plate Gauntlets,Death God's Signet,Ritualist's Treasured Ring,Sinful Gladiator's Badge of Ferocity,Phial of Putrefaction,Cloak of Enveloping Manifestations,Gorestained Cleaver,Acidslough Bulwark,135618512,Renowned Guild Tabard
Wing Commander's Helmet,Sin Stained Pendant,Shadowghast Pauldrons,Paper Shirt,Sinful Gladiator's Plate Chestplate,Stoic Guardsman's Belt,Halkias's Towering Pillars,Valinor's Ground Pounders,Thunderous Echo Vambraces,Fleshfused Crushers,Ritual Bone Band,Signet of the False Accuser,Pulsating Stoneheart,Viscera of Coalesced Hatred,Dealer Xy'exa's Cape,Sinsmasher,Encrusted Canopic Lid,185322365,Argent Crusader's Tabard
Shadowghast Helm,Charm of Eternal Winter,Sinful Gladiator's Plate Pauldrons,Golden Filigreed Doublet,Breastplate of Cautious Calculation,Girdle of the Soulflayer,Gormshell Greaves,Sinful Gladiator's Plate Warboots,Soldier's Stoneband Wristguards,Colossal Plate Gauntlets,Death God's Signet,Ardent Sunstar Signet,Splintered Heart of Al'ar,Viscera of Coalesced Hatred,Dealer Xy'exa's Cape,Engorged Worm Smasher,Chyrus's Crest of Hope,82649630,Guild Tabard
Wing Commander's Helmet,Sin Stained Pendant,Pauldrons of Unleashed Pride,Master Builder's Shirt,Breastplate of Brutal Dissonance,Girdle of the Soulflayer,Endlessly Gluttonous Greaves,Dynamo Doomstompers,Soldier's Stoneband Wristguards,Fallen Templar's Gauntlets,Shadowghast Ring,Bloodoath Signet,Relic of the First Ones,Blood-Spattered Scale,Decadent Nathrian Shawl,Sophisticated Bonecracker,Acidslough Bulwark,129494809,
Oversized Centurion Helm,Sin Stained Pendant,Shadowghast Pauldrons,,Rampaging Giant's Chestplate,Stoic Guardsman's Belt,Legplates of Unholy Frenzy,Sabatons of the Rushing Juggernaut,Soldier's Stoneband Wristguards,Colossal Plate Gauntlets,Ritual Commander's Ring,Signet of the False Accuser,Splintered Heart of Al'ar,Pulsating Stoneheart,Cowled Batwing Cloak,Engorged Worm Smasher,Chyrus's Crest of Hope,110884780,Renowned Guild Tabard
Darkfrost Helmet,Trailspinner Pendant,Pauldrons of Unleashed Pride,Irradiated Undercoat,Breastplate of Otherworldly Influence,Shadowghast Waistguard,Gormshell Greaves,Sabatons of the Rushing Juggernaut,Soldier's Stoneband Wristguards,Fallen Templar's Gauntlets,Death God's Signet,Ardent Sunstar Signet,Inscrutable Quantum Device,Sinful Gladiator's Insignia of Alacrity,Decadent Nathrian Shawl,Axe of the Deadgrove,Acidslough Bulwark,133349459,Orgrimmar Tabard
Shadowghast Helm,Sin Stained Pendant,Unyielding Combatant's Pauldrons,,Breastplate of Fatal Contrivances,Fused Bone Greatbelt,Galvanized Oxxein Legguards,Dynamo Doomstompers,Thunderous Echo Vambraces,Distorted Construct's Gauntlets,Arachnid Cipher Ring,Signet of the False Accuser,Blood-Spattered Scale,Anima Field Emitter,Drape of Twisted Loyalties,Sophisticated Bonecracker,Acidslough Bulwark,105079508,
Shadowghast Helm,Sin Stained Pendant,Pauldrons of Unleashed Pride,,Abdominal Securing Chestguard,Fused Bone Greatbelt,Legplates of Unholy Frenzy,Muckwallow Stompers,Vambraces of the Depraved Warden,Distorted Construct's Gauntlets,Band of the Risen Bonelord,Ritual Bone Band,Blood-Spattered Scale,Anima Field Emitter,Dealer Xy'exa's Cape,Axe of the Deadgrove,Acidslough Bulwark,112284046,
Darkfrost Helmet,Trailspinner Pendant,Sinful Gladiator's Plate Pauldrons,Gorgeous Blouse,Sinful Gladiator's Plate Chestguard,Binding of Warped Desires,Galvanized Oxxein Legguards,Shadowghast Sabatons,Thunderous Echo Vambraces,Guilewind Stone Talons,Death God's Signet,Ritual Commander's Ring,Darkmoon Deck: Voracity,Blood-Spattered Scale,Blighted Margrave's Cloak,Supercollider,Acidslough Bulwark,157578089,Tabard of the Lightbringer
Wrathbark Greathelm,Noble's Birthstone Pendant,Shadowghast Pauldrons,Artisan Officer's Shirt,Breastplate of Fatal Contrivances,Binding of Warped Desires,Galvanized Oxxein Legguards,Sabatons of the Rushing Juggernaut,Pit Fighter's Wristguards,Distorted Construct's Gauntlets,Death God's Signet,Bloodoath Signet,Anima Field Emitter,Slimy Consumptive Organ,Blighted Margrave's Cloak,Sinsmasher,Encrusted Canopic Lid,161885931,Tabard of the Lightbringer
Wrathbark Greathelm,Sin Stained Pendant,Shadowghast Pauldrons,,Breastplate of Brutal Dissonance,Girdle of the Soulflayer,Gormshell Greaves,Warboots of Ruthless Conviction,Vambraces of the Depraved Warden,Distorted Construct's Gauntlets,Stitchflesh's Misplaced Signet,Death God's Signet,Anima Field Emitter,Blood-Spattered Scale,Drape of Twisted Loyalties,Supercollider,Acidslough Bulwark,161936617,
Shadowghast Helm,Sin Stained Pendant,Prankster's Pauldrons,,Sinful Gladiator's Plate Chestguard,Girdle of the Soulflayer,Sinful Gladiator's Plate Legguards,Muckwallow Stompers,Sinful Gladiator's Plate Vambraces,Sinful Gladiator's Plate Gauntlets,Stitchflesh's Misplaced Signet,Death God's Signet,Blood-Spattered Scale,Anima Field Emitter,Mantle of Manifest Sins,Axe of the Deadgrove,Sinful Gladiator's Guard,133763979,Dominating Gladiator's Tabard
Shadowghast Helm,Charm of Eternal Winter,Sinful Gladiator's Plate Shoulders,,Sinful Gladiator's Plate Chestplate,Sinful Gladiator's Plate Greatbelt,Halkias's Towering Pillars,Errant Crusader's Greaves,Sinful Gladiator's Plate Vambraces,Distorted Construct's Gauntlets,Arachnid Cipher Ring,Ritualist's Treasured Ring,Splintered Heart of Al'ar,Grim Codex,Cowled Batwing Cloak,Sinsmasher,Acidslough Bulwark,176201206,
Darkfrost Helmet,Trailspinner Pendant,Pauldrons of Unleashed Pride,,Rampaging Giant's Chestplate,Shadowghast Waistguard,Ceremonial Parade Legguards,Warboots of Ruthless Conviction,Pit Fighter's Wristguards,Fleshfused Crushers,Ritual Bone Band,Ritual Commander's Ring,Pulsating Stoneheart,Decanter of Anima-Charged Winds,Cowled Batwing Cloak,Reaver of Renewed Resolve,Acidslough Bulwark,175796751,Tabard of the Ascended
Shadowghast Helm,Sin Stained Pendant,Prankster's Pauldrons,,Breastplate of Otherworldly Influence,Scarred Bloodbound Girdle,Gormshell Greaves,Muckwallow Stompers,Reality-Shatter Vambraces,Distorted Construct's Gauntlets,Ritual Bone Band,Bloodoath Signet,Blood-Spattered Scale,Pulsating Stoneheart,Sinful Gladiator's Drape,Supercollider,Barricade of the Endless Empire,154611591,
Wing Commander's Helmet,Sin Stained Pendant,Shadowghast Pauldrons,,Breastplate of Brutal Dissonance,Fused Bone Greatbelt,Galvanized Oxxein Legguards,Dynamo Doomstompers,Hellhound Cuffs,Distorted Construct's Gauntlets,Signet of the False Accuser,Death God's Signet,Splintered Heart of Al'ar,Darkmoon Deck: Voracity,Drape of Twisted Loyalties,Supercollider,Encrusted Canopic Lid,135460264,Silvermoon City Tabard
Wing Commander's Helmet,Muckformed Chain Choker,Shadowghast Pauldrons,,Breastplate of Fatal Contrivances,Waistguard of Expurged Anguish,Sinful Gladiator's Plate Legguards,Sabatons of the Rushing Juggernaut,Vambraces of the Depraved Warden,Distorted Construct's Gauntlets,Ritual Bone Band,Bloodoath Signet,Splintered Heart of Al'ar,Viscera of Coalesced Hatred,Blighted Margrave's Cloak,Gorestained Cleaver,Acidslough Bulwark,117031845,Renowned Guild Tabard
Wrathbark Greathelm,Trailspinner Pendant,Shadowghast Pauldrons,Sleeveless T-Shirt,Breastplate of Otherworldly Influence,Fused Bone Greatbelt,Legplates of Unholy Frenzy,Errant Crusader's Greaves,Pit Fighter's Wristguards,Guilewind Stone Talons,Ritual Bone Band,Signet of the False Accuser,Blood-Spattered Scale,Inscrutable Quantum Device,Cowled Batwing Cloak,Engorged Worm Smasher,Acidslough Bulwark,165534147,
Wing Commander's Helmet,Sin Stained Pendant,Unyielding Combatant's Pauldrons,,Breastplate of Brutal Dissonance,Stoic Guardsman's Belt,Gormshell Greaves,Errant Crusader's Greaves,Vambraces of the Depraved Warden,Fogweaver Gauntlets,Shadowghast Ring,Signet of the False Accuser,Slimy Consumptive Organ,Splintered Heart of Al'ar,Decadent Nathrian Shawl,Sinsmasher,Elysian Sentinel's Aegis,166646735,
Shadowghast Helm,Muckformed Chain Choker,Unyielding Combatant's Pauldrons,,Breastplate of Otherworldly Influence,Scarred Bloodbound Girdle,Halkias's Towering Pillars,Stoneguard Attendant's Boots,Vambraces of the Depraved Warden,Distorted Construct's Gauntlets,Twisted Witherroot Band,Bloodoath Signet,Anima Field Emitter,Inscrutable Quantum Device,Dealer Xy'exa's Cape,Sophisticated Bonecracker,Barricade of the Endless Empire,120611097,Renowned Guild Tabard
Wrathbark Greathelm,Sin Stained Pendant,Epaulettes of Overwhelming Force,Red Workman's Shirt,Breastplate of Cautious Calculation,Binding of Warped Desires,Gormshell Greaves,Muckwallow Stompers,Shoulderblade Vambraces,Fogweaver Gauntlets,Shadowghast Ring,Fleshfused Circle,Blood-Spattered Scale,Slimy Consumptive Organ,Dealer Xy'exa's Cape,Sophisticated Bonecracker,Encrusted Canopic Lid,243193475,Blood Knight Tabard
Wing Commander's Helmet,Sinful Gladiator's Necklace,Shadowghast Pauldrons,,Abdominal Securing Chestguard,Girdle of the Soulflayer,Gormshell Greaves,Sinful Gladiator's Plate Warboots,Thunderous Echo Vambraces,Distorted Construct's Gauntlets,Ritual Bone Band,Ritual Commander's Ring,Inscrutable Quantum Device,Splintered Heart of Al'ar,Drape of Twisted Loyalties,Axe of the Deadgrove,Barricade of the Endless Empire,82253119,August Celestials Tabard
Darkfrost Helmet,Sin Stained Pendant,Unyielding Combatant's Pauldrons,Precious' Ribbon,Breastplate of Brutal Dissonance,Stonebark Girdle,Gormshell Greaves,Sabatons of the Rushing Juggernaut,Thunderous Echo Vambraces,Fleshfused Crushers,Shadowghast Ring,Band of the Risen Bonelord,Gluttonous Spike,Slimy Consumptive Organ,Cloak of Enveloping Manifestations,Sophisticated Bonecracker,Acidslough Bulwark,132204321,
Diadem of Imperious Desire,Trailspinner Pendant,Shadowghast Pauldrons,Sleeveless T-Shirt,Breastplate of Cautious Calculation,Stoic Guardsman's Belt,Legplates of Unholy Frenzy,Errant Crusader's Greaves,Hellhound Cuffs,Colossal Plate Gauntlets,Stitchflesh's Misplaced Signet,Hyperlight Band,Gluttonous Spike,Splintered Heart of Al'ar,Drape of Twisted Loyalties,Gristlegore Hacker,Encrusted Canopic Lid,114377098,
Wrathbark Greathelm,Sin Stained Pendant,Shadowghast Pauldrons,,Breastplate of Brutal Dissonance,Stoic Guardsman's Belt,Gormshell Greaves,Warboots of Ruthless Conviction,Pit Fighter's Wristguards,Fogweaver Gauntlets,Band of the Risen Bonelord,Bloodoath Signet,Pulsating Stoneheart,Inscrutable Quantum Device,Drape of Twisted Loyalties,Sinsmasher,Barricade of the Endless Empire,174669298,
Wing Commander's Helmet,Sin Stained Pendant,Pauldrons of Unleashed Pride,White Tuxedo Shirt,Abdominal Securing Chestguard,Shadowghast Waistguard,Gormshell Greaves,Dynamo Doomstompers,Shoulderblade Vambraces,Fleshfused Crushers,Ritual Commander's Ring,Hyperlight Band,Anima Field Emitter,Blood-Spattered Scale,Dealer Xy'exa's Cape,Axe of the Deadgrove,Elysian Sentinel's Aegis,116839787,
Wrathbark Greathelm,Sin Stained Pendant,Pauldrons of Unleashed Pride,,Breastplate of Otherworldly Influence,Shadowghast Waistguard,Halkias's Towering Pillars,Muckwallow Stompers,Vambraces of the Depraved Warden,Fleshfused Crushers,Stitchflesh's Misplaced Signet,Ritual Bone Band,Blood-Spattered Scale,Phial of Putrefaction,Crest of the Legionnaire General,Engorged Worm Smasher,Encrusted Canopic Lid,148847795,Illustrious Guild Tabard
Darkfrost Helmet,Sinful Gladiator's Necklace,Shadowghast Pauldrons,,Sinful Gladiator's Plate Chestguard,Sinful Gladiator's Plate Girdle,Galvanized Oxxein Legguards,Sinful Gladiator's Plate Warboots,Vambraces of the Depraved Warden,Fogweaver Gauntlets,Death God's Signet,Most Regal Signet of Sire Denathrius,Blood-Spattered Scale,Gluttonous Spike,Sinful Gladiator's Drape,Axe of the Deadgrove,Elysian Sentinel's Aegis,175702618,
Wing Commander's Helmet,Charm of Eternal Winter,Pauldrons of Unleashed Pride,,Rampaging Giant's Chestplate,Girdle of the Soulflayer,Shadowghast Greaves,Sabatons of the Rushing Juggernaut,Vambraces of the Depraved Warden,Fogweaver Gauntlets,Stitchflesh's Misplaced Signet,Signet of the False Accuser,Anima Field Emitter,Gluttonous Spike,Cowled Batwing Cloak,Sophisticated Bonecracker,Chyrus's Crest of Hope,88946441,
Shadowghast Helm,Charm of Eternal Winter,Sinful Gladiator's Plate Pauldrons,,Breastplate of Brutal Dissonance,Binding of Warped Desires,Galvanized Oxxein Legguards,Dynamo Doomstompers,Vambraces of the Depraved Warden,Fallen Templar's Gauntlets,Band of the Risen Bonelord,Hyperlight Band,Blood-Spattered Scale,Splintered Heart of Al'ar,Drape of Twisted Loyalties,Gorestained Cleaver,Sinful Gladiator's Guard,176648432,
Wrathbark Greathelm,Sin Stained Pendant,Sinful Gladiator's Plate Pauldrons,,Breastplate of Otherworldly Influence,Shadowghast Waistguard,Halkias's Towering Pillars,Warboots of Ruthless Conviction,Thunderous Echo Vambraces,Sinful Gladiator's Plate Handguards,Ring of Perpetual Conflict,Fleshfused Circle,Blood-Spattered Scale,Anima Field Emitter,Blighted Margrave's Cloak,Supercollider,Acidslough Bulwark,95604726,
Plague Handler's Greathelm,Sinful Aspirant's Necklace,Shadowghast Pauldrons,Lucky Shirt,Sinful Gladiator's Plate Chestguard,Girdle of the Soulflayer,Halkias's Towering Pillars,Sinful Gladiator's Plate Warboots,Shoulderblade Vambraces,Fleshfused Crushers,Sinful Gladiator's Ring,Arachnid Cipher Ring,Sinful Gladiator's Insignia of Alacrity,Blood-Spattered Scale,Blighted Margrave's Cloak,Sinful Gladiator's Xiphos,Barricade of the Endless Empire,161940989,Stormwind Tabard
Shadowghast Helm,Sin Stained Pendant,Prankster's Pauldrons,,Sinful Gladiator's Plate Chestguard,Stoic Guardsman's Belt,Sinful Gladiator's Plate Legguards,Dynamo Doomstompers,Shoulderblade Vambraces,Fogweaver Gauntlets,Death God's Signet,Stitchflesh's Misplaced Signet,Blood-Spattered Scale,Anima Field Emitter,Blighted Margrave's Cloak,Supercollider,Sinful Gladiator's Guard,174856659,Tabard of the Ascended
Wrathbark Greathelm,Sin Stained Pendant,Shadowghast Pauldrons,,Rampaging Giant's Chestplate,Fused Bone Greatbelt,Gormshell Greaves,Errant Crusader's Greaves,Reality-Shatter Vambraces,Fogweaver Gauntlets,Death God's Signet,Ritualist's Treasured Ring,Slimy Consumptive Organ,Blood-Spattered Scale,Cowled Batwing Cloak,Engorged Worm Smasher,Encrusted Canopic Lid,179868022,
Sinful Gladiator's Plate Helm,Sin Stained Pendant,Shadowghast Pauldrons,,Breastplate of Otherworldly Influence,Fused Bone Greatbelt,Halkias's Towering Pillars,Errant Crusader's Greaves,Vambraces of the Depraved Warden,Colossal Plate Gauntlets,Signet of the False Accuser,Entwined Gorger Tendril,Viscera of Coalesced Hatred,Inscrutable Quantum Device,Drape of Twisted Loyalties,Sinful Gladiator's Xiphos,Encrusted Canopic Lid,195828607,Darkspear Tabard
Wrathbark Greathelm,Sin Stained Pendant,Shadowghast Pauldrons,Stylish Black Shirt,Abdominal Securing Chestguard,Fused Bone Greatbelt,Galvanized Oxxein Legguards,Errant Crusader's Greaves,Vambraces of the Depraved Warden,Fogweaver Gauntlets,Entwined Gorger Tendril,Death God's Signet,Splintered Heart of Al'ar,Blood-Spattered Scale,Cowled Batwing Cloak,Xandria's Kopis of Courage,Barricade of the Endless Empire,153387395,
Wrathbark Greathelm,Charm of Eternal Winter,Epaulettes of Overwhelming Force,Irradiated Undercoat,Breastplate of Otherworldly Influence,Shadowghast Waistguard,Halkias's Towering Pillars,Muckwallow Stompers,Thunderous Echo Vambraces,Fogweaver Gauntlets,Stitchflesh's Misplaced Signet,Signet of the False Accuser,Splintered Heart of Al'ar,Stone Legion Heraldry,Cowled Batwing Cloak,Barbed-Edge of the Stone Legion,Stonewrought Gargoyles Barrier,173705901,Darkspear Tabard
Wing Commander's Helmet,Sinful Gladiator's Necklace,Shadowghast Pauldrons,,Sinful Gladiator's Plate Chestplate,Stoic Guardsman's Belt,Galvanized Oxxein Legguards,Sinful Gladiator's Plate Warboots,Thunderous Echo Vambraces,Sinful Gladiator's Plate Handguards,Ring of Perpetual Conflict,Stitchflesh's Misplaced Signet,Sinful Aspirant's Medallion,Sinful Gladiator's Insignia of Alacrity,Dealer Xy'exa's Cape,Sophisticated Bonecracker,Acidslough Bulwark,158746586,
Wrathbark Greathelm,Muckformed Chain Choker,Shadowghast Pauldrons,,Breastplate of Otherworldly Influence,Sinful Gladiator's Plate Girdle,Gormshell Greaves,Valinor's Ground Pounders,Hellhound Cuffs,Sinful Gladiator's Plate Gauntlets,Death God's Signet,Twisted Witherroot Band,Blood-Spattered Scale,Anima Field Emitter,Blighted Margrave's Cloak,Sophisticated Bonecracker,Sinful Gladiator's Guard,169094090,
Wrathbark Greathelm,Charm of Eternal Winter,Shadowghast Pauldrons,,Rampaging Giant's Chestplate,Scarred Bloodbound Girdle,Halkias's Towering Pillars,Sabatons of the Rushing Juggernaut,Shoulderblade Vambraces,Fleshfused Crushers,Stitchflesh's Misplaced Signet,Signet of the False Accuser,Splintered Heart of Al'ar,Darkmoon Deck: Indomitable,Blighted Margrave's Cloak,Sophisticated Bonecracker,Encrusted Canopic Lid,167867313,
Shadowghast Helm,Sinful Gladiator's Necklace,Epaulettes of Overwhelming Force,Lavender Mageweave Shirt,Breastplate of Cautious Calculation,Fused Bone Greatbelt,Gormshell Greaves,Muckwallow Stompers,Sinful Gladiator's Plate Vambraces,Colossal Plate Gauntlets,Signet of the False Accuser,Ritualist's Treasured Ring,Anima Field Emitter,Pulsating Stoneheart,Cowled Batwing Cloak,Xandria's Kopis of Courage,Chyrus's Crest of Hope,167091342,Tabard of the Lightbringer
Wrathbark Greathelm,Sin Stained Pendant,Shadowghast Pauldrons,Initiate's Shirt,Abdominal Securing Chestguard,Girdle of the Soulflayer,Halkias's Towering Pillars,Errant Crusader's Greaves,Thunderous Echo Vambraces,Fleshfused Crushers,Ritual Commander's Ring,Death God's Signet,Anima Field Emitter,Overwhelming Power Crystal,Cowled Batwing Cloak,Xandria's Kopis of Courage,Encrusted Canopic Lid,66571785,Tabard of the Achiever
