Head,Neck,Shoulders,Shirt,Chest,Waist,Legs,Feet,Wrist,Hands,Ring 1,Ring 2,Trinket 1,Trinket 2,Back,Main Hand,Off Hand,character.id,Tabard
Wrathbark Greathelm,Charm of Eternal Winter,Prankster's Pauldrons,Precious' Ribbon,Sinful Gladiator's Plate Chestguard,Scarred Bloodbound Girdle,Shadowghast Greaves,Warboots of Ruthless Conviction,Soldier's Stoneband Wristguards,Colossal Plate Gauntlets,Death God's Signet,Hyperlight Band,Splintered Heart of Al'ar,Blood-Spattered Scale,Cowled Batwing Cloak,Sinful Gladiator's Swordbreaker,Builwark of the Stone Legion,166172445,Tabard of the Lightbringer
Darkfrost Helmet,Sinful Gladiator's Necklace,Sinful Gladiator's Plate Pauldrons,,Breastplate of Brutal Dissonance,Shadowghast Waistguard,Halkias's Towering Pillars,Sinful Gladiator's Plate Warboots,Pit Fighter's Wristguards,Fleshfused Crushers,Stitchflesh's Misplaced Signet,Death God's Signet,Blood-Spattered Scale,Sanguine Vintage,Blighted Margrave's Cloak,Engorged Worm Smasher,Acidslough Bulwark,158097496,
Wrathbark Greathelm,Sinful Gladiator's Necklace,Shadowghast Pauldrons,Fashionable Undershirt,Breastplate of Otherworldly Influence,Girdle of the Soulflayer,Halkias's Towering Pillars,Sabatons of the Rushing Juggernaut,Vambraces of the Depraved Warden,Distorted Construct's Gauntlets,Stitchflesh's Misplaced Signet,Bloodoath Signet,Spare Meat Hook,Splintered Heart of Al'ar,Blighted Margrave's Cloak,Engorged Worm Smasher,Acidslough Bulwark,135756299,Army of the Light Tabard
Wrathbark Greathelm,Charm of Eternal Winter,Prankster's Pauldrons,Red Linen Shirt,Abdominal Securing Chestguard,Binding of Warped Desires,Gormshell Greaves,Stoneguard Attendant's Boots,Soldier's Stoneband Wristguards,Fogweaver Gauntlets,Signet of the False Accuser,Death God's Signet,Blood-Spattered Scale,Splintered Heart of Al'ar,Grim-Veiled Cape,Ascended Gladius of Glory,Acidslough Bulwark,165206697,Guild Tabard
Sinful Gladiator's Plate Helm,Sin Stained Pendant,Shadowghast Pauldrons,,Sinful Gladiator's Plate Chestguard,Fused Bone Greatbelt,Galvanized Oxxein Legguards,Warboots of Ruthless Conviction,Pit Fighter's Wristguards,Sinful Gladiator's Plate Handguards,Signet of the False Accuser,Stitchflesh's Misplaced Signet,Blood-Spattered Scale,Anima Field Emitter,Cowled Batwing Cloak,Axe of the Deadgrove,Sinful Gladiator's Guard,114356122,
Wrathbark Greathelm,Sin Stained Pendant,Unyielding Combatant's Pauldrons,,Breastplate of Cautious Calculation,Shadowghast Waistguard,Galvanized Oxxein Legguards,Errant Crusader's Greaves,Reality-Shatter Vambraces,Fleshfused Crushers,Ritual Bone Band,Stitchflesh's Misplaced Signet,Bargast's Leash,Gluttonous Spike,Cowled Batwing Cloak,Sinsmasher,Acidslough Bulwark,175959101,Tabard of the Ascended
Wrathbark Greathelm,Trailspinner Pendant,Shadowghast Pauldrons,,Breastplate of Brutal Dissonance,Girdle of the Soulflayer,Gormshell Greaves,Muckwallow Stompers,Reality-Shatter Vambraces,Colossal Plate Gauntlets,Death God's Signet,Fleshfused Circle,Blood-Spattered Scale,Slimy Consumptive Organ,Blighted Margrave's Cloak,Gorestained Cleaver,Acidslough Bulwark,173654774,Lightforged Tabard
Diadem of Imperious Desire,Trailspinner Pendant,Shadowghast Pauldrons,,Breastplate of Otherworldly Influence,Waistguard of Expurged Anguish,Galvanized Oxxein Legguards,Errant Crusader's Greaves,Vambraces of the Depraved Warden,Fallen Templar's Gauntlets,Ritualist's Treasured Ring,Most Regal Signet of Sire Denathrius,Anima Field Emitter,Decanter of Anima-Charged Winds,Cowled Batwing Cloak,Supercollider,Acidslough Bulwark,154424885,
Darkfrost Helmet,Sin Stained Pendant,Shadowghast Pauldrons,,Abdominal Securing Chestguard,Fused Bone Greatbelt,Galvanized Oxxein Legguards,Muckwallow Stompers,Vambraces of the Depraved Warden,Distorted Construct's Gauntlets,Signet of the False Accuser,Stitchflesh's Misplaced Signet,Decanter of Anima-Charged Winds,Blood-Spattered Scale,Blighted Margrave's Cloak,Gorestained Cleaver,Barricade of the Endless Empire,195731446,Tabard of the Ascended
Wing Commander's Helmet,Charm of Eternal Winter,Pauldrons of Unleashed Pride,,Abdominal Securing Chestguard,Fused Bone Greatbelt,Galvanized Oxxein Legguards,Errant Crusader's Greaves,Hellhound Cuffs,Fleshfused Crushers,Bloodoath Signet,Death God's Signet,Splintered Heart of Al'ar,Stone Legion Heraldry,Grim-Veiled Cape,Sophisticated Bonecracker,Barricade of the Endless Empire,162333844,
Wrathbark Greathelm,Sin Stained Pendant,Unyielding Combatant's Pauldrons,,Breastplate of Otherworldly Influence,Stoic Guardsman's Belt,Galvanized Oxxein Legguards,Stoneguard Attendant's Boots,Hellhound Cuffs,Distorted Construct's Gauntlets,Signet of the False Accuser,Bloodoath Signet,Slimy Consumptive Organ,Sinful Gladiator's Insignia of Alacrity,Grim-Veiled Cape,Sophisticated Bonecracker,Acidslough Bulwark,176356399,
Plague Handler's Greathelm,Azure-Venom Choker,Shadowghast Pauldrons,,Breastplate of Cautious Calculation,Stoic Guardsman's Belt,Ceremonial Parade Legguards,Dynamo Doomstompers,Vambraces of the Depraved Warden,Fleshfused Crushers,Entwined Gorger Tendril,Stitchflesh's Misplaced Signet,Inscrutable Quantum Device,Phial of Putrefaction,Dealer Xy'exa's Cape,Engorged Worm Smasher,Acidslough Bulwark,165268993,
Shadowghast Helm,Sin Stained Pendant,Pauldrons of Unleashed Pride,,Breastplate of Brutal Dissonance,Binding of Warped Desires,Halkias's Towering Pillars,Warboots of Ruthless Conviction,Thunderous Echo Vambraces,Fogweaver Gauntlets,Fleshfused Circle,Stitchflesh's Misplaced Signet,Splintered Heart of Al'ar,Blood-Spattered Scale,Blighted Margrave's Cloak,Axe of the Deadgrove,Encrusted Canopic Lid,171221642,Guild Tabard
Shadowghast Helm,Charm of Eternal Winter,Pauldrons of Unleashed Pride,Master Builder's Shirt,Breastplate of Brutal Dissonance,Girdle of the Soulflayer,Gormshell Greaves,Baetheas' Ironclad Warboots,Shoulderblade Vambraces,Distorted Construct's Gauntlets,Ritualist's Treasured Ring,Ardent Sunstar Signet,Blood-Spattered Scale,Gluttonous Spike,Decadent Nathrian Shawl,Sinsmasher,Barricade of the Endless Empire,146857517,
Wing Commander's Helmet,Sin Stained Pendant,Shadowghast Pauldrons,,Breastplate of Brutal Dissonance,Stoic Guardsman's Belt,Galvanized Oxxein Legguards,Dynamo Doomstompers,Thunderous Echo Vambraces,Distorted Construct's Gauntlets,Most Regal Signet of Sire Denathrius,Stitchflesh's Misplaced Signet,Blood-Spattered Scale,Slimy Consumptive Organ,Dealer Xy'exa's Cape,Axe of the Deadgrove,Acidslough Bulwark,196969136,
Wrathbark Greathelm,Sin Stained Pendant,Pauldrons of Unleashed Pride,White Tuxedo Shirt,Breastplate of Cautious Calculation,Shadowghast Waistguard,Halkias's Towering Pillars,Muckwallow Stompers,Thunderous Echo Vambraces,Fogweaver Gauntlets,Death God's Signet,Signet of the False Accuser,Blood-Spattered Scale,Slimy Consumptive Organ,Blighted Margrave's Cloak,Axe of the Deadgrove,Barricade of the Endless Empire,71117116,Tabard of the Shattered Sun
Darkfrost Helmet,Sin Stained Pendant,Shadowghast Pauldrons,,Breastplate of Fatal Contrivances,Girdle of the Soulflayer,Gormshell Greaves,Shieldguard's Warboots,Reality-Shatter Vambraces,Fleshfused Crushers,Stitchflesh's Misplaced Signet,Arachnid Cipher Ring,Blood-Spattered Scale,Anima Field Emitter,Drape of Twisted Loyalties,Axe of the Deadgrove,Barricade of the Endless Empire,100695388,Tabard of the Wyrmrest Accord
Wing Commander's Helmet,Charm of Eternal Winter,Prankster's Pauldrons,,Breastplate of Otherworldly Influence,Girdle of the Soulflayer,Shadowghast Greaves,Errant Crusader's Greaves,Soldier's Stoneband Wristguards,Colossal Plate Gauntlets,Signet of the False Accuser,Hyperlight Band,Gluttonous Spike,Splintered Heart of Al'ar,Crest of the Legionnaire General,Sacred Sparrer's Edge,Chyrus's Crest of Hope,161155112,
Wrathbark Greathelm,Sin Stained Pendant,Shadowghast Pauldrons,,Abdominal Securing Chestguard,Waistguard of Expurged Anguish,Halkias's Towering Pillars,Errant Crusader's Greaves,Pit Fighter's Wristguards,Gauntlets of Ruthless Reprisal,Fleshfused Circle,Ritualist's Treasured Ring,Inscrutable Quantum Device,Blood-Spattered Scale,Cowled Batwing Cloak,Engorged Worm Smasher,Acidslough Bulwark,155182053,Tabard of the Shattered Sun
Wrathbark Greathelm,Sin Stained Pendant,Epaulettes of Overwhelming Force,Red Workman's Shirt,Breastplate of Cautious Calculation,Binding of Warped Desires,Gormshell Greaves,Muckwallow Stompers,Shoulderblade Vambraces,Fogweaver Gauntlets,Shadowghast Ring,Fleshfused Circle,Blood-Spattered Scale,Slimy Consumptive Organ,Dealer Xy'exa's Cape,Sophisticated Bonecracker,Encrusted Canopic Lid,243193475,Blood Knight Tabard
Wing Commander's Helmet,Muckformed Chain Choker,Pauldrons of Unleashed Pride,Neophyte's Shirt,Breastplate of Cautious Calculation,Shadowghast Waistguard,Halkias's Towering Pillars,Dynamo Doomstompers,Vambraces of the Depraved Warden,Fleshfused Crushers,Bloodoath Signet,Ritual Commander's Ring,Blood-Spattered Scale,Stone Legion Heraldry,Mantle of Manifest Sins,Gorestained Cleaver,Chyrus's Crest of Hope,166017290,Tabard of the Scarlet Crusade
Wrathbark Greathelm,Sin Stained Pendant,Shadowghast Pauldrons,Precious' Ribbon,Breastplate of Otherworldly Influence,Sinful Gladiator's Plate Greatbelt,Halkias's Towering Pillars,Muckwallow Stompers,Vambraces of the Depraved Warden,Fleshfused Crushers,Signet of the False Accuser,Stitchflesh's Misplaced Signet,Sinful Gladiator's Insignia of Alacrity,Blood-Spattered Scale,Drape of Twisted Loyalties,Axe of the Deadgrove,Encrusted Canopic Lid,112893615,
Darkfrost Helmet,Trailspinner Pendant,Shadowghast Pauldrons,Common Gray Shirt,Rampaging Giant's Chestplate,Stoic Guardsman's Belt,Gormshell Greaves,Stoneguard Attendant's Boots,Shoulderblade Vambraces,Distorted Construct's Gauntlets,Stitchflesh's Misplaced Signet,Hyperlight Band,Pulsating Stoneheart,Anima Field Emitter,Cowled Batwing Cloak,Sinsmasher,Acidslough Bulwark,157584187,Lightforged Tabard
Diadem of Imperious Desire,Charm of Eternal Winter,Pauldrons of Unleashed Pride,Wraps of the Blood-Soaked Brawler,Breastplate of Cautious Calculation,Girdle of the Soulflayer,Halkias's Towering Pillars,Sabatons of the Rushing Juggernaut,Thunderous Echo Vambraces,Colossal Plate Gauntlets,Death God's Signet,Shadowghast Ring,Sanguine Vintage,Splintered Heart of Al'ar,Decadent Nathrian Shawl,Sophisticated Bonecracker,Acidslough Bulwark,176458518,
Wrathbark Greathelm,Sin Stained Pendant,Unyielding Combatant's Pauldrons,,Breastplate of Fatal Contrivances,Girdle of the Soulflayer,Legplates of Unholy Frenzy,Muckwallow Stompers,Thunderous Echo Vambraces,Hardened Castle Crushers,Stitchflesh's Misplaced Signet,Shadowghast Ring,Viscera of Coalesced Hatred,Blood-Spattered Scale,Cowled Batwing Cloak,Stone General's Edge,Barricade of the Endless Empire,158251081,Gilneas Tabard
Sinful Gladiator's Plate Helm,Muckformed Chain Choker,Unyielding Combatant's Pauldrons,,Breastplate of Otherworldly Influence,Stoic Guardsman's Belt,Galvanized Oxxein Legguards,Stoneguard Attendant's Boots,Thunderous Echo Vambraces,Colossal Plate Gauntlets,Stitchflesh's Misplaced Signet,Fleshfused Circle,Viscera of Coalesced Hatred,Blood-Spattered Scale,Asimov's Drape,Titanguard,Barricade of the Endless Empire,167083481,
Wrathbark Greathelm,Sinful Gladiator's Amulet,Shadowghast Pauldrons,,Rampaging Giant's Chestplate,Scarred Bloodbound Girdle,Sinful Gladiator's Plate Legguards,Dynamo Doomstompers,Soldier's Stoneband Wristguards,Fleshfused Crushers,Arachnid Cipher Ring,Bloodoath Signet,Sinful Gladiator's Insignia of Alacrity,Decanter of Anima-Charged Winds,Dealer Xy'exa's Cape,Sinful Gladiator's Xiphos,Sinful Gladiator's Guard,166507726,Tabard of the Ascended
Plague Handler's Greathelm,Sinful Gladiator's Necklace,Shadowghast Pauldrons,Master Builder's Shirt,Rampaging Giant's Chestplate,Fused Bone Greatbelt,Gormshell Greaves,Errant Crusader's Greaves,Vambraces of the Depraved Warden,Fogweaver Gauntlets,Signet of the False Accuser,Ring of Perpetual Conflict,Inscrutable Quantum Device,Macabre Sheet Music,Blighted Margrave's Cloak,Gorestained Cleaver,Encrusted Canopic Lid,119217334,
Shadowghast Helm,Sin Stained Pendant,Unyielding Combatant's Pauldrons,Wraps of the Blood-Soaked Brawler,Breastplate of Fatal Contrivances,Stoic Guardsman's Belt,Gormshell Greaves,Errant Crusader's Greaves,Sinful Gladiator's Plate Vambraces,Fogweaver Gauntlets,Signet of the False Accuser,Most Regal Signet of Sire Denathrius,Inscrutable Quantum Device,Pulsating Stoneheart,Dealer Xy'exa's Cape,Sophisticated Bonecracker,Acidslough Bulwark,132795147,Tabard of Summer Skies
Shadowghast Helm,Charm of Eternal Winter,Vile Butcher's Pauldrons,Squire's Shirt,Rampaging Giant's Chestplate,Stoic Guardsman's Belt,Halkias's Towering Pillars,Stoneguard Attendant's Boots,Shoulderblade Vambraces,Guilewind Stone Talons,Death God's Signet,Most Regal Signet of Sire Denathrius,Splintered Heart of Al'ar,Stone Legion Heraldry,Cowled Batwing Cloak,Reaver of Renewed Resolve,Barricade of the Endless Empire,68006316,Tabard of the Ascended
Wing Commander's Helmet,Charm of Eternal Winter,Shadowghast Pauldrons,,Breastplate of Cautious Calculation,Scarred Bloodbound Girdle,Legplates of Unholy Frenzy,Errant Crusader's Greaves,Reality-Shatter Vambraces,Guilewind Stone Talons,Death God's Signet,Ritualist's Treasured Ring,Splintered Heart of Al'ar,Inscrutable Quantum Device,Drape of Twisted Loyalties,Engorged Worm Smasher,Barricade of the Endless Empire,245226697,
Shadowghast Helm,Trailspinner Pendant,Pauldrons of Unleashed Pride,,Tharatos' Charred Chestplate,Scarred Bloodbound Girdle,Endlessly Gluttonous Greaves,Baetheas' Ironclad Warboots,Soldier's Stoneband Wristguards,Fallen Templar's Gauntlets,Ritual Bone Band,Bloodoath Signet,Anima Field Emitter,Splintered Heart of Al'ar,Decadent Nathrian Shawl,Gorestained Cleaver,Sylvan Whiteshield,133206031,
Wing Commander's Helmet,Noble's Birthstone Pendant,Shadowghast Pauldrons,,Breastplate of Brutal Dissonance,Scarred Bloodbound Girdle,Gormshell Greaves,Warboots of Ruthless Conviction,Vambraces of the Depraved Warden,Fleshfused Crushers,Stitchflesh's Misplaced Signet,Death God's Signet,Viscera of Coalesced Hatred,Blood-Spattered Scale,Dealer Xy'exa's Cape,Engorged Worm Smasher,Acidslough Bulwark,156103505,
Wrathbark Greathelm,Charm of Eternal Winter,Shadowghast Pauldrons,Precious' Ribbon,Abdominal Securing Chestguard,Stonebark Girdle,Gormshell Greaves,Warboots of Ruthless Conviction,Thunderous Echo Vambraces,Sinful Gladiator's Plate Handguards,Stitchflesh's Misplaced Signet,Bloodoath Signet,Viscera of Coalesced Hatred,Darkmoon Deck: Indomitable,Sinful Gladiator's Drape,Sinful Gladiator's Xiphos,Acidslough Bulwark,114668785,Illustrious Guild Tabard
Wrathbark Greathelm,Noble's Birthstone Pendant,Shadowghast Pauldrons,,Breastplate of Fatal Contrivances,Sinful Gladiator's Plate Greatbelt,Gormshell Greaves,Sabatons of the Rushing Juggernaut,Pit Fighter's Wristguards,Sinful Gladiator's Plate Handguards,Signet of the False Accuser,Death God's Signet,Viscera of Coalesced Hatred,Gluttonous Spike,Cowled Batwing Cloak,Sinsmasher,Acidslough Bulwark,157740157,Renowned Guild Tabard
Shadowghast Helm,Sinful Gladiator's Necklace,Prankster's Pauldrons,Fashionable Undershirt,Breastplate of Fatal Contrivances,Stoic Guardsman's Belt,Legplates of Unholy Frenzy,Sabatons of the Rushing Juggernaut,Pit Fighter's Wristguards,Fogweaver Gauntlets,Sinful Gladiator's Ring,Bloodoath Signet,Inscrutable Quantum Device,Decanter of Anima-Charged Winds,Blighted Margrave's Cloak,Sophisticated Bonecracker,Sinful Gladiator's Guard,133798044,Tabard of the Argent Crusade
Diadem of Imperious Desire,Sinful Gladiator's Necklace,Epaulettes of Overwhelming Force,,Rampaging Giant's Chestplate,Shadowghast Waistguard,Legplates of Unholy Frenzy,Errant Crusader's Greaves,Thunderous Echo Vambraces,Fogweaver Gauntlets,Death God's Signet,Ritual Bone Band,Blood-Spattered Scale,Anima Field Emitter,Drape of Twisted Loyalties,Sinful Gladiator's Xiphos,Acidslough Bulwark,167088252,Renowned Guild Tabard
Shadowghast Helm,Sin Stained Pendant,Unyielding Combatant's Pauldrons,Fashionable Undershirt,Breastplate of Fatal Contrivances,Stoic Guardsman's Belt,Halkias's Towering Pillars,Errant Crusader's Greaves,Thunderous Echo Vambraces,Distorted Construct's Gauntlets,Punishing Loop,Death God's Signet,Anima Field Emitter,Blood-Spattered Scale,Blighted Margrave's Cloak,Axe of the Deadgrove,Acidslough Bulwark,43507403,Renowned Guild Tabard
Plague Handler's Greathelm,Charm of Eternal Winter,Pauldrons of Unleashed Pride,The Very Best Shirt,Abdominal Securing Chestguard,Binding of Warped Desires,Ceremonial Parade Legguards,Errant Crusader's Greaves,Thunderous Echo Vambraces,Colossal Plate Gauntlets,Most Regal Signet of Sire Denathrius,Shadowghast Ring,Stone Legion Heraldry,Sinful Gladiator's Insignia of Alacrity,Blighted Margrave's Cloak,Supercollider,Dredge-Giant's Warshield,150700960,Renowned Guild Tabard
Wing Commander's Helmet,Charm of Eternal Winter,Shadowghast Pauldrons,,Breastplate of Fatal Contrivances,Binding of Warped Desires,Endlessly Gluttonous Greaves,Errant Crusader's Greaves,Pit Fighter's Wristguards,Fleshfused Crushers,Ritualist's Treasured Ring,Death God's Signet,Splintered Heart of Al'ar,Blood-Spattered Scale,Crest of the Legionnaire General,Sinsmasher,Acidslough Bulwark,165606918,Tabard of the Dark Iron
Shadowghast Helm,Charm of Eternal Winter,Sinful Gladiator's Plate Pauldrons,,Sinful Gladiator's Plate Chestguard,Sinful Gladiator's Plate Greatbelt,Halkias's Towering Pillars,Warboots of Ruthless Conviction,Soldier's Stoneband Wristguards,Sinful Gladiator's Plate Handguards,Signet of the False Accuser,Death God's Signet,Blood-Spattered Scale,Splintered Heart of Al'ar,Decadent Nathrian Shawl,Sinsmasher,Elysian Sentinel's Aegis,175810099,
Darkfrost Helmet,Charm of Eternal Winter,Shadowghast Pauldrons,,Sinful Gladiator's Plate Chestguard,Stoic Guardsman's Belt,Halkias's Towering Pillars,Errant Crusader's Greaves,Soldier's Stoneband Wristguards,Fleshfused Crushers,Stitchflesh's Misplaced Signet,Sinful Gladiator's Ring,Sinful Gladiator's Insignia of Alacrity,Sinful Gladiator's Medallion,Crest of the Legionnaire General,Xandria's Kopis of Courage,Chyrus's Crest of Hope,133368774,Lightforged Tabard
Shadowghast Helm,Sin Stained Pendant,Vile Butcher's Pauldrons,,Breastplate of Otherworldly Influence,Girdle of the Soulflayer,Galvanized Oxxein Legguards,Sinful Gladiator's Plate Warboots,Sinful Gladiator's Plate Vambraces,Sinful Gladiator's Plate Gauntlets,Stitchflesh's Misplaced Signet,Most Regal Signet of Sire Denathrius,Splintered Heart of Al'ar,Anima Field Emitter,Crest of the Legionnaire General,Gorestained Cleaver,Acidslough Bulwark,160212062,Tabard of the Ascended
Wing Commander's Helmet,Sin Stained Pendant,Shadowghast Pauldrons,,Abdominal Securing Chestguard,Fused Bone Greatbelt,Sinful Gladiator's Plate Legguards,Sinful Gladiator's Plate Warboots,Vambraces of the Depraved Warden,Sinful Gladiator's Plate Handguards,Sinful Gladiator's Ring,Death God's Signet,Blood-Spattered Scale,Anima Field Emitter,Sinful Gladiator's Drape,Sinful Gladiator's Swordbreaker,Acidslough Bulwark,191467363,
Darkfrost Helmet,Sin Stained Pendant,Shadowghast Pauldrons,,Rampaging Giant's Chestplate,Stoic Guardsman's Belt,Gormshell Greaves,Sabatons of the Rushing Juggernaut,Thunderous Echo Vambraces,Distorted Construct's Gauntlets,Hyperlight Band,Stitchflesh's Misplaced Signet,Blood-Spattered Scale,Splintered Heart of Al'ar,Cowled Batwing Cloak,Sophisticated Bonecracker,Encrusted Canopic Lid,192599651,Illustrious Guild Tabard
Shadowghast Helm,Sin Stained Pendant,Epaulettes of Overwhelming Force,,Tharatos' Charred Chestplate,Girdle of the Soulflayer,Halkias's Towering Pillars,Baetheas' Ironclad Warboots,Soldier's Stoneband Wristguards,Fallen Templar's Gauntlets,Ardent Sunstar Signet,Stitchflesh's Misplaced Signet,Blood-Spattered Scale,Anima Field Emitter,Blighted Margrave's Cloak,Gorestained Cleaver,Barricade of the Endless Empire,158390351,
Wrathbark Greathelm,Sinful Gladiator's Necklace,Shadowghast Pauldrons,Precious' Ribbon,Sinful Gladiator's Plate Chestplate,Girdle of the Soulflayer,Sinful Gladiator's Plate Legguards,Sinful Gladiator's Plate Warboots,Sinful Gladiator's Plate Vambraces,Distorted Construct's Gauntlets,Death God's Signet,Bloodoath Signet,Splintered Heart of Al'ar,Blood-Spattered Scale,Sinful Gladiator's Drape,Sinful Gladiator's Xiphos,Sinful Gladiator's Guard,143937353,Argent Crusader's Tabard
Shadowghast Helm,Azure-Venom Choker,Prankster's Pauldrons,Fashionable Undershirt,Breastplate of Otherworldly Influence,Fused Bone Greatbelt,Legplates of Unholy Frenzy,Dynamo Doomstompers,Pit Fighter's Wristguards,Fogweaver Gauntlets,Stitchflesh's Misplaced Signet,Arachnid Cipher Ring,Blood-Spattered Scale,Overwhelming Power Crystal,Mantle of Manifest Sins,Supercollider,Encrusted Canopic Lid,178520861,Tabard of the Ascended
Wrathbark Greathelm,Azure-Venom Choker,Shadowghast Pauldrons,,Breastplate of Fatal Contrivances,Waistguard of Expurged Anguish,Gormshell Greaves,Warboots of Ruthless Conviction,Wristclamps of Remorse,Fogweaver Gauntlets,Signet of the False Accuser,Fleshfused Circle,Slimy Consumptive Organ,Viscera of Coalesced Hatred,Mantle of Manifest Sins,Gorestained Cleaver,Barricade of the Endless Empire,163975096,
Wing Commander's Helmet,Sin Stained Pendant,Shadowghast Pauldrons,,Sinful Gladiator's Plate Chestguard,Girdle of the Soulflayer,Halkias's Towering Pillars,Sinful Gladiator's Plate Warboots,Pit Fighter's Wristguards,Gauntlets of the Iron Furnace,Death God's Signet,Signet of the False Accuser,Splintered Heart of Al'ar,Blood-Spattered Scale,Cowled Batwing Cloak,Sinsmasher,Encrusted Canopic Lid,242636159,Tabard of the Ascended
