Head,Neck,Shoulders,Chest,Waist,Legs,Feet,Wrist,Hands,Ring 1,Ring 2,Trinket 1,Trinket 2,Back,Main Hand,Off Hand,character.id,Shirt,Tabard
Darkfrost Helmet,Azure-Venom Choker,Shadowghast Pauldrons,Rampaging Giant's Chestplate,Stoic Guardsman's Belt,Ceremonial Parade Legguards,Sabatons of the Rushing Juggernaut,Soldier's Stoneband Wristguards,Fogweaver Gauntlets,Hyperlight Band,Ritual Bone Band,Blood-Spattered Scale,Spiritual Alchemy Stone,Crest of the Legionnaire General,Sophisticated Bonecracker,Chyrus's Crest of Hope,176453733,,Tabard of the Lightbringer
Darkfrost Helmet,Trailspinner Pendant,Shadowghast Pauldrons,Breastplate of Otherworldly Influence,Fused Bone Greatbelt,Halkias's Towering Pillars,Dynamo Doomstompers,Reality-Shatter Vambraces,Fogweaver Gauntlets,Bloodoath Signet,Death God's Signet,Decanter of Anima-Charged Winds,Splintered Heart of Al'ar,Drape of Twisted Loyalties,Gorestained Cleaver,Acidslough Bulwark,195306100,,Tabard of the Zandalari
Darkfrost Helmet,Sin Stained Pendant,Shadowghast Pauldrons,Breastplate of Cautious Calculation,Waistguard of Expurged Anguish,Gormshell Greaves,Errant Crusader's Greaves,Hellhound Cuffs,Fogweaver Gauntlets,Ritual Commander's Ring,Entwined Gorger Tendril,Decanter of Anima-Charged Winds,Anima Field Emitter,Drape of Twisted Loyalties,Engorged Worm Smasher,Kudebeh's Remarkable Targe,129084758,Precious' Ribbon,Argent Crusader's Tabard
Wing Commander's Helmet,Sin Stained Pendant,Unyielding Combatant's Pauldrons,Breastplate of Brutal Dissonance,Stoic Guardsman's Belt,Gormshell Greaves,Errant Crusader's Greaves,Vambraces of the Depraved Warden,Fogweaver Gauntlets,Shadowghast Ring,Signet of the False Accuser,Slimy Consumptive Organ,Splintered Heart of Al'ar,Decadent Nathrian Shawl,Sinsmasher,Elysian Sentinel's Aegis,166646735,,
Darkfrost Helmet,Sinful Gladiator's Necklace,Prankster's Pauldrons,Sinful Gladiator's Plate Chestguard,Fused Bone Greatbelt,Sinful Gladiator's Plate Legguards,Sinful Aspirant's Plate Warboots,Sinful Gladiator's Plate Vambraces,Colossal Plate Gauntlets,Shadowghast Ring,Ritual Commander's Ring,Sinful Aspirant's Insignia of Alacrity,Sinful Aspirant's Medallion,Cowled Batwing Cloak,Sinful Gladiator's Xiphos,Elysian Sentinel's Aegis,96296791,Precious' Ribbon,
Shadowghast Helm,Azure-Venom Choker,Sinful Gladiator's Plate Pauldrons,Sinful Gladiator's Plate Chestguard,Stoic Guardsman's Belt,Sinful Gladiator's Plate Legguards,Sinful Gladiator's Plate Stompers,Pit Fighter's Wristguards,Colossal Plate Gauntlets,Signet of the False Accuser,Sinful Gladiator's Ring,Sinful Aspirant's Medallion,Inscrutable Quantum Device,Cowled Batwing Cloak,Sinful Gladiator's Swordbreaker,Sinful Gladiator's Redoubt,141114720,Precious' Ribbon,Tabard of the Lightbringer
Darkfrost Helmet,Sin Stained Pendant,Shadowghast Pauldrons,Breastplate of Fatal Contrivances,Waistguard of Expurged Anguish,Galvanized Oxxein Legguards,Errant Crusader's Greaves,Shoulderblade Vambraces,Sinful Gladiator's Plate Handguards,Signet of the False Accuser,Stitchflesh's Misplaced Signet,Sanguine Vintage,Decanter of Anima-Charged Winds,Crest of the Legionnaire General,Sinsmasher,Barricade of the Endless Empire,171490413,,Tabard of Brute Force
Wing Commander's Helmet,Sinful Gladiator's Necklace,Vile Butcher's Pauldrons,Sinful Gladiator's Plate Chestguard,Girdle of the Soulflayer,Halkias's Towering Pillars,Sinful Gladiator's Plate Warboots,Reality-Shatter Vambraces,Fleshfused Crushers,Shadowghast Ring,Hyperlight Band,Blood-Spattered Scale,Anima Field Emitter,Sinful Gladiator's Drape,Sophisticated Bonecracker,Sinful Gladiator's Guard,172361913,Sleeveless T-Shirt,
Wrathbark Greathelm,Sin Stained Pendant,Shadowghast Pauldrons,Breastplate of Fatal Contrivances,Binding of Warped Desires,Gormshell Greaves,Sabatons of the Rushing Juggernaut,Vambraces of the Depraved Warden,Fogweaver Gauntlets,Signet of the False Accuser,Bloodoath Signet,Blood-Spattered Scale,Overwhelming Power Crystal,Dealer Xy'exa's Cape,Axe of the Deadgrove,Encrusted Canopic Lid,159032241,,
Darkfrost Helmet,Sin Stained Pendant,Unyielding Combatant's Pauldrons,Rampaging Giant's Chestplate,Fused Bone Greatbelt,Galvanized Oxxein Legguards,Sabatons of the Rushing Juggernaut,Thunderous Echo Vambraces,Distorted Construct's Gauntlets,Stitchflesh's Misplaced Signet,Shadowghast Ring,Blood-Spattered Scale,Overwhelming Power Crystal,Dealer Xy'exa's Cape,Axe of the Deadgrove,Acidslough Bulwark,176006814,,
Shadowghast Helm,Sin Stained Pendant,Unyielding Combatant's Pauldrons,Abdominal Securing Chestguard,Girdle of the Soulflayer,Gormshell Greaves,Errant Crusader's Greaves,Soldier's Stoneband Wristguards,Sinful Gladiator's Plate Handguards,Signet of the False Accuser,Most Regal Signet of Sire Denathrius,Sinful Gladiator's Insignia of Alacrity,Inscrutable Quantum Device,Blighted Margrave's Cloak,Sophisticated Bonecracker,Acidslough Bulwark,175495365,,Lightforged Tabard
Plague Handler's Greathelm,Sin Stained Pendant,Shadowghast Pauldrons,Breastplate of Cautious Calculation,Fused Bone Greatbelt,Gormshell Greaves,Errant Crusader's Greaves,Vambraces of the Depraved Warden,Distorted Construct's Gauntlets,Stitchflesh's Misplaced Signet,Arachnid Cipher Ring,Blood-Spattered Scale,Anima Field Emitter,Blighted Margrave's Cloak,Engorged Worm Smasher,Barricade of the Endless Empire,44926816,Precious' Ribbon,Tabard of the Lightbringer
Shadowghast Helm,Sin Stained Pendant,Prankster's Pauldrons,Breastplate of Fatal Contrivances,Girdle of the Soulflayer,Endlessly Gluttonous Greaves,Sabatons of the Rushing Juggernaut,Pit Fighter's Wristguards,Fleshfused Crushers,Entwined Gorger Tendril,Ritual Bone Band,Viscera of Coalesced Hatred,Inscrutable Quantum Device,Dealer Xy'exa's Cape,Engorged Worm Smasher,Acidslough Bulwark,175271661,Master Builder's Shirt,Tabard of the Ascended
Shadowghast Helm,Trailspinner Pendant,Epaulettes of Overwhelming Force,Selfless Collector's Chestplate,Binding of Warped Desires,Galvanized Oxxein Legguards,Muckwallow Stompers,Shoulderblade Vambraces,Fogweaver Gauntlets,Ritualist's Treasured Ring,Death God's Signet,Gluttonous Spike,Splintered Heart of Al'ar,Cowled Batwing Cloak,Gorestained Cleaver,Acidslough Bulwark,159702328,,
Wing Commander's Helmet,Trailspinner Pendant,Pauldrons of Unleashed Pride,Breastplate of Fatal Contrivances,Shadowghast Waistguard,Gormshell Greaves,Sinful Gladiator's Plate Warboots,Vambraces of the Depraved Warden,Fleshfused Crushers,Arachnid Cipher Ring,Fleshfused Circle,Gluttonous Spike,Pulsating Stoneheart,Blighted Margrave's Cloak,Axe of the Deadgrove,Barricade of the Endless Empire,151351266,,
Sinful Aspirant's Plate Helm,Sinful Gladiator's Amulet,Prankster's Pauldrons,Breastplate of Cautious Calculation,Fused Bone Greatbelt,Ceremonial Parade Legguards,Warboots of Ruthless Conviction,Hellhound Cuffs,Colossal Plate Gauntlets,Shadowghast Ring,Hyperlight Band,Sinful Aspirant's Medallion,Sinful Gladiator's Insignia of Alacrity,Decadent Nathrian Shawl,Sinful Gladiator's Xiphos,Sinful Gladiator's Guard,154192014,,
Plague Handler's Greathelm,Charm of Eternal Winter,Unyielding Combatant's Pauldrons,Breastplate of Otherworldly Influence,Shadowghast Waistguard,Sinful Gladiator's Plate Legguards,Errant Crusader's Greaves,Shoulderblade Vambraces,Guilewind Stone Talons,Signet of the False Accuser,Ritual Bone Band,Slimy Consumptive Organ,Gluttonous Spike,Sinful Gladiator's Drape,Engorged Worm Smasher,Acidslough Bulwark,195659143,,
Diadem of Imperious Desire,Charm of Eternal Winter,Shadowghast Pauldrons,Abdominal Securing Chestguard,Scarred Bloodbound Girdle,Galvanized Oxxein Legguards,Sabatons of the Rushing Juggernaut,Thunderous Echo Vambraces,Fleshfused Crushers,Stitchflesh's Misplaced Signet,Signet of the False Accuser,Blood-Spattered Scale,Anima Field Emitter,Blighted Margrave's Cloak,Engorged Worm Smasher,Chyrus's Crest of Hope,143450883,,
Shadowghast Helm,Sin Stained Pendant,Pauldrons of Unleashed Pride,Breastplate of Otherworldly Influence,Stoic Guardsman's Belt,Ceremonial Parade Legguards,Warboots of Ruthless Conviction,Vambraces of the Depraved Warden,Distorted Construct's Gauntlets,Signet of the False Accuser,Death God's Signet,Decanter of Anima-Charged Winds,Blood-Spattered Scale,Dealer Xy'exa's Cape,Engorged Worm Smasher,Encrusted Canopic Lid,158300438,,Renowned Guild Tabard
Shadowghast Helm,Sinful Gladiator's Necklace,Sinful Gladiator's Plate Pauldrons,Breastplate of Otherworldly Influence,Girdle of the Soulflayer,Ceremonial Parade Legguards,Sabatons of the Rushing Juggernaut,Vambraces of the Depraved Warden,Fleshfused Crushers,Sinful Gladiator's Signet,Sinful Gladiator's Ring,Sinful Gladiator's Insignia of Alacrity,Inscrutable Quantum Device,Blighted Margrave's Cloak,Sinful Gladiator's Xiphos,Sinful Gladiator's Guard,166079251,,Tabard of the Lightbringer
Shadowghast Helm,Trailspinner Pendant,Epaulettes of Overwhelming Force,Breastplate of Brutal Dissonance,Stoic Guardsman's Belt,Legplates of Unholy Frenzy,Errant Crusader's Greaves,Hellhound Cuffs,Fleshfused Crushers,Stitchflesh's Misplaced Signet,Death God's Signet,Splintered Heart of Al'ar,Blood-Spattered Scale,Cowled Batwing Cloak,Sinsmasher,Elysian Sentinel's Aegis,174634690,Undisputed Champion's Shirt,Renowned Guild Tabard
Wrathbark Greathelm,Charm of Eternal Winter,Shadowghast Pauldrons,Breastplate of Fatal Contrivances,Girdle of the Soulflayer,Endlessly Gluttonous Greaves,Muckwallow Stompers,Thunderous Echo Vambraces,Guilewind Stone Talons,Bloodoath Signet,Signet of the False Accuser,Slimy Consumptive Organ,Viscera of Coalesced Hatred,Mantle of Manifest Sins,Sophisticated Bonecracker,Acidslough Bulwark,107953820,,Illustrious Guild Tabard
Shadowghast Helm,Sin Stained Pendant,Pauldrons of Unleashed Pride,Abdominal Securing Chestguard,Stoic Guardsman's Belt,Legplates of Unholy Frenzy,Muckwallow Stompers,Hellhound Cuffs,Fleshfused Crushers,Signet of the False Accuser,Stitchflesh's Misplaced Signet,Blood-Spattered Scale,Anima Field Emitter,Drape of Twisted Loyalties,Sophisticated Bonecracker,Barricade of the Endless Empire,123922540,Precious' Ribbon,
Wrathbark Greathelm,Trailspinner Pendant,Shadowghast Pauldrons,Breastplate of Brutal Dissonance,Fused Bone Greatbelt,Endlessly Gluttonous Greaves,Sabatons of the Rushing Juggernaut,Vambraces of the Depraved Warden,Fogweaver Gauntlets,Ritual Bone Band,Fleshfused Circle,Slimy Consumptive Organ,Blood-Spattered Scale,Cloak of Enveloping Manifestations,Engorged Worm Smasher,Acidslough Bulwark,188977395,,
Wing Commander's Helmet,Sin Stained Pendant,Unyielding Combatant's Pauldrons,Breastplate of Otherworldly Influence,Shadowghast Waistguard,Legplates of Unholy Frenzy,Muckwallow Stompers,Vambraces of the Depraved Warden,Colossal Plate Gauntlets,Stitchflesh's Misplaced Signet,Death God's Signet,Splintered Heart of Al'ar,Blood-Spattered Scale,Shroud of the Penitent,Axe of the Deadgrove,Barricade of the Endless Empire,174641375,Lucky Shirt,
Wrathbark Greathelm,Noble's Birthstone Pendant,Shadowghast Pauldrons,Breastplate of Otherworldly Influence,Stoic Guardsman's Belt,Halkias's Towering Pillars,Errant Crusader's Greaves,Hellhound Cuffs,Distorted Construct's Gauntlets,Ring of Perpetual Conflict,Most Regal Signet of Sire Denathrius,Inscrutable Quantum Device,Splintered Heart of Al'ar,Drape of Twisted Loyalties,Sophisticated Bonecracker,Acidslough Bulwark,155945324,Artisan Officer's Shirt,Tabard of the Ascended
Wrathbark Greathelm,Muckformed Chain Choker,Shadowghast Pauldrons,Breastplate of Brutal Dissonance,Sinful Gladiator's Plate Greatbelt,Legplates of Unholy Frenzy,Errant Crusader's Greaves,Shoulderblade Vambraces,Guilewind Stone Talons,Ritual Commander's Ring,Entwined Gorger Tendril,Gluttonous Spike,Blood-Spattered Scale,Drape of Twisted Loyalties,Sophisticated Bonecracker,Sinful Gladiator's Guard,88359394,,
Wrathbark Greathelm,Sinful Gladiator's Necklace,Unyielding Combatant's Pauldrons,Conqueror's Aegis Breastplate,Stoic Guardsman's Belt,Shadowghast Greaves,Valinor's Ground Pounders,Reality-Shatter Vambraces,Valorous Aegis Handguards,Ritual Bone Band,Stitchflesh's Misplaced Signet,Inscrutable Quantum Device,Gluttonous Spike,Cowled Batwing Cloak,Engorged Worm Smasher,Sinful Gladiator's Bulwark,98335049,,
Shadowghast Helm,Sinful Gladiator's Necklace,Epaulettes of Overwhelming Force,Breastplate of Brutal Dissonance,Sinful Gladiator's Plate Greatbelt,Halkias's Towering Pillars,Warboots of Ruthless Conviction,Pit Fighter's Wristguards,Distorted Construct's Gauntlets,Sinful Gladiator's Signet,Sinful Gladiator's Ring,Viscera of Coalesced Hatred,Blood-Spattered Scale,Shroud of the Penitent,Axe of the Deadgrove,Sinful Gladiator's Guard,104217368,Silvermoon Doublet,Argent Crusader's Tabard
Wing Commander's Helmet,Sinful Gladiator's Pendant,Shadowghast Pauldrons,Breastplate of Brutal Dissonance,Binding of Warped Desires,Gormshell Greaves,Errant Crusader's Greaves,Reality-Shatter Vambraces,Sinful Gladiator's Plate Handguards,Signet of the False Accuser,Ritual Commander's Ring,Inscrutable Quantum Device,Sinful Gladiator's Insignia of Alacrity,Cowled Batwing Cloak,Sinful Gladiator's Swordbreaker,Sinful Gladiator's Redoubt,157154012,Precious' Ribbon,Silvermoon City Tabard
Wrathbark Greathelm,Sin Stained Pendant,Shadowghast Pauldrons,Selfless Collector's Chestplate,Stoic Guardsman's Belt,Endlessly Gluttonous Greaves,Selfless Collector's Warboots,Hellhound Cuffs,Guilewind Stone Talons,Death God's Signet,Ritual Bone Band,Pulsating Stoneheart,Darkmoon Deck: Indomitable,Cowled Batwing Cloak,Sophisticated Bonecracker,Acidslough Bulwark,173318997,Precious' Ribbon,
Darkfrost Helmet,Sin Stained Pendant,Sinful Gladiator's Plate Shoulders,Breastplate of Fatal Contrivances,Shadowghast Waistguard,Halkias's Towering Pillars,Sinful Gladiator's Plate Warboots,Reality-Shatter Vambraces,Sinful Gladiator's Plate Gauntlets,Sinful Gladiator's Ring,Stitchflesh's Misplaced Signet,Inscrutable Quantum Device,Blood-Spattered Scale,Blighted Margrave's Cloak,Sinful Gladiator's Xiphos,Encrusted Canopic Lid,167884326,Gorgeous Blouse,Tabard of the Arcane
Darkfrost Helmet,Sin Stained Pendant,Shadowghast Pauldrons,Breastplate of Cautious Calculation,Scarred Bloodbound Girdle,Halkias's Towering Pillars,Muckwallow Stompers,Vambraces of the Depraved Warden,Fogweaver Gauntlets,Bloodoath Signet,Stitchflesh's Misplaced Signet,Slimy Consumptive Organ,Splintered Heart of Al'ar,Blighted Margrave's Cloak,Axe of the Deadgrove,Acidslough Bulwark,102761668,,Argent Crusader's Tabard
Shadowghast Helm,Sin Stained Pendant,Unyielding Combatant's Pauldrons,Breastplate of Cautious Calculation,Stonebark Girdle,Gormshell Greaves,Sabatons of the Rushing Juggernaut,Pit Fighter's Wristguards,Distorted Construct's Gauntlets,Signet of the False Accuser,Stitchflesh's Misplaced Signet,Anima Field Emitter,Blood-Spattered Scale,Blighted Margrave's Cloak,Sinsmasher,Barricade of the Endless Empire,108809209,,
Wing Commander's Helmet,Sinful Gladiator's Necklace,Shadowghast Pauldrons,Breastplate of Cautious Calculation,Sinful Gladiator's Plate Greatbelt,Halkias's Towering Pillars,Errant Crusader's Greaves,Thunderous Echo Vambraces,Fleshfused Crushers,Stitchflesh's Misplaced Signet,Hyperlight Band,Blood-Spattered Scale,Decanter of Anima-Charged Winds,Blighted Margrave's Cloak,Engorged Worm Smasher,Sinful Gladiator's Guard,161267279,,Thunder Bluff Tabard
Sinful Gladiator's Plate Helmet,Sinful Gladiator's Pendant,Unyielding Combatant's Pauldrons,Shadowghast Breastplate,Stoic Guardsman's Belt,Gormshell Greaves,Warboots of Ruthless Conviction,Sinful Gladiator's Plate Vambraces,Fogweaver Gauntlets,Sinful Gladiator's Band,Sinful Gladiator's Ring,Sinful Gladiator's Insignia of Alacrity,Blood-Spattered Scale,Sinful Gladiator's Cloak,Sinful Gladiator's Xiphos,Sinful Gladiator's Guard,147544743,Irradiated Undercoat,Tabard of the Lightbringer
Sinful Gladiator's Plate Helm,Sin Stained Pendant,Shadowghast Pauldrons,Rampaging Giant's Chestplate,Sinful Gladiator's Plate Girdle,Halkias's Towering Pillars,Sinful Gladiator's Plate Warboots,Sinful Gladiator's Plate Vambraces,Sinful Gladiator's Plate Handguards,Most Regal Signet of Sire Denathrius,Death God's Signet,Gluttonous Spike,Stone Legion Heraldry,Crest of the Legionnaire General,Gorestained Cleaver,Sinful Gladiator's Guard,122644938,,Tabard of the Lightbringer
Darkfrost Helmet,Charm of Eternal Winter,Epaulettes of Overwhelming Force,Breastplate of Cautious Calculation,Stoic Guardsman's Belt,Ceremonial Parade Legguards,Errant Crusader's Greaves,Pit Fighter's Wristguards,Fogweaver Gauntlets,Ritualist's Treasured Ring,Signet of the False Accuser,Splintered Heart of Al'ar,Blood-Spattered Scale,Grim-Veiled Cape,Sophisticated Bonecracker,Elysian Sentinel's Aegis,128719965,,Thunder Bluff Tabard
Diadem of Imperious Desire,Noble's Birthstone Pendant,Shadowghast Pauldrons,Rampaging Giant's Chestplate,Girdle of the Soulflayer,Halkias's Towering Pillars,Sinful Gladiator's Plate Warboots,Pit Fighter's Wristguards,Fleshfused Crushers,Hyperlight Band,Death God's Signet,Sinful Aspirant's Medallion,Blood-Spattered Scale,Cowled Batwing Cloak,Sinful Gladiator's Xiphos,Sinful Gladiator's Guard,184164572,Artisan Officer's Shirt,Renowned Guild Tabard
Darkfrost Helmet,Sin Stained Pendant,Shadowghast Pauldrons,Breastplate of Otherworldly Influence,Sinful Gladiator's Plate Greatbelt,Endlessly Gluttonous Greaves,Sinful Gladiator's Plate Stompers,Vambraces of the Depraved Warden,Colossal Plate Gauntlets,Stitchflesh's Misplaced Signet,Signet of the False Accuser,Sinful Gladiator's Insignia of Alacrity,Inscrutable Quantum Device,Sinful Gladiator's Drape,Gorestained Cleaver,Chyrus's Crest of Hope,159091234,,Renowned Guild Tabard
Wing Commander's Helmet,Sinful Gladiator's Necklace,Shadowghast Pauldrons,Sinful Gladiator's Plate Chestguard,Sinful Gladiator's Plate Greatbelt,Galvanized Oxxein Legguards,Errant Crusader's Greaves,Sinful Gladiator's Plate Vambraces,Colossal Plate Gauntlets,Signet of the False Accuser,Ritual Bone Band,Blood-Spattered Scale,Bladedancer's Armor Kit,Cowled Batwing Cloak,Axe of the Deadgrove,Sinful Gladiator's Guard,105235759,,
Wrathbark Greathelm,Sin Stained Pendant,Pauldrons of Unleashed Pride,Breastplate of Otherworldly Influence,Shadowghast Waistguard,Sinful Gladiator's Plate Legguards,Sinful Gladiator's Plate Warboots,Hellhound Cuffs,Sinful Gladiator's Plate Gauntlets,Band of the Risen Bonelord,Arachnid Cipher Ring,Blood-Spattered Scale,Sinful Gladiator's Insignia of Alacrity,Blighted Margrave's Cloak,Sinful Gladiator's Xiphos,Sinful Gladiator's Guard,153175188,Artisan Initiate's Shirt,Tabard of the Lightbringer
Wing Commander's Helmet,Sinful Gladiator's Necklace,Vile Butcher's Pauldrons,Breastplate of Brutal Dissonance,Girdle of the Soulflayer,Sinful Gladiator's Plate Legguards,Errant Crusader's Greaves,Vambraces of the Depraved Warden,Hardened Castle Crushers,Stitchflesh's Misplaced Signet,Shadowghast Ring,Splintered Heart of Al'ar,Blood-Spattered Scale,Blighted Margrave's Cloak,Supercollider,Barricade of the Endless Empire,107144363,,Nightfallen Tabard
Shadowghast Helm,Sin Stained Pendant,Prankster's Pauldrons,Breastplate of Otherworldly Influence,Waistguard of Expurged Anguish,Gormshell Greaves,Sinful Gladiator's Plate Warboots,Thunderous Echo Vambraces,Fleshfused Crushers,Hyperlight Band,Death God's Signet,Anima Field Emitter,Blood-Spattered Scale,Dealer Xy'exa's Cape,Axe of the Deadgrove,Acidslough Bulwark,186022545,,
Wing Commander's Helmet,Sin Stained Pendant,Shadowghast Pauldrons,Breastplate of Cautious Calculation,Scarred Bloodbound Girdle,Halkias's Towering Pillars,Muckwallow Stompers,Pit Fighter's Wristguards,Fleshfused Crushers,Most Regal Signet of Sire Denathrius,Hyperlight Band,Gluttonous Spike,Inscrutable Quantum Device,Cowled Batwing Cloak,Sophisticated Bonecracker,Acidslough Bulwark,166734171,,
Wrathbark Greathelm,Sinful Gladiator's Necklace,Shadowghast Pauldrons,Breastplate of Otherworldly Influence,Scarred Bloodbound Girdle,Halkias's Towering Pillars,Sabatons of the Rushing Juggernaut,Hellhound Cuffs,Fleshfused Crushers,Stitchflesh's Misplaced Signet,Ritual Bone Band,Sinful Gladiator's Medallion,Sinful Gladiator's Insignia of Alacrity,Blighted Margrave's Cloak,Sophisticated Bonecracker,Acidslough Bulwark,141075499,,
Wing Commander's Helmet,Charm of Eternal Winter,Epaulettes of Overwhelming Force,Breastplate of Fatal Contrivances,Scarred Bloodbound Girdle,Galvanized Oxxein Legguards,Dynamo Doomstompers,Vambraces of the Depraved Warden,Fleshfused Crushers,Ring of Perpetual Conflict,Shadowghast Ring,Slimy Consumptive Organ,Overwhelming Power Crystal,Mantle of Manifest Sins,Ascended Gladius of Glory,Acidslough Bulwark,153534103,,
Darkfrost Helmet,Sinful Gladiator's Necklace,Shadowghast Pauldrons,Sinful Gladiator's Plate Chestguard,Binding of Warped Desires,Ceremonial Parade Legguards,Errant Crusader's Greaves,Thunderous Echo Vambraces,Distorted Construct's Gauntlets,Stitchflesh's Misplaced Signet,Sinful Gladiator's Ring,Skulker's Wing,Phial of Putrefaction,Dealer Xy'exa's Cape,Supercollider,Encrusted Canopic Lid,169862478,Precious' Ribbon,
Selfless Collector's GreatHelm,Muckformed Chain Choker,Shadowghast Pauldrons,Selfless Collector's Chestplate,Girdle of the Soulflayer,Gormshell Greaves,Dynamo Doomstompers,Selfless Collector's Wristguards,Fleshfused Crushers,Stitchflesh's Misplaced Signet,Hyperlight Band,Inscrutable Quantum Device,Phial of Putrefaction,Drape of Twisted Loyalties,Axe of the Deadgrove,Encrusted Canopic Lid,174638586,Fashionable Undershirt,Renowned Guild Tabard
